date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,半成品,原料,員工福利負債準備－非流動,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地淨額,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,製成品,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,62500.0,1829302,421386,7723910,3070213.0,0.0,2330826,6389.0,10870.0,166055,29648,3357673,82340,19840,50436,,0.0,162809.0,,233907,77222,88500,26706.0,26706,52039.0,483908.0,2556,90.0,14975.0,287460.0,320959.0,214154.0,60220,5804,922713,922713.0,2393,,,133517,799536,628,589775.0,583386,247030,96465.0,1139638.0,2072173,15482657,8500698,2013年03月31日,5887650,,,182127.0,20378575,20289559,94000,1694417,2693036,3234799,,15065,141843,,1401586.0,89064.0,1421896,8505668,183482.0,,2556,,5097939.0,704701,9727.0,11862.0,418538.0,264574.0,264574.0,,25476514.0,9693.0,0.0,14076.0,105940,105940.0,1806,2062500.0,2062500,55990,89016,2404903,22241715,4970.0,497000
2013-08-13,2,2013,,1810083,391898,7203385,1563083.0,0.0,2326270,,9071.0,1039495,784973,2014572,12934,12934,23372,,27.0,160008.0,,229397,71934,96776,34261.0,34261,62708.0,574262.0,2646,87.0,14975.0,451489.0,320959.0,153061.0,60279,5958,926366,926366.0,2393,,,109460,999465,1910,,674525,233036,97184.0,1137630.0,2057350,14018828,8505668,2013年06月30日,5209509,,,169696.0,18540963,18453772,94000,1852033,4221277,3882123,,15089,141843,,1239851.0,68099.0,1989914,8527081,145406.0,,2646,,6059260.0,711127,6631.0,11862.0,418261.0,274373.0,274373.0,,24600223.0,9244.0,0.0,12546.0,105940,105940.0,1806,,1500000,56557,87191,1837983,20718100,21413.0,2141300
2013-11-12,3,2013,500000.0,1801523,292339,7601729,2565598.0,,2731685,,5577.0,182397,129583,2885729,524963,24963,17392,,24.0,154076.0,,224691,71934,80393,,18898,70568.0,573096.0,2736,82.0,14975.0,320131.0,320959.0,169740.0,60329,5958,972973,972973.0,2393,,,131507,799532,1524,,642243,185724,92428.0,1121340.0,2042531,14841138,8527080,2013年09月30日,5607853,,,184481.0,19811970,19730865,94000,1852033,3768276,3107117,,15081,141843,,1159202.0,55067.0,2073286,8532555,165146.0,,2736,,5101643.0,713245,5346.0,11862.0,418392.0,277645.0,277645.0,,24913613.0,9115.0,0.0,11552.0,105940,105940.0,1806,,1000000,55537,81105,1333367,21806496,5475.0,547500
2014-03-28,4,2013,500000.0,1820388,332804,7947480,,,3071615,,,183772,19790,3636894,518859,18859,47729,,,,,224771,70994,81673,,19561,,,2374,,,,,,60730,5978,933524,,2393,,,128876,999604,860,,671769,178017,93047.0,,2027700,15618680,8532555,2013年12月31日,5953604,,,,20907309,20828333,94000,1852033,3369688,2927283,,15055,141843,,1076454.0,39844.0,1497873,8533330,,,2374,,4990376.0,713022,,,,,,,25897685.0,,0.0,,93543,,2487,,1300000,56134,78976,1620688,22970402,775.0,77500
2014-05-13,1,2014,1000000.0,1784828,349121,8601907,,,3160008,,,162759,16800,3879501,1024432,24432,25325,,,,,226604,71936,87074,,25130,,,2492,,,,,,60828,6416,1053474,,2393,,0.0,68166,899607,726,,624621,145738,93840.0,,2012868,16384104,8533330,2014年03月31日,6608031,,,,21802643,21729990,94000,1852033,3601101,2730849,,15044,141843,864891.0,,56066.0,1389345,8536903,,,2492,,4723740.0,714072,,,,,,,26526383.0,,0.0,,93543,,2487,,800000,55528,72653,1122639,23795534,3573.0,357300
2014-08-13,2,2014,1000000.0,1752314,397860,8217777,,,3201254,,,1041264,1056370,3894791,1008265,8265,13900,,,,,224995,71934,90321,,29476,,,2569,,,,,,60821,6707,1308014,,2393,,0.0,157408,1199287,75,,683176,130583,92240.0,,1998242,15802009,8536903,2014年06月30日,6090472,,,,21430033,21364318,94000,1985462,4657745,3949378,,15020,141843,757335.0,,63037.0,1188409,8543500,,,2569,,5778852.0,710643,,,,,,,27208885.0,,,,93543,,2487,,800000,54138,65715,1121107,23259507,6597.0,659700
2014-11-12,3,2014,1000000.0,1760510,384347,8656084,,,2977231,,,201094,33926,2993854,1002539,2539,13036,,,,,225818,71934,74165,,12180,,,2646,,,,,,62841,6855,1177948,,2393,,0.0,114536,1399875,1210,,682313,130090,91043.0,,1983587,15363304,8543500,2014年09月30日,6528779,,,,20947672,20891473,94000,1985462,3409559,2918609,,14998,141843,881296.0,,73487.0,616818,8545383,,,2646,,4531566.0,698545,,,,,,,25479238.0,,,,93543,,2487,,800000,55130,56199,1122007,22560629,1883.0,188300
2015-03-31,4,2014,1000000.0,1490087,387810,8790061,,,2922687,,,174178,16443,3584137,1019720,19720,27315,,,,,237616,71934,78767,,14490,,,2581,,,,,,73354,7786,1007166,,2393,,0.0,101575,1199563,673,,686115,178472,92328.0,,2260882,16017457,8545383,2014年12月31日,6662756,,,,21683868,21632229,94000,1985462,3101234,2746474,,14975,141843,830963.0,,72292.0,533233,8545383,,,2581,,4236525.0,715041,,,,,,,25920393.0,,,,95094,,1254,,800000,56491,51639,1135291,23173919,0.0,0
2015-05-13,1,2015,500000.0,1468769,425949,9083490,,,2817110,,,159681,13701,3124504,525648,25648,17184,,,,,234624,71934,80038,,16832,,,2673,,,,,,71258,7648,989931,,2393,,,63317,899663,246,,670625,161234,,,2241321,15934735,8545383,2015年03月31日,6956185,78605.0,,,21517538,21458396,94000,1985462,2560025,2725803,91432.0,14975,141843,,873128.0,,832865,8545383,,25709954.0,2673,4192416.0,,707412,,,,,,25709954.0,,,,,95094,,1254,,1300000,55558,59142,1632391,22984151,0.0,0
2015-08-07,2,2015,500000.0,1508708,424161,8289276,,,3213805,,,1367188,1201985,4067443,522694,22694,25086,,,,,235652,71934,74412,,9897,,,2765,,,,,,71581,10134,1498011,,2393,341815.0,0.0,299591,899628,1480,,658461,208643,,,2220510,15982393,8545383,2015年06月30日,5990085,22543.0,,,21995567,21898876,94000,2157348,4618043,4406903,92137.0,14975,141843,,814717.0,,1504919,8887198,,27847121.0,2765,5851554.0,,657352,,,,,,27847121.0,,,,,95094,,1254,,900000,54381,96691,1233511,23440218,0.0,0
