date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,561800,5200042,56345,2220365,40850,1012403,,743022,57078,,110892,110892.0,619634,57834,98919,33749,65170,94021,75512,241119,24127,640261,,276562,826974,,,,2682,,269381,1877753,,,3118,18509.0,378918,1178741,2013年03月31日,1590451,,,6701698,6112121,0,456361,2667694,5063090,,29005,173553.0,,2241758.0,37910.0,149125,1179140,,17014,,4373719.0,2601724,,11075417.0,1952,0.0,218464,106898,0.0,1116978,64097,589577,1706025,6012327,103353,152895,399.0,39900
2013-08-13,2,2013,801000,5277472,56345,1918698,34700,1405985,,784882,33271,,177592,177592.0,847053,46053,210308,30718,179590,108836,90342,194077,23280,691268,,278037,706372,,,,1262,347263.0,273840,1774117,,,8530,18494.0,367628,1179381,2013年06月30日,1253380,,,6484547,5882433,0,491765,3157220,5108197,,34361,173553.0,,2231625.0,29393.0,150000,1179381,,15874,,4665341.0,2606762,,11149888.0,1281,0.0,241248,111808,0.0,880000,64891,602114,1508121,6041691,124378,105906,,0
2013-11-11,3,2013,235887,5116763,56345,1947748,33700,1000268,16394.0,757829,36986,6903.0,152159,152159.0,278077,42190,252873,46377,206496,79254,60770,224107,22953,629391,,275742,762490,40805.0,40805.0,,1559,,242439,1935045,122986.0,122986.0,0,18484.0,379641,1183384,2013年09月30日,1282430,,,6512402,5906091,0,491765,2269824,4771500,,32631,173553.0,,1665090.0,4995.0,147850,1183384,,15438,,4173001.0,2622800,,10685403.0,1948,1613.0,226810,104416,0.0,1321371,63763,606311,1903177,5913903,86913,137391,0.0,0
2014-03-13,4,2013,274025,5074615,56345,2162658,28700,1052629,19185.0,879365,32532,7145.0,214758,214758.0,329969,55944,229205,23598,205607,55510,34236,163011,8099,588241,,277213,862252,,46614.0,,1635,,173264,2214269,185625.0,185625.0,2708,21274.0,358082,1184844,2013年12月31日,1497340,,,6824760,6189478,0,491765,2518296,5387901,,36644,173553.0,,2014481.0,31324.0,149025,1184844,,18464,,4333945.0,2627218,,11158705.0,7199,0.0,247647,82107,0.0,1235279,64282,635282,1815649,5770804,84995,90630,,0
2014-05-08,1,2014,310683,5051202,56345,2164751,23083,839158,33407.0,719496,25837,15523.0,303537,303537.0,352807,42124,243259,35419,207840,41139,19814,187404,7665,548043,0.0,278692,661035,39600.0,39600.0,,1123,,119662,1625916,158517.0,158517.0,18140,21325.0,443447,1187184,2014年03月31日,1499433,,,6935725,6289966,0,491765,2130283,4967536,,33881,173553.0,2207618.0,,34855.0,152350,1187463,,13283,,3898632.0,2634215,,10834357.0,2665,,274582,94542,,1173936,64594,645759,1768349,5866821,101600,115145,279.0,27900
2014-08-05,2,2014,237500,4588814,56345,1899632,22122,1318487,30934.0,824792,22551,58973.0,190128,190128.0,317738,80238,353746,42606,311140,29636,8265,157203,11246,659021,0.0,280178,896368,,3436.0,,904,379182.0,114513,2251492,,1123.0,5817,21371.0,697688,1189734,2014年06月30日,1192604,,,6312421,5921334,0,533475,2610706,5198930,,47181,173553.0,1692166.0,,25051.0,0,1189734,,16236,,4528434.0,2641840,,10840855.0,1552,116.0,273786,94694,,1334128,62781,391087,1917728,5641925,131803,83176,,0
2014-11-07,3,2014,352608,4482320,56345,2051161,19097,970855,4409.0,910291,78305,134490.0,290467,290467.0,425852,73244,339332,23829,315503,28764,7348,301429,27438,844871,0.0,281776,1035722,2727.0,2727.0,,1474,,60564,2599028,377.0,377.0,22821,21416.0,908748,1190834,2014年09月30日,1344133,,,6585430,6177869,0,533475,2623198,5642720,,52782,173553.0,1506548.0,,10390.0,152100,1191113,,18051,,4950120.0,2645128,,11535550.0,1618,0.0,370173,91206,,1646209,63419,407561,2326922,5892830,97851,210572,279.0,110000
2015-03-06,4,2014,640863,4711297,56345,2504516,16534,1279927,5955.0,1159859,21006,88352.0,542642,542642.0,705496,64633,252633,13005,239628,118945,100178,416108,10834,914471,0.0,283297,1016046,10604.0,10604.0,,1424,,120068,3344451,10367.0,10367.0,7438,18767.0,924399,1192244,2014年12月31日,1797488,,,7327405,6888746,0,533475,3108161,6389240,,51988,173553.0,1622331.0,,67988.0,0,1192244,,20386,,5302633.0,2649344,,12630038.0,335,,515189,80661,,1277041,65788,438659,2194472,6240798,111657,339486,,0
2015-04-28,1,2015,472568,4582042,56345,2721912,16353,1084184,3858.0,997286,29435,58852.0,459095,459095.0,541757,69189,271749,15114,256635,118664,99914,341731,10644,851797,,43525,810801,4864.0,4864.0,,1018,,86898,2843242,33882.0,33882.0,74214,,916887,1192244,2015年03月31日,2014884,158754.0,,7709360,7265513,0,533475,3196687,6670142,18750.0,50582,173553.0,,2340165.0,,575600,1243867,12710811.0,15851,5001451.0,,2840639,12710811.0,,0,55.0,457617,93082,,1184958,64266,443847,1804764,6040669,150398,266821,51623.0,5002871
2015-08-10,2,2015,828307,4442605,56345,2343226,13357,1497146,7071.0,907526,2773,43281.0,388627,,878422,50115,232217,14504,217713,117641,98913,365436,10540,907757,,722603,954076,15933.0,15933.0,1182.0,1182,517450.0,72170,2544333,24862.0,24862.0,2694,,922340,1242273,2015年06月30日,1737871,142194.0,,7349687,6896722,0,605355,3777522,7419933,18728.0,63968,0.0,,3485701.0,,254300,1245927,13352792.0,18195,6003105.0,,2918942,13352792.0,,9003,0.0,474922,82165,,910417,63115,452965,2225583,5932859,162958,291781,3654.0,344479
