date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,350517,150000,-304914,,368458,134927,26247,61610,22868,834812,52993,781819,9062,206936,1948,67125,45245,12818,209409,0.0,,363749,218.0,181546,14639,4962,204988.0,62962,890947,2013年03月31日,-484304,,2420197,2420197,0,178524.0,1338481,2624467,,241395,866.0,,1350159.0,0.0,2693.0,812292.0,890947,,4427,,1553912.0,1772554,,3974109.0,,8495,109185,0,215431,1349642,0
2013-08-13,2,2013,343399,150000,-132790,,392474,145737,26597,54742,19802,1295501,39598,1255903,8812,198209,3646,87040,66635,11593,223330,0.0,,103932,214.0,145070,11492,1602,194563.0,56861,890947,2013年06月30日,-132790,,2278826,2278826,0,0.0,1666761,2784373,,244985,0.0,,1079203.0,0.0,1578.0,1392790.0,890947,,4286,,1873467.0,1465927,,4152293.0,,8497,93161,0,206706,1367920,0
2013-11-12,3,2013,335141,150000,-226860,,409713,162496,39015,50658,27405,1535628,48079,1487549,8812,184682,3887,19091,1129,9150,256303,0.0,,204948,326.0,236967,8932,1626,180795.0,51305,890947,2013年09月30日,-226860,,2180672,2180672,0,0.0,1912437,2923259,,310112,0.0,,843034.0,0.0,1754.0,1512314.0,890947,,4948,,2105610.0,1465927,,4286282.0,,8491,87661,0,193173,1363023,0
2014-03-25,4,2013,327427,150000,-551334,,280116,155807,32363,54739,58023,1150515,66011,1084504,8872,173490,2936,18189,1473,7844,514413,0.0,,380106,704.0,103950,5347,1171,170554.0,40586,890947,2013年12月31日,-551334,,1860279,1860279,0,0.0,1473616,2506657,,127389,0.0,,695846.0,0.0,3052.0,873954.0,890947,,5022,,1659543.0,1465927,,3519822.0,,12437,69458,0,185927,1013165,0
2014-05-13,1,2014,322346,150000,-566877,,287742,86526,35282,55510,27363,2283784,24554,2259230,7945,174030,3266,17380,2205,7230,199613,0.0,0.0,342450,631.0,163228,32765,2064,170764.0,37256,890947,2014年03月31日,-566877,,1845507,1845507,0,0.0,2060160,3114779,,101073,0.0,394681.0,,,3362.0,1599559.0,890947,,3631,,2247905.0,1465927,,4093412.0,,13715,62836,0,187745,978633,0
2014-08-12,2,2014,317826,150000,-93273,,284088,82823,32170,46948,26305,2389409,33459,2355950,7945,174149,2830,21931,7401,6585,284394,,0.0,161136,781.0,125904,16992,959,171319.0,32330,890947,2014年06月30日,-93273,,1759215,1759215,0,,2167776,3146676,,97014,,293992.0,,,2856.0,1893132.0,890947,,3599,,2353485.0,914593,,4112700.0,,11560,62835,0,185709,966024,0
2014-11-07,3,2014,314025,155400,-111514,,288042,87126,38481,56100,18547,2386421,22821,2363600,7945,175498,3929,17951,3179,6827,219410,,0.0,81378,640.0,109919,24619,2937,171569.0,29303,890947,2014年09月30日,-111514,,1750126,1750126,0,,2067902,3046522,,93305,,262732.0,,,2003.0,1876377.0,890947,,3834,,2257257.0,914593,,4007383.0,,13857,62835,0,189355,960861,0
2015-03-24,4,2014,305445,155400,-279270,,322898,172698,27455,70997,19296,1826988,22876,1804112,8017,156647,8641,36012,22086,5909,333483,,0.0,196256,0.0,76695,26670,871,148006.0,28763,890947,2014年12月31日,-279270,,1597267,1597267,0,,1758553,2588230,,81249,,292402.0,,,2640.0,1366675.0,890947,,3628,,1933023.0,914593,,3530290.0,1026.0,17823,12293,0,174470,942060,0
2015-05-11,1,2015,302462,176400,-307361,,291385,111004,13116,62785,58389,684981,19810,665171,8041,151045,8520,15828,2161,5626,159508,,0.0,87484,182.0,93351,46440,1519,,25814,890947,2015年03月31日,-307361,2883.0,1560964,1560964,0,,624809,1449474,142525.0,79618,,,447676.0,,,364958.0,890947,2353274.0,2792,792310.0,,914593,2353274.0,,0.0,16456,12293,0,167501,903800,0
2015-08-11,2,2015,300202,176400,-87061,,301249,85473,34860,65166,16007,367861,22026,345835,8041,150642,8121,17722,4071,5610,99221,,0.0,101819,0.0,68963,94255,475,,24874,890947,2015年06月30日,-87061,3401.0,1504375,1504375,0,,398451,1166347,142521.0,69650,,,497311.0,,,192731.0,890947,2068737.0,2421,564362.0,,635323,2068737.0,,0.0,15269,12293,0,165911,902390,0
2015-11-10,3,2015,301293,172860,-114424,,344536,81819,109635,64032,72545,132556,23112,109444,8041,149792,6723,15079,2217,4821,82677,,0.0,123387,319.0,73705,37171,1255,,24492,890947,2015年09月30日,-114424,3605.0,1475878,1475878,0,,279784,992488,143069.0,65458,,,551884.0,,,0.0,890947,1922206.0,1714,446328.0,,635323,1922206.0,,0.0,16752,6000,0,166544,929718,0
