date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應收帳款淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,447374,7360856,12930245,2484259,114298,-91483,2318504,1871130,833204,146368,21365.0,534409,496653,,,37756,2546909,,,,,2742835,13570296,19198191,125003.0,4514828,2013年03月31日,9688447,,21892753,21892753,0,1965273,27819224,41465564,,118859,,1037149.0,3864728.0,,1276525,,17735060.0,1381467.0,8045440,4514828,,,31653580.0,4539163,,53546333.0,19258,274092,753,0,201917,671061,,3834356,12080769,0
2013-08-08,2,2013,450001,7278391,9928665,6010922,130645,359472,2261869,1811868,959996,142406,16451.0,556623,525043,359472.0,,31580,1978709,0.0,135445.0,,,2776764,9786780,13480617,125955.0,4514828,2013年06月30日,6142828,,19477573,19477573,0,2509312,29753326,44359655,,127780,,5815447.0,95913.0,,1276525,,21983007.0,1793479.0,9891320,4650273,,,33149197.0,4539163,,52626770.0,8956,26700,11234,0,208408,450001,0.0,3395871,8267115,0
2013-10-24,3,2013,443551,7050262,10979727,1988596,141404,140304,1936484,1492933,528189,143939,17033.0,566354,540370,,,25984,2752300,,,,,2754658,10144161,11505917,126906.0,4650273,2013年09月30日,7193890,,20309467,20309467,0,2509312,21351429,37659243,,102497,,1473270.0,43086.0,,1276525,,21251042.0,1869266.0,5408626,4650273,,,25315138.0,4539163,,45624605.0,4296,148441,7121,0,203163,916671,,3963709,7965362,0
2014-03-20,4,2013,3241569,7088880,12595680,2637094,100666,542670,4335441,1093872,567154,145431,,497863,470103,,15611.0,27760,3491579,,,,,0,13534898,14931561,129820.0,4650273,2013年12月31日,8809843,,22327786,22327786,0,2509312,28460224,44673364,,111247,,64941.0,36673.0,,1276525,,25512189.0,2187773.0,5599666,4650273,,,30203856.0,4539163,,52531642.0,165352,0,5274,182466,123615,1415735,,1743632,7858278,0
2014-04-25,1,2014,3387215,6882653,13380932,2677786,84903,871753,5031640,1644425,662996,152775,,517102,489327,,21769.0,27775,2008342,,,,2804765.0,2804765,8769660,10434486,131006.0,4650273,2014年03月31日,9595095,,23597216,23597216,0,2509312,21905861,43316439,,102499,,61470.0,31045.0,,1276525,30063903.0,,2318502.0,2711166,4650273,,,27410962.0,4694258,,51008178.0,397107,16200,339,41957,158440,2489404,,5505101,7691739,0
2014-07-31,2,2014,552504,6527532,10767682,6050694,127187,352334,2612106,2059602,634082,150512,,523603,497598,,18319.0,26005,1888547,,0.0,0.0,,5651162,7522560,9036258,132193.0,4650273,2014年06月30日,6510790,,20496314,20496314,0,2980367,23835129,46587183,,101705,,1986836.0,31310.0,,1276525,32912511.0,,1986368.0,5652016,4650273,,,33398260.0,4726025,,53894574.0,11385,353365,1762,3476,123241,3404616,,9563131,7307391,0
2014-11-06,3,2014,669236,6431493,11679433,2773307,145043,814807,1874638,1205402,697180,152470,,928334,900857,,19090.0,27477,2899220,,,0.0,,5732537,10352787,10579659,133380.0,4650273,2014年09月30日,7422541,,21870538,21870538,0,2980367,20418170,44194748,,89570,,2023390.0,30498.0,,1276525,27839761.0,,1924103.0,3493231,4650273,,,29933160.0,4726025,,51803698.0,104,295177,10495,3830,129055,3330976,,9514990,7608950,0
2015-03-19,4,2014,458924,7114162,13055792,3290792,109931,2017664,1741813,1282889,550263,167431,,886460,857829,,21683.0,28631,2574590,,,0.0,,5879692,10345412,12300356,145748.0,4650273,2014年12月31日,8798900,,24449754,24449754,0,2980367,21688114,46939518,,96792,,2315732.0,28714.0,,1276525,29080031.0,,2270839.0,4014290,4650273,,,30878361.0,4726025,,55328115.0,24968,32942,8615,8489,262469,3101693,,9190247,8388597,0
2015-04-29,1,2015,453851,6807722,13451397,2234016,130371,1608119,1960871,1507020,567495,164745,,1784084,1756210,,17872.0,27874,2390180,,,0.0,5875544.0,5875544,6911232,7013591,,4650273,2015年03月31日,9194505,2086393.0,24435814,24435814,0,2980367,18532165,42979053,146873.0,84589,2649562.0,,,29207.0,1276525,,30215868.0,,5339653,4650273,51992310.0,27556496.0,,4726025,51992310.0,,0,17700,11986,8489,307655,2957853,,9024331,9013257,0
2015-07-30,2,2015,216022,7178178,10908593,4978018,97734,1352917,2177712,1961690,738700,167625,,2275924,2246363,,19627.0,29561,2718601,,0.0,0.0,,5862350,7304475,6967073,,4650273,2015年06月30日,6279053,2088821.0,21637808,21637808,0,3353015,22197258,42526809,147998.0,70913,4131289.0,,,422566.0,1276525,,27869154.0,,5647932,4650273,52814582.0,31176774.0,,4726025,52814582.0,,300,101914,4258,8489,340192,2839138,,8979516,10287773,0
