date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,工程進度請款金額,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,19917934,111042032,,,616490,45521147,12911598.0,15066125,4775276,9369864,,,,1820536,13214330,23479332,589803,7731607,5228182,2503425,898847,595198,46498280,2184605,2184605,317996.0,10148150,,,3500000.0,8856139,205583.0,,,4129331,,,,9489955,236032,8919088,303649.0,6085160,,,7460075,36921759,2013年03月31日,,,145365698,107872920,0,,65913019,77246355,,,19111565,,,18994984.0,-15264.0,1416789.0,18455981,36921759,,,,,,127469535.0,12215684,,272835233.0,,,271687,9353869,,,47803800,36005176,,6561730,37492778,61556516,195588878,365085.0,4568191,1381684.0,,2971595,0
2013-08-13,2,2013,18951638,110739317,,,579264,41075425,,13111745,4606311,15731120,,8618812.0,,1221314,11577183,22337697,492328,7113340,4838777,2274563,1771698,1469801,47103259,2397588,2397588,,10076004,,,3500000.0,9747833,205078.0,,,3848811,,,7112308.0,8966391,291091,10870904,301897.0,6078397,,,7912439,36921759,2013年06月30日,17295884.0,,139207168,101767224,0,10726105.0,68971246,77139390,,,19486078,13053436.0,,20171167.0,,913601.0,16187106,36921759,,,,,,134437287.0,12192857,,273644455.0,,,275130,9458082,,,50736261,36180937,,6727778,37439944,65466041,196505065,560780.0,5042304,1236176.0,,2893731,0
2013-11-12,3,2013,20815522,109851867,,,579099,44506049,,14829149,4507469,8459764,,8459764.0,3311369.0,980262,13008590,24963763,689646,2042249,1136654,905595,1596705,1296381,46447372,2515365,2515365,,9662029,,,3500000.0,8228020,146676.0,,,5653573,,,,8254897,308257,14562063,300324.0,6071537,,,8067842,36921759,2013年09月30日,20726453.0,,145196356,106629255,0,10726105.0,73733391,77212043,,,19255712,13053491.0,,19104057.0,,1180194.0,25101401,36921759,,,,,,126796585.0,12192857,,271992941.0,,,219373,9569927,,,38396562,36165691,,6619613,38567101,53063194,194780898,18886.0,3938338,1127817.0,,3458595,0
2014-03-27,4,2013,23658417,109369671,,,579192,47265512,,19165866,4551126,9793971,,9793971.0,1361862.0,421572,16697377,26652090,363250,1548602,674893,873709,1641695,1338118,46823024,3987111,3987111,,9286227,,,0.0,8245257,183052.0,,,5102283,,,,8681572,326462,16589337,303577.0,6045488,,,8028252,36921759,2013年12月31日,23488214.0,,153618577,113077945,0,10726105.0,70398494,87788055,,,19495931,13051193.0,,25711065.0,,1899948.0,18521893,36921759,,,,,,129062162.0,12193297,,282680739.0,,,215182,9679623,,,47342350,35657935,35657935.0,6639099,40540632,58663668,194892684,0.0,4480308,538879.0,,2630423,0
2014-05-09,1,2014,22055362,108111081,,,579451,49098651,,21266329,4818344,8109776,,8109776.0,1391900.0,811663,18879413,25120235,173723,956270,736539,219731,1623847,1327627,46738273,3771005,3771005,,10658127,,0.0,0.0,9623722,150645.0,,,5247145,,,,8049505,284858,14400651,296220.0,6039485,,,7914971,36921759,2014年03月31日,25321353.0,,158255100,117094940,0,10726105.0,74388787,92121458,,,19439255,13051193.0,29329415.0,,,1702730.0,24434534,36921759,,,,,,127507218.0,12195117,,285762318.0,,,176175,9770177,,,41724407,35574298,,6869517,41160160,53118431,193640860,0.0,4796565,523453.0,,2891150,0
2014-08-13,2,2014,25215700,106252824,,,557352,43802392,,17961287,5006364,18364708,,9849995.0,1307374.0,740377,14928773,28272656,173199,691978,580127,111851,603956,315449,46600886,3833878,3833878,,10115835,,0.0,0.0,8629940,182335.0,,,5341062,,,8514713.0,8671346,295172,15920604,288507.0,6032636,,,7845242,36921759,2014年06月30日,,,147496365,107880371,0,,81190613,89163129,,,19155139,,29177252.0,,,1468259.0,18931653,36921759,,,,,,133117207.0,12227447,,280613572.0,,,175677,9802019,,,41520619,35385545,,6702116,39615994,51926594,191450443,0.0,4106227,679347.0,,2883757,0
2014-11-13,3,2014,22308419,106972592,,,557353,47018226,,17125047,5076401,8424316,,8424316.0,1263365.0,487196,15333991,26003811,219109,733709,621545,112164,1651592,1367130,46863692,3038491,3038491,,10197101,,0.0,0.0,8490289,178463.0,,,6924607,,,,9278544,317310,17602181,284462.0,6026963,,,8331553,36921759,2014年09月30日,,,153411035,111500190,0,,78920574,89472928,,,19321443,,27917164.0,,,1443139.0,27455949,36921759,,,,,,129211890.0,12226214,,282622925.0,,,176032,9889494,,,38750230,35139453,,6812511,41910845,50291316,193149997,,4375279,741334.0,1131903.0,3476283,0
2015-03-27,4,2014,18347393,108445563,0.0,0.0,546028,49530227,,19615395,5022536,8406652,0.0,,960774.0,3151864,19281356,21385556,126626,1339313,546612,792701,1557981,1263674,48888621,3651769,3651769,,10470879,0.0,0.0,0.0,7056837,210945.0,0.0,0.0,6370508,0.0,0.0,,8376953,319690,17846977,294307.0,6021296,0.0,0.0,7671335,36921759,2014年12月31日,,,162017681,117958870,0,,68632044,96605816,,,19542637,,30514042.0,,,2226142.0,22975404,36921759,0.0,,0.0,0.0,,130726151.0,12225528,,292743832.0,0.0,0.0,176865,10078645,0.0,0.0,50457481,35061777,,6980022,44058811,62094107,196138016,2120380.0,3833064,,1074673.0,2911537,0
2015-05-13,1,2015,17427542,110651850,,,545892,50339005,,19582139,5101127,8261256,,8261256.0,714044.0,2446284,18821699,20316362,89001,2186810,650265,1536545,1479314,1193750,47339308,3547098,3547098,,9976103,,,,6739703,187878.0,,,6124655,,,,7211579,675443,13871378,,6014636,,,7779030,36921759,2015年03月31日,,1597080.0,162219457,118307697,0,,69579858,92471096,285564.0,1076713.0,19879896,,,31406216.0,,,26352924,36921759,,289782835.0,,,127563378.0,,12225234,289782835.0,,,,146388,10173593,,,46330613,34961297,,7059109,43911760,57983520,197311739,695091.0,4254712,,,2799819,0
2015-08-12,2,2015,16650117,116103732,,,821821,43388616,,18260651,5043058,20038258,,10789595.0,794571.0,1942974,17090614,19766007,162004,3923284,539613,3383671,1388031,1112496,46966168,3383484,3383484,,9795623,,,,8643687,166974.0,,,5643553,,,9248663.0,7971963,856627,12528747,,6007919,,,7565075,36921759,2015年06月30日,,1060679.0,150965857,109626077,0,,78918446,95602989,275535.0,1078753.0,21768685,,,35848634.0,,,23599288,36921759,,299879447.0,,,148913590.0,,12225088,299879447.0,,,,145919,10670566,,,57936547,34742076,,7761855,41339780,69995144,204276458,0.0,3533996,,,2953886,0
