date,season,year,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他短期借款,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,分期償付之借款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款合計,應付票據合計,應收帳款淨額,應收票據,應收票據淨額,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行透支,銀行長期借款,長期借款合計,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,474008,1161158,,137996,13456,-263,18434,18434,23138,21224.0,,,3388,,143370,,5422.0,,-263.0,3388,137948,140355,42368,,,,,133187,0.0,185018,,1891,291850,935434.0,935434.0,2069453,2013年03月31日,459017,,,3800463,3800463,2451000,693020,292253,2169492,21255,,,,9121,,1568412.0,0.0,804.0,0.0,2069453,,1709,,,296563.0,612483,,4097026.0,927.0,236418,922,61617,,,,,31.0,31.0,0,4310,1927534,0
2013-08-08,2,2013,465056,1023491,,237494,29229,1321,9888,9888,13964,19727.0,,,3465,,138089,,,,,3465,138089,152387,42368,,,,,140838,150.0,194501,,527,290570,919714.0,919714.0,2069453,2013年06月30日,316914,,,3664380,3664380,2451000,693187,393577,2171823,19739,,,,13390,,1633434.0,2955.0,1185.0,0.0,2069453,,1709,,,398301.0,612483,,4062681.0,543.0,146596,1259,57690,,,,,12.0,12.0,0,4724,1890858,0
2013-11-07,3,2013,454800,1005916,,167280,13948,-891,4157,4157,11600,18129.0,,,3454,,117485,,,,,3454,117485,119319,42368,,,,,104124,0.0,227940,,378,289291,1066096.0,1066096.0,2069453,2013年09月30日,299339,,,3644593,3644593,2451000,693187,278066,1928093,18139,,,20000.0,13390,,1432930.0,796.0,1536.0,0.0,2069453,,1709,,,282274.0,612483,,3926867.0,0.0,100442,754,52963,,,,,10.0,10.0,0,4208,1998774,0
2014-03-26,4,2013,437368,937597,,209060,11561,-507,4155,4155,17032,,,,3432,,117467,,,,,3432,117467,102810,73334,,,,,114715,0.0,203066,,307,288241,,1050695.0,2069453,2013年12月31日,231020,,,3545692,3545692,4885000,693187,329997,1915712,16649,,,20000.0,13390,,1320257.0,358.0,1937.0,0.0,2069453,,1709,,,334625.0,612483,,3880317.0,0.0,238742,1196,54185,,,,,,,0,4628,1964605,0
2014-05-06,1,2014,427483,915344,,186235,17363,3938,3119,3119,22598,,,,3050,,117142,,,,,3050,117142,90960,145688,0.0,,,,105592,,169292,,118,287306,1054800.0,1054800.0,2069453,2014年03月31日,208767,,,3455530,3455530,10231000,693187,296655,1801341,15225,,,0.0,13390,1302446.0,,0.0,2308.0,,2069453,,1709,,,301510.0,612483,,3757040.0,0.0,196256,1805,53743,,,,,,,0,4855,1955699,0
2014-08-13,2,2014,422995,881420,,211552,20032,535,5239,5239,29325,,,,3842,,114621,,,,,3842,114621,108630,42368,0.0,,,,117468,0.0,136490,,529,286372,1058556.0,1058556.0,1991653,2014年06月30日,187725,,,3401361,3401361,2451000,693187,335968,1790207,13601,,,0.0,508,1434881.0,,0.0,4706.0,,1991653,,1709,,,340313.0,570121,,3741674.0,0.0,55614,503,55322,,,,,,,0,4345,1951467,0
2014-11-14,3,2014,413726,839894,,190245,9014,3991,5672,5672,21065,12156.0,,,3028,,113866,,,,,3028,113866,98464,42368,0.0,,,,87638,,107490,,344,285437,1067254.0,1067254.0,1991653,2014年09月30日,146199,,,3364675,3364675,2451000,693187,285264,1704450,12156,,,0.0,508,1104399.0,,0.0,5476.0,,1991653,,1709,,,288734.0,571505,,3653409.0,,358198,442,56520,,,,,,,0,3470,1948959,0
2015-03-10,4,2014,409198,786459,0.0,187019,5149,10083,6887,6887,15554,,,,3213,,113785,,,,,3213,113785,89991,42368,0.0,,,,79020,0.0,98086,,882,284502,,1058117.0,1991653,2014年12月31日,92764,,,3316228,3316228,2451000,693187,274635,1662771,10805,,,0.0,508,1163113.0,,0.0,5269.0,0.0,1991653,,1709,,,278908.0,570401,,3595136.0,0.0,284727,1060,55958,,,,,,,0,4273,1932365,0
2015-05-05,1,2015,1802252,702854,0.0,309083,13455,16531,10641,10641,28730,,0.0,0.0,6800,4998.0,126286,5040.0,5040.0,0.0,,1802,121246,341306,42368,0.0,0.0,0.0,0.0,254551,0.0,217386,1903.0,1903,356523,,,1991653,2015年03月31日,9159,7377.0,17760.0,4669476,3236338,2451000,693187,584578,2876991,14971,0.0,0.0,,508,,2008442.0,,,0.0,1991653,5273394.0,2877,12464.0,603918.0,,567668,5273394.0,,49.0,248009,76,96371,0.0,0.0,0.0,0.0,,,1433138,19340,2396403,0
2015-08-11,2,2015,1783128,633198,0.0,370918,10159,13461,8296,8296,27520,,0.0,0.0,8903,4812.0,125058,3310.0,3310.0,0.0,,4091,121748,328442,42368,0.0,0.0,0.0,0.0,234639,0.0,222159,3454.0,3454,355377,,,1991653,2015年06月30日,-59989,248.0,19462.0,4482101,3156845,2451000,693187,618020,2750013,11870,0.0,0.0,,0,,1899916.0,,,0.0,1991653,5122500.0,3018,13402.0,640399.0,,560901,5122500.0,,901.0,238901,74,97054,0.0,0.0,0.0,0.0,,,1325256,22379,2372487,0
