date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-流動,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項－關係人淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,12764994,160292,3973895,641,5430,,,,91182,,431818,1839298,1191488,955416,493183,647810.0,462233,603162,212888,212888,1022706,410810,12352935,0.0,,,,1256085,22809.0,378957,3273177,3267747,35851.0,212147,,836655,950644,3783700,2013年03月31日,,16688869,9791002,0,10901970,19863783,,,626613,,2119386.0,130090.0,7274731,3783700,,,,19559189.0,1601589,,36248058.0,222279,490860,22371,7953471,8734.0,6897867,8657219,16384275,606199,,,0
2013-08-14,2,2013,,13209835,151304,3765673,605,5454,,1140157.0,,111804,,530063,1829781,1829781,1299592,624039,,675553,603854,210971,210971,1070394,457775,13310471,,,,,1651190,16693.0,621411,3833675,3828221,6183.0,176784,,834850,937696,3859374,2013年06月30日,,16501127,9769928,0,13636556,21538923,,,622830,,1769360.0,154805.0,8222519,3859374,,,,21887257.0,1614818,,38388384.0,160787,490879,22552,7548851,8765.0,6731199,8250701,16849461,875116,,,0
2013-11-14,3,2013,1040269.0,11234488,145496,3981904,600,5430,,949718.0,,87460,,476899,2430384,1390115,1333757,643649,,690108,604275,264979,264979,1113574,503534,12840308,,2058627.0,,,1482898,16015.0,334829,3913460,3908030,8861.0,125077,,854947,848826,3859374,2013年09月30日,,16614899,9938979,0,14401872,23365129,,,604819,,1895756.0,171094.0,6691722,3859374,2325212.0,,,21574645.0,1620802,,38189544.0,265398,490832,22265,6416962,5765.0,6675920,7172773,14824415,841255,,,0
2014-03-31,4,2013,274518.0,11374484,144001,6491825,659,5458,,1024647.0,1639.0,96383,,548996,1875160,301348,2153161,653265,,1499896,687575,268522,101438,1199169,511594,13463178,,,,,1618031,,345174,3973635,3968177,,149637,167084.0,853096,881631,3859374,2013年12月31日,,19496973,12454819,0,11856316,22610701,,,602029,,1686602.0,162451.0,6829214,3859374,,,,18194835.0,1554624,,37691808.0,190092,678435,26697,5391562,0.0,7042154,6338519,15081107,902812,1299294.0,1299294.0,0
2014-05-14,1,2014,322472.0,11399708,144024,6575323,622,5466,,892067.0,773.0,121855,4549.0,553778,2205946,386923,2331588,674840,,1656748,686870,264334,98097,1173049,486179,13591006,,,,0.0,1383562,14287.0,328416,3948817,3943351,911.0,239068,166237.0,851244,955826,3859374,2014年03月31日,,19666143,12541874,0,13068941,23857452,,,605949,2445378.0,,166187.0,8077703,3859374,,,,19348185.0,1553399,,39014328.0,161622,678505,27076,5336405,0.0,7124269,6279244,15156876,1017502,1496551.0,1496551.0,0
2014-08-13,2,2014,795829.0,11240181,141829,5314938,681,5430,,1916663.0,865.0,81930,4934.0,449846,2940004,501371,2382187,659688,,1722499,687037,286264,121510,1166687,479650,14454103,,,77187.0,0.0,1423151,12181.0,342431,3979937,3974507,2804.0,232660,164754.0,849392,922563,3859374,2014年06月30日,,18154428,11254358,0,15419251,24357929,,,586294,2033282.0,,325971.0,8457985,3936561,,,,21137318.0,1553013,,39291746.0,132406,678441,26871,4753362,0.0,6900070,5718067,14933817,1058435,1642804.0,1642804.0,0
2014-11-11,3,2014,738022.0,11302024,129423,5418044,639,5474,,937733.0,787.0,99734,8920.0,591579,3129403,365185,2632529,647387,,1985142,687064,338803,177821,1169050,481986,14639644,,0.0,,0.0,1364438,13240.0,343436,4305995,4300521,1793.0,274597,160982.0,847541,920307,3936561,2014年09月30日,,18567805,11500522,0,15350679,24956264,,,587871,1971284.0,,312073.0,9249569,3936561,0.0,,,21366199.0,1554338,,39934004.0,124528,678500,21524,4998217,0.0,7067283,6015520,14977740,902075,2026196.0,2026196.0,0
2015-03-30,4,2014,2219323.0,11459910,129467,5766220,639,5541,,1017104.0,1554.0,64996,6275.0,798721,4793038,405791,1824152,370743,,1453409,683858,447022,283796,1176732,492874,14112174,,0.0,,0.0,1807970,16570.0,408238,4950608,4945067,2625.0,269584,163226.0,845690,998915,3936561,2014年12月31日,,19345420,12056604,0,15085445,23933692,,,603917,2121818.0,,312920.0,6728051,3936561,0.0,,,19825410.0,1555102,,39170830.0,121632,693210,22507,3599733,0.0,7288816,4739965,15237138,464730,2167924.0,2167924.0,0
2015-05-14,1,2015,1803473.0,11299891,139454,5994905,619,5522,,865385.0,1103.0,57136,8588.0,742295,3852451,457913,1973092,398536,,1574556,682913,442418,280703,1194377,511464,13335268,,,,0.0,1547221,10571.0,366204,4438063,4432541,5739.0,250023,,843837,969289,3936561,2015年03月31日,311088.0,19607950,12230306,0,14291534,22784743,,161715.0,588708,,2194733.0,,7337511,3936561,,37842507.0,18234557.0,,1556545,37842507.0,,117288,692359,22208,2808246,,7377644,3943023,15057764,409716,1591065.0,1591065.0,0
2015-08-14,2,2015,1809233.0,11148274,167239,5547788,550,5494,,1471412.0,961.0,52746,5402.0,658179,4069267,420449,1983153,386140,,1597013,682502,439806,278686,1159424,476922,13306513,,,,0.0,1541137,17917.0,260974,4359549,4354055,638.0,277718,,841987,927157,3936561,2015年06月30日,108039.0,18913422,11697721,0,14974368,24654953,,161120.0,572415,,4050222.0,,7504661,3936561,,39493654.0,20580232.0,,1555193,39493654.0,,118736,691248,22205,4474810,,7215701,5605864,14838701,505220,1839585.0,1839585.0,0
