date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1084125,605878,-60110,347538,147469,11263,99467,29668,14912,157737,62458,159577,1286326,41195,,249245,3037,717493,8856,1064,72175,2202106,2013年03月31日,13521,,3620401,3620401,3625078,586521,751513,2744927,36286,5836,,648433.0,6294.0,301040,2202106,,14760,,941935.0,754145,,86662,17157,63,650263,,4562336.0,,32685,214827,0.0,190422,1817409,56580,0
2013-08-12,2,2013,1063619,514824,-46397,365906,190170,17408,133346,31179,10399,157432,62659,179743,1178816,41195,,265299,525,770333,21132,3147,70853,2202106,2013年06月30日,-77533,,3570195,3570195,3625078,586521,811465,2756406,38162,5836,,658856.0,9731.0,302009,2202106,,12552,,1005712.0,761114,,93631,17157,63,650263,,4575907.0,,36815,218302,0.0,194247,1819501,96315,0
2013-11-11,3,2013,1024171,474980,-46138,362495,159755,33648,118843,26380,9199,157959,68121,164981,1086074,41195,,325577,0,705246,9951,2738,70133,2202106,2013年09月30日,-117377,,3521795,3521795,3625078,586521,741664,2660829,46689,5836,,755388.0,8280.0,207869,2202106,,13803,,933414.0,767061,,99578,17157,63,650263,,4455209.0,,33791,222771,0.0,191750,1794380,58585,0
2014-03-24,4,2013,1041425,463249,-18225,410879,152854,9544,176659,4083,15238,146843,70722,194884,1033216,41195,,347779,230,528578,11297,50,69653,2202176,2013年12月31日,-129108,,3572787,3572787,3625078,586521,641275,2564201,44568,5836,,720625.0,2359.0,120167,2202176,,13803,,833064.0,771898,,104415,17157,63,650263,,4405851.0,187587.0,44946,204403,0.0,191789,1841650,58066,0
2014-05-07,1,2014,1014040,450384,-16506,412455,137443,22740,173221,11924,14272,147435,75835,189727,1019218,41195,,330614,385,580491,6662,2205,69474,2202214,2014年03月31日,-141973,,3560971,3560971,3625078,586521,644904,2571288,44642,5836,663436.0,,0.0,150735,2202214,,13803,,833172.0,776347,,108863,17157,63,650264,,4394143.0,216656.0,40833,206409,,188268,1822855,45608,0
2014-08-08,2,2014,988794,385326,1987,434606,141789,7612,168026,10078,11279,148120,69550,166039,898767,41195,0.0,336777,0,608237,4359,610,67000,2202214,2014年06月30日,-207031,,3491977,3491977,3625078,586521,746826,2622214,41685,5836,614353.0,,6648.0,236968,2202214,,14566,,930928.0,777606,,110122,17157,63,650264,,4422905.0,430572.0,35982,199056,,184102,1800691,46425,0
2014-11-10,3,2014,1010620,359383,-14249,416247,148194,5217,189836,10753,7000,148716,69064,204085,926912,41195,0.0,350428,0,538753,6654,540,69413,2202244,2014年09月30日,-232974,,3491609,3490754,3625078,586521,678644,2554317,40922,5836,600686.0,,4290.0,152422,2202244,,12557,,829334.0,780486,,113001,17157,63,650265,,4320943.0,423308.0,1974,160360,855.0,150690,1766626,45247,0
2015-03-23,4,2014,1004142,376935,-29193,400855,161512,8477,218062,5147,9865,151039,63045,247255,893398,41195,0.0,320262,237,580188,9998,737,67687,2202244,2014年12月31日,-215422,,3539409,3538548,3625078,586521,649770,2609259,40088,5836,1057348.0,,8220.0,140507,2202244,,13885,,861202.0,782502,,115019,17157,63,650263,,4400611.0,0.0,60393,215535,861.0,211432,1791352,49248,0
2015-05-13,1,2015,978600,321595,-26622,384274,121394,16928,206017,5532,9464,152178,61550,232639,901836,41195,0.0,296208,192,508947,10208,324,67777,2202259,2015年03月31日,-270762,5830.0,3473750,3473039,3625078,586521,551765,2490588,37164,5836,,611134.0,,108536,2202259,4227291.0,14073,753541.0,,784363,,116880,17157,63,650263,4227291.0,,376798.0,49598,207338,711.0,201776,1736703,54949,0
2015-08-10,2,2015,982172,267920,-54207,351040,121248,6876,157848,7979,11059,152809,60257,212055,864730,41195,0.0,311348,199,521091,4195,1433,66320,2202259,2015年06月30日,-324437,1312.0,3373869,3373103,3625078,586521,562509,2427342,34650,5836,,514042.0,,106487,2202259,4132986.0,13936,759117.0,,786271,,118788,17157,63,650263,4132986.0,,456351.0,43799,211205,766.0,196608,1705644,47565,0
