date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,32000,32000,1813215,,127534,22783,1476,224840,1960,,7989,-6933,75947,43947,80829,,,,,129986,262172,,40292,,1535,11902,1445849,0.0,,,,185066,16277.0,89948,92530,12360.0,,497946,145871.0,65948,18169.0,128451.0,123788,206610,2168960,2013年03月31日,41471,,2610641,2434242,0,11423,2034122,2525454,,1805,,40651.0,,74640,,199419.0,6228.0,1324411,2168960,,4555,,2328140.0,144681,,4938781.0,0.0,0.0,68032,4261,96000.0,4555,96000,,209978,1805.0,176399,294018,2413327,,,,,,0
2013-08-08,2,2013,,32000,32000,1838401,,87069,22233,1476,296984,3970,,11119,8783,60597,28597,67493,,,,,129379,248688,,26185,,1593,12204,1387070,0.0,,,,153133,9932.0,109952,106790,6872.0,,480640,113537.0,67782,15982.0,127786.0,124107,210760,2168960,2013年06月30日,-5307,,2587342,2409493,0,17736,1942186,2388275,,1604,,43109.0,,74640,,179310.0,1906.0,1189664,2168960,,2386,,2228167.0,144681,,4815509.0,0.0,0.0,68602,2198,88000.0,2386,88000,,210299,1604.0,177849,285981,2427234,,,,,,0
2013-11-04,3,2013,,32000,32000,1823833,,63385,24945,17413,272307,3271,,7075,-4958,52115,20115,55558,,,,,128625,251537,,32162,,1456,12142,1539912,0.0,,,,227282,30644.0,119923,69196,173.0,,557851,114839.0,60270,16754.0,127169.0,120707,211806,2168960,2013年09月30日,-28991,,2547541,2372068,0,17736,2286620,2673175,,1393,,42967.0,,74640,,185153.0,6943.0,1501406,2168960,,3360,,2556771.0,144681,,5104312.0,0.0,0.0,61526,4448,80000.0,3360,80000,,207233,1393.0,175473,270151,2431137,,67851.0,,,,0
2014-03-24,4,2013,,32000,32000,1828533,,36739,24952,16435,314195,19395,,3830,25246,51325,19325,47742,,,,,135091,342421,,14443,,1499,11705,1485816,0.0,,,,253885,32391.0,119968,73755,0.0,,637712,127245.0,84011,4759.0,133592.0,120240,226737,2168960,2013年12月31日,-55637,,2558870,2375626,0,17736,2695173,2986164,,1217,,43044.0,,74640,,500341.0,9650.0,1815538,2168960,,5071,,2968473.0,144681,,5527343.0,0.0,0.0,66209,5596,72000.0,5071,72000,,208557,1217.0,183244,273300,2541179,,26712.0,107716.0,,,0
2014-05-02,1,2014,,32000,32000,1947875,,43307,24002,15595,276269,35664,,14530,46624,56602,24602,54571,,,,,145303,261235,,12244,,1480,11732,1580245,,,0.0,,229474,41778.0,119930,71485,0.0,,574861,123708.0,55726,2692.0,132771.0,119551,230699,2168960,2014年03月31日,-49069,,2578753,2403831,0,17736,2441319,2717881,,1032,,37764.0,,74640,219654.0,,12295.0,1592879,2168960,,4943,,2721867.0,144940,,5300620.0,,,71245,6752,64000.0,4943,64000,11052.0,209662,,174922,280548,2582739,,30128.0,27597.0,,,0
2014-08-04,2,2014,,40200,40200,1978168,,69562,23240,31710,282190,17766,,33682,9138,353593,30373,55803,,,,,144608,299181,,31283,,1773,13839,1668731,,,0.0,,234191,19109.0,119970,77566,0.0,,538901,132560.0,72399,2399.0,132003.0,116612,222128,2168960,2014年06月30日,-22814,,2650151,2392600,0,17736,2872670,3165093,,814,,39467.0,,74640,548173.0,,4434.0,1759294,2168960,,4557,,3170122.0,144940,,5820273.0,,,64044,6567,88800.0,4557,88800,10832.0,204462,814.0,257551,297452,2655180,49597.0,49738.0,,283020.0,,0
2014-11-03,3,2014,,40200,40200,2038387,176161.0,76727,21988,31412,308846,16515,,18637,32864,539007,35845,62116,,,,,144165,428933,,81109,,1789,12068,1702637,,,0.0,,239652,31184.0,149908,74770,0.0,,610696,133311.0,213981,7084.0,131618.0,116264,231378,2168960,2014年09月30日,-15649,,2703950,2423491,0,17736,3256221,3397700,,628,,40135.0,,74640,538162.0,,2190.0,1891468,2168960,,2681,,3548334.0,144940,,6252284.0,,,69198,7582,78750.0,2681,78750,10758.0,206387,628.0,280459,292113,2854584,129369.0,48953.0,,286801.0,,0
2015-03-16,4,2014,,44200,44200,2551581,178015.0,920876,22598,25392,611259,54568,,525037,68330,252475,30260,70811,,,,,173870,657583,,27665,12444.0,1958,13453,1927855,34003.0,,0.0,,502477,0.0,164943,90867,,,906759,0.0,203729,0.0,156781.0,117741,0,2168960,2014年12月31日,828500,,3763989,3275086,2787,17736,3920764,4642098,,13794,,45778.0,,74640,902261.0,,87924.0,2145888,2168960,,9474,,4261258.0,150923,,8025247.0,889.0,154.0,82257,17058,84367.0,9474,84367,15131.0,107431,1350.0,488903,340494,3383149,509034.0,37116.0,,,,0
2015-05-05,1,2015,,52000,52000,2418306,19880.0,980503,22754,26766,491572,22630,,379880,44628,113647,41767,71272,,,20646.0,,172393,855756,,227564,12444.0,1655,13416,1992260,34003.0,,,,484456,0.0,164900,110193,,,820078,0.0,218535,0.0,,115110,0,2168960,2015年03月31日,888127,104161.0,3815640,3311011,2787170,17736,3412028,4120810,156113.0,33090,47555.0,,,74640,,530157.0,,1913722,2168960,7582861.0,6219,3767221.0,,150923,7582861.0,,528.0,0.0,78283,13023,104517.0,6219,104517,14625.0,105742,,504629,355193,3462051,509034.0,38319.0,,,,0
2015-08-05,2,2015,,52000,52000,2508760,14874.0,724661,33308,49450,656305,84120,437721.0,350630,56851,116118,49244,133183,92801.0,20078.0,20078.0,40382.0,170537,964622,,335925,12444.0,1927,15235,2029799,13601.0,108448.0,,307193.0,441720,0.0,74925,114729,,218584.0,764918,0.0,287453,0.0,,112872,0,2221585,2015年06月30日,549435,153056.0,3899165,3360418,1114868,100586,3266332,4115243,154404.0,32522,37357.0,,,74640,,432737.0,,1617940,2330033,7812368.0,7246,3913203.0,,262474,7812368.0,,173.0,689.0,77624,28899,91517.0,7246,91517,14206.0,104428,,538747,646871,3697125,509034.0,45169.0,,0.0,,0
2015-11-03,3,2015,,52000,52000,2742815,15017.0,815144,25418,50755,517044,47992,517044.0,367794,87554,119448,52431,100423,,,20969.0,,169713,934839,264917.0,264917,12444.0,1747,25646,2189952,13601.0,,,291472.0,541509,0.0,184885,103068,,,969853,0.0,313778,0.0,,112828,0,2337762,2015年09月30日,639918,156419.0,4079129,3499785,1114868,100586,3676936,4482431,153715.0,33413,75047.0,,,74640,,383207.0,,1996915,2337762,8385394.0,9139,4306265.0,,272926,8385394.0,,517.0,2024.0,89627,28313,78517.0,9139,78517,14251.0,105242,,579344,629329,3902963,539034.0,54935.0,,0.0,,0
2016-03-22,4,2015,,88920,88920,2887597,4849.0,888859,317889,46618,797714,328792,797714.0,173113,43046,136866,43097,128778,98448.0,20220.0,20220.0,30330.0,212257,585765,,159315,12444.0,1140,25683,2072922,13601.0,,,143924.0,588019,,189898,136986,,,1134378,,278579,,,109767,193488,2407222,2015年12月31日,713633,169465.0,4281677,3675944,1169089,100586,4326258,5235175,191952.0,32664,532475.0,,22807.0,74640,,532494.0,,1971138,2407222,9158360.0,6329,4876683.0,,350418,9158360.0,,1051.0,8465.0,82647,44479,111597.0,6329,111597,19165.0,400767,,605733,550425,3923185,0.0,56082.0,,,,0
2016-05-06,1,2016,,72920,72920,2743711,5172.0,985072,321224,42312,663256,305330,,159192,5171,118645,40553,120123,,19518.0,19518.0,,165635,666063,,265833,12444.0,2281,25315,2019046,12681.0,,,64690.0,508014,,169874,95581,,,1058179,,318473,,,155008,359083,2443823,2016年03月31日,809846,99496.0,4477279,3861024,1090005,100586,4408509,5184048,144467.0,31962,505092.0,,23344.0,74640,,593630.0,,2424066,2488360,9246010.0,7397,4768731.0,,395102,9246010.0,,16850.0,17840.0,73150,40479,56747.0,7397,56747,18887.0,374915,,616255,360222,4061962,0.0,71249.0,,,44537.0,1590611
2016-08-05,2,2016,20003.0,64920,84923,2851041,5216.0,563445,319312,32657,1078271,205823,478800.0,167108,-41630,112181,22042,146723,80530.0,,18693.0,66193.0,163741,608907,217023.0,217023,12444.0,2339,19210,2099236,12681.0,0.0,,41776.0,444119,,154814,123024,,599471.0,942248,,291564,,,150342,354206,2745278,2016年06月30日,356017,13404.0,4709586,4084082,1090005,132788,4134495,5083723,142945.0,31137,361185.0,,23887.0,74640,,677479.0,,1989301,2745278,9171155.0,7933,4461569.0,,829670,9171155.0,,5625.0,7993.0,65810,35255,,7933,55747,18457.0,372674,,625504,327074,4087432,0.0,70875.0,,,,0
2016-11-03,3,2016,,56920,56920,2902460,5394.0,651286,312983,35853,458303,301366,,154427,-120505,108574,46260,68083,68083.0,17697.0,17697.0,0.0,162612,597707,,224195,12444.0,2373,15494,2118451,12681.0,,,0.0,467783,1958.0,264859,208541,,,1123874,,269056,,,144491,340576,2776816,2016年09月30日,443858,16903.0,4791598,4157114,1090005,132788,4338311,5286719,142426.0,30141,405598.0,,24468.0,74640,,757450.0,,2496025,2776816,9398670.0,5442,4607072.0,,862198,9398670.0,,8557.0,6737.0,51402,36255,54747.0,5442,54747,17813.0,358018,,634484,268761,4111951,0.0,70060.0,,,,0
