date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動資產合計,其他無形資產淨額,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,待分配股票股利,應付帳款合計,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金總額,股本合計,負債及權益總計,負債準備－流動合計,負債總計,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2015-08-13,2,2015,5526,645171,242549,2835,547,,,1481,144,442,64705,59823,547,4882,375088,375088,294079,307685,733251,326754,2015年06月30日,485908,42508,1395464,1395464,0,159263,594223,1912384,442,2589,734755,620833,1989799,0,594335,128913,18752,110161,,1989799,0,112,6742,112,77415,63722,,0
2016-03-07,4,2015,4695,980800,51362,22122,-6951,-8380,-8380,891,36,234,92676,42081,1429,3666,154429,154429,,198566,954058,624053,2015年12月31日,821537,48773,1752164,1752164,0,159263,299592,1954029,234,2619,764594,624053,2055203,0,303039,154262,29737,116899,7626,2055203,50102,3447,3569,3447,101174,6069,46929,0
2016-08-01,2,2016,3930,854299,383350,21984,-9096,-10342,-10342,1084,2325,98,87206,36544,1246,3733,416300,416300,0,167696,604639,700433,2016年06月30日,648476,60562,2311559,2311559,0,205823,612692,2823109,98,52119,1624341,700433,2924251,0,612692,765923,21391,729875,14657,2924251,100007,0,9908,0,101142,1394,46929,0
2016-11-03,3,2016,3431,860557,49499,25152,-13200,-13484,-13484,1272,40,35,132997,80028,284,6040,515502,515502,0,406091,739806,701373,2016年09月30日,654734,22454,2325869,2325869,0,205823,479316,2651638,35,52119,828021,701373,2805700,0,479831,777139,26685,729875,20579,2805700,489341,515,17599,515,154062,1657,46929,0
