date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2014-03-31,4,2013,98655.0,98655,1570545,739838,245027,213404,245787,110100,11445,565669,241748,,323921,2325,105689,,141931,52993,,149,1362506,0.0,,596487,2861,716721,5543,892333,2013年12月31日,687036,,,2467139,2467139,0,2655386,3435801,9687,52802,,550200.0,82351.0,20625.0,1470728,892333,,147832,,2761075.0,589181,,5228214.0,,,70250,0,105540.0,86613,105689,1792413,1133,,,0
2014-08-14,2,2014,0.0,0,1794046,664044,209946,53484,229821,8054,2414,589345,234579,5640.0,354766,3532,229474,,342616,89598,,139,1262811,,0.0,691513,71489,869981,8202,892333,2014年06月30日,611242,,,2375379,2375379,0,2466018,3175359,8027,52802,372925.0,,33790.0,13246.0,1273741,892333,,177485,,2994142.0,589181,,5369521.0,,,49473,298650,229335.0,249486,528124,2194162,5365,5365.0,,0
2014-11-11,3,2014,0.0,0,1869358,682356,219871,43923,274355,12085,6302,682226,226891,5783.0,455335,3347,232991,,361083,104968,,142,1415808,,0.0,630701,146723,744526,13963,892333,2014年09月30日,629554,,,2438225,2438225,0,2611543,3249880,9087,52802,343969.0,,23742.0,0.0,1382587,892333,,195834,,3107667.0,589181,,5545892.0,,,56484,263133,232849.0,252768,496124,2296012,5465,5465.0,,0
2015-03-27,4,2014,0.0,0,2031265,729301,235210,41105,407711,8375,2090,623475,218207,6285.0,405268,2449,242943,,379614,13373,,147,1431202,,0.0,534638,82899,794858,4479,1004333,2014年12月31日,676499,,,3037126,3037126,0,2407632,3442520,8622,52802,541684.0,,27251.0,0.0,1349872,1004333,,169387,,2872125.0,895781,,5909251.0,,,47230,221550,242796.0,262999,464493,2466731,5717,5717.0,100793.0,0
2015-05-14,1,2015,,20000,2129985,777215,326529,5899,363624,30787,4866,702104,227618,5921.0,474486,2415,238567,,470952,21364,,146,1329586,,0.0,558123,83790,1070015,12548,1004333,2015年03月31日,724413,28785.0,1111.0,3040953,3040953,0,2676238,3618626,7627,52802,,491360.0,,,1467970,1004333,6255018.0,180254,3214065.0,,895781,6255018.0,,370.0,,27828,299260,238421.0,343452,537827,2636392,5633,5633.0,103721.0,0
2015-08-11,2,2015,,316492,2133425,718398,414418,23982,333640,325636,3278,882743,202008,5866.0,680735,2390,235538,235394.0,603525,2491,,144,1377928,,,644797,125133,1050741,17783,1004333,2015年06月30日,665596,25275.0,0.0,2952152,2952152,0,3449006,3914404,6776,52802,,555647.0,,,1726617,1004333,6696696.0,187130,3744544.0,,895781,6696696.0,,,,38566,60000,,346132,295538,2782292,5580,,252512.0,0
2015-11-13,3,2015,,388700,2206378,805863,380402,5874,414763,398441,3737,751377,210317,6004.0,541060,2752,240322,,776193,2182,,153,1559191,14892.0,,712047,144659,1087559,27481,1004333,2015年09月30日,753061,28136.0,,3105848,3105848,516000,3855708,4203115,6177,52802,,765922.0,,,1976870,1004333,7241878.0,215153,4136030.0,,895781,7241878.0,,,,50015,40000,240169.0,356720,280322,3038763,5711,5711.0,414539.0,0
2016-03-09,4,2015,,80000,2225563,820155,360571,7412,353301,100850,14517,689003,173009,6333.0,515994,2609,234331,,958420,1666,,153,1666215,43200.0,,696564,107611,903240,48901,1004333,2015年12月31日,767353,65407.0,2270.0,3030370,3030370,1455000,3528233,3893489,5298,52802,,570860.0,,,1967313,1004333,7142234.0,229917,4111864.0,,895781,7142234.0,,,1050.0,59464,348250,234178.0,349576,583631,3248745,5588,,604569.0,0
2016-05-13,1,2016,,80000,2182385,941752,264455,9641,304963,97569,11781,707435,202248,5788.0,505187,2567,229047,,978064,595,,150,1502965,43200.0,,625982,89975,1087110,20469,1004333,2016年03月31日,888950,86814.0,4572.0,3103629,3103629,1455000,3421877,3854086,4752,52802,,516388.0,,,2017671,1004333,7076854.0,239411,3973225.0,,895781,7076854.0,,0.0,451.0,57567,321850,228897.0,342620,551348,3222768,5506,,632282.0,0
2016-08-12,2,2016,,60000,2741379,970474,406460,2969,239887,72059,6403,729368,186012,5656.0,543356,3262,221979,,360765,1731,,150,1493783,43200.0,,666983,134820,1229742,6286,1004333,2016年06月30日,917672,74722.0,3527.0,3067275,3067275,1455000,3559401,4001853,4051,52802,,529030.0,,,1965644,1004333,7171857.0,238713,4104582.0,,895781,7171857.0,,,452.0,63809,322750,221829.0,323409,545181,3170004,7148,,32363.0,0
