date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應付租賃款－非流動,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,491009,,,491009,1458266,33914,689855,,,,287790,287790.0,103020,-7776,507629,16620,153503,153503.0,23248,45.0,186483,163155.0,163155,-7776,619599,619599.0,92522,,,0.0,0.0,315908.0,315908,140991.0,140991,0.0,24071.0,24071,,1143045.0,1143045,324430,130537.0,130537,23203.0,58533,551899.0,551899,1580939,2013年03月31日,419256,,2944564,2598695,8000000,107587,1857261,3343758,,690,,163012,,866584.0,8374.0,572498,1580939,,,,2740759.0,428199,,5685323.0,0.0,0.0,2600,0.0,,51780,860250,,23328,345869,883498,2341565,440,440,0
2013-08-13,2,2013,196797,249000.0,0.0,445797,1495929,33914,669215,0.0,0.0,0.0,298575,298575.0,46374,6409,459218,13421,90238,90238.0,26360,3195.0,196099,172523.0,172523,6409,570826,570826.0,92522,,,0.0,0.0,253757.0,253757,105612.0,105612,0.0,21985.0,21985,0.0,983927.0,983927,280386,181946.0,181946,23165.0,28493,591385.0,591385,1629350,2013年06月30日,385081,,3013943,2642632,8000000,121122,1716197,3179193,,739,,163012,,985318.0,8886.0,568164,1629350,,,,2563057.0,430180,,5577000.0,0.0,0.0,39731,0.0,,51248,820500,0.0,23576,371311,846860,2397807,447,447,0
2013-11-07,3,2013,171356,335000.0,0.0,506356,1476118,33914,718053,0.0,0.0,0.0,248923,248923.0,30436,-32849,521485,15129,168373,168373.0,23245,133.0,79205,56069.0,56069,-32849,550279,550279.0,92522,,,0.0,0.0,240999.0,240999,72527.0,72527,0.0,18096.0,18096,0.0,1231959.0,1231959,119666,233508.0,233508,23112.0,29172,604608.0,604608,1654492,2013年09月30日,433954,,3137891,2698698,8000000,121122,1584910,3255537,,534,,162977,,880932.0,8069.0,474811,1654492,,,,2392905.0,451524,,5530796.0,0.0,0.0,39943,0.0,,51708,784750,0.0,23136,439193,807995,2275259,441,441,0
2014-03-27,4,2013,151100,374750.0,0.0,525850,1448435,30055,762265,0.0,,,265124,265124.0,149224,8325,537469,11619,199722,199722.0,22737,32.0,74750,51269.0,51269,8325,531445,531445.0,92522,,,0.0,0.0,244705.0,244705,97553.0,97553,0.0,17984.0,17984,0.0,1212918.0,1212918,38745,252072.0,252072,22705.0,28788,561319.0,561319,1674492,2013年12月31日,478166,,3253102,2804592,8000000,121122,1622444,3427124,,1376,,162977,,991820.0,17559.0,442050,1674492,,,,2370431.0,452032,,5623533.0,0.0,0.0,50729,0.0,,51686,725250,0.0,23481,448510,747987,2196409,449,449,0
2014-05-08,1,2014,131498,369750.0,,501248,1440776,30055,793118,,,,245582,245582.0,127389,20004,518859,17611,198280,198280.0,12853,2502.0,101331,78057.0,78057,20004,540638,540638.0,92522,,0.0,,,246262.0,246262,102335.0,102335,,37665.0,37665,,1227645.0,1227645,106169,267862.0,267862,10351.0,28471,562630.0,562630,1693730,2014年03月31日,509019,,3332535,2867112,8000000,121122,1656704,3476000,,1988,,162977,908003.0,,7432.0,498569,1693730,,,,2360057.0,452782,,5692592.0,,,99566,,,51341,690500,,23274,465423,703353,2216592,448,448,0
2014-08-07,2,2014,114966,255618.0,,370584,1392318,30055,722945,,,,397554,397554.0,111208,-27418,386356,15772,180751,180751.0,60393,50032.0,106056,83281.0,83281,-27418,558275,558275.0,189813,,0.0,,,255282.0,255282,45646.0,45646,29944.0,29546.0,29546,,1251102.0,1251102,64905,287470.0,287470,10361.0,28155,663686.0,663686,1709921,2014年06月30日,416061,,3141816,2669163,13755000,143907,1605966,3319813,,2251,,162977,865662.0,,40029.0,421609,1709921,,,,2450741.0,453528,,5592557.0,,,0,,,50223,784382,,22775,472653,844775,2272744,440,440,0
2014-11-11,3,2014,0,469363.0,,469363,1394462,45055,747931,,,,304000,,151952,31373,492113,22750,142780,,60444,50002.0,115224,,92011,31373,603206,,92522,,0.0,,,,290499,,55457,99897.0,,35563,,,1264772,85556,,326356,10442.0,27840,,669578,1741665,2014年09月30日,441047,,3374290,2865055,8000000,143907,1793052,3498375,,1916,,162977,849713.0,,39132.0,476391,1741665,,,,2427970.0,436608,,5802260.0,,,73589,,,49810,574474,,23213,509235,634918,2303885,451,451,0
2015-03-20,4,2014,0,523836.0,,523836,1406118,45055,716055,,,,288924,,170376,131780,538333,14497,75098,,63010,50000.0,164305,,140576,131780,621998,,244015,70731.0,8921000.0,,475195.0,,234830,,88010,99973.0,,23971,,,1373781,24088,,298302,13010.0,27526,,601926,1741665,2014年12月31日,409230,,3539921,2842192,16921000,143907,1793235,3874578,,1626,,162918,1106260.0,,30144.0,418319,1741665,70731.0,,,2635300.0,496707,,6175221.0,,3860.0,133323,,,54087,300000,,23729,697729,842065,2300643,621,621,0
2015-05-14,1,2015,0,427836.0,,427836,1376334,45055,741228,,,,265496,,160625,100723,441190,13354,80256,,62976,50000.0,176524,,153044,100723,591979,,245294,69948.0,0.0,,477326.0,,185573,,127645,149875.0,,15730,,,1322016,26747,,314048,,27210,,608349,1741665,2015年03月31日,434403,29057.0,3522537,2835029,17000000,143907,1785041,3861260,12976.0,3822,30144.0,162918,,1128437.0,,500527,1741665,69948.0,6152760.0,2630223.0,,496707,6152760.0,,,4880.0,136600,,,54206,300000,,23480,687508,845182,2291500,460,460,0
2015-08-11,2,2015,0,427836.0,,427836,1350501,45055,689280,,,,422688,,163920,43270,443814,15978,66667,,62940,50000.0,166440,,143421,43270,628867,,172729,0.0,,,479492.0,,217513,,112090,149804.0,,20036,,,1256925,22730,,249989,,26897,,611656,1571665,2015年06月30日,373386,18636.0,3180473,2590193,11213000,152976,1969396,3737110,12940.0,5796,,162918,,1131544.0,,584815,1571665,0.0,5998881.0,2818408.0,,458707,5998881.0,,,6580.0,216014,,,55426,300000,,23019,590280,849012,2261771,454,454,0
