date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,催收款項,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存出保證金,存貨合計,工程存出保證金,庫藏股票,待註銷股本股數,應付帳款合計,應付建造合約款,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,股東往來,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,長期借款合計,長期應付票據,長期應付票據及款項合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,51924,30343,82267,682927,-382993,129,139067,114012,0.0,89726,7459,742157,2923,239074,131208,23049,2158,2029,63937,500160,0.0,,905665,751228,432816,809396,187842,72830,43668.0,0.0,1789837,2013年03月31日,-517641,,,1622345,1460009,0,134648,3209716,4390390,,4398,,2156377.0,0.0,,,159566.0,0.0,5179.0,891214,-517641,1789837,0.0,,,3457528.0,53165,,5079873.0,0,116604,64491,64491,129,162336,247812,689483,79094,0
2013-08-12,2,2013,51235,32063,83298,664754,-380185,129,142493,48015,0.0,95002,11704,688072,17024,191888,121080,21440,2153,2024,63595,479160,0.0,,843827,585414,332496,868699,144617,47360,43341.0,0.0,1789837,2013年06月30日,-380185,,,1623584,1462817,0,0,2811556,3989607,,3918,,1971859.0,0.0,,,96418.0,0.0,3558.0,812324,-380185,1789837,0.0,,,3036848.0,53165,,4660432.0,0,104212,56299,56299,129,160767,225292,670825,57414,0
2013-11-13,3,2013,59465,32535,92000,647311,-331330,0,139512,46936,0.0,242322,150322,1147762,4437,374350,115577,24576,1348,1348,65346,768975,0.0,,857912,494579,245972,725396,68175,33178,43015.0,0.0,1789837,2013年09月30日,-331330,,,1665196,1511672,0,0,2734172,3973964,,3528,,1683275.0,0.0,,,150351.0,0.0,3806.0,753875,-331330,1789837,0.0,,,2960955.0,53165,,4626151.0,0,111206,47986,47986,0,153524,226783,652187,49739,0
2014-03-26,4,2013,57807,33014,90821,653108,-123047,0,148239,73484,0.0,240378,149557,1121904,3040,373306,108248,23450,40204,40204,6668,745558,0.0,,932955,98866,467163,785906,92836,26662,45248.0,0.0,1789837,2013年12月31日,-123047,,,1867421,1719955,0,0,2546937,3925737,,1453,,1474251.0,0.0,,,274250.0,3802.0,1829.0,655534,-123047,1789837,,,,2753081.0,53165,,4620502.0,20000,97896,39550,39550,0,147466,206144,694765,47947,0
2014-05-13,1,2014,52991,33501,86492,714479,-102977,0,128056,22902,0.0,236816,150324,1069219,88,354921,98969,22992,50664,50664,6823,714210,0.0,0.0,893581,26128,572666,904447,229351,34293,44987.0,0.0,1789837,2014年03月31日,-102977,,,1888036,1740025,0,0,2543771,3852179,,1445,,1456811.0,0.0,,68967.0,,7765.0,1833.0,678759,-102977,1789837,0.0,,,2730731.0,53165,,4618767.0,0,87991,30990,30990,0,148011,186960,766588,57533,0
2014-08-12,2,2014,61067,33995,95062,713195,-226697,78,108867,38360,0.0,245321,150259,1085496,592,366995,90678,23637,50745,50667,7724,717909,0.0,0.0,1007177,26128,254097,897809,616434,18455,44737.0,,2419837,2014年06月30日,-226697,,,2392453,2246305,0,0,2170569,3993577,,1266,,1199498.0,0.0,,59823.0,,1989.0,1834.0,526990,-226697,2419837,,,,2366330.0,53165,,4758783.0,0,105083,22304,22304,78,146148,195761,765206,68144,0
2014-11-13,3,2014,56277,34496,90773,706753,-117675,84,120686,12078,0.0,243971,153198,1130277,812,412390,79685,21696,50571,50487,4422,717075,0.0,0.0,1104263,26128,600230,1269098,877389,17881,44500.0,,2419837,2014年09月30日,-117675,,,2504865,2355327,0,0,2675368,4593205,,1124,,987584.0,0.0,,206084.0,,19915.0,30.0,560175,-117675,2419837,,,,2846788.0,53165,,5351653.0,0,91735,13489,13489,84,149538,171420,758448,88362,0
2015-03-30,4,2014,50865,33502,84367,713045,-16078,552,118835,9118,,241847,157480,1394337,3503,686646,72393,20203,51009,50457,7455,704188,,0.0,1233621,45987,483829,1128143,1153885,19625,46142.0,,2419837,2014年12月31日,-16078,,,2619581,2456924,0,0,2520220,4526168,,2589,,401326.0,0.0,,344573.0,,37851.0,20.0,358250,-16078,2419837,,,,2673230.0,53165,,5292811.0,0,80617,6048,6048,552,162657,153010,766643,67686,0
2015-05-12,1,2015,58556,29466,88022,698418,35089,0,101574,10515,0.0,241960,153938,1338504,3612,626512,64290,16110,50457,50457,5599,708380,0.0,0.0,1127425,16073,480648,1313134,1309560,22612,,0.0,2419837,2015年03月31日,35089,46977.0,11.0,2677815,2508091,0,0,2503405,4554057,46656.0,2354,391076.0,,,0.0,,86130.0,,,488748,35089,2419837,0.0,5305286.0,2627471.0,,53165,5305286.0,,0,59776,1524,1524,0,169724,124066,751229,76916,0
2015-08-12,2,2015,42848,22304,65152,700732,71868,0,121167,40186,0.0,219162,154010,1134438,5175,505014,55224,8804,50453,50453,2269,624249,0.0,0.0,1056424,0,424307,1331170,1513811,5717,,,2419837,2015年06月30日,71868,24555.0,15.0,2702703,2528792,0,0,2314803,4381597,46420.0,2183,176046.0,,,0.0,,71132.0,,,469188,71868,2419837,,5134965.0,2432262.0,,37087,5134965.0,,20000,62235,0,0,0,173911,117459,753368,86813,0
