date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-05-02,1,2014,3387545,-765347,33994,105123,97848,22138,-11856,75882,20234,8113,61111,422550,,0,28431,0,152679,7738,23252,1858462,2014年03月31日,-765347,3390498,3117309,0,0,502161,1422652,,505184,747308,,300000,1858462,,,2394232,2002056,31375,20580,,1914077,36024,,5784730,868,279863,1883090,273189,1892071,4362078,72143,0
2014-08-08,2,2014,3329202,-135129,40737,111866,90114,34809,-5928,165668,28510,8046,65638,484007,,0,40819,0,234810,7200,23252,1864412,2014年06月30日,-135129,3391238,3165032,0,0,696601,1575852,,492760,743039,,400000,1864412,,,2486327,1400940,31660,20580,,1312676,36024,,5877565,0,278995,1781680,226206,1789726,4301713,78286,0
2015-03-25,4,2014,3214524,-613126,48027,119156,79962,48027,0,89462,20728,6569,83695,372127,49691,0,33393,,194131,12401,23252,2374832,2014年12月31日,-613126,4467397,4197596,1670000,,202817,1669034,,467637,1009178,,0,2374832,,,1389656,2437554,14097,20580,,2402877,0,,5857053,0,279755,1180270,269801,1186839,4188019,60469,0
2015-05-11,1,2015,3154199,-755668,107351,178480,70433,107351,0,87605,17309,6421,82112,464417,59310,0,40409,,23566,8568,23252,2377497,2015年03月31日,-755668,4366464,4107424,2000000,,198447,1539664,6421,455230,,956197,0,2377497,5712692,1346228,,2437554,13250,20580,,2403724,0,5712692,,0,279755,1141360,259040,1147781,4173028,69607,0
2015-08-10,2,2015,3094323,-235070,147622,218751,62973,147622,0,11993,18438,6337,94726,665560,59310,0,32179,,18451,8220,23252,2376132,2015年06月30日,-235070,4312869,4055167,2000000,,207145,1672247,6337,443297,,893169,100000,2376132,5826351,1513482,,1825793,13250,20580,,1791963,0,5826351,,0,279755,1300000,257702,1306337,4154104,68409,0
2015-11-11,3,2015,3035248,-426472,75375,146504,60550,75375,0,11862,34396,6255,94216,624110,93841,0,1802,,87910,18030,23252,2376132,2015年09月30日,-426472,4009092,3756987,3993000,,274214,1579223,6255,431363,,766392,200000,2376132,5589561,1580469,,1825793,13250,20580,,1791963,0,5589561,,0,279755,1300000,252105,1306255,4010338,48385,0
2016-03-28,4,2015,2986609,-762290,82948,154077,103224,82948,,12965,26331,21219,77957,493800,88712,0,12217,,20782,1970,23252,2376132,2015年12月31日,-762290,3684912,3436343,3695000,,428406,1545175,,419636,,942524,300000,2376132,5434537,1749625,,1828265,13250,20580,2472,1791963,0,5434537,,,227831,1300000,248569,1321219,3889362,59768,0
2016-05-11,1,2016,2927930,-910448,67580,138709,68570,67580,,2448,29850,22144,76117,543071,88712,0,42423,,43759,10,23252,2376132,2016年03月31日,-910448,3518276,3272817,3695000,,413441,1452085,,407937,,761206,300000,2376132,5253861,1735585,,1828265,13250,20580,2472,1791963,,5253861,,,227831,1300000,245459,1322144,3801776,74189,0
2016-08-12,2,2016,2872376,-253298,85395,156524,73960,85395,,11851,45340,62452,85450,665176,88712,0,46028,,127447,8,23252,2376132,2016年06月30日,-253298,3409959,3185492,3695000,,731839,1748579,,396238,,835630,600000,2376132,5510250,2100291,,1065975,13250,20580,2472,1029673,,5510250,,,227831,1306000,224467,1368452,3761671,74978,0
