date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,812572,5706,533116,,92268,144452,6241,17881,10757,,10188,272346,,54479,25490,12177,721156,3548,64262.0,,,146360,106275,,,407476,58487,260169.0,149359,0.0,1166906,2013年03月31日,275737,,,1728254,1718406,135000,231816,758482,1587839,,1224,,29884.0,3000.0,,25563.0,,266234.0,27447.0,,323191,1166906,,,1043619.0,4051,,,,2771873.0,,12791,65426,,28989.0,9848,285137,1184034,0.0,23911,0
2013-08-12,2,2013,823899,5706,475169,,97107,223172,5577,30181,14326,,9583,271007,,66419,66419,8243,690236,3548,0.0,58277.0,,135443,113888,,,409556,68825,262764.0,149359,0.0,1166906,2013年06月30日,194626,,,1747215,1731036,135000,243235,817988,1643275,,1117,,41016.0,3000.0,,37308.0,,388534.0,14970.0,,316189,1225183,,,1107591.0,4051,,,,2854806.0,,18596,64924,,,16179,289603,1211531,0.0,29948,0
2013-11-12,3,2013,842863,5706,497732,,165593,171949,10077,88883,17939,,11803,272226,,64258,64258,8318,659118,3548,,,,124509,81212,,,398150,53090,263908.0,147340,0.0,1225184,2013年09月30日,217189,,,1820302,1812302,135000,243235,785905,1594671,,1058,,129571.0,3000.0,,37308.0,,301591.0,23248.0,,367048,1225184,,,1069197.0,4051,,,,2889499.0,,11066,65010,,,8000,283292,1294828,0.0,31271,0
2014-03-27,4,2013,844058,4322,486289,,202461,181626,4058,139800,19793,18134.0,2425,297186,0.0,58281,58281,8442,616508,3548,,,,135838,83119,1659.0,7863.0,415032,77409,280881.0,147924,0.0,1225184,2013年12月31日,205746,,,1858095,1851776,135000,243235,723201,1558351,,943,,130207.0,3000.0,,37308.0,,285881.0,15513.0,6960.0,287312,1225184,,,1031747.0,4051,,,,2889842.0,,11360,70502,7863.0,,6319,308546,1331491,0.0,19871,0
2014-05-12,1,2014,842103,4322,525440,,202461,147022,6707,141686,26251,24563.0,4135,297865,0.0,58327,58327,8640,665898,3548,0.0,,0.0,126774,91022,1688.0,7400.0,411291,66478,281825.0,145489,,1225184,2014年03月31日,244897,,,1898626,1892813,135000,243235,641280,1512328,,1234,,34125.0,3000.0,,37308.0,287162.0,,28091.0,75.0,222120,1225184,,,940878.0,4051,,,,2839504.0,,1733,70240,7400.0,,5813,299598,1327176,,36457,0
2014-08-12,2,2014,874574,4322,447964,,185871,203601,4228,111435,19877,18185.0,4463,298342,,50179,50179,8808,671102,0,,91787.0,0.0,113783,94499,1692.0,6824.0,417718,117810,282710.0,141083,,1223834,2014年06月30日,192525,,,1888817,1879067,0,255439,674147,1528199,,4678,,28716.0,3000.0,,0.0,246033.0,,29717.0,75.0,212670,1315621,,,973915.0,4047,,,,2862732.0,,1426,70826,6824.0,,9750,299768,1334533,,38054,0
2014-11-11,3,2014,886372,4322,507378,3682.0,165871,195401,2579,109875,31537,29765.0,7636,298445,,51941,51941,8353,694522,0,,0.0,0.0,148729,45138,1772.0,6543.0,451854,130596,283549.0,142391,,1315621,2014年09月30日,251939,,,1946865,1936921,0,255439,683406,1589770,,14819,,29460.0,3000.0,,0.0,224974.0,,31401.0,6469.0,231200,1315621,,,983231.0,4047,,,,2930096.0,,1380,71610,6543.0,,9944,299825,1340326,,37998,0
2015-03-20,4,2014,893630,4322,530209,3196.0,145870,214434,7175,114624,36473,34606.0,7765,309383,,53108,53108,8222,676156,0,,,0.0,202296,15900,1867.0,6269.0,511347,146898,294892.0,144435,,1315621,2014年12月31日,274770,,,1973829,1964501,0,255439,717711,1661756,,16184,,30402.0,3000.0,,0.0,249704.0,,43438.0,6619.0,205170,1315621,,,1028009.0,4047,4047.0,4047.0,,3001838.0,,915,79533,6269.0,,9328,310298,1340082,,22494,0
2015-05-08,1,2015,882424,4189,576994,3952.0,145870,168628,8087,106787,16700,14814.0,3910,309818,,52580,52580,8372,734165,0,,,0.0,191484,8648,1886.0,5719.0,429341,123882,,141109,,1315621,2015年03月31日,321555,47865.0,3581.0,2012209,2003449,0,255439,656605,1653618,295727.0,15412,30114.0,,,3000.0,0.0,,280618.0,,,223280,1315621,2978863.0,966654.0,,4047,4047.0,4047.0,2978863.0,,,231,80661,5719.0,,8760,310049,1325245,,35968,0
2015-08-11,2,2015,875433,4189,485897,4116.0,145870,256758,4183,93249,21223,19323.0,4650,314865,,52636,52636,13220,725459,0,,65781.0,0.0,145119,6334,1900.0,5147.0,449808,125554,,137292,,1315621,2015年06月30日,212741,10585.0,1739.0,1972883,1964595,0,273156,624659,1598359,296498.0,14968,51979.0,,,3000.0,,,193866.0,,,184640,1381402,2912831.0,939948.0,,4047,4047.0,4047.0,2912831.0,,,424,81084,5147.0,,8288,315289,1314472,,37005,0
2015-11-11,3,2015,880848,4189,554561,956.0,83870,170592,7998,69594,16390,14325.0,5838,316116,,52015,52015,14791,762110,0,,,0.0,187341,8794,2065.0,4785.0,478732,121290,,140197,,1381402,2015年09月30日,281405,2665.0,7810.0,2018236,2009604,0,273156,587947,1666710,296540.0,14586,52749.0,,,3000.0,,,206912.0,,,202165,1381402,2926100.0,907864.0,,4047,4047.0,4047.0,2926100.0,,,3801,80685,4785.0,,8632,319917,1259390,,22315,0
2016-03-17,4,2015,892265,4189,613416,1388.0,130470,245694,5220,88621,15629,13597.0,2394,313929,,51337,51337,14936,731701,0,,,0.0,188777,18551,2032.0,4104.0,484072,185444,,133697,,1381402,2015年12月31日,340260,19055.0,5313.0,2095497,2087486,0,273156,582451,1673736,294889.0,16190,35161.0,,,3000.0,,,180426.0,,,94745,1381402,2993902.0,898405.0,,4047,4047.0,4047.0,2993902.0,,16401.0,2025,89018,4104.0,,8011,315954,1320166,,26216,0
2016-05-09,1,2016,878264,4189,671418,1715.0,130470,165982,10279,85418,20772,18710.0,3894,314422,,52621,52621,15716,791918,0,,,0.0,210670,16528,2062.0,3565.0,432012,195913,,131217,,1381402,2016年03月31日,398262,20023.0,5440.0,2149796,2142285,0,273156,555480,1716956,295141.0,15672,35468.0,,,3000.0,,,213428.0,,,121505,1381402,3022520.0,872724.0,,4047,4047.0,4047.0,3022520.0,,4950.0,2822,90131,3565.0,,7511,317244,1305564,,21939,0
2016-08-08,2,2016,864346,4189,575331,2165.0,118933,280642,11570,55012,20502,18491.0,3547,315369,,49660,49660,16998,845238,0,,69070.0,0.0,194519,12257,2011.0,2954.0,420676,176895,,126157,,1381402,2016年06月30日,278940,18191.0,7002.0,2091913,2084862,0,296391,635416,1776261,295417.0,14338,34520.0,,,3000.0,,,231824.0,,,109305,1450472,3046637.0,954724.0,,4047,4047.0,4047.0,3046637.0,,25064.0,3939,89753,2954.0,,7051,319308,1270376,,17760,0
2016-11-08,3,2016,847161,4189,633822,2442.0,115444,199728,10558,21916,21557,19567.0,4637,294720,,53440,53440,16620,785982,0,,0.0,0.0,136228,11064,1990.0,2379.0,466467,145941,,120733,,1450472,2016年09月30日,337431,11628.0,7286.0,2117346,2110257,0,296391,519210,1687979,275721.0,13725,9969.0,,,3000.0,,,207812.0,,,139005,1450472,2932441.0,815095.0,,4047,4047.0,4047.0,2932441.0,,25685.0,1165,86770,2379.0,,7089,295885,1244462,,21200,0
