date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,,,1666402,13670770,433207,433207,3114063,-206671,108825,99314,6011716,554840,62510,62510,1901,0.0,,98874,1495603,,,58145,488982,84.0,2203,554840.0,11868686,,3000000,2013年03月31日,11117054,,,22593504,22593504,0,1764839,2603008,15152216,,9684,788877,,4517047.0,200865.0,,200000,3000000,,65634,74302,,6374120.0,6129405,,28967624.0,242146,3141970,208126,,0.0,3771112,13815408,715929,9511.0,9511.0,0
2013-08-08,2,2013,,,1627118,11459753,4470457,4470457,3247820,138130,111990,111990,5162935,557838,116964,116964,1869,,,85144,1251164,,,70347,440416,416.0,1200,557838.0,13537467,,3000000,2013年06月30日,7973077,,,20727288,20727288,0,2257887,6093591,15385822,,11180,1228789,,5395409.0,111128.0,,0,3000000,,63708,75606,,10155523.0,6129405,,30882811.0,323181,3428488,204260,,,4061932,15496989,742229,0.0,0.0,0
2013-11-08,3,2013,,,1672561,13437113,505071,505071,2645733,-123801,117165,115228,6475061,557536,110834,110834,310209,,,69855,1372737,0.0,,49601,622057,6.0,2382,557536.0,12654231,,3000000,2013年09月30日,9950437,,,22442717,22442717,0,2257887,5183725,17693674,,9494,1228789,,6674307.0,427532.0,,2630000,3000000,,61365,76441,,9901134.0,6129405,,32343851.0,261806,3083432,203057,1000000.0,,4717409,14650177,652512,1937.0,1937.0,0
2014-03-24,4,2013,,,1748604,15700634,657680,657680,351164,210438,23062,21419,7572375,555089,249042,249042,2047,,,127494,1073092,,1536.0,41706,286196,27.0,2312,555089.0,14989267,,3000000,2013年12月31日,12213958,,,25040477,25040477,0,2257887,5172523,18135802,,7887,1228789,,8567899.0,490530.0,,2630000,3000000,,169129,74808,,10278488.0,6129405,,35318965.0,434741,3476068,188363,1000000.0,,5105965,17183163,877335,1643.0,1643.0,0
2014-05-09,1,2014,,,1834146,16896233,493724,493724,2810292,603687,29238,27598,6141092,543507,362651,362651,5014,,0.0,65460,1040327,,0.0,55287,854663,1456.0,4074,543507.0,14129164,,3000000,2014年03月31日,13409557,,,26629325,26629325,0,2257887,5284462,19795124,,6564,1228789,9392589.0,,868652.0,,2630000,3000000,,157061,78153,,9677082.0,6129405,,36306407.0,183080,2770960,178758,1000000.0,,4392620,16511283,347577,1640.0,1640.0,0
2014-08-05,2,2014,,,1843227,12335177,6608424,6608424,5149686,106016,25561,25561,4073707,543315,627349,627349,4347,,0.0,72536,951607,,0.0,55816,762524,0.0,4279,543315.0,12905436,,3000000,2014年06月30日,8558413,,,21570598,21570598,0,2987887,10978126,21617572,,5577,788877,11002744.0,,533202.0,,2630000,3000000,,156796,81356,,15625292.0,6129405,,37195890.0,231234,3022495,196729,1000000.0,,4647166,15578318,333235,0.0,0.0,0
2014-11-10,3,2014,1000000.0,1000000.0,1750848,13778769,835421,835421,1968456,465182,1022910,22910,1607446,546317,636320,636320,96174,,0.0,71862,929537,,0.0,74632,563030,22.0,2109,546317.0,14462901,,3000000,2014年09月30日,10002005,,,23373356,23373356,0,2987887,6628355,15676279,,9849,788877,10455700.0,,983065.0,2725.0,2630000,3000000,,155560,82509,,9339070.0,6129405,,32712426.0,605621,2081889,176229,0.0,,2710715,17036147,300364,0.0,0.0,0
2015-03-23,4,2014,,,1758753,16384208,882601,882601,96152,1416899,19698,19698,2198866,568468,573443,573443,2739,,0.0,122244,565471,,0.0,70218,220133,2000.0,905,546327.0,17734336,22141.0,3000000,2014年12月31日,12607444,,,26930512,26930512,0,2987887,6369203,16262960,,12346,788877,12831865.0,,977135.0,,3630000,3000000,,172054,86282,,9576035.0,6129405,,36506547.0,331032,2552082,164709,0.0,,3206832,20243587,509050,0.0,0.0,0
2015-05-11,1,2015,,,1995811,17409374,874227,874227,112123,1081145,16563,16563,1657000,568030,519603,519603,180054,,0.0,209846,1265848,,,67200,513575,0.0,7273,,18367096,21110.0,3000000,2015年03月31日,13632610,1034470.0,,27619924,27619924,0,2987887,7200820,17123053,546920.0,11666,788877,,12491929.0,,,3630000,3000000,38177135.0,169866,93281,10557211.0,,6129405,38177135.0,,1496446,2695080,159906,0.0,,3356391,21054082,597453,0.0,0.0,0
2015-08-03,2,2015,,,1900731,9795484,10080518,10080518,5265695,824254,29079,29079,1136865,559333,346829,346829,235404,,,156365,1652371,2736.0,,70871,672258,0.0,1396,,14339691,20589.0,3000000,2015年06月30日,5366344,108072.0,,19749143,19749143,0,3640263,15837212,22452253,538744.0,10782,788877,,13775327.0,,,3630000,3000000,39218650.0,178071,152125,19469507.0,,6129405,39218650.0,,734384,2920837,168364,0.0,,3632295,16766397,560053,,,0
