date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2014-05-07,1,2013,,801226.0,801226,12451528,55101,181065.0,5398586,,26383,10000,,1446374,,368684,-1514373,1256936,151912,3165500,103683,3061817,1152668,2790708,199701,2064593,,202567,86564.0,,268587,8104248,,,1382555,,,,2455420,208662,0,0,1977928,63080,2322420.0,1175941,86942,2301760,8963768,,2013年03月31日,,,15388427,13146475,62663349,,12212096,19546491,,20000.0,,,,5272022.0,89831.0,6487244,8963768,,267629,82171,,22925299.0,1681049,,,,,,,,,,38313726.0,,,,91372,2548708,688312,0.0,23846,5291616,247910,,435926,2241952,10713203,18767235,366486,25522.0,303798,,0
2014-05-07,2,2013,,557458.0,557458,12357612,55052,182290.0,5129797,-111086.0,18274,10000,,2453964,,439209,-1459131,1185716,248671,4758238,73890,4684348,1470586,2821091,230944,2300458,,161089,86564.0,-1348045.0,276009,8241403,,,1382555,,,,2327542,162626,947312,947312,2259199,77597,2314138.0,1175192,0,2375883,8963768,,2013年06月30日,815440.0,,15115455,12932928,62663349,4314357.0,13158855,20238873,,20000.0,,,,3818787.0,31294.0,5781547,8963768,,268854,88094,,24074831.0,1681049,,,,,,,,,,39190286.0,,,,95309,2512738,657216,0.0,18376,5494053,230452,,438331,2182527,10915976,18951413,512481,,379587,,0
2014-05-07,3,2013,,498093.0,498093,12282497,56081,,5114859,-111085.0,15985,10000,,1797370,,483979,-1180705,1229491,244719,4495315,85663,4409652,1160543,2637811,63761,2302619,,480701,,-969336.0,277051,8393046,0.0,8393046.0,1382555,,,,2464890,181985,1016387,1016387,2006416,64695,2296999.0,1173419,0,2377599,8963768,26211.0,2013年09月30日,800502.0,,15279237,13196416,62663349,1791356.0,12883275,19971719,,20000.0,,2523001.0,,3952136.0,14080.0,5919343,8963768,,251030,103948,,23527524.0,1681049,,,65669.0,1615380.0,,,,,,38806761.0,-100284.0,,,93644,2517375,612827,8699.0,0,5385115,230452,,430923,2082821,10644249,18835042,466503,,460468,,0
2014-05-07,4,2013,,634470.0,634470,12208882,21046,177286.0,4563109,-9327.0,7300,10000,,1732080,1732080.0,520213,-989584,1189385,238953,4277254,159199,4118055,1204553,2475029,10761,2386746,,501862,120406.0,-980257.0,276244,8190644,,8190644.0,1382555,,,,2005529,193236,762514,762514,1681088,81418,2188024.0,1134064,0,2605133,8963768,,2013年12月31日,248753.0,,15064665,12845875,62663349,1791355.0,13032565,18985785,,20000.0,,2523001.0,,3738139.0,26622.0,6825507,8963768,,297692,95408,,22663768.0,1691137,,,-102769.0,1793906.0,,,,,,37728433.0,,,,94114,1775774,356777,0.0,9761,5284992,208062,,472269,2218790,9631203,18742648,385854,,315962,,0
2014-05-14,1,2014,,726846.0,726846,12738930,21046,172018.0,4451274,,7467,10000,,1368345,1368345.0,453636,-876858,1396644,226760,4543152,149514,4393638,1200767,2467469,29133,2321037,,451164,108715.0,,266879,9002703,,9002703.0,1373793,,0.0,1486954.0,2815159,189431,705918,705918,2376491,53767,2171457.0,463447,0,2591651,8963768,,2014年03月31日,,,15209195,12981215,62263349,,14160102,21728040,,20000.0,,,4595506.0,,27727.0,7376145,8963768,,280733,111796,,25070664.0,1816824,,,,,,,,,,40279859.0,,,35695.0,96242,1773928,385708,0.0,37026,5034720,208062,,461044,2227980,10910562,18551819,562050,,443038,,0
2014-08-12,2,2014,,5244493.0,5244493,12660566,21046,172053.0,4680585,,7322,10000,0.0,1368933,,564056,-1063468,6017614,258601,4281460,133893,4147567,1180403,2475376,23997,2225722,350646.0,350646,128147.0,,289001,9373520,,,132816,,0.0,1056939.0,2905444,125632,918085,918085,2869716,597,2162378.0,457216,0,2803697,8963768,,2014年06月30日,,,16331829,14269882,5332452,,18240092,22127590,,20000.0,,,4359600.0,,108418.0,6492325,9000446,,300200,117981,,24298586.0,1785135,,,,,,,,,,40630415.0,,,110927.0,94393,1757040,304578,3441.0,0,540231,249472,249472.0,445201,2061947,6058494,18502825,576926,,514520,36678.0,3667794
2014-11-14,3,2014,1478655.0,5016051.0,6494706,12646933,20849,167904.0,4328761,,7456,10000,,1466105,,595076,-904299,7128014,201021,4417054,164862,4252192,1209160,2466224,19776,2282230,,371221,118047.0,,296709,9162076,,,132816,,0.0,,2668564,126238,1016298,1016298,2602757,801,2149739.0,454499,0,2794408,8963768,,2014年09月30日,,,16147635,14077227,5332452,,19321639,21811996,,20000.0,,,4396388.0,,139841.0,6490628,9000446,,285951,127156,,24219357.0,1785135,,,,,,,,,,40366992.0,,,,96102,1787539,326077,0.0,44961,516799,249472,249472.0,452377,2070408,4897718,18554996,489325,,432287,36678.0,3667794
2015-03-26,4,2014,,4789130.0,4789130,12749930,251785,191867.0,4169891,-7972.0,9106,10000,,1498116,1498116.0,638648,-606571,5301138,218201,4394306,117630,4276676,1229347,2584800,24038,2307934,,359809,133122.0,-598599.0,295217,8419116,,8419116.0,132816,,0.0,,2144778,85695,1049223,1049223,2241480,1324,2265545.0,388260,138500,2996283,9000446,,2014年12月31日,980670.0,,16269671,14216096,5332452,1791355.0,18913123,21104541,,20000.0,,1397866.0,4816320.0,,173657.0,8335527,9000446,,324989,127204,,23966053.0,1785146,49946.0,177215.0,50625.0,17486.0,119130.0,119130.0,1370744.0,,,40235724.0,,,,1580,1840988,406991,0.0,78486,499938,256868,256868.0,461910,2053575,5052930,19131183,365675,,293807,,0
2015-05-15,1,2015,,4815061.0,4815061,12633258,251785,179107.0,4225733,-7972.0,9011,10000,,1208547,1208547.0,633768,-730506,5437548,155035,5542930,137631,5405299,1209118,2698985,50037,2254605,,337280,121302.0,-722534.0,405322,9097128,,9097128.0,132816,,0.0,0.0,2330105,109968,1401415,1401415,2304688,512,,387624,0,2980172,9000446,,2015年03月31日,,190432.0,16168217,14146563,5332452,,19766818,22097998,2243626.0,,20000.0,,,4006670.0,,8788394,9000446,41030501.0,300409,132727,24862284.0,,1783706,49946.0,175775.0,50625.0,17486.0,,119130.0,1370744.0,0.0,41030501.0,,,,0.0,1580,1811919,395059,,6014,451835,256868,256868.0,451339,2021654,5095466,18932503,495697,,467452,,0
2015-08-12,2,2015,,4795391.0,4795391,12553790,251748,180794.0,4536422,-7972.0,8880,10000,,1275041,1275041.0,641995,-873022,5402523,159957,4899600,137198,4762402,1131790,2688909,56322,2191439,,349628,129162.0,-865050.0,413365,10127748,,,132816,,0.0,0.0,2632452,172533,1138309,1138309,2241345,551,,386597,0,3069323,9000446,,2015年06月30日,,75218.0,16265137,14314736,5332452,,19465658,21961285,2219222.0,,20000.0,,,3498187.0,,8455664,9000446,40829973.0,309956,139104,24564836.0,,1783706,49946.0,175775.0,50625.0,17486.0,,119130.0,1370744.0,,40829973.0,,,,0.0,1580,1785970,385791,3962.0,0,485195,271292,271292.0,438729,1950401,5099178,18868688,541399,,447175,,0
