date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,商譽,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,26000,447190,5000,315974,24932,187052,7798,886839,218,249094,140174,,108920,12559,673,85549,,,,836768,143103,588378,103116,11886.0,610500,2013年03月31日,246658,,1187761,1186272,0,67693,2118486,2790053,,17486,1623,,1389064.0,38724.0,26000.0,610500,,,2196393.0,252000,252000,252000,,,3384154.0,0.0,0.0,,13944,65348,1489,77907,594101,460401,860621,0
2013-08-09,2,2013,26000,430817,5000,279367,20186,315437,1565,1098315,11376,197822,9738,,188084,12013,572,103860,,0.0,,1178119,154843,733009,62042,11441.0,610500,2013年06月30日,196406,,1145673,1143432,0,81338,2795625,3424495,,14182,1623,,1891991.0,33911.0,15000.0,610500,,,2866486.0,252000,252000,252000,,,4012159.0,,0.0,,13619,58848,2241,70861,587664,539631,1060939,0
2013-11-12,3,2013,26000,414301,5000,417002,21742,259283,2484,919599,10129,161654,7383,,154271,11538,528,100859,,,,932565,103419,627275,21545,11010.0,700000,2013年09月30日,334042,,1937411,1935336,0,81337,2262173,3699961,,10776,1623,,2255085.0,47307.0,0.0,700000,,,2326059.0,815850,815850,815850,,,4263470.0,0.0,0.0,,10831,52348,2075,63886,563509,634402,883470,0
2014-03-27,4,2013,26000,392335,5000,487101,19388,203766,-826,835922,11810,99979,5747,,94232,13795,546,120606,,,,699786,98960,615443,59185,13249.0,700000,2013年12月31日,404141,,2008493,2002125,0,81337,1897938,3412119,,8244,1623,,2305370.0,59504.0,0.0,700000,,,1957581.0,815850,815850,815850,,,3966074.0,,0.0,,8382,45848,6368,59643,553955,332142,798112,0
2014-05-06,1,2014,26000,393933,5000,570155,21516,188319,2878,875172,11143,85050,9115,,75935,13511,724,115209,,,,821681,92722,694486,48821,12787.0,700000,2014年03月31日,487195,,2094611,2088883,0,81337,2053562,3650060,,6371,1623,2335253.0,,75668.0,0.0,700000,,,2106421.0,815850,815850,815850,,,4201032.0,,,,8943,39348,5728,52859,550972,486450,838029,0
2014-08-07,2,2014,26000,399888,5000,398338,26724,530319,6926,1304769,12048,45334,7827,,37507,12963,704,125530,,,0.0,996191,151344,801698,50721,12259.0,700000,2014年06月30日,278173,,1926802,1921114,0,118542,3027674,4429012,,4864,1623,2913098.0,,45051.0,0.0,700000,,,3073485.0,815850,815850,815850,,,5000287.0,,,,9269,32848,5688,45811,571275,618161,1266721,0
2014-11-06,3,2014,26000,386460,5000,536763,23132,246289,2679,1042973,13888,46060,9955,,36105,12481,756,112211,,,0.0,1062740,138053,789328,79283,11725.0,700000,2014年09月30日,416598,,2060871,2055292,0,118542,2524011,4086880,,3460,1623,2534665.0,,33956.0,,700000,,,2562840.0,815850,815850,815850,,,4623711.0,,,,6568,26348,5579,38829,536831,637544,1003085,0
2015-03-24,4,2014,26000,380434,5000,563834,20408,244580,2325,1230088,12795,39263,5351,,33912,49382,1305,184159,,,0.0,790669,130498,751062,80484,48077.0,700000,2014年12月31日,443669,,2087814,2082009,0,118542,2439084,3989833,,6927,1623,2534353.0,,43249.0,,700000,,,2510286.0,815850,815850,815850,,,4598100.0,,,1972.0,11339,19848,5805,71202,608267,584671,1191293,0
2015-05-05,1,2015,26000,362660,10000,698530,19676,230709,-992,1312791,13906,56482,12997,,43485,48513,771,201412,,,,898925,134720,632641,52430,,700000,2015年03月31日,578365,70556.0,2225530,2213388,0,118542,2647701,4325124,47742.0,5828,1623,,2872515.0,,,700000,4936378.0,2710848.0,,815850,815850,815850,,4936378.0,,,,1286.0,11678,13348,12142,63147,611254,711056,1272885,0
2015-08-05,2,2015,26000,363542,10000,579306,17456,629135,-9469,1553054,12985,57497,14260,,43237,48249,798,242061,,,0.0,1258340,171608,804042,51533,,700000,2015年06月30日,420750,67962.0,2097771,2085687,0,156933,3680099,5184112,47451.0,5084,1623,,3436382.0,,,700000,5833640.0,3735869.0,,815850,815850,815850,,5833640.0,,,,673.0,11385,6848,12084,55770,649528,834658,1514069,0
