date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收收益,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,544645,0,544645,1699141,1308255,-79275,1010958,508092,,181082,894475,894475,70533,-385947,557428,12783,649294,21308,1177869,13116.0,13116,40175.0,1940023,,0.0,,,,1990118,34554,199493,17477.0,3598185,12136,0.0,21308.0,322557,3303860,2013年03月31日,-79275,,,6201402,6135952,0,0,6268223,9404525,,26410,,122000.0,0.0,,0,,833608.0,2959.0,9654.0,3276831,3303860,,,8295162.0,3297314,,14496564.0,8281.0,263659,5631,49715,2000000,129024,65450,2026939,5092039,995554.0,0
2013-08-09,2,2013,548383,0,548383,1915415,1314016,27939,1020101,566123,,264926,934545,934545,80758,-231459,596149,47766,718675,21256,1032599,,860481,42388.0,1985333,1985333.0,0.0,,,,1977292,31028,199482,0.0,3523305,12726,,21256.0,356768,3303860,2013年06月30日,-54525,,,6507093,6331575,0,8246,6381058,9659302,,27657,,0.0,0.0,,74218,,1254268.0,2275.0,9668.0,3295151,3303860,,,8422544.0,3231235,,14929637.0,14755.0,119923,20230,57757,2000000,129730,175518,2041486,5270335,,0
2013-11-08,3,2013,0,200000,200000,1884948,1266338,65334,1056678,530395,,468168,771825,771825,66640,-279335,224383,24383,387634,21015,1380112,,103726,,1905713,1905713.0,202013.0,,,131125.0,1377094,65894,199282,,3330553,9175,,21015.0,353159,3303860,2013年09月30日,-17130,,,6283403,6108183,8230000,8246,6154906,8903883,,27417,,0.0,0.0,,74218,,1234205.0,0.0,9991.0,3820085,3303860,,,8123223.0,3220337,,14406626.0,0.0,131469,16177,60374,1800000,127706,175220,1968317,5502743,1148680.0,0
2014-03-26,4,2013,0,200000,200000,2159478,1487648,37790,1155852,515608,0.0,237586,631377,631377,88197,-91836,216996,16996,664591,20205,1407507,,323569,42394.0,1889985,1889985.0,244814.0,,,132025.0,1588010,312422,299770,,3085590,61111,,20205.0,403348,3303860,2013年12月31日,-44674,,,6390727,6225388,10000000,8246,6254602,8554150,,21956,,0.0,0.0,,74218,,835580.0,0.0,10019.0,3599818,3303860,,,8225425.0,3220388,,14616152.0,0.0,131848,18593,66457,1800000,131721,165339,1970823,6062002,909823.0,0
2014-05-09,1,2014,0,400000,400000,2177072,1509815,208374,1073895,574709,0.0,202547,571493,571493,114947,159586,410992,10992,417424,20188,1525929,,328591,40901.0,2037444,2037444.0,0.0,,0.0,132931.0,1712138,474709,299623,,3125223,188143,,20188.0,403192,3206690,2014年03月31日,125910,,,6815384,6655629,0,8246,6565745,8886001,,16976,,0.0,,,74218,1240207.0,,7181.0,0.0,3458555,3206690,,,8342715.0,3080979,,15158099.0,0.0,117225,23851,64405,1600000,132892,159755,1776970,6272098,1023545.0,0
2014-08-12,2,2014,0,400000,400000,2274086,1549225,381820,920898,610805,,343339,260042,260042,25093,-11656,471250,71250,606232,20161,1453574,,1283574,40465.0,2143442,2143442.0,0.0,,0.0,133844.0,2070606,525850,299710,0.0,3590437,200411,,20161.0,394760,3206690,2014年06月30日,299356,,,6643649,6484892,0,8246,6900182,8945060,,23142,,0.0,0.0,,74218,1062450.0,,22369.0,10019.0,3167058,3206690,,,8673716.0,2908038,,15317365.0,0.0,126036,19529,66713,1600000,129535,158757,1773534,6372305,,0
2014-11-06,3,2014,134762,400000,534762,3528879,1568976,664802,1067954,243707,,330762,106815,106815,118742,-142917,582300,47538,716778,20135,1355393,,321692,41056.0,2154758,2154758.0,0.0,,0.0,0.0,2597352,387574,399137,,4546282,176566,,20135.0,378245,3206690,2014年09月30日,582338,,,6796109,6636613,0,8246,8793413,9876911,,21787,,0.0,0.0,,74218,860575.0,,44346.0,10019.0,4451942,3206690,,,10237946.0,2908038,,17034055.0,0.0,118422,24398,60157,1400000,147567,159496,1444533,7157144,845078.0,0
2015-03-27,4,2014,135687,400000,535687,3606119,1566541,470911,1428222,39341,0.0,295330,271551,271551,156231,467775,540882,5195,731206,18285,1733843,,343657,36592.0,2262260,2262260.0,0.0,,0.0,0.0,2957542,248811,548948,,4454454,97898,,18285.0,360780,3206690,2014年12月31日,388447,,,7210180,7056403,0,8246,8317465,10652659,,18178,,0.0,0.0,,74218,1133300.0,,40571.0,0.0,3685381,3206690,,,10823115.0,2911027,,18033295.0,0.0,117537,27365,55834,2460000,134645,153777,2505650,7380636,1218949.0,0
2015-05-08,1,2015,136618,400000,536618,3542580,1554086,533893,1287719,22684,0.0,262239,249595,249595,137812,301786,543006,6388,813628,18245,1835104,,339498,33893.0,2750227,2750227.0,0.0,,0.0,0.0,3101134,229164,548980,,3786501,115911,,,361034,3206690,2015年03月31日,451429,79574.0,0.0,7106655,6953396,0,8246,8741589,10931420,18245.0,16603,0.0,,,,74218,,1755088.0,,,3977492,3206690,18336858.0,11230203.0,,2911027,18336858.0,,0.0,34939,10369,73347,2460000,132167,153259,2488614,7405438,1329546.0,0
2015-08-07,2,2015,137556,400000,537556,3448743,1515823,277205,1149964,21956,,627241,353665,353665,134278,73208,541586,4030,1070082,18222,1613518,,333331,34220.0,2772724,2772724.0,0.0,,0.0,0.0,2423659,238785,598837,0.0,3603633,126359,,,304453,3206690,2015年06月30日,156080,36257.0,11702.0,6621042,6468003,0,46907,8355634,10783499,18222.0,13316,0.0,,,0.0,74218,,1561092.0,,,3889269,3206690,17765267.0,11144225.0,,2910900,17765267.0,,0.0,0,10369,63959,2760000,131617,153039,2788591,6981768,1114350.0,0
