date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2014-01-21,4,2013,717348,,839428,758591,524139,5203,,1336,53587,-20017,460976,402995,380409,40827,339582,176467,254742,1515,248504,0,248736,72037,295423,,,,,2077492,99782,1483,490926,5474,150,4491,409142,1278585,2013年12月31日,459623,,,2172928,2156040,0,379805,3345095,4368741,,23100,,,2316323,70207,105813,1278585,,19732,,3619569,58044,,,,,,,,5792497,0,,25662,16888,274474,1423756,,66522,57981,0
2014-07-25,2,2014,2296753,,869191,769323,379947,15425,379947,309342,231626,18891,463736,403301,158528,21635,136893,270966,244227,574,332147,,239166,61181,137720,137720,,,0,2063085,107593,2027,53512,11540,13545,4487,570196,1278585,2014年06月30日,478386,,,2227275,2224196,0,370788,3324206,2556517,,28996,20017,820747,,121117,171276,1278585,,12207,,3580640,57529,,,,48935,,8594,,5807915,,,23306,3079,256434,3251398,,50634,60435,0
2014-10-27,3,2014,2290934,,1236928,740729,380927,46225,380927,330760,142875,-4752,358392,305849,126778,14838,111940,361420,246010,241,423131,0,241663,61711,128286,128286,,,0,2073372,48876,752,61988,4308,752,4106,570044,1278585,2014年09月30日,846123,,,2614468,2595098,0,370788,3256089,2796546,,26795,20017,1215246,,131399,216146,1278585,,13340,,3515439,84337,,,26808,48935,,8594,,6129907,,,22457,19370,259350,3333361,,44824,52543,0
2015-01-27,4,2014,2264717,60000,1560595,2009447,398271,44058,398271,323900,158388,193,378953,317991,2145162,15728,2129434,197693,240321,109,262901,,234704,65208,105069,105069,,,0,2307794,61979,0,50539,3333,0,5508,606229,1420585,2014年12月31日,1169790,,,6394861,6310990,0,370788,3385989,6792676,,27815,20017,1958210,,194934,0,1420585,,13340,,3639650,3329617,170,,148277,48935,3132235,3132235,,10034511,,,20173,83871,253661,3241835,,38628,60962,0
2015-04-27,1,2015,2243163,60000,1834941,1999689,268169,47484,268169,321132,121901,-28337,368981,302783,2156171,11264,2144907,198943,235785,25,263859,,230779,64916,88121,88121,,0,0,2187687,56213,0,49588,5543,0,,592806,1420585,2015年03月31日,1444136,258966,,6623135,6556806,0,370788,3187500,6853572,4981,24245,20017,,2075326,,0,1420585,10059760,13340,3436625,,3329617,0,2850,148277,48935,3129555,3129555,10059760,,,,22115,66329,249125,3206188,0,36101,66198,0
2015-07-28,2,2015,2233628,60000,899146,989104,413483,47609,413483,367972,140759,-51173,401025,325361,965934,31311,934623,36943,236615,0,110341,,232012,73398,104002,104002,,,,2134868,50309,0,40128,8665,0,,1251623,1420585,2015年06月30日,543494,127436,,5648020,5598175,0,355652,3174730,5373179,4603,23720,0,,2719335,,0,1420585,9073137,13772,3425117,,3329617,,2850,148277,48935,3129555,3129555,9073137,,,,20646,49845,250387,3699958,,37280,75664,0
2015-10-26,3,2015,2209733,60000,1158315,845451,346465,38876,,467226,68325,-115778,412046,344126,1238477,30494,1207983,34750,242493,0,111358,,238252,76608,128433,,,,,2151522,49555,0,39062,6881,0,,1251980,1420585,2015年09月30日,802663,46988,2011,5826366,5792739,0,355652,3045452,5455157,4241,22398,0,,2631476,,0,1420585,9131292,13773,3304926,,3329617,,,,,,,9131292,,,3208,20666,33627,259474,3676135,,27815,67920,0
2016-01-27,4,2015,2190151,60000,1414615,812737,394020,42315,,411248,132155,-151358,551821,493359,1250476,18274,1232202,34750,246675,0,84936,,241663,50186,124639,,397175,,,2476640,45949,,29611,15830,,,1290779,1420585,2015年12月31日,1058963,101337,3921,5656552,5641525,2000000,355652,3683020,5940774,5012,19837,0,,3128081,,70938,1420585,9607450,13773,3950898,,3354858,,,,,,,9607450,,,7430,20973,15027,267878,3666676,,32076,58462,0
2016-04-19,1,2016,2273617,60000,1757980,1002934,270638,38248,,388726,120702,-159884,456927,398181,1220672,13965,1206707,34750,239963,0,81917,,235428,47167,117553,,397175,,,2439655,45824,,23206,10102,,,1339406,1420585,2016年03月31日,1402328,169871,3922,5984510,5976364,2000000,355652,3501926,5955026,4535,20039,0,,3019854,,80763,1420585,9749005,13773,3764495,,3354858,,,,,,,9749005,,,8833,19000,8146,262569,3793979,,47355,58746,0
2016-07-22,2,2016,2424791,60000,1253696,1017151,329525,40397,,384617,129623,-165874,510195,450155,71516,17019,54497,34350,242067,,86958,,237879,52608,131182,,397175,,,2394214,48234,,34209,7780,,,1297011,1420585,2016年06月30日,640790,130408,3483,5291294,5286815,2000000,461548,3521577,5159912,4188,27455,151358,,3334936,,68604,1420585,9074043,13773,3782749,,3175583,,,,,,,9074043,,,5332,17916,4479,261172,3914131,,45415,60040,0
