date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應付設備款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,801143,1220.0,-1217078,,145292,,98379.0,,20524,-1095,90534,78134,134917,129648.0,5269.0,312190,,37170,6799,-1095.0,266490,0,,107109,,12400,7200.0,46913.0,159932,,0.0,747354,2692604,2013年03月31日,,1580327,1580327,0,499935,779975,,25590,,198112.0,157000,2692604,,,812125.0,105896,,2392452.0,,0.0,,7200.0,129479,0,312190,1612477,30371.0,0
2013-08-14,2,2013,,770907,1220.0,-1309483,,55253,,,16772.0,53912,13520,114682,84539,102122,,,337995,174925.0,45756,15385,,253542,0,,63581,29142.0,30143,,,126784,7566.0,0.0,729566,2692604,2013年06月30日,-1309483.0,1502537,1502537,0,419658,687676,,25065,,126978.0,157000,2692604,,,757653.0,105896,,2260190.0,,0.0,,34512.0,128558,0,337995,1572514,30371.0,0
2013-11-12,3,2013,,770963,1220.0,-1385815,,53169,,,10148.0,9376,3850,116912,84745,99709,,,322835,174339.0,41645,11274,,223564,0,,45499,6228.0,32167,,,116068,1246.0,0.0,714534,2692604,2013年09月30日,-1385815.0,1416535,1416535,0,378808,562735,,27081,,102624.0,157000,2692604,,,701643.0,105896,,2118178.0,,0.0,,24324.0,124172,0,322835,1555443,30371.0,0
2014-03-28,4,2013,,801043,1220.0,-1615302,,62925,,,50289.0,8550,10869,144743,80690,105576,,,169093,,47958,18182,,139492,0,,33188,43064.0,64053,,,115004,2565.0,0.0,333291,2692604,2013年12月31日,-1615302.0,1088171,1088171,0,430920,478864,,25808,,57388.0,147000,2692604,,,600013.0,0,,1688184.0,0.0,0.0,,50825.0,118268,0,169093,1209320,29776.0,0
2014-05-12,1,2014,1270.0,800999,1220.0,-1669153,,101593,,,3036.0,5072,9357,147945,81020,126016,,,148052,,55162,25386,,133299,0,0.0,48777,11209.0,65655,,,103101,876.0,0.0,335982,2692604,2014年03月31日,-1669153.0,1032808,1032808,0,458715,424261,,24634,52861.0,,149191,2692604,,,609450.0,0,,1642258.0,,0.0,2683.0,36391.0,111661,0,150735,1217997,29776.0,0
2014-08-12,2,2014,8243.0,803467,1220.0,-1678534,,87119,,,1714.0,48039,1141,168519,81413,134295,,,126594,,57896,28120,,164327,0,0.0,56379,22701.0,78863,,,81104,3386.0,0.0,279365,2692604,2014年06月30日,-1678534.0,1015211,1015211,0,503869,497032,,23463,64167.0,,169151,2692604,,,647232.0,0,,1662443.0,,0.0,16769.0,20768.0,105826,0,143363,1165411,29776.0,0
2014-11-07,3,2014,8318.0,825646,366.0,-1756760,232.0,96987,,,1997.0,2940,12632,159405,82352,137389,,,115575,,58025,28249,,148601,0,0.0,43466,48316.0,68735,,,84130,1436.0,0.0,289468,2692604,2014年09月30日,-1756760.0,948476,948476,0,511086,393768,,22294,17275.0,,162912,2692604,,,641323.0,0,,1589799.0,,0.0,14662.0,10992.0,104583,0,130237,1196031,29776.0,0
2015-03-30,4,2014,8394.0,716184,366.0,-2028079,377.0,72480,126997.0,,1476.0,2950,21100,148781,82691,124592,,,105732,,57142,21199,,85710,0,0.0,31500,76405.0,57696,,,63207,7629.0,,320162,2692604,2014年12月31日,-2028079.0,685625,685625,0,611414,299949,,21125,14385.0,,155251,2692604,,,729680.0,0,,1415305.0,,,12534.0,1992.0,103740,0,118266,1115356,35943.0,0
2015-05-11,1,2015,8470.0,700378,0.0,-2074618,463.0,65107,154949.0,,1211.0,2481,18811,147840,82697,124503,,,106055,,55005,19062,,76728,0,0.0,22156,33084.0,56673,,,54385,3540.0,,262801,2692604,2015年03月31日,-2074618.0,636797,636797,0,574639,289113,35943.0,20119,,26265.0,151503,2692604,1327879.0,691082.0,,0,1327879.0,,,,10388.0,7222.0,98833,0,116443,1038766,,0
2015-08-12,2,2015,8548.0,680408,0.0,-2135745,708.0,62567,120489.0,,2988.0,27844,14835,128396,82316,116097,,,96281,,10834,10834,,48670,0,0.0,22832,18805.0,37532,,,52964,2554.0,,209673,2692604,2015年06月30日,-2135745.0,571694,571694,0,506786,261913,0.0,19447,,10796.0,153697,2692604,1182983.0,611289.0,,0,1182983.0,,,,8222.0,2915.0,93366,0,104503,921070,,0
