date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,13915,10717633,-365,9485.0,224941,46178,54633,,2379210,1338214,272726,106090,54998,19436753,850,,,650604,99880,123171,101989,,41059,2768127,2013年03月31日,9026854,,14678912,14327407,174354,1690779,6445961,22175530,,687006.0,97608.0,2870547,2768127,,,7704951.0,787864,1051,21000,765813,,22383863.0,27749,11264,37784,975000,351505,1258990,208333,537641,0
2013-08-07,2,2013,15381,9362409,-985,8865.0,1687684,47358,74840,0.0,3509496,1997818,327099,1443815,75825,24911041,850,0.0,,560784,698855,79087,34094,,37909,2768127,2013年06月30日,7503011,,13209322,12853983,174354,1859398,15001404,27772316,,622110.0,30098.0,8435400,2768127,,,16094034.0,649457,1051,21000,627406,,29303356.0,31709,15531,25070,750000,355339,1092630,1531040,128186,0
2013-11-06,3,2013,16495,9277634,-1054,8796.0,315842,66295,61035,0.0,5021867,2382666,335140,58044,62089,26881089,850,,,581789,658932,110893,132584,,38086,2768127,2013年09月30日,7418236,,13104489,12755403,174354,1859398,16504117,30928438,,382484.0,30694.0,9784100,2768127,,,17972474.0,649457,1051,21000,627406,,31076963.0,433535,12717,27104,1120500,349086,1468357,148525,649785,0
2014-03-12,4,2013,23014,9407064,-1625,8225.0,413288,46960,87342,,5195976,3685114,341362,41208,88967,26868445,850,,,969505,698965,33386,60195,,41392,2768127,2013年12月31日,7547666,,13341726,12912012,174354,1859398,17720879,32112052,,260639.0,26276.0,10383483,2768127,,,18899357.0,650329,1051,21872,627406,,32241083.0,660977,27866,15192,809250,429714,1178478,129031,529722,0
2014-04-30,1,2014,21618,9327386,-847,9003.0,230354,47651,80707,,5701552,3906267,347846,40524,81554,27365574,850,,,602948,499176,122434,57075,,41391,2768127,2014年03月31日,7467988,,13268689,12825699,174354,1859398,18838976,33163431,599932.0,,127912.0,11554600,2768127,,,20022420.0,650329,1051,21872,627406,,33291109.0,554155,26348,15142,809250,442990,1183444,127678,632777,0
2014-08-06,2,2014,20424,7681277,996,10046.0,1835183,52924,54920,,6576004,6177909,354330,23314,53924,28037321,850,,0.0,584237,1408425,124114,19601,,37891,2768127,2014年06月30日,5515325,,11462803,11015398,174354,2165952,24065166,36418844,510024.0,,253405.0,13283798,2768127,,,25062684.0,511924,1051,21872,489001,,36525487.0,881337,20688,14968,622500,447405,997518,106643,739728,0
2014-11-05,3,2014,18932,7821211,0,0.0,387432,60862,93129,,7506918,5583181,268587,22772,93129,28573673,850,,0.0,620897,1798245,215113,12499,,42765,2768127,2014年09月30日,5655259,,11542715,11193541,174354,2165952,24514198,37624823,1985572.0,,259581.0,13726012,2768127,,,26181304.0,511924,1051,21872,489001,,37724019.0,623002,28719,14727,1369800,349174,1667106,99196,786034,0
2015-03-11,4,2014,18013,9428821,0,0.0,448041,44704,129719,,6531917,5210894,271518,38629,129719,27032777,850,,0.0,1085821,429882,46676,82104,,44061,2768127,2014年12月31日,7262869,,13199972,12838699,174354,2165952,20203496,34821285,926000.0,,266314.0,11394845,2768127,,,21738864.0,512882,1051,22830,489001,,34938836.0,812174,46250,16848,1217600,361273,1535368,117551,712632,0
2015-05-06,1,2015,18488,10595873,0,0.0,347309,41558,118405,,6866700,5051872,273950,37205,118405,28266271,850,,0.0,688485,229766,209407,72978,,44334,2768127,2015年03月31日,8429921,284113.0,14355067,13994437,174354,2165952,20323337,35868788,,1226659.0,,11697557,2768127,35985586.0,21630519.0,,512882,1051,22830,489001,35985586.0,,513983,43932,16771,989300,360630,1307182,116798,695467,0
2015-08-05,2,2015,17080,10068458,0,0.0,1776784,53624,101590,,6654800,4869912,276457,39222,101590,29437495,850,,0.0,788558,449786,226333,99827,,42680,2768127,2015年06月30日,7761886,107300.0,13668789,13311800,174354,2306572,21761761,36392743,,516556.0,,11758200,2768127,36508496.0,22839707.0,,374475,1051,22830,350594,36508496.0,,689755,40489,16771,761000,356989,1077946,115753,725574,0
