date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付員工紅利,應付帳款合計,應付帳款－關係人合計,應付股利,應付董監事酬勞,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,,79237.0,1524361,124036,1458738,179543.0,357718,0.0,848527,14752.0,620466,106667,253.0,155083,235767,,38034,87576,62575,2003,111316,73770,7899,-24460.0,17323,34427,2945613,50999,,,192686,4094786,126786.0,,20486,14889,3445026,21717.0,42570.0,633525.0,52413.0,5248074,2013年03月31日,917178,,7391832,7382378,2209867,287885,5425251,10443709,,95475,,23199.0,,,253675,,3177210.0,58437.0,0.0,5248074,,46196,,5750557.0,571482,2105.0,95836.0,,3258.0,470283.0,,,13142389.0,,18230.0,17006.0,,157554,245725.0,9454,325306,2698680,310042,3119,156530,0
2013-08-09,2,2013,,48167.0,1525724,130217,868398,81103.0,230969,0.0,1619432,13204.0,636432,193078,114.0,174493,164406,,25516,111944,61641,2593,111807,73366,7435,93390.0,17309,36905,2957220,50999,,,160017,4722774,1405.0,786059.0,24692,12232,3944485,19329.0,41739.0,629150.0,54930.0,5262904,2013年06月30日,239535,,6843772,6833463,2209867,375188,6591327,11032126,,119379,,22977.0,,,253675,,3349711.0,23103.0,0.0,5262904,,47003,,6917032.0,578667,2105.0,98548.0,,3258.0,474756.0,,,13760804.0,,38.0,16897.0,16897.0,157471,247167.0,10309,325705,2728678,288689,1536,116239,0
2013-11-12,3,2013,,47476.0,1472948,122065,1003983,27333.0,89396,0.0,734324,12421.0,574138,130624,135.0,21726,170673,,24830,104321,60826,2003,117303,73366,7435,-5607.0,17213,32856,2902943,50999,,,128304,4465150,1768.0,,8691,23191,3432732,24438.0,41610.0,624775.0,56840.0,5292009,2013年09月30日,375120,,6864103,6853690,2209867,375188,5496403,9995044,,111756,,22013.0,,,253675,,3078460.0,63894.0,0.0,5292009,,48173,,5793903.0,586971,2105.0,74150.0,,6560.0,504156.0,,,12658006.0,,68.0,16788.0,,157275,219886.0,10413,297500,2662962,289405,11081,123197,0
2014-03-17,4,2013,47854.0,47854.0,1382698,179766,1168202,17784.0,53386,0.0,1012990,14.0,828213,294221,25.0,64511,146738,,10173,99680,53152,2003,120195,74571,7435,46727.0,16971,35960,3035431,50999,668000.0,,150002,4895290,1793.0,,11584,23191,2932771,14843.0,34178.0,0.0,44507.0,5300619,2013年12月31日,539339,,7088476,7074072,2209867,375188,6165982,11552669,,107115,,22125.0,,,253675,,4271163.0,62684.0,0.0,5300619,,46473,,6457519.0,591739,5509.0,70374.0,,6559.0,509297.0,,,13545995.0,,1997.0,16752.0,,159045,221633.0,14404,291537,1993326,248534,9664,98884,0
2014-05-09,1,2014,81105.0,81105.0,1341824,167283,1357397,18369.0,70103,,791009,4.0,563602,163547,0.0,125161,201370,,42196,89436,37116,2003,128455,74575,7435,106792.0,1353,34645,2918181,50999,0.0,0.0,179220,4632169,2255.0,,15687,32500,3144409,21693.0,33760.0,0.0,45860.0,5310079,2014年03月31日,728534,,7350760,7334927,2209867,375188,5732888,11331543,,96871,,22374.0,36398.0,,253675,4702872.0,,59237.0,,5310079,,46507,,5939938.0,593289,,65512.0,5509.0,6559.0,515709.0,,,13290698.0,337.0,0.0,0.0,,142464,169934.0,15833,207050,1959155,246168,19235,120265,0
2014-08-08,2,2014,79495.0,79495.0,1293545,166519,1025875,24202.0,51240,,1317901,5.0,597107,93466,0.0,50341,175417,0.0,53534,85089,36207,2003,140853,74575,7435,26139.0,929,36563,2761317,50999,0.0,0.0,162073,4720004,278.0,485405.0,19025,54291,3689993,15439.0,33275.0,0.0,47672.0,5318499,2014年06月30日,343078,,6954729,6938215,2209867,429122,6298534,11535236,,92524,,22217.0,37371.0,,253675,4611894.0,,27222.0,,5318499,,57707,,6501301.0,594499,,61158.0,5509.0,6559.0,521273.0,,,13456030.0,0.0,0.0,0.0,,142310,166560.0,16514,202767,1920794,236136,29715,95922,0
2014-11-12,3,2014,48841.0,48841.0,1270622,166500,1090442,16425.0,43462,,985468,6.0,802750,236825,0.0,117110,170471,0.0,34465,75168,37665,2003,122001,74576,7435,100685.0,2609,34037,3239025,50999,0.0,0.0,129002,4863284,854.0,,8841,44875,3129040,12943.0,33053.0,0.0,48897.0,5333604,2014年09月30日,407645,,7103521,7091552,2209867,429122,6094748,11392831,,82603,,22286.0,58872.0,,253675,4430442.0,,13376.0,,5333604,,61289,,6181254.0,601395,,56466.0,5509.0,8575.0,530845.0,,,13284775.0,,78.0,0.0,,142449,48841.0,11969,86506,1891944,244265,13388,121630,0
2015-03-20,4,2014,,0.0,1251948,164346,1337928,25337.0,103014,,1007837,0.0,783298,263446,0.0,313350,111359,,13425,176203,22304,2003,126591,74582,7435,288013.0,877,33901,3286543,50999,0.0,0.0,166579,5019939,0.0,,13859,44101,3818393,0.0,19424.0,,0.0,5340804,2014年12月31日,655131,,7559869,7552451,2209867,429122,6563224,12211443,,183638,,16441.0,59856.0,,253675,4485059.0,,54602.0,94950.0,5340804,,274537,,6585528.0,611368,,55253.0,5509.0,8575.0,542031.0,,,14145397.0,,0.0,0.0,,147575,0.0,7418,22304,1933954,225122,18108,111359,0
2015-05-12,1,2015,,0.0,1185409,177034,1447503,33711.0,213586,,852731,,644663,165823,,259626,149478,,39686,164280,21326,2003,105492,64585,7435,225915.0,877,32662,3166905,50999,,,183960,4193060,0.0,,16175,7933,2984721,0.0,,,0.0,5342879,2015年03月31日,764706,17407.0,7627218,7619935,2209867,429122,5511805,11325345,18446.0,171715,16444.0,,,47908.0,253675,,4490318.0,,0.0,5342879,13160349.0,299129,5533131.0,,620926,,63731.0,5509.0,8575.0,543111.0,,13160349.0,,0.0,3477.0,,,147446,0.0,7283,21326,1835004,244385,8245,149478,0
2015-08-11,2,2015,,0.0,1131609,170548,1097726,30897.0,220529,,1477463,,707335,221685,,209999,169282,,22663,156209,19097,2003,92284,57586,7435,179102.0,877,28804,2956766,50999,,,165262,4971545,,572760.0,21122,10984,3338687,0.0,,,0.0,5349329,2015年06月30日,334934,32490.0,7258914,7251698,2209867,493476,6862059,12418683,16217.0,163644,39379.0,,,76020.0,269316,,5362901.0,,0.0,5349329,14140070.0,200282,6881156.0,,645643,,69384.0,,10951.0,547912.0,17396.0,14140070.0,,10997.0,,,,87282,0.0,7216,19097,1721387,256073,5894,169282,0
2015-11-06,3,2015,,0.0,1111447,155320,1477741,47258.0,234728,,961505,,700690,165192,,374657,213363,,14411,147695,18024,2003,88225,57586,7435,327399.0,877,28989,3652765,50999,,,196449,6031067,,,19758,44608,3406038,0.0,,,0.0,5349329,2015年09月30日,714949,105808.0,7801543,7793835,2209867,493476,7508627,13717825,15144.0,155130,130461.0,,,57221.0,269316,,5836368.0,,0.0,5349329,15328194.0,189966,7526651.0,,643107,,78735.0,,10951.0,547912.0,5509.0,15328194.0,,6918.0,0.0,,,43026,0.0,7708,18024,1610369,277862,1650,213363,0
2016-03-23,4,2015,,,1068089,138909,1919162,30644.0,392926,,1127403,,833880,168694,,279107,201720,,24453,137892,26317,2003,87794,57593,7435,248463.0,843,26771,3631624,50999,,,216256,5158162,,,22421,54846,3531782,,,,,5369759,2015年12月31日,1156370,155044.0,8179363,8171824,2209867,493476,6781857,13507434,23471.0,145327,140426.0,,,28585.0,269316,,5382528.0,,0.0,5369759,14987537.0,139528,6808174.0,,654795,,80047.0,,10951.0,558288.0,5509.0,14987537.0,,,,,,11399,,7539,26317,1480103,235001,3430,201720,0
2016-05-10,1,2016,,,1022311,138749,2317478,,564888,,952665,,634714,382291,,172287,192891,,21812,129548,24753,2003,89339,57598,7435,,896,28966,4243672,50999,,,265458,4888508,,,30109,22384,3094345,,,,,5377554,2016年03月31日,1554686,182103.0,8485446,8478151,2209867,493476,6359221,13441558,21854.0,136983,467791.0,,,29323.0,269316,,4455376.0,,,5377554,14869420.0,143054,6383974.0,,661831,,,,,,,14869420.0,,,0.0,,,11157,,7295,24753,1427862,211383,2775,192891,0
2016-08-05,2,2016,,,987043,138772,1739663,,837081,,2101061,,765586,143853,,109490,251334,,20849,122286,23276,2003,88007,56399,1930,,842,28328,3676775,50999,,,224785,4465012,,1052036.0,39484,19170,3820177,,,,,5381244,2016年06月30日,876875,235705.0,7858584,7852094,2209867,609113,7199763,13708532,20431.0,124216,664240.0,,,30079.0,253675,,4347724.0,,,5381244,15087759.0,146651,7229175.0,,672696,,,,,,,15087759.0,,0.0,,6136.0,,11110,,6490,29412,1379227,197833,3280,251334,0
2016-11-09,3,2016,,,941032,170311,2220007,,333888,,1153378,,806004,131868,,-30078,263968,,10411,111920,22593,2003,89355,56399,1930,,851,29651,3353728,50999,,,293893,4976788,,,26365,27116,3747888,,,,,5437079,2016年09月30日,1357219,309164.0,8292588,8286291,2209867,609113,6823506,13787297,19739.0,113850,993128.0,,,30847.0,253675,,5033944.0,,,5437079,15143487.0,120208,6850899.0,,710282,,,,,,,15143487.0,,0.0,,4800.0,,10795,,6297,27393,1356190,182442,3305,263968,0
