date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,6686225,164933448,3590644,31082941,11547632,3223610.0,20601794,16602540,10867245,706679,7537581,7783027,1096802,16195,4653108,196858,4745270,3089822,-4010051,213013,1369061,14227005,5616778,0.0,,31861499,6634133,,5735295,17220843,114828,100784,4243237.0,0.0,8574346,129532805,2013年03月31日,26606371,,,214416107,209715410,374378737,4476570,37300419,91797388,,2978473,,53424276.0,1343282.0,75088.0,4544512,129539658,,,,,86016028.0,47172008,,267413.0,360652,,2012625,,44048467,,482851,,300432135.0,392925,641881,74420,2513779,3136352,9687223,4700697,48715609,208634747,84437.0,2046199,201950,6853.0,685300
2013-08-07,2,2013,18916556,164824668,3695290,27833631,11506165,2781340.0,19931665,25028494,12379297,854168,7885742,19861651,945095,14572,4714366,210149,4851131,3084667,-3620423,257311,1327395,14330246,2365246,0.0,,19977568,7173987,5061310.0,7587887,19240468,21222,116936,4246906.0,0.0,9076276,126541173,2013年06月30日,22584807,,,209903981,205238770,216078737,5248824,57616303,92899530,,4724729,,52863347.0,683505.0,54811.0,4591402,126541173,,,,,93187892.0,45343470,,263900.0,376756,,1189157,,43030806,,482851,,303091873.0,277264,639199,89539,2319644,2999045,8560011,4665211,35571589,210192343,5000.0,1983221,434069,0.0,0
2013-10-30,3,2013,18349508,166559165,3795026,31309726,10196761,2379927.0,19672963,19388135,10437232,759800,5664198,19298694,949186,14543,4775131,228298,5067856,3337434,-4532563,296302,1311689,14170525,2365246,0.0,,19978461,7619852,,8950903,18607462,17718,33676,4250531.0,0.0,8103393,126541173,2013年09月30日,26060902,,,211396846,206896909,216078737,5248824,52268518,88902767,,4808838,,50336142.0,824585.0,51524.0,5085921,126905388,,,,,88352089.0,45382843,,281774.0,376913,,1195930,,43045375,,482851,,299748935.0,51331,631989,23870,2507033,2815057,8822946,4499937,36083571,210846168,0.0,1899461,418733,364215.0,36421500
2014-03-12,4,2013,16545226,162352900,4085292,32437984,11046696,2134379.0,19556141,17753724,11052981,725083,5775497,17429388,884162,1998441,4325334,205693,5178125,3478290,-5271199,321856,1289975,13993259,2365246,0.0,,19979354,7414188,,6700743,16624352,2854,194939,3797785.0,0.0,8441836,126920817,2013年12月31日,27189160,,,212441176,208121188,216078737,5248824,48203970,88796224,,4739647,,50830678.0,961169.0,54626.0,4643573,126946499,,,,,83461653.0,45326454,,280308.0,266314,,1216920,,43156776,,406136,,295902829.0,1928,633264,60441,2517144,2692223,8435851,4319988,35257683,207106605,0.0,1604349,409860,25682.0,2568250
2014-04-30,1,2014,16903347,158012762,4169263,33617682,13674270,2313818.0,21710574,15373687,10553628,634184,9856511,18002497,1099150,3497601,4362902,198014,4918464,3410650,-3818628,361801,1252213,14421441,2365246,67108.0,,19980247,7154997,,4820059,18827301,4887,53951,3803087.0,,8674050,126978232,2014年03月31日,28368858,,,217775311,213446286,216078737,5248824,49235637,96753702,,4555177,53915155.0,,1147185.0,53248.0,7516080,127028568,869.0,23104.0,,,83852108.0,45308771,,,245679,258060.0,1219636,,43181516,,403880,,301627419.0,18087,857157,98052,2594301,2735375,7679021,4329025,34616471,204873717,0.0,2107851,255601,50336.0,5033625
2014-07-30,2,2014,7798397,157001865,3739459,36861887,15257688,2729361.0,22336669,25145609,17827089,739169,10010410,8745331,946934,6572944,4370377,195424,5907056,3460066,-5247278,365925,1215363,13843940,2365246,,0.0,24975764,6852560,125063.0,7193457,21464004,66033,86353,3809028.0,,9184605,127063143,2014年06月30日,30350043,,,215112741,210971669,216078737,6511844,49679451,98373859,,4648904,49634263.0,,978346.0,31127.0,7953800,127063143,,,,,88685690.0,39401475,440932.0,,219233,348342.0,1230880,82278.0,37079810,,0,,303798431.0,3805,879894,103086,2713407,2502928,6946691,4141072,39006239,205424572,0.0,2326771,1231627,0.0,0
2014-10-29,3,2014,8188511,162473595,4076743,39777831,12386147,2190085.0,20321422,21059622,10660721,1049011,8466419,9089910,901399,6855699,4418641,201195,6455123,3241751,-3919728,402362,1191956,14310024,2365246,,0.0,24976792,6751883,,10398901,21758349,77149,96223,3815084.0,,8765270,127063143,2014年09月30日,33265987,,,216392467,212545489,216078737,6511844,45443867,91802273,,4472090,42743972.0,,1459178.0,43268.0,7074967,127247723,,,,,84430004.0,39418762,440932.0,,219277,348342.0,1238919,83927.0,37087193,172.0,0,,300822471.0,8307,648705,42930,2582844,2413025,7007860,3846978,38986137,209020198,30000.0,2029788,1991416,184580.0,18458000
2015-03-18,4,2014,3774986,166690243,3833006,44339023,13272691,0.0,24362104,22899866,12421152,658409,12372712,4610225,835239,3134870,4568417,291021,5436453,3227257,-899979,451906,1145843,15242232,2303609,6978991.0,0.0,24977820,6167339,,10478714,22207271,36022,126141,3825490.0,,9237713,127252078,2014年12月31日,37827179,,,225008851,221159053,210588737,6511844,48106076,96863149,,4532938,45701335.0,,2540688.0,34480.0,6250754,127303048,,5594850.0,,,88236797.0,39447879,440932.0,,166268,348342.0,1255514,91238.0,37145022,563.0,0,,313245648.0,42354,740129,45232,2161014,2244810,8423470,3849798,40130721,216382499,,2003269,1063353,50970.0,5097000
2015-04-29,1,2015,3637118,165956301,3855368,48315467,14107277,0.0,26821106,19353938,11942069,553107,12302580,4303092,665974,2313713,10622581,6311765,7481395,3642088,-1804697,478099,1145916,15641351,2303609,5813415.0,0.0,24978847,6382973,,7411869,20553750,1370,67953,,,9337152,127477628,2015年03月31日,41803623,2737970.0,36445.0,229262232,225429658,210588737,6511844,44442945,101033611,3832717.0,4492321,,53632056.0,,,7216847,127509724,0.0,4448125.0,321064806.0,91802574.0,,39605496,567530.0,,99958,348342.0,1255514,114434.0,37219718,0.0,0,321064806.0,,0,900934,44338,1847133,2043214,9911068,3832574,47359629,220031195,90824.0,1519517,2602567,32096.0,3209625
2015-07-29,2,2015,3937173,167959867,3835105,45976520,10299912,0.0,23517528,28737457,12499656,738340,7333486,4738069,800896,3792418,10792080,6482817,9325818,3610499,-2966426,470757,2425899,16045110,1626759,0.0,0.0,41467101,6469936,6939322.0,9298479,21147913,220835,66749,,,11001776,127514409,2015年06月30日,38250542,2135553.0,31564.0,224382487,220674727,150302237,7725978,43485455,109220849,3838506.0,4448984,,64046049.0,,,1397000,127581329,,0.0,331255618.0,106873131.0,,41410151,598885.0,,22333,348342.0,1498033,113387.0,37233394,23656.0,1572121,331255618.0,,7440,824567,120705,1848491,1824986,9280004,3707760,63387676,222034769,,2307304,3289420,66920.0,6692000
