date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-07-03,1,2013,2687951,,9519,1642202,-342912,434693,152161,1113636,14900,219722,2835,-322548,,72250,2456,155101,544658,20364,2959777,,,,4743121,0.0,0.0,118,6088369,316252,4.0,281915,3257969,2013年03月31日,1279207,,4816673,4816673,0,157671,7715403,10455298,18844,205324,,293771.0,149473.0,1608635,3257969,,,,9453420.0,239050,110048.0,,129002,,,14270093.0,13270.0,0,0.0,119747,1582916.0,,1738017,3814795,137419,0
2013-08-12,2,2013,2725889,,11611,1246021,-358722,385474,122173,1710882,17272,180592,428,-308730,,57343,3249,153327,557224,49992,2606361,,35817.0,,5336458,454.0,0.0,5132,7216831,329962,135.0,282755,3257969,2013年06月30日,391342,,4479141,4479141,0,248928,8974556,11398659,20277,605751,,353304.0,61817.0,1769001,3293786,,,,10718507.0,248064,110048.0,,138016,,,15197648.0,16197.0,0,,79060,1590624.0,,1743951,3798989,322323,0
2013-11-11,3,2013,2769445,,11611,1574233,-340866,411422,108575,1200180,5409,241371,1093,-304863,,442377,3090,30390,497615,36003,3095610,,,,6188163,192.0,50000.0,173,7697148,366675,85.0,284051,3293786,2013年09月30日,719554,,4811220,4811220,0,248928,10192261,12448883,18295,605751,,461163.0,57162.0,2248605,3293786,,,,11435021.0,248064,110048.0,,138016,,,16246241.0,,26704,0.0,107766,1212370.0,,1242760,3797358,144522,0
2014-03-10,4,2013,2591144,,0,1696880,-308259,601717,112838,1404121,3765,171221,27812,-236024,,90331,5102,34393,683856,72235,3349870,,,,7508094,177.0,0.0,191,7472437,557820,187.0,331937,3533786,2013年12月31日,842201,,6001828,6001828,0,248928,9346801,12714729,35306,605751,,388956.0,185944.0,143016,3533786,,324176.0,,10629015.0,1007186,110048.0,,897138,,,16630843.0,11162.0,7554,,161033,923645.0,,1282214,3916114,132053,0
2014-05-08,1,2014,2602794,,0,1826961,-204551,1122660,167560,1660045,18164,160638,3751,-149326,,62763,47,33380,666429,55225,3337012,,,0.0,7204224,70.0,,635,5722347,503842,0.0,333428,3533786,2014年03月31日,972282,,6218607,6218607,0,248928,9312283,11600247,32857,605751,610990.0,,149528.0,182790,3533786,,0.0,,9345663.0,1007186,,110048.0,897138,,,15564270.0,34064.0,9121,,160955,0.0,,33380,3964023,129839,0
2014-08-11,2,2014,2579331,,0,1415965,-165503,1059615,168256,2146703,23541,165414,63,-149176,,88154,0,28243,619859,16327,2981180,,176882.0,0.0,6429710,279.0,10000.0,485,6936564,607885,73.0,326808,3533786,2014年06月30日,850768,,5984643,5984643,0,329173,10392288,12559113,29944,236024,653939.0,,130312.0,1528897,3710668,,0.0,,10420531.0,1007186,,110048.0,897138,,,16405174.0,34207.0,22768,,121863,0.0,,28243,3846061,131612,0
2014-11-12,3,2014,2660555,,0,1779087,-312835,948640,120494,1810342,38226,183961,73,-238504,,477152,6073,52368,647068,74331,3285043,,,0.0,8392085,0.0,0.0,1065,7879656,465806,0.0,322628,3588533,2014年09月30日,1213890,,6319154,6258437,0,329173,11475778,13854134,125865,236024,894360.0,,67318.0,664675,3588533,,0.0,,11528146.0,1129321,,110048.0,1019273,,,17847300.0,24915.0,8183,,116556,0.0,60717.0,52368,3993166,182339,0
2015-03-23,4,2014,2748945,,270000,2111576,-408757,785223,121799,1956065,39969,295934,2883,-263096,,475733,12275,56861,565940,145661,3741861,,,0.0,8533828,0.0,,141,7393883,655190,0.0,319845,3588533,2014年12月31日,1546379,,6628304,6566334,0,329173,11821502,14237400,125606,236024,886043.0,,118826.0,664020,3588533,,0.0,,11878363.0,1129321,,110048.0,1019273,,,18506667.0,32920.0,8017,,117132,0.0,61970.0,56861,4269267,456091,0
2015-05-04,1,2015,2702450,,270000,2258557,-454363,911092,107792,1872201,13665,189935,63,-322781,,477783,6072,58758,516850,131582,3214123,,,0.0,6955342,33.0,,56,6892628,579986,,313494,3588533,2015年03月31日,1693360,86472.0,6711778,6653630,0,329173,10569793,13181479,131550,236024,,880550.0,,1164241,3588533,17340329.0,,10628551.0,,1129321,,110048.0,1019273,,17340329.0,,0.0,11586,,116714,,58148.0,58758,4158850,495444,0
2015-08-10,2,2015,2640022,,374520,1700754,-684402,983680,75080,2658283,27316,229517,63,-603964,,79019,6075,59240,529647,80438,2888030,173115.0,161553.0,0.0,5949479,0.0,0.0,10737,7713004,463014,10954.0,307733,3588533,2015年06月30日,995628,97573.0,5859515,5803082,4188000,442031,11666508,13331708,208179,263095,,705409.0,,2840187,3750086,17585263.0,,11725748.0,,1129321,,110048.0,1019273,,17585263.0,,3914.0,8499,,118374,,56433.0,59240,4253555,323463,0
