date,season,year,不動產、廠房及設備合計,人壽保險現金解約價值,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存出保證金,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項－關係人淨額,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2014-03-28,4,2013,418664,3582,12620,1023347,,0,0,144105,42273,804,12517,3497,,6331,3582,75664,10474,43802,3558,534796,534796,,,394634,0,138650,814067,3313,12504,65190,540000,2013年12月31日,905912,,,1588900,1588900,0,117435,1003109,2113740,,12319,,47698,,,651954,22310,230000,,540000,,69913,,1111993,13036,,2700893,33220,99748,0,29298,108884,587153,,7364,0
2014-08-14,2,2014,385819,3760,12620,964256,,,,180366,46140,1926,7257,9192,9192,,3760,73446,10276,51407,3543,480454,,60000,0,397525,,162653,942454,4874,14453,63170,540000,2014年06月30日,835070,,54909,1584549,1584549,0,129186,1181011,2301798,,10371,,47508,,756833,,28563,330000,780161,600000,,72712,,1289793,13036,,2874342,35336,112327,,28714,108782,572544,7156,15390,0
2015-02-26,4,2014,440519,0,12620,1138049,,,,221300,43887,0,57899,5608,5608,8729,0,77022,10790,48563,5208,593538,,,0,453440,1408,183760,1089503,5118,20140,66232,600000,2014年12月31日,1008863,,232921,1808984,1808984,0,129186,1177857,2484947,,13637,,51376,,672656,,42377,200000,775942,600000,,69964,,1306925,13036,,3115909,52046,115623,,30198,129068,630962,,13157,0
2015-05-15,1,2015,441310,0,12620,1211322,,,,169410,33640,0,45414,5321,5321,11915,0,75895,10570,47996,5180,598919,,,0,472429,118,134105,1060028,2206,20867,,600000,2015年03月31日,1082136,66895,73273,1869772,1869772,0,129186,1168867,2526462,65325,11184,50639,,,,748248,,250000,1008863,600000,3159570,70589,1289798,,13036,3159570,,45036,119998,,29553,120931,633108,,13263,0
2015-08-12,2,2015,445714,0,12620,1130243,5006,,,301605,27149,0,37966,5519,5519,13893,0,74826,10408,53423,5159,565753,,0,0,414590,702,156871,1071033,4289,19534,,600000,2015年06月30日,977765,49500,112194,1789481,1789481,0,152478,1179498,2369504,64418,9115,50558,,82461,,612289,,180000,865571,600000,3092167,70711,1302686,,21272,3092167,,48362,119330,,29079,123188,722663,,19185,0
2015-11-06,3,2015,461641,,12620,1248188,4563,,,181136,28761,0,61490,6791,6791,15367,,74089,10578,54507,5282,704628,,,0,538963,33,128163,1097996,267,5271,,660000,2015年09月30日,1095710,40385,230139,2204550,2204550,0,152478,965634,2564975,63511,6677,52086,,84412,,656036,,0,865571,660000,3301908,70163,1097358,,234872,3301908,,57635,117076,,29567,131724,736933,,19658,0
2016-03-28,4,2015,474781,,12620,1333355,,,,237160,33419,,42313,4872,,11991,,75618,10291,39544,3112,766489,,,0,540877,0,133806,1191303,17,18336,,660000,2015年12月31日,1180877,55583,317565,2270540,2270540,0,152478,1042930,2709998,65327,10341,53375,,82579,,635068,,0,863312,660000,3449778,70632,1179238,,234872,3449778,,60690,119915,,28728,136308,739780,,7704,0
2016-05-06,1,2016,455208,,12620,1396590,,,,178710,24605,,29046,5959,,14401,,74440,10080,38699,3111,669463,,,0,440948,0,82750,1103288,20,11821,,660000,2016年03月31日,1244112,61607,63235,2320508,2320508,0,152478,940948,2760205,64360,10469,52621,,0,,883986,,100000,1180877,660000,3398784,70974,1078276,,234872,3398784,,62888,121583,,28117,137328,638579,,7471,0
2016-08-12,2,2016,439898,,12620,1297039,0,,,397219,19567,,7129,5073,,13185,,73190,9797,36723,3206,695661,,,,494555,0,132656,1135124,22,14817,,660000,2016年06月30日,1112805,44647,161684,2199040,2199040,0,184234,1217172,2942812,63393,8367,100427,,0,,964009,,70000,951121,660000,3556402,73022,1357362,,234872,3556402,,67000,115982,,27284,140190,613590,,6233,0
2016-11-11,3,2016,424824,,12620,1352478,0,,,189640,34548,,-25984,11079,,16089,,71832,9406,36606,3103,576026,,,,444316,0,129890,1172756,20,14412,,660000,2016年09月30日,1168244,14603,217123,2221366,2221366,0,184234,1118671,2880199,62426,8321,97698,,0,,968650,,260000,951121,660000,3476909,69143,1255543,,234872,3476909,,65040,114339,,26143,136872,596710,,7360,0
