date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,463472,-303136,33924,211052,1681,1553.0,-1539,18632,,152884,,,,2180,11417,,-1539,,,64404,,18702,30000.0,1981,30697,692.0,3263,2295,525168,2013年03月31日,-303136,149287,246213,0,644461,303784,28862,,27104.0,330170,525168,,,660543.0,25720,,25720,,,809830.0,1109,0.0,12793,-96926,16082,506046,21506,,0
2013-08-12,2,2013,33073.0,461919,-318811,30801,222575,1017,1617.0,-3900,35706,2633.0,159954,2976.0,156978.0,12750.0,2188,19482,2234.0,-3900,,4498.0,58521,,16906,10000.0,90,27969,889.0,4895,2295,525168,2013年06月30日,-318811,406015,390582,0,648178,589241,28947,,312930.0,332100,525168,,,695869.0,188125,162405.0,25720,,,1101884.0,1109,0.0,44394,15433,47691,512643,21449,,0
2013-11-12,3,2013,33351.0,430367,-337734,27193,40428,230,788.0,-3994,38056,4705.0,92571,3910.0,88661.0,12750.0,2167,18865,1657.0,-3994,2167.0,4458.0,56615,,27494,10000.0,1746,21296,1788.0,5475,3545,525168,2013年09月30日,-337734,362897,371565,0,332267,252726,28887,,50402.0,187350,525168,,,371493.0,188125,162405.0,25720,,,734390.0,1109,0.0,35950,-8668,39226,481664,23561,,0
2014-03-28,4,2013,33632.0,425070,-363629,33401,41039,696,1311.0,-4447,38852,3095.0,27524,923.0,26601.0,12750.0,2203,28707,10672.0,-4447,2203.0,5285.0,58090,,21984,0.0,1391,32532,0.0,4115,3541,525168,2013年12月31日,-363629,297378,345217,0,317833,159620,28990,,25201.0,181166,525168,,,348550.0,188125,162405.0,25720,,,645928.0,1077,,27437,-47839,30717,486308,10151,2125.0,0
2014-05-13,1,2014,41055.0,417534,-374228,27509,36299,1482,,-4465,44876,1772.0,6467,1512.0,4955.0,12750.0,2201,28556,10523.0,-4465,2201.0,5283.0,51476,0.0,12649,0.0,3469,21858,,4445,2295,525168,2014年03月31日,-374228,278362,334600,0,297578,133481,28984,34064.0,,172776,525168,,,332488.0,188125,162405.0,25720,,,610850.0,997,,31712,-56238,34910,477369,13689,2049.0,0
2014-08-14,2,2014,37463.0,404545,-391484,32162,35884,2831,,-4039,43459,581.0,10170,1045.0,9125.0,12750.0,2155,28313,10352.0,-4039,2155.0,5211.0,49273,0.0,23169,0.0,1857,27204,,7985,2295,525168,2014年06月30日,-391484,255190,317770,0,311306,130185,28851,14976.0,,174775,525168,,,338999.0,188125,,25720,162405.0,,594189.0,1024,,24514,-62580,27693,464004,17746,5415.0,0
2014-11-12,3,2014,58642.0,397551,-402345,39596,47340,3182,,-4706,68359,979.0,13301,843.0,12458.0,15750.0,2213,28067,10250.0,-4706,2213.0,2067.0,56973,0.0,25384,0.0,1568,28441,,8100,2295,525168,2014年09月30日,-402345,233629,306242,0,340002,160374,29018,29818.0,,157755,525168,,,383676.0,188125,162405.0,25720,,,617305.0,1047,,40414,-72613,43674,456931,20559,8738.0,0
2015-03-27,4,2014,55137.0,393140,-404554,31793,43353,2553,,-5582,67255,1497.0,9567,857.0,8710.0,15750.0,2287,31111,10689.0,-5582,2287.0,4672.0,52970,0.0,18791,,1299,32137,,10722,2295,525168,2014年12月31日,-404554,220470,303157,0,356343,152622,27832,28567.0,,193852,525168,,,386530.0,188125,162405.0,25720,,,607000.0,1100,,26800,-82687,30187,454378,16106,10621.0,0
2015-05-11,1,2015,54262.0,376168,-418980,29552,44879,8024,,-5237,66538,1412.0,7106,1106.0,6000.0,11250.0,2260,26395,10522.0,-5237,2260.0,4623.0,58261,0.0,18170,,1039,27901,,3979,2295,525168,2015年03月31日,-418980,199809,289076,0,351516,136301,26418,,14825.0,191338,525168,567577.0,367768.0,,188125,162405.0,25720,,567577.0,,902,,13090,-89267,16252,431276,16205,10864.0,0
2015-08-10,2,2015,49831.0,365830,-433992,35936,45507,2448,,-4849,61442,1333.0,6874,870.0,6004.0,11250.0,2233,26178,10355.0,-4849,2233.0,4573.0,57763,0.0,27268,,779,30364,,10080,2295,525168,2015年06月30日,-433992,174640,274452,0,379149,141798,24982,,17662.0,208217,525168,561083.0,386443.0,,188125,162405.0,25720,,561083.0,,961,,4100,-99812,7294,419285,16607,10278.0,0
2015-11-12,3,2015,40414.0,364824,-442330,38241,48859,2581,,-6316,52041,819.0,6963,959.0,6004.0,11250.0,2330,26372,10368.0,-6316,2330.0,4754.0,56360,0.0,24155,,520,32655,,11648,2295,525168,2015年09月30日,-442330,160086,264647,0,403228,149356,23786,,22783.0,239412,525168,566633.0,406547.0,,188125,162405.0,25720,,566633.0,,989,,0,-104561,3319,417277,16366,10808.0,0
2016-03-17,4,2015,28291.0,32206,-310840,51972,48726,4620,,-4438,38795,837.0,5095,1092.0,4003.0,0.0,2239,12379,10347.0,-4438,2239.0,2032.0,64384,0.0,18993,,0,27918,,11086,2295,525168,2015年12月31日,-310840,186399,398015,0,170953,335658,0,,206328.0,12467,525168,382538.0,196139.0,,188125,162405.0,25720,,382538.0,,956,,21991,-211616,25186,46880,16227,9667.0,0
2016-05-12,1,2016,27706.0,29070,-319584,33721,49996,1890,,-4104,38577,1098.0,5480,1477.0,4003.0,0.0,2229,13898,8812.0,-4104,2229.0,5086.0,72120,0.0,14201,,0,38154,,4094,2295,525168,2016年03月31日,-319584,185102,389605,0,153287,311759,0,,174004.0,16792,525168,357022.0,171920.0,,188125,162405.0,25720,,357022.0,,950,,15454,-204503,18633,45263,16017,9773.0,0
2016-08-12,2,2016,27115.0,26611,-334627,32688,50326,1763,,-2027,37492,828.0,5426,1421.0,4005.0,0.0,2177,13814,8728.0,-2027,2177.0,5086.0,65786,0.0,14671,,0,40750,,3868,2295,525168,2016年06月30日,-334627,169681,376639,0,151746,290721,0,,157356.0,16569,525168,333441.0,163760.0,,188125,162405.0,25720,,333441.0,,970,,8867,-206958,12014,42720,15772,9549.0,0
2016-11-10,3,2016,26520.0,24959,-355498,28710,32380,1994,,869,37759,811.0,5268,1268.0,4000.0,0.0,2105,13727,8646.0,869,2105.0,5081.0,61828,0.0,13547,,0,17697,,5469,2295,525168,2016年09月30日,-355498,150890,358664,0,131148,246275,0,,138206.0,18752,525168,287256.0,136366.0,,188125,162405.0,25720,,287256.0,,888,,2225,-207774,5218,40981,15813,10428.0,0
