date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債準備－流動合計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,5202129,1210532,9826832,358025,617210,1159149,3168747,102834,1119551,515098,14341,219979,330857,761526,6499029,815271,4992178,168404,,4476317,33421,371,1007784,0,11231822,15298349,2013年03月31日,6861400,29875611,29873996,68099457,2826071,11360118,20409655,605146,139361,8284632,96505,1945714,15298349,472038,11938942,4444535,596789,11520,29431,3806795,41814553,1434,20476,358845,657479,0,1615,578824,21404898,361024,0
2013-08-12,2,2013,5240038,1166195,9723108,241619,565605,1074078,3973617,111019,1172447,224932,21429,220139,330336,930828,6518391,609766,5610511,219425,400.0,5463666,50584,0,1006928,0,11543499,15111349,2013年06月30日,6725466,29833670,29832520,49399457,2885112,12898815,21740276,561868,112530,8629788,82575,2365557,15111349,418711,13477799,4435382,618537,32499,17035,3767311,43311469,3087,5875,358845,648251,0,1150,578984,21571193,373919,0
