date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計減損－以成本衡量之金融資產－非流動,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,長期遞延收入,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2014-04-03,4,2013,964719,,,868755,1058446,19840,215092,1222,1222,0,738709,7483,7483,20480,6027,55386,738709,738709,6027,2289,254072,254072,,308672,753,843354,352076,268,268,1347606,2013年12月31日,868755,,3220976,3220976,0,,1485247,3778964,3303,,3117860,90053,,,1347606,,,1685708,265906,,4906684,,,,194434,194434,104312,,,53097,200461,1127720,32986,0,0
2014-11-21,3,2014,1093431,,,1139377,270641,92054,270641,9015,9015,1457,754696,14918,14918,5708,3352,53510,754696,754696,3352,1513,577787,577787,0,813758,61,0,936447,5,5,909468,2014年09月30日,1139377,,3815291,3815291,0,,2202249,4998176,4233,2928793,,98217,912600,,909468,,,2438566,1011750,,6253857,396432,396432,,232965,232965,104507,912600,,51997,236317,1255681,142532,0,0
2015-03-25,4,2014,1273179,,,1492467,355133,3618,355133,499,499,0,905482,49172,49172,2386,3429,54668,905482,905482,3429,1541,522598,522598,0,711178,93,0,802804,0,0,909468,2014年12月31日,1492467,,4319167,4319167,0,,2246410,5180007,7195,3668818,,82766,1044450,,909468,,,2303501,1011750,,6622668,,,,53662,53662,107619,1044450,,53127,57091,1442661,182902,0,0
2015-04-23,1,2015,1365135,,,1724309,305726,1453,305726,647,647,0,899243,13950,13950,1801,3425,54598,899243,899243,3425,1942,451272,451272,0,547130,127,0,739541,0,0,1054468,2015年03月31日,1724309,108122,6133747,6133747,0,,976508,5657333,7690,,4363102,,0,,1054468,7192300,1058553,,2455727,7192300,,,,50959,78620,78620,107544,0,,52656,82045,1534967,50011,0,0
2015-08-11,2,2015,1328843,158760,158760,1119753,1080037,2686,289186,2610,2610,0,850740,12953,12953,1968,3392,54432,850740,850740,3392,1458,431069,431069,0,447398,204,790851,584734,0,0,1054468,2015年06月30日,1027369,39995,5480688,5480688,0,92384,1643273,5533527,7174,,4040951,,60000,,1054468,7189248,1708560,,2455727,7189248,,,,353346,61895,61895,106512,60000,,51755,65287,1655721,118849,1219,0
2015-11-06,3,2015,1326430,169101,169101,1473787,326372,2544,326372,11083,11083,0,990914,17737,17737,1424,3472,57651,990914,990914,3472,1482,466964,466964,0,517703,1054,,760719,13,13,1054468,2015年09月30日,1381403,57344,5974896,5974896,0,92384,1270559,5645494,6770,,3259169,,347805,,1054468,7314533,1339637,,2455727,7314533,,,,930096,65606,65606,109087,347805,,52566,69078,1669039,216026,3603,0
2016-03-10,4,2015,1330061,168869,168869,1802508,339713,101031,339713,3417,3417,13,855428,43733,43733,1839,3397,52479,855428,855428,3397,1459,395154,395154,0,460784,21,0,630034,0,0,1054468,2015年12月31日,1710124,94006,6168131,6168131,0,92384,1419288,5999523,6139,,4798723,,380000,0,1054468,7681719,1513588,,2455727,7681719,,,,,90903,90903,124648,380000,,51020,94300,1682196,170343,0,0
2016-05-10,1,2016,1229427,165603,165603,2018132,270761,99553,270761,464,464,0,764984,20556,20556,3739,3348,51320,764984,764984,3348,1436,347047,347047,0,211545,1143,0,431450,41616,41616,1054468,2016年03月31日,1925748,90563,6293311,6293311,0,92384,1401556,6222703,5506,,5328302,,707435,0,1054468,7797388,1504077,,2455727,7797388,,,,0,99173,99173,122829,707435,,49884,102521,1574685,70085,0,0
2016-08-10,2,2016,1038688,166066,166066,1713074,927665,4750,294984,3634,3634,0,608710,26033,26033,1217,20745,49706,608710,608710,3271,1354,367049,367049,0,378916,108,632681,467276,41855,41855,1054468,2016年06月30日,1510601,67534,5831979,5831979,0,202473,2147445,6734596,5345,,5826879,,742439,0,1054468,8114396,2282417,,2455727,8114396,,,,0,114227,114227,119995,742439,17474,48352,134972,1379800,26686,0,0
2016-11-07,3,2016,935091,161333,93833,1878853,306085,1101,306085,7429,7429,0,377070,13314,13314,1705,15826,48410,377070,377070,611,2139,345523,345523,0,251996,19796,0,468406,93070,93070,1054468,2016年09月30日,1676380,81871,5766118,5766118,0,202473,2049908,6769596,4973,,5803054,,1375745,67500,1054468,7967689,2201571,,2455727,7967689,,,,0,135837,135837,115786,1375745,15215,46271,151663,1198093,50409,0,0
