date,season,year,不動產及設備－淨額,保留盈餘合計,保證責任準備,保險業負債,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他借款合計,其他權益合計,其他準備合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,員工福利負債準備,國外營運機構財務報表換算之兌換差額,央行及同業融資,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-23,1,2013,28235405,32791886,489451,13725234,3981311.0,,97093845,2238717,3987027,7405,3305098,3822084,47944780,19501813,13652,5381121,5716,75793,143319137,152990460,1630609662,,,49700000,4113519,71315177,64569182,7612457,255992117,1712435,81253607,2013年03月31日,21414042,,,,136803450.0,136232687,0,7248854,269629,4128990,56486174,2409181.0,2003941.0,81253607,,19603211,,2010830566.0,1427911316,18200167,,2147634016.0,20523976,24090030,5762918,1807949,23538,,9885859,3521527,570763,0
2013-08-22,2,2013,27914801,27222604,493202,13252459,3302204.0,,100048281,2989212,3338202,1561,3274277,3836302,69401585,23622323,5029,5352074,35998,71257,120474272,143649643,1650337599,5281485.0,,49700000,4589743,83008092,71286962,7967285,262097394,1753538,81253607,2013年06月30日,14827376,,,,135821070.0,135296065,0,8266238,261249,4128990,56753485,2640058.0,2361700.0,86535092,,19099296,,2034545222.0,1440244301,18200167,,2170366292.0,15328655,24430700,5742650,1638198,23713,0.0,7864813,2495101,525005,0
2013-11-21,3,2013,27893284,30135846,495255,12977866,3535813.0,,99281918,2649326,3091461,2905,4150212,5468161,66530362,25769342,4797,5337468,-444352,71383,145082667,170176289,1680418493,0.0,,49700000,5100992,63507949,66371528,8120130,281386535,1785196,86535092,2013年09月30日,17740618,,,,138488471.0,137962566,0,8266238,245440,4128990,40999898,2797113.0,2446161.0,86535092,,18813494,,2069420392.0,1438274853,18200167,,2207908863.0,15004316,35963194,5742526,1636270,7911,0.0,9843648,2085867,525905,0
2014-03-20,4,2013,28464750,31842177,558614,13972124,4371853.0,,97397287,2718078,4151813,8694,3647092,3838096,66717864,44970823,4690,5217358,-220040,69243,141375782,162586971,1731889637,,,49700000,5791670,63210669,69439025,8790550,304110961,1819442,86535092,2013年12月31日,19446949,,,,141206153.0,140729249,0,8266238,345807,4128990,56683394,2302121.0,2294922.0,86535092,,19756790,,2122179199.0,1431075270,18200167,,2263385352.0,15013079,46428396,5763392,1665697,7973,,14215809,3469271,476904,0
2014-05-22,1,2014,28402073,35501561,558141,14291396,4598867.0,,92266303,2460061,5194909,12821,3518792,3883963,72408450,52162750,1839,5136453,596042,565305,166683968,169544017,1747639554,0.0,0.0,46200000,5285430,56842381,57547472,8788050,292053009,2180552,86535092,2014年03月31日,23106333,,,,145907100.0,145431729,0,8266238,381965,4128990,73810917,2614582.0,2249886.0,86535092,,19998811,,2160542913.0,1460970292,18200167,,2306450013.0,15747717,55686104,5781755,1624839,0,0.0,14796107,4895982,475371,0
2014-08-22,2,2014,28354391,29665162,555395,14379293,5238637.0,,88663581,2291128,5047219,6661,3533402,8772366,76794090,48828274,3529,5118321,-191418,70926,171919391,169224947,1768254543,6057456.0,0.0,42900000,6238491,63732429,61476008,8508352,296914412,3019496,86535092,2014年06月30日,16181070,,,,145978426.0,145505096,0,9355102,376205,4128990,91872828,2362165.0,1910609.0,92592548,,20059670,,2190690441.0,1460867442,18200167,,2336668867.0,13638486,62250661,5779570,1771263,0,0.0,13116150,3854503,473330,0
2014-11-20,3,2014,27833965,33150155,555780,14367961,4708550.0,,87540165,4123107,5323246,13496,4631283,5093982,71633315,45237870,3576,5107774,614696,84090,154059255,146083874,1774477578,0.0,0.0,43900000,7186655,64076494,61330603,9089439,306060883,3114302,92592548,2014年09月30日,19666063,,,,149724019.0,149266116,0,9355102,347618,4128990,89570726,1835864.0,1998627.0,92592548,,20045011,,2177655004.0,1481565743,18200167,,2327379023.0,13376203,56928906,5786624,1745795,0,0.0,12439525,3832949,457903,0
2015-03-19,4,2014,28299057,35553081,795376,6919954,5093146.0,,84980455,7528630,7598954,69658,4350409,3815182,66239808,51548266,912,5062443,2505808,80968,126095434,181176379,1823298294,0.0,0.0,41900000,10693042,68733743,64860600,9437666,307625308,3148788,92592548,2014年12月31日,22068989,,,,154376554.0,153944750,0,9355102,430110,4128990,62282631,1680981.0,1471426.0,92592548,,12847431,,2201332129.0,1497260653,18200167,,2355708683.0,23387572,55800157,5772703,1688887,0,0.0,8723114,1882206,431804,0
2015-05-21,1,2015,28199501,39662056,795318,6024483,,5461386.0,73243147,4967191,7114934,59799,5164781,9743237,65895406,44862809,3818,4980136,1653548,77985,129112081,211165429,1825525728,,0.0,48900000,13547447,55995803,62224795,9452913,334459364,3067720,92592548,2015年03月31日,26177964,2107834.0,1451931.0,157993671.0,,157569705,0,9355102,391712,4128990,57832037,,,92592548,2356942889.0,11859736,2198949218.0,,1446628207,18200167,2356942889.0,,23373454,72531054,5760473,1629175,0,0.0,6661299,56040,423966,0
2015-08-20,2,2015,28277474,31165023,795489,6211601,,5052900.0,74307749,2486031,6101016,13201,4750888,3799975,67467581,44480299,6720,4958771,1048116,69467,149491184,257290894,1831204257,6018516.0,0.0,48000000,8337022,66506808,66380655,9247932,347325862,2563223,92592548,2015年06月30日,16272438,2745166.0,1657412.0,154460657.0,,154077270,0,10763595,356203,4128990,49604107,,,98611064,2386009398.0,11979062,2231548741.0,,1422259305,18200167,2386009398.0,,25598847,75918872,5748725,1966349,0,0.0,7163703,566367,383387,0
