date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期借款合計,長期預付租金,電腦軟體淨額,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-09-27,2,2013,747,747,1350699,273386,11206,24772,279161,250383,279161,24001,0,33652,-17490,62312,42209,4082,130,22388,49853,0,39936,5244,2206,396684,396684,,,257647,8116,546162,26306,,17144,650000,2013年06月30日,244695,,,1507038,1507038,0,28691,1337020,1473373,,207,,,,339926,35357,444044,650000,,,,1373412,550000,,2880450,0,12137,6318,444044,1867,18616,207,36392,1407077,111440,28901,19356,0
2014-03-28,4,2013,,1493,1488416,343453,12476,71574,492710,169,492710,12412,0,61581,,20848,16878,1307,882,17030,109858,,49105,97,11554,432214,,,,228955,7447,609970,0,48888,16933,750000,2013年12月31日,314762,,,1855289,1855289,0,28691,1516327,1800406,,783,,,,494558,48832,712966,750000,,4400,,1546142,700255,,3401431,0,12412,1968,,373,18489,783,29815,1601025,129483,78933,2477,0
2014-08-04,2,2014,,0,1474717,514338,9188,40926,426511,205,426511,11235,2478,45063,,17477,16608,2601,513,15870,278911,,35875,97,6999,511782,,,0,281806,2182,683428,0,34220,15773,750000,2014年06月30日,466545,,,2009656,2009656,0,47793,1491294,1788794,,848,,29123,313748,,57702,705411,750000,,0,,1535734,700255,,3545390,,28570,2120,,0,33923,848,44440,1756596,159253,237476,869,0
2015-03-27,4,2014,,0,1671093,663461,0,0,593749,409,593749,28333,,131217,,18058,17528,1035,154,14561,368094,,131217,103,7449,599152,,,0,341690,1091,782345,,0,14458,750000,2014年12月31日,615668,,,2244933,2244933,0,47793,1836453,2107525,,3080,,103448,435127,,45263,836193,750000,,0,,1906659,700255,,4151592,,55645,1800,,0,35711,3080,70206,2044067,158085,324780,530,0
2015-05-13,1,2015,,,1641050,712452,0,0,489726,207,489726,25640,0,107360,,14922,14400,1773,152,17681,513117,,107360,4229,6240,594902,,,0,351848,738,773594,0,,,750000,2015年03月31日,664659,54510,,2270067,2270067,0,47793,1862532,2041405,13452,2498,134780,,,363571,,950581,750000,4200564,,1930497,,700255,4200564,,,50284,2494,,,34967,2498,67965,2159159,147145,471758,522,0
2015-11-12,3,2015,,,1696923,584904,,306513,547393,545,,32611,,123059,,15735,15206,8135,30,15237,553044,,,4185,11477,639036,,,,172756,849,746690,,517,,830000,2015年09月30日,505122,22201,6461,2662218,2662218,0,79782,1955668,2441210,11052,3312,35225,,,475286,,1196189,830000,4696294,,2034076,,1124255,4696294,,,63171,1805,,,35019,3312,78408,2255084,190736,506518,529,0
2016-03-26,4,2015,,,1734542,664944,360,218443,624303,217,,21017,,84943,,19363,18845,11677,30,15261,453066,,84583,4094,10919,566049,,70913,,143231,0,914643,,,,830000,2015年12月31日,585162,27761,1144,2633229,2633229,1066000,79782,1997560,2515281,11167,2761,35177,,,574642,,1182685,830000,4715628,,2082399,,1124255,4715628,,,69578,9978,,,34045,,84839,2200347,172489,408072,518,0
2016-05-09,1,2016,,,1737212,768749,379,147839,504154,212,504154,13554,,61440,,18527,18017,7350,30,22262,426947,,61061,4134,11781,553651,,0,,172451,,858430,,,,819340,2016年03月31日,688967,62457,1096,2713531,2713531,0,79782,1724569,2356965,18128,3372,0,,,635229,,966768,819340,4535368,,1821837,,1064002,4535368,,,75006,10872,,,33338,3372,97268,2178403,139816,381798,510,0
2016-08-12,2,2016,,,1821991,615434,303,92726,837900,0,,23606,357,18570,,16913,16415,5323,29,12089,331744,,18267,4040,12953,490914,,0,,129769,1051,919440,,1718,,819340,2016年06月30日,506497,50365,78,2517346,2517346,0,108937,2151180,2586037,8049,2856,35322,,,878790,,1115182,819340,4755305,,2237959,,1064002,4755305,,,74690,12677,,,32369,,86779,2169268,137763,286393,498,0
2016-11-14,3,2016,,,1811367,718131,157,51042,827628,0,,12127,357,-40457,,19130,18649,5049,0,8043,390632,,-40614,3898,11785,396892,,0,,150522,12862,900952,,3665,,819340,2016年09月30日,609194,44310,139,2561016,2561016,0,108937,2029721,2450760,4145,2304,34321,,,919636,,975269,819340,4678258,,2117242,,1064002,4678258,,,79478,23195,,,31033,2304,87521,2227498,126580,347814,481,0
