date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地淨額,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,模具設備淨額,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,46667.0,2213534,1229984,,201526,7539,46916,,104190,65483,18816,150103,,50652.0,12834,,12834,107662,204732,9621.0,9621.0,,,104190,167175.0,,,832190,0,,645228,63993,0.0,1609576,51361,1628,847019.0,151710,1387331,2013年03月31日,1229984,29004.0,,2648.0,984821.0,5228020,5228020,0,0.0,1763434,4574018,,0.0,,1655132.0,54628.0,706500,130222.0,1387331,,18537,4805,,1953999.0,2506515,,,7182019.0,1993.0,0.0,3099,38025,,74999.0,107662,59157,0.0,190565,2608001,,227112,123120.0,,0
2013-07-31,2,2013,31666.0,2248843,1093562,,372518,10990,77031,,161638,45154,13488,162992,,48068.0,12834,,12834,108617,296102,9909.0,9909.0,,,161638,167173.0,,,697422,0,,597060,72931,0.0,1372166,63214,2001,851071.0,107627,1387331,2013年06月30日,1093562,88671.0,,1586.0,961108.0,5150573,5150573,0,0.0,1591506,4237305,,0.0,,1719800.0,24782.0,450000,131166.0,1387331,,18071,5030,,1777953.0,2508042,,,6928526.0,,0.0,1968,38649,,70832.0,108617,60009,0.0,186447,2691221,107800.0,142679,105550.0,,0
2013-11-08,3,2013,16667.0,2275770,1166626,,201341,5371,75605,,125828,36191,19524,247913,,44681.0,12834,,12834,106350,208168,11074.0,11074.0,,,125828,167175.0,,,744340,0,,984828,101548,0.0,1506537,75711,1080,834284.0,117098,1387331,2013年09月30日,1166626,182441.0,,665.0,917496.0,5188813,5188813,0,0.0,2005786,4733798,,0.0,,1909433.0,23602.0,630432,129028.0,1387331,,22473,5255,,2185697.0,2509028,,,7374510.0,,0.0,1640,39676,,66666.0,106350,59086,0.0,179911,2640712,107800.0,173179,17374.0,,0
2014-03-18,4,2013,16667.0,2351868,1215195,0.0,324316,6148,83371,,176026,31084,14417,319493,,44306.0,2834,,2834,106828,84683,10134.0,10134.0,4273.0,,176026,167173.0,,,711398,185942,,938342,94030,0.0,1503509,63894,19842,832596.0,216785,1387331,2013年12月31日,1215195,288221.0,,507.0,888702.0,5109073,5109073,5614000,,1750657,4345164,,,,1505828.0,24078.0,312953,130363.0,1387331,,19706,4273,,1925916.0,2516463,,,7034989.0,,0.0,1660,36489,,62498.0,106828,59689,0.0,175259,2689825,,137829,12026.0,,0
2014-04-30,1,2014,16667.0,2345467,1355146,,241365,5691,88595,,223787,32052,15385,312062,254.0,41062.0,11534,311808.0,11534,106949,92012,4424.0,4424.0,4452.0,,223787,167174.0,,5705.0,765592,330512,0.0,1094140,119700,,1579739,86651,32239,829572.0,220558,1387331,2014年03月31日,1355146,318931.0,,700.0,857492.0,5153218,5153218,10000000,,1980137,4588105,,,1568967.0,,30679.0,441815,130536.0,1387331,,14695,4452,,2150465.0,2517466,2517466.0,,7303683.0,,,595,57541,,58332.0,106949,60103,0.0,170328,2715578,,154260,10246.0,,0
2014-07-31,2,2014,0.0,2278249,1331287,,336652,7349,100071,,157190,17720,17720,242976,281.0,42633.0,11539,242695.0,11539,103557,85553,4981.0,4981.0,,,157190,167175.0,,7669.0,692913,330512,0.0,1070746,102844,0.0,1616413,36071,76674,808342.0,216351,1387331,2014年06月30日,1331287,251795.0,,848.0,878357.0,5063318,5063318,10000000,0.0,2128828,4651952,,0.0,1692588.0,,25498.0,552503,129099.0,1387331,,15516,4631,,2237802.0,2518022,,,7301120.0,,0.0,786,69015,,0.0,103557,58540,0.0,108974,2649168,0.0,194246,2824.0,,0
2014-10-28,3,2014,0.0,2265061,1510408,,258190,7668,93945,6608.0,219630,8769,8769,160774,83.0,39613.0,11604,160691.0,11604,104816,86452,4888.0,4888.0,4810.0,219630.0,219630,167175.0,609.0,7696.0,713130,330512,0.0,1066203,137775,,1831876,2855,66960,810914.0,223614,1387521,2014年09月30日,1510408,88501.0,,726.0,1028022.0,5306416,5306416,10000000,,1976187,4755565,,,1711124.0,,25197.0,453258,130110.0,1388135,,19127,4810,,2087180.0,2518755,2518755.0,,7393596.0,,,1367,62904,,0.0,104207,59261,,110993,2638031,0.0,168293,3003.0,614.0,23000
2015-03-18,4,2014,0.0,2269713,1667485,,250407,5794,120577,,377916,10102,10102,261621,415.0,38454.0,20304,261206.0,20304,107675,95142,3451.0,3451.0,4086.0,377916.0,377916,167178.0,,6208.0,695120,330512,0.0,1260683,135962,,1970092,3417,65734,824436.0,225838,1394251,2014年12月31日,1667485,102416.0,,616.0,1001226.0,5639662,5639662,10000000,,2157575,5259860,,,1986042.0,,43374.0,427275,135387.0,1394251,,23978,4086,,2269923.0,2530522,,,7909585.0,,,587,59032,,0.0,107675,61608,,112348,2649725,,157257,3571.0,,0
2015-04-28,1,2015,0.0,2179504,1810930,,220877,5824,12189,,329074,8905,8905,483573,2011.0,,11604,481562.0,11604,104763,105847,,,4245.0,,329074,,,6204.0,705971,330512,0.0,1160890,122960,,1701444,78146,138116,,228581,1395751,2015年03月31日,1810930,,35069.0,,,5738709,5738709,10000000,,2138466,5421990,3668.0,,,2203484.0,,563400,,1395751,7986806.0,20541,4245,2248097.0,,2533466,,7986806.0,,,,623,50884,,0.0,104763,60316,0.0,109631,2564816,,99067,24055.0,,0
2015-08-05,2,2015,,2232480,1707645,,510773,1957,12655,9178.0,291776,33043,33043,515861,3512.0,34381.0,11604,512349.0,11604,102467,81046,3873.0,3873.0,4403.0,,291776,167173.0,,6200.0,731952,330512,0.0,1300044,124807,,1842596,139838,149898,790111.0,220276,1395751,2015年06月30日,1707645,223456.0,35753.0,109.0,886095.0,5598273,5598273,10000000,,2707105,5827619,,,,2321679.0,,678920,131155.0,1395751,8412906.0,21808,4403,2814633.0,,2533613,,8412906.0,,,,658,51485,,,102467,59369,0.0,107528,2585287,,103962,0.0,,0
