date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,土地成本,土地淨額,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款,應收帳款淨額,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃資產成本,租賃資產淨額,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1859352,9968612,,6956,-267625,1401995,1401995,74481,-72963,-72963,1911575,28191,51004,,633809.0,467798,125670,471518,153639,430571,,849459.0,2164374,,121230,,3405282,59940,1331,24032.0,157545,4945392,4966908,6170,21516,184583.0,,2110427.0,,5649129,2013年03月31日,-1217089,106290.0,,,,6043200.0,6605199,6605199,9651750,473942,11136973,11146015,,17613,,242.0,,475522,,3443813.0,9222.0,,4217467,,177776.0,,,,,,,5649129,,101776,,15472971.0,1417888,,22078170.0,,30958.0,28385,4087,,16693.0,,467214,3868200,157545,134599,134599,183280,0.0,4335998,10932155,435178,4607,0
2013-08-09,2,2013,2310831,9957461,,6956,-421789,1571479,1571479,74130,-27968,-27968,2369067,29928,18252,,662514.0,472019,103173,506574,188884,508906,,849459.0,2390806,,121230,,3807116,59861,1002,28308.0,185046,5445425,5467471,56162,22046,183800.0,,2146102.0,,5649129,2013年06月30日,-1371253,83299.0,,,,5957045.0,6496030,6496030,9651750,473942,11811204,11358527,,15156,,242.0,,475522,,2835935.0,3467.0,,3913137,,209707.0,,,,,,,5649129,,68745,,15830569.0,1417888,,22326599.0,,31671.0,17330,2163,,17664.0,24346.0,481683,3523000,185046,131820,131820,185870,0.0,4019365,10968072,513608,4702,0
2013-11-11,3,2013,2016860,9760593,,6956,-467196,1457016,1457016,74738,-46585,-46585,2068617,24275,835,2636980.0,648158.0,444558,89763,424249,116226,527968,849087.0,849087.0,2399202,2399202.0,121230,,3736508,59952,2027,27482.0,171838,6029034,6050961,33311,21927,182957.0,4420156.0,2118954.0,,5649129,2013年09月30日,-1416660,148148.0,,,15190020.0,5750250.0,6432006,6432006,9651750,473942,11732744,11089705,,15613,,242.0,,475522,,1967299.0,4521.0,,4347063,245429.0,194949.0,1988822.0,2301202.0,9439770.0,50480.0,163879.0,48299.0,5649129,,57040,,15304392.0,1417888,,21736398.0,196923.0,33044.0,0,30733,66302.0,18003.0,28161.0,439040,3098929,171838,125066,125066,182957,,3571648,10646693,532626,4658,0
2014-03-26,4,2013,2226430,9616860,,1956,-736987,1562316,1562316,234078,-15389,-15389,2291417,35943,4751,,,447345,88795,428515,122253,520486,,,2421576,2421576.0,113673,,3918313,0,5814,29044.0,175278,5569885,5592260,23925,22375,183272.0,,,,5649129,2013年12月31日,-1686451,,,,,,6202495,6202495,8348750,473942,11841144,11881162,,13624,,242.0,,475522,,3077003.0,32530.0,,3906341,,,,,,,,,5649129,,95403,,16109405.0,1419415,,22311900.0,,,29010,2349,,,30648.0,369541,3790268,175278,121489,121489,184773,,4268261,10430738,525220,4734,0
2014-05-12,1,2014,1906385,9402776,,1956,-965638,1423431,1423431,214904,305263,305263,1982340,39444,1470,,,484288,72956,414006,110645,497623,,,2501755,,113673,0.0,3460898,0,3239,36511.0,228506,5074261,5097021,14238,22760,182826.0,,,507503.0,5649129,2014年03月31日,-1915102,,,,,,6294496,6294496,8348750,473942,11453214,11380105,,12405,,242.0,,475522,3033487.0,,32530.0,8913.0,4421429,,,,,,,,,5649129,,108796,,15813142.0,1419415,,22107638.0,,,20551,5898,,,89788.0,388645,3785852,228506,117360,117360,186001,0.0,4359928,10727533,502419,4796,0
2014-08-12,2,2014,1582583,8991054,,1956,-890847,1279838,1279838,229405,271434,271434,1648013,27503,7300,,,500726,89397,407988,117492,496289,,,2530293,,113673,0.0,3596729,0,5231,37927.0,230133,5621398,5643793,2156,22395,181196.0,,,507503.0,5649129,2014年06月30日,-1840311,,,,,,6335458,6335458,8348750,473942,10525481,11229372,,10437,,242.0,,475522,2285552.0,,0.0,2142.0,3908257,,,,,,,,,5649129,,87413,,15157780.0,1419415,,21493238.0,,,0,27741,,,83744.0,344686,4047829,230133,109384,109384,181112,0.0,4632299,10263866,500990,4701,0
2014-11-12,3,2014,1558575,8892778,,1956,-538615,1459286,1459286,230507,304686,304686,1636810,39231,2358,,,489172,84670,456831,155658,493913,,,2789955,2789955.0,106011,0.0,4095821,0,5591,39004.0,225136,6205682,6228586,65608,22904,179366.0,,,507503.0,5649129,2014年09月30日,-1488079,,,,,,6734284,6734284,7027750,473942,11392876,12104593,,12885,,75190.0,,475522,2283397.0,,36851.0,3.0,4016219,,,,,,,,,5649129,,99153,,15644331.0,1425095,,22378615.0,,,43145,5228,,,87049.0,326879,3675234,225136,105662,105662,195511,,4251455,10274022,498951,5038,0
2015-03-23,4,2014,1754895,8967407,,1956,-119242,1726420,1726420,295649,389252,389252,1830410,34108,8814,,,498270,83029,411567,103869,488252,,,2751309,2751309.0,106011,0.0,4460004,50000,4757,41407.0,227326,7066282,7090339,84664,24057,187915.0,,,542947.0,5649129,2014年12月31日,-1068706,,,,,,7238223,7238223,7027750,473942,12972640,13857590,,10899,,75000.0,,475522,3127895.0,,126908.0,,4600364,,,,,,,,,5649129,,125655,,16998201.0,1425095,,24236424.0,,,48122,5398,,,138226.0,369058,3389065,227326,104486,104486,203212,,4025561,10378834,493522,5270,0
2015-05-11,1,2015,858907,8603324,,1956,129819,1570271,1570271,229357,360851,360851,932264,31850,2601,,,478681,73536,391034,94913,471719,,,3008125,,98477,0.0,4033052,50000,7417,41507.0,219204,6258603,6282399,93591,23796,,,,542947.0,5649129,2015年03月31日,-819645,,171546.0,0.0,,,7486659,7486659,5723750,473942,11494258,13814895,185941.0,9768,,,75000.0,475522,,3699511.0,,,4579647,,,,,,,,,5649129,23835382.0,150061,16348723.0,,1445337,23835382.0,,,,0,22657,,,86144.0,396458,4289640,219204,96956,96956,199165,0.0,4854465,10020487,476654,4935,0
2015-08-10,2,2015,2328796,8401670,,1956,42178,1383260,1383260,59243,342887,342887,2392478,21299,2842,,,469608,77159,395203,109372,525166,,,2533454,,98477,0.0,3177580,50000,3809,42383.0,210763,5405763,5429429,99277,23666,,,,542947.0,5649129,2015年06月30日,-907286,,83126.0,3.0,,,7381054,7381054,5723750,473942,11442847,12489798,181686.0,8747,,,0.0,475522,,3833233.0,,,4178390,,,,,,,,,5649129,22264914.0,170200,14883860.0,,1445337,22264914.0,,,,4004,2007,,,87840.0,424593,2883565,210763,90088,90088,195743,0.0,3441013,9775116,530310,5144,0
