date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,505532,35766,390851,45276,141559,63406,6711,55700,26776,592,23484,9209,161266,,,,79614,7797,255591,10821,3764,,817792,2013年03月31日,201110,,1437253,1437253,0,183157,550268,1341834,1951,,0.0,6584,,764410.0,32675.0,340000,817792,,,612282.0,172910,,2049535.0,,87741,6482,38530,7202,0,62014,707701,5662,0
2013-08-06,2,2013,492956,35766,311116,43941,140927,130220,1740,58210,17455,412,23429,9856,160117,0.0,11423.0,,91599,20952,225880,15508,4796,,817792,2013年06月30日,109981,,1374359,1374359,0,194551,620683,1362520,1768,,0.0,6584,,819919.0,30457.0,330000,829215,,,681857.0,175818,,2056216.0,,83859,6659,37745,5764,0,61174,693696,6348,0
2013-11-08,3,2013,475902,35766,337837,50295,146755,131066,2352,66227,26603,297,23381,9849,162716,0.0,,,85142,1078,215812,11468,4428,,829216,2013年09月30日,136702,,1409097,1409097,0,194551,683235,1468676,1645,,0.0,6584,,923495.0,26346.0,413000,829216,,,743704.0,175817,,2152801.0,,90756,6840,37088,7368,0,60469,684125,7057,0
2014-03-25,4,2013,463086,38890,369951,41746,170316,42742,1493,86423,19584,354,23834,9293,160556,0.0,,,82151,337,216130,10519,3378,,829216,2013年12月31日,168816,,1461407,1461407,0,194551,691234,1519316,1510,,0.0,6584,,980343.0,22320.0,524100,829216,,,754436.0,175817,,2215843.0,,98537,7496,39368,5936,0,63202,696527,6260,0
2014-05-09,1,2014,450415,38890,398999,39171,195980,38624,2137,110880,15423,265,23844,9192,154779,0.0,,0.0,83015,1053,190198,10256,3666,,829216,2014年03月31日,197864,,1514912,1514912,0,194551,641386,1510244,1323,,62325.0,6584,936219.0,,26271.0,477000,829216,,,704227.0,175817,,2219139.0,,104394,7815,38997,5280,0,62841,708895,6834,0
2014-07-30,2,2014,438313,38890,263893,50761,201564,167612,1141,121735,17625,258,23862,8890,138986,0.0,10707.0,0.0,72660,893,193907,9929,5180,,829216,2014年06月30日,50734,,1405446,1405446,0,206575,767315,1530811,1174,,80848.0,6584,929995.0,,10525.0,498000,839923,,,828464.0,179895,,2233910.0,,112611,7805,37287,6463,0,61149,703099,7195,0
2014-11-13,3,2014,430663,38890,299523,60929,180803,36585,3782,119919,22338,1318,23878,9496,144411,0.0,,0.0,92402,443,206409,14935,5599,,839923,2014年09月30日,86364,,1439260,1439260,0,206575,807351,1638980,985,,277768.0,6584,807737.0,,1583.0,654000,839923,,,873703.0,179895,,2312963.0,,109289,7405,42474,5741,0,66352,673983,6803,0
2015-02-24,4,2014,424590,38890,350924,57549,188051,39438,2073,136094,17958,1184,23429,9778,144094,0.0,,0.0,89774,10396,214928,2792,5497,,839923,2014年12月31日,137765,,1506836,1506836,0,206575,573462,1457343,848,,186879.0,6584,716111.0,,18896.0,397000,839923,,,626793.0,179895,,2133629.0,,118397,7559,29902,6570,0,53331,676286,7839,0
2015-05-11,1,2015,413945,38890,359072,70025,186687,34920,1161,141815,20253,281,23386,12070,134702,0.0,,0.0,75450,9008,192109,3239,5842,,839923,2015年03月31日,145913,23830.0,1520705,1520705,0,206575,600461,1502579,769,173565.0,,6584,,809345.0,,437000,839923,2169364.0,648659.0,,179895,2169364.0,,,105730,7540,24812,6884,0,48198,666785,6580,0
2015-08-03,2,2015,406479,38890,266560,57710,289459,129456,1435,95443,16715,410,23337,12073,142343,0.0,11042.0,0.0,86662,5634,181430,2863,4818,,839923,2015年06月30日,41255,7369.0,1395687,1395687,0,218721,753477,1434200,593,218512.0,,6584,,706574.0,,507000,850965,2196756.0,801069.0,,182719,2196756.0,,641.0,112050,7551,24255,7511,0,47592,762556,6055,0
2015-11-09,3,2015,400919,38890,331293,35834,252854,28350,8174,45027,18872,1659,23283,13422,151736,0.0,,0.0,92588,2443,189237,2489,6487,,850965,2015年09月30日,105988,2006.0,1410004,1410004,0,218721,691462,1439608,304,210464.0,,6584,,716442.0,,546000,850965,2159543.0,749539.0,,182719,2159543.0,,1203.0,111571,6774,34794,6772,0,58077,719935,5515,0
2016-02-24,4,2015,389457,38890,337455,42710,281066,34861,1261,73757,15486,271,31450,13601,150356,0.0,,0.0,84511,563,178682,6891,4622,,850965,2015年12月31日,112150,7893.0,1444896,1444896,0,218721,783505,1543902,141,108375.0,,6584,,937846.0,,640000,850965,2280867.0,835971.0,,182719,2280867.0,,191.0,107419,7361,21016,6449,0,52466,736965,5469,0
2016-05-03,1,2016,383414,38890,349679,42791,134259,30622,1111,77380,12678,1371,31393,12115,144545,0.0,,0.0,69804,593,158951,8304,6080,236541.0,850965,2016年03月31日,124374,13451.0,1460743,1460743,0,218721,696684,1385535,117,55058.0,,6584,,861462.0,,569000,850965,2205165.0,744422.0,,182719,2205165.0,,536.0,99765,6966,16345,7328,0,47738,819630,6097,0
2016-08-08,2,2016,379518,38890,274926,38099,129826,121066,1252,62547,12249,475,31339,11963,153102,0.0,0.0,0.0,82905,663,157660,7156,5872,240554.0,858842,2016年06月30日,39212,10543.0,1381841,1381841,0,229130,793965,1408249,93,5618.0,,6584,,931028.0,,566000,858842,2223131.0,841290.0,,185526,2223131.0,,539.0,101743,6658,15986,7380,0,47325,814882,6244,0
2016-11-03,3,2016,374874,29590,285691,42143,123092,29039,7478,53781,13570,423,31288,10229,140898,0.0,,0.0,85450,467,177336,6529,2714,237042.0,858842,2016年09月30日,49977,1743.0,1383840,1383840,0,229130,635808,1273401,69,5456.0,,6584,,806362.0,,500000,858842,2065796.0,681956.0,,185526,2065796.0,,5539.0,77687,7973,14860,9526,0,46148,792395,6375,0
