date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1523445,,290231,-6225.0,93175,136820,136820.0,-8036,351655,67305,90813,90813.0,315025,48023.0,30308,-1546.0,1212,1731732,,962424,,,15987.0,1703155,,150988,37204,267002.0,,,2610585,2013年03月31日,22432,,,2923665,2919918,0,253109,2292008,3860953,,4091,,7676.0,,14690,,63608.0,-265.0,,,824857,2610585,,,2653912.0,27138,,5577577.0,,,17,0.0,46879,65605,265.0,,,,27816,3747,361904,1716624,75760,1280,284350,0
2013-08-07,2,2013,1508405,,270429,-14625.0,84775,200004,200004.0,-11982,289329,56835,78036,78036.0,291926,24752.0,39046,2643.0,9056,1576711,,1043328,,,13758.0,1496369,,161759,50248,267174.0,,,2610585,2013年06月30日,-36437,,,2873823,2870065,0,260029,1976433,3486491,,5267,,7676.0,,46837,,51699.0,,,,430014,2610585,,,2314751.0,1033,,5188574.0,,,989,0.0,46392,64590,,,,,28193,3758,338318,1702083,63004,1797,232494,0
2013-11-08,3,2013,1497079,,323941,-350.0,99050,121862,121862.0,198,390980,64100,75929,75929.0,295312,27950.0,40089,548.0,9241,1684558,,964796,,,13990.0,1660112,,173285,29756,267362.0,,,2610585,2013年09月30日,17075,,,2940474,2935757,0,260029,2243092,3823138,,4825,,7676.0,,46837,,115402.0,,,,750659,2610585,,,2587847.0,1033,,5528321.0,805.0,807.0,0,0.0,48636,64140,,,,,27745,4717,344755,1705183,76420,3103,326880,0
2014-03-21,4,2013,1479672,,361309,-6375.0,93025,141918,141918.0,-2120,585022,74709,71102,71102.0,284946,27949.0,34458,4255.0,3717,1521766,,1032513,,17241.0,6739.0,1509861,,80310,33506,256997.0,348.0,84720.0,2610585,2013年12月31日,54443,,,2976051,2970807,0,260029,2202087,3837662,,5497,,7886.0,,46837,,503048.0,,10228.0,10523.0,408426,2610585,,,2621825.0,1033,,5597876.0,,,363,0.0,49724,62842,,,,84720.0,28013,5244,419738,1760214,99297,2728,510313,0
2014-05-12,1,2014,1466732,,404457,-16450.0,82950,162750,162750.0,-8264,540543,69238,44785,44785.0,285280,27965.0,35827,7344.0,4067,1715005,0.0,993941,,30127.0,896.0,1570663,,88936,54488,257315.0,0.0,82908.0,2610585,2014年03月31日,97591,,,3013082,3007811,0,260029,2199546,3893831,,7382,,7886.0,,46837,323193.0,,842.0,18192.0,10523.0,453097,2610585,,,2620771.0,1033,,5633853.0,,,2944,931.0,51225,62974,0.0,524.0,318.0,84720.0,28759,5271,421225,1740022,74884,3001,471305,0
2014-08-11,2,2014,1497337,,334747,-10025.0,89375,212401,212401.0,-7507,505507,74042,28661,28661.0,262323,4687.0,29475,2518.0,1541,1880593,0.0,1151621,,32095.0,0.0,1532061,,91755,57088,257636.0,203.0,217533.0,2610585,2014年06月30日,61152,,,2944680,2938858,0,271477,2408088,3993678,,7892,,7886.0,,2118,281903.0,,,6628.0,10523.0,499634,2610585,,,2948800.0,1033,,5893480.0,202.0,,0,,52266,58190,,,,225920.0,27446,5822,540712,1899802,103208,488,431465,0
2014-11-03,3,2014,1495937,27000.0,394389,-12250.0,87150,157505,157505.0,-5160,691920,89635,36196,36196.0,261566,3629.0,31797,7120.0,2052,1727095,0.0,981170,,16027.0,0.0,1838074,,93514,48023,257937.0,343.0,211242.0,2610585,2014年09月30日,120794,,,3007435,3000847,0,271477,2323805,3980368,,8508,,7886.0,,2118,113851.0,,-30.0,9438.0,18722.0,461283,2610585,,,2892382.0,1033,,5899817.0,6432.0,,3628,623.0,53748,57192,30.0,,,252920.0,27769,6588,568577,1919449,93379,1976,602285,0
2015-03-20,4,2014,1488148,27000.0,526369,-16575.0,82825,216847,216847.0,7324,630331,96640,54483,54483.0,275488,3624.0,34358,23533.0,4505,1469972,0.0,1226336,,8908.0,0.0,1999102,76908.0,269342,19196,271864.0,3186.0,540884.0,2610585,2014年12月31日,252774,,,3151488,3145311,0,271477,2603042,4433613,,11217,,12451.0,,2118,406531.0,,366.0,41505.0,8410.0,473312,2610585,,,3529975.0,1033,,6681463.0,5803.0,,10758,882.0,56459,62536,,366.0,,591800.0,28853,6177,926933,2247850,106094,1000,533691,0
2015-05-08,1,2015,1482078,27000.0,523399,,83350,142713,,-964,617029,58314,34084,,273926,,29622,,1072,1527084,0.0,1318356,,10649.0,0.0,2052304,152917.0,305570,19524,,2655.0,532044.0,2610585,2015年03月31日,249804,43826.0,5782.0,3140202,3134053,0,271477,2509440,4345081,,15031,12451.0,,,2118,,136163.0,,,,375420,2610585,6577362.0,3437160.0,,1033,6577362.0,,1447.0,,7197,752.0,59339,62404,,212.0,0.0,591800.0,28233,6149,927720,2232281,91793,317,558715,0
2015-08-07,2,2015,1475187,27000.0,479032,-22300.0,77100,295727,,-9999,645781,45554,28728,,273935,1901.0,35363,11933.0,7589,1788558,,1661981,,26543.0,,2063019,32593.0,491861,12109,,,521238.0,2610585,2015年06月30日,181564,27652.0,0.0,3086760,3080651,0,297468,2934542,4738433,272034.0,15646,12451.0,,,0,,209091.0,368.0,,,275136,2610585,6953089.0,3866329.0,,1033,6953089.0,,1622.0,4194.0,2759,700.0,61858,62422,100.0,0.0,,591800.0,27774,6109,931787,2214656,97264,0,600227,0
