date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付貨款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1182968,5000.0,-280937,336936,106205,336936.0,11093,332,171501,41811,41811,78818,,6540,80277,20614,,199867,,,351674,36632,3563,698674,79710,15922,336689,1614526,2013年03月31日,-280937,,1505090,1505090,0,1437221,1437753,844,,8658.0,4089.0,,,343054.0,14707.0,521916,1614526,,,23777,,1543157.0,,,3048247.0,,99396,627.0,59663,105936,1610494,1625.0,1625.0,,,0
2013-08-08,2,2013,826980,5000.0,-311926,328274,66265,,1794,1590,183238,29310,29310,65554,1529.0,6540,76036,15553,,171537,,,282936,10043,2950,593156,61492,15740,674467,1614526,2013年06月30日,-311926,,1488004,1488004,0,1327757,1335285,1529,,8837.0,4173.0,,,413926.0,5220.0,580111,1614526,,,22648,,1436093.0,2166.0,,2924097.0,,101796,627.0,60483,108336,1588812,1659.0,1659.0,,,0
2013-11-11,3,2013,758801,4213.0,-419576,351659,93917,,6973,1225,169000,24962,24962,96163,1403.0,6540,71671,12339,,130980,,,243220,9130,4747,528305,23819,12357,663602,1614526,2013年09月30日,-419576,,1368154,1368154,0,1181295,1150962,1403,,9262.0,3589.0,,,340239.0,2053.0,431995,1614526,,,19612,,1286714.0,4204.0,,2654868.0,,98879,627.0,59332,105419,1503906,1639.0,1639.0,,,0
2014-03-25,4,2013,721426,4213.0,-397377,336727,59364,,8249,1286,178911,26102,26102,127270,1046.0,6540,95620,35933,,104931,,,278440,5476,7605,722290,23142,13701,658840,1614526,2013年12月31日,-397377,,1402557,1402557,0,1344951,1371021,1046,,11839.0,2161.0,,,356653.0,7380.0,604990,1614526,,,18867,,1452397.0,6497.0,,2854954.0,,100906,627.0,59687,107446,1483933,1660.0,1660.0,,,0
2014-05-06,1,2014,687919,4213.0,-447843,275345,53382,275345.0,7406,792,192449,24059,24059,57085,689.0,6540,95263,35424,6540.0,74328,,0.0,230488,4232,5318,581243,21352,15870,653580,1614526,2014年03月31日,-447843,,1367922,1367922,0,1164936,1198611,689,,11952.0,2182.0,,426907.0,,747.0,550706,1614526,,,18502,,1275162.0,8790.0,,2643084.0,2157.0,103686,627.0,59839,110226,1444473,1676.0,1676.0,,,0
2014-08-11,2,2014,559628,4213.0,-523444,274359,34763,274359.0,33379,60456,175941,27244,27244,52348,934.0,6540,95718,37463,6540.0,93192,,0.0,142335,2018,4929,382183,12987,21176,638528,1614526,2014年06月30日,-523444,,1278106,1278106,0,993593,1066003,934,,4133.0,12884.0,,406149.0,,17.0,490008,1614526,,,17920,,1100429.0,11083.0,,2378535.0,,100296,627.0,58255,106836,1312532,,,,,0
2014-11-11,3,2014,526527,4213.0,-594143,296588,32716,296588.0,6289,75445,189047,23720,23720,38571,1589.0,17276,100540,41686,17276.0,98498,,0.0,161305,1279,4141,338483,14373,21173,635598,1614526,2014年09月30日,-594143,,1222806,1222806,0,978041,1038906,1589,,3661.0,13109.0,,442413.0,,0.0,440409,1614526,,,17883,,1098303.0,13376.0,,2321109.0,,102986,627.0,58854,120262,1282203,,,,,0
2015-03-26,4,2014,506805,4213.0,-598689,283222,41580,,16364,646,223084,19711,19711,26634,1041.0,17374,102331,41100,,133056,,0.0,216654,1435,6252,482655,13390,16060,638737,1614526,2014年12月31日,-598689,,1254590,1254590,0,981056,1097149,1041,,2281.0,12700.0,,404311.0,,0.0,393938,1614526,,,18264,,1108386.0,15669.0,,2362976.0,,109956,0.0,61231,127330,1265827,1752.0,1752.0,,,0
2015-05-07,1,2015,458253,0.0,-611738,239566,22062,239566.0,11607,960,214388,15365,15365,25462,493.0,16204,105403,45445,16204.0,101476,,0.0,220922,2937,3019,491868,21608,20516,625189,1614526,2015年03月31日,-611738,0.0,1235138,1235138,0,941916,1099571,493,1022.0,,,12525.0,,423325.0,,420145,1614526,,2301434.0,17900,1066296.0,,17962.0,2301434.0,,0.0,108176,0.0,59958,124380,1201863,1727.0,1727.0,,,0
2015-08-05,2,2015,402457,0.0,-592811,214502,34955,214502.0,13575,721,207130,24187,24187,34751,327.0,15638,101897,42723,15638.0,124764,,,223903,5092,4269,447704,29449,16066,614220,1614526,2015年06月30日,-592811,0.0,1247846,1247846,0,912734,1151552,327,1016.0,,,12451.0,,481789.0,,388375,1614526,,2282904.0,17451,1035058.0,,19001.0,2282904.0,,,106686,0.0,59174,122324,1131352,1717.0,1717.0,,,0
2015-11-09,3,2015,385519,0.0,-606844,252534,34875,252534.0,6401,120,248434,16954,16954,33012,762.0,35325,98649,38452,35325.0,166174,,,301201,8566,7843,541281,23681,13496,612198,1614526,2015年09月30日,-606844,,1275938,1275938,0,972609,1301890,762,13801.0,,,0.0,,469722.0,,332605,1614526,,2399018.0,18031,1123080.0,,19822.0,2399018.0,,,115146,0.0,60197,150471,1097128,34202.0,1760.0,32442.0,,0
2016-03-17,4,2015,354481,0.0,-551283,287905,29170,287905.0,18802,255,234224,20850,20850,35390,697.0,35896,93472,35468,35896.0,173871,,,308193,8673,3819,574543,25602,14677,594493,1614526,2015年12月31日,-551283,2574.0,1318003,1318003,0,993884,1416876,697,15668.0,,,0.0,,546652.0,,315120,1614526,,2460019.0,17580,1142016.0,,20536.0,2460019.0,,,112236,,58004,148132,1043143,11416.0,1708.0,9708.0,,0
2016-05-05,1,2016,323395,,-513601,256070,42309,256070.0,40849,170,218362,15143,15143,29389,632.0,35019,122490,65752,35019.0,199000,,,307412,12460,3592,578898,43412,20966,582203,1614526,2016年03月31日,-513601,14324.0,1340626,1340626,0,900111,1356024,632,12204.0,,,0.0,,429453.0,,231579,1614526,,2384744.0,17222,1044118.0,,21339.0,2384744.0,,,108988,,56738,144007,1028720,1683.0,1683.0,0.0,,0
2016-08-08,2,2016,336469,,-480668,279406,27125,279406.0,38383,0,210332,13916,13916,66427,566.0,34269,100512,45485,34269.0,246373,,,354402,18445,7996,623971,53395,15261,567962,1614526,2016年06月30日,-480668,13978.0,1369838,1369838,0,1066634,1562843,566,0.0,,,9734.0,,517388.0,,334313,1617400,,2578086.0,17053,1208248.0,,22774.0,2578086.0,,,107345,,55027,141614,1015243,1645.0,1645.0,0.0,2874.0,290000
