date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,商品存貨,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在途商品,存貨合計,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,166338,88930,88930,1111824,-5305,2095,2095,,187759,113669.0,,308170,,308170,106759,106759,-97684,102571,,287747,287747,154784,1223,70147,70147,22058.0,3593570,-92379,-92379,77377.0,77377,600128,4080029,4080029,0.0,,782200.0,744405.0,-37795.0,3117089,3117089,0.0,0.0,,4475190,4287431,17566,17566,230252,230252,153561.0,51836.0,36752,2439386,2013年03月31日,551676,,10446.0,2239,3842941,3842941,0,507863,7135876,11618163,,20920,52285.0,,2548936.0,,3608046,15084.0,8207.0,102618.0,3993.0,2439386,,,8178310.0,389415,74389,315026,315026,,12021251.0,151316.0,48698,,22058.0,59443.0,5265.0,1272,121187,121187,54658,3608046,0.0,1042434,403088,0
2013-08-12,2,2013,,,169086,88820,88820,881153,-5459,1941,1941,,101068,122856.0,,735191,,369283,108005,108005,-83866,97449,,300329,300329,154606,1225,68980,68980,30036.0,3988632,-78407,-78407,,77377,668835,4534611,4534611,0.0,,782200.0,747259.0,-34941.0,3027867,3027867,646.0,646.0,365908.0,4717614,4616546,13529,13529,247455,247455,153381.0,,36537,2439386,2013年06月30日,185788,,,2252,3626088,3626088,0,551264,7863998,12143852,,18702,144101.0,,2263301.0,,4002845,,,,,2439386,,,8917090.0,389415,74389,315026,315026,,12543178.0,,46839,,30036.0,60076.0,,6081,121191,121191,51797,4002845,0.0,1053092,399326,0
2013-11-08,3,2013,,,171093,88820,88820,1031299,-5459,1941,1941,,314499,121450.0,,456729,,456729,179152,179152,-111467,47743,,295198,295198,154391,1225,70127,70127,19711.0,4709830,-106008,-106008,,77377,534779,5123159,5123159,0.0,,782200.0,750153.0,-32047.0,3152360,3152360,0.0,0.0,,5236080,4921581,10196,10196,197683,197683,153166.0,,36320,2439386,2013年09月30日,335934,,,2349,3748633,3748633,0,551264,8682861,13071943,,15554,144101.0,,2290680.0,,5026029,,,,,2439386,,,9728295.0,389415,74389,315026,315026,,13476928.0,,46614,,19711.0,54294.0,,8433,121179,121179,57450,5026029,0.0,1045434,404985,0
2014-03-26,4,2013,752083.0,752083.0,167490,70579,70579,1160254,-5354,2046,2046,38198.0,145169,,,407148,552.0,407148,137725,175923,-86345,871074,118991.0,392414,392414,146059,1223,71770,71770,0.0,4698513,-80991,-80991,,77377,777699,5476212,5476212,0.0,,0.0,0.0,0.0,3869386,3869386,0.0,0.0,,5919260,5774091,5032,5032,383969,383969,144836.0,,36104,2439864,2013年12月31日,464889,,,2281,3903697,3903697,0,551264,10551834,14351777,,19930,144101.0,,2066043.0,59399.0,5344275,,,,,2439864,,,10842137.0,389924,74342,315582,315582,,14745834.0,,43508,,0.0,116291.0,,8220,144244,144244,62242,5344275,0.0,290303,394057,0
2014-05-07,1,2014,484953.0,484953.0,164623,70579,70579,1295354,-5308,2092,2092,36568.0,153141,,,319803,0.0,319803,134725,171293,-38563,612125,127172.0,375697,375697,145876,1224,72153,72153,0.0,4861845,-33255,-33255,,77377,885294,5747139,5747139,,0.0,0.0,0.0,0.0,3787240,3787240,78.0,78.0,,6333771,6180630,4074,4074,367710,367710,144652.0,,35889,2573548,2014年03月31日,599989,,,2352,4359581,4359581,0,551264,10504384,14761401,,21011,144101.0,1894863.0,,91232.0,5693906,,,,,2573548,,,10794520.0,529242,61462,467780,467780,,15154101.0,,40975,,0.0,56563.0,,8030,144260,144260,62242,5693906,0.0,290136,392700,0
2014-08-13,2,2014,440440.0,440440.0,156950,70579,70579,966510,-5383,2017,2017,,214950,0.0,,1085921,,563724,257854,257854,-87636,541926,101486.0,397456,397456,145688,1224,75663,75663,0.0,5665780,-82253,-82253,,77377,215364,5881144,5881144,0.0,0.0,0.0,0.0,0.0,3263328,3263328,0.0,0.0,522197.0,6120848,5905898,8157,8157,396843,396843,144464.0,,35674,2596418,2014年06月30日,276637,,,2166,3976345,3976345,0,603528,10520036,14399234,,19628,86345.0,1501035.0,,,5628861,,,,,2596418,,,10809968.0,501053,59258,441795,441795,,14786313.0,,34176,,0.0,50847.0,,7557,144244,144244,62242,5628861,0.0,289932,387079,0
2014-11-13,3,2014,310671.0,310671.0,151975,70579,70579,1098979,-4602,2569,2569,36128.0,201460,,,482172,,482172,287292,323420,-41028,397605,86934.0,469166,469166,145437,1223,69626,69626,0.0,6344770,-36426,-36426,,77377,409097,6753867,6753867,0.0,0.0,0.0,0.0,0.0,3860064,3860064,0.0,0.0,,6061822,5860362,5886,5886,403654,403654,144214.0,,35459,2665120,2014年09月30日,409106,,,2101,4287039,4287039,0,603528,11927282,16127238,,19788,86345.0,2293139.0,,61715.0,7125726,,,,,2665120,,,12216978.0,563968,53035,510933,510933,,16504017.0,,29697,,0.0,53872.0,,7341,144259,144259,62242,7125726,0.0,289696,376779,0
2015-03-27,4,2014,266800.0,266800.0,165917,57088,57088,1194505,-4942,2229,2229,39383.0,214789,,,569274,753.0,569274,296368,335751,36153,342851,76051.0,309243,309243,146716,1223,76909,76909,0.0,5695701,41095,41095,,77377,630780,6326481,6326481,0.0,0.0,0.0,0.0,0.0,3419196,3419196,0.0,0.0,,6218685,6003896,5290,5290,486781,486781,145493.0,,35242,2689006,2014年12月31日,504632,,,1933,4504823,4504823,0,603528,11136475,15589095,,18663,86345.0,2113314.0,,61538.0,6742863,,,,,2689006,,,11452149.0,585159,50910,534249,534249,,15956972.0,,43578,,0.0,47722.0,,7787,168958,168958,47071,6742863,0.0,315674,367877,0
2015-05-05,1,2015,221110.0,221110.0,165966,57088,57088,1313728,-4716,2455,2455,49906.0,98540,,104605.0,418965,1322.0,418965,310831,360737,7686,303479,82369.0,327023,327023,146431,1224,74449,74449,,5319512,12402,12402,,77377,656444,5975956,5975956,,0.0,,,,3094188,3094188,957.0,957.0,,5121744,4918599,4963,4963,378746,378746,,,35028,2713670,2015年03月31日,623855,95936.0,,7373,4642309,4642309,0,603528,9572681,14158765,145207.0,18717,86345.0,,2195447.0,,5657834,,,,,2713670,14530410.0,9888101.0,,607225,48715,558510,558510,14530410.0,,,44308,,,47200.0,,1880,168989,168989,52970,5657834,0.0,315420,371645,0
2015-08-14,2,2015,95857.0,95857.0,164833,77088,77088,882617,-4730,2441,2441,49906.0,105459,,121703.0,1000987,1539.0,460473,244563,294469,-12934,156766,60909.0,316640,316640,146159,1223,73974,73974,,5665193,-8204,-8204,,77377,488892,6154085,6154085,,0.0,,,,3440375,3440375,,,540514.0,5117439,4890277,3620,3620,343991,343991,,,34811,2779991,2015年06月30日,228626,88750.0,,1720,4316385,4316385,0,653991,10455260,14694692,144936.0,16566,0.0,,2689585.0,,5766843,,,,,2779991,15086784.0,10770399.0,,666711,42815,623896,623896,15086784.0,,,43934,51931.0,,,,6991,168980,168980,57190,5766843,,315139,392092,0
