date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,3294702.0,3294702,869202,4711469,865261,983009,932823,,853322,4608886,1314184,421062,1538501,681524,20853843,2199709.0,2199709,-11939,856977,1279197,1069580,1195681,,,1606906,149321,5613,,1725550,,10266,16955000,1324817,7009670,2013年03月31日,3486665,,,12862110,12862110,44851265,687529,12767134,8007807,66206,537275,,3145322.0,159362.0,5283318,7009670,,20905,,35462161.0,1483330,67880,,1415450,,48324271.0,0.0,377002,0.0,400190,247396,20756336,17374937,,22695027,40316464,276016,0
2013-08-12,2,2013,,3669496,847290,3862580,789605,875615,2563807,1251576.0,1060855,5105289,1435793,627486,1376474,461035,21690391,,2180631,271250,915439,1274788,795751,1195681,,,1786913,99423,480,1312231.0,1389763,,3763,17716158,1408116,7009670,2013年06月30日,2506724,,,12274849,12274849,44851265,818581,13898338,7596581,64461,537275,,3012510.0,56163.0,4262947,7009670,,22495,,37302406.0,1537425,121975,0.0,1415450,,49577255.0,821.0,509487,0.0,430272,254258,21597322,18234972,,23404068,41980674,382206,0
2013-11-13,3,2013,,3879048,806552,4216321,644891,706444,1134403,,753446,5272674,1393626,352568,1446488,463559,21248302,,2024775,108555,982929,972135,1019655,1195681,,,1993370,155011,291,,1665641,,57333,18009377,1462276,7009670,2013年09月30日,2860465,,,12321181,12321181,44851265,818581,15388994,8067343,63672,537275,,3386942.0,164492.0,6644902,7009670,,22297,,37588871.0,1537425,121975,0.0,1415450,,49910052.0,1554.0,623993,0.0,517751,252530,20235638,18251392,,22199877,41842709,254767,0
2014-03-25,4,2013,,4182498,848263,4284222,656655,1135304,1833731,,1079131,5675172,1492674,951195,1347392,422843,20502724,,779342,422476,924549,897013,1392270,537844,,,1822350,220622,13547,,1490044,151545.0,55973,19313899,1574245,6891630,2013年12月31日,2928366,,,13108753,13108753,33047265,818581,15499638,9871654,63163,537275,,3655487.0,144656.0,5767294,6891630,,22266,,39219295.0,1391614,0,0.0,1391614,,52328048.0,0.0,835868,0.0,430246,154100,21942019,18826369,,23719657,42456394,203968,0
2014-05-12,1,2014,,4299260,826428,37554356,748198,1198147,1499813,,3286588,5649183,1349923,778033,1280563,338611,11486150,,2253136,2538390,941952,998492,1433741,537844,0.0,,2584768,221471,5119,,2224064,0.0,27873,77108827,1655199,6891630,2014年03月31日,3265995,,,48586344,48586344,33047265,818581,18517671,10013381,26619,33469780,3133969.0,,153757.0,8371408,6891630,,26272,,52702857.0,1391614,0,0.0,1391614,,101289201.0,5880.0,909562,,12098740,172597,20805883,8234522,,34185186,91275820,307992,0
2014-08-13,2,2014,,3739856,1103511,35854150,633122,910164,3658192,,2152665,5057661,1317805,1497559,1438729,419916,11389684,,2612399,1519543,1018813,866482,1134528,203488,0.0,,2140640,191795,1104,,1866183,0.0,12541,77506824,1681799,6831630,2014年06月30日,1272952,,,46099654,46099654,27047265,1111418,19493628,10786197,29436,33469780,4409919.0,,163466.0,8229520,6831630,,29752,,56551839.0,1464697,85199,0.0,1379498,,102651493.0,21498.0,657971,,11951982,154042,23667500,7910803,,37058211,91865296,297332,0
2014-11-13,3,2014,,3849730,1290059,36353776,661666,720740,1641282,,3284295,5231629,1381899,1362693,1486618,426190,11876916,,2842476,2622629,1060428,884438,1392416,203488,0.0,,2118839,139372,9738,,1585192,0.0,15234,80107091,1800293,6831630,2014年09月30日,1772578,,,47730910,47730910,27047265,1111418,19651958,10310987,28284,33469780,4066816.0,,215863.0,10260687,6831630,,30294,,57838759.0,1464697,85199,0.0,1379498,,105569669.0,4254.0,927011,,12335330,156039,24364853,8150002,,38186801,95258682,240885,0
2015-03-27,4,2014,,5442974,1419345,37129244,525740,612284,2348444,,5650538,7245998,1803024,3181717,1461128,345646,9753831,,2640407,5124798,1115482,834577,2781813,203488,0.0,,1786092,180613,12457,,2053168,45865.0,14306,89215318,1982794,6831630,2014年12月31日,2548046,,,50885248,50872621,27047265,1111418,20541986,12731779,48539,33469780,2660118.0,,203678.0,8729677,6831630,,29840,,64378903.0,1464697,85199,0.0,1379498,,115264151.0,5187.0,930077,,13008487,112545,29367302,6278847,12627.0,43836917,102532372,452431,0
2015-05-05,1,2015,,5162911,1424061,37652965,513381,602718,1518730,,4728974,7382678,2219767,3430635,1255000,214782,9564552,,2751297,4215593,1040218,821976,3004339,203488,0.0,,2693579,203166,6034,,1935563,13175.0,9324,88388075,2051066,6831630,2015年03月31日,3071767,246625.0,,50487248,50474778,27047265,1111418,22826995,13812093,46632,33469780,,3331934.0,,10743497,6831630,115401428.0,32686,64914180.0,,1464697,85199,0.0,1379498,115401428.0,,0.0,863744,,12895861,114949,27936324,5991279,12470.0,42087185,101589335,620661,0
2015-08-12,2,2015,,3822798,1666539,36218504,429012,548377,2991167,,4219890,6155749,2332951,3100141,1695221,603676,8496557,,2525721,3790878,1091545,874939,3095203,203488,0.0,,2126494,126210,1964,,1574661,0.0,8242,89106922,2512723,6831630,2015年06月30日,1020260,189983.0,,48610967,48598851,27047265,1344657,19863038,12906515,46176,33853587,,2943636.0,,8238445,6831630,114874863.0,32691,66263896.0,,1532315,152817,,1379498,114874863.0,,335.0,1224436,,12856392,139431,31849245,5095897,12116.0,46400858,101968348,411819,0
2015-11-12,3,2015,,3673928,1806831,36260027,286658,441383,2777098,,5626977,5587348,1913420,1296262,1779607,632437,8728013,,2598768,5340319,1147170,902705,4092197,313144,0,5000000,1867852,227844,38,,2429629,0,6686,92421227,2594588,6831630,2015年09月30日,1061783,112501,19741,49951879,49937805,30447265,1344657,22790929,20330396,42821,33853587,,10424487,,12179554,6831630,126045709,38694,76093830,,1532315,152817,,1379498,126045709,,0,1126502,,13318731,121833,33204563,5226540,14074,53302901,105715313,493509,0
2016-03-25,4,2015,,5441870,1883865,36432784,201205,313355,3015653,,4160167,7727380,2285510,5587047,1754806,595922,6250095,,2562397,3958962,1158884,835257,4252183,426378,0.0,5000000.0,1821056,265323,10452,,2537325,33782.0,30842,91210068,2551987,6831630,2015年12月31日,1234540,128861.0,2826.0,48544723,48530518,34047265,1344657,21891037,20445573,40613,33853587,,5862144.0,,8883187,6831630,122464077.0,39125,73919354.0,,1532315,152817,,1379498,122464077.0,,0.0,1429676,,13005694,81876,32267817,2852441,14205.0,52028317,102018504,396393,0
