date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,676303,105593,3793511,46624,2953140,,149955,45548,861,60059,944219,51434,110,312789,5335,2168,,1046880,1046880,0,,,272291,3126,,170071,211154,1403,307454.0,558667,1322320,,4696769,2013年03月31日,1883866,,9448693,9448693,0,1342692,568882,4689152,,2121,,39281.0,566953,,1052956.0,40629.0,,4696769,,5899,,922673.0,14194,,10371366.0,1961215,41002,61902,,0,353791,5682214,,98538,0
2013-08-07,2,2013,686579,104379,3481891,39722,2763143,,637426,190043,830,185172,754105,3104,110,312908,5345,2168,,969220,969220,0,0.0,,258744,3773,,282127,130996,532,307563.0,557763,1305098,,4696769,2013年06月30日,1510420,,8946995,8946995,0,1404518,1128903,4942581,,2491,,30374.0,566953,,1135243.0,28641.0,,4696769,,7172,,1480097.0,14230,,10427092.0,2081407,38286,62890,,0,351194,5484511,,86848,0
2013-11-11,3,2013,829494,92750,3608535,44229,2728212,,170806,108562,1516,60586,723685,2696,110,312542,5363,2168,2168.0,755395,755395,0,0.0,,297764,2762,,298458,231511,1520,307179.0,538420,1316557,,4696769,2013年09月30日,1637064,,9043144,9043144,0,1404518,602235,4419861,,2491,,0.0,566953,,1044496.0,11159.0,,4696769,,8486,,950477.0,14155,,9993621.0,1896335,35700,63668,,0,348242,5573760,0.0,85705,0
2014-03-13,4,2013,870911,96279,3723095,46906,2719072,0.0,149157,55786,702,22204,745560,5414,110,317230,5413,2846,2846.0,601685,601685,0,0.0,,351732,3037,,249687,265006,310,311817.0,535346,1342297,,4696769,2013年12月31日,1752550,,9179564,9179564,0,1404518,604323,4506066,,2491,,49895.0,566027,,1167110.0,33298.0,,4696769,,5899,,959116.0,14140,,10138680.0,2024181,37563,63372,,0,354793,5632614,,78270,0
2014-05-09,1,2014,987216,97758,3828271,46906,2594603,,206208,201127,738,63188,628856,15314,110,314976,5455,2892,,751197,751197,0,,0.0,256212,10746,,257246,224472,872,309521.0,535975,1354477,,4696769,2014年03月31日,1857726,,9168022,9168022,0,1404518,751163,4634084,,2283,,0.0,566027,1058233.0,,55657.0,,4696769,,5899,,1104991.0,14126,,10273013.0,2145483,38852,63725,,0,353828,5638929,,85639,0
2014-08-07,2,2014,1350735,294913,3521099,41835,2647019,,442149,257229,1320,114598,662905,2253,110,314621,5415,68775,,629131,629131,0,0.0,0.0,292266,21430,,228378,327406,0,309206.0,534392,1309556,,4696769,2014年06月30日,1496868,,8894895,8894895,0,1458204,1068140,4043238,,2075,,0.0,566027,916745.0,,46236.0,,4696769,,6577,,1419691.0,14122,,10314586.0,1710822,36930,63883,,0,351551,6271348,,72893,0
2014-11-07,3,2014,1541211,290747,3671880,38172,2336584,,218094,124687,715,62973,294634,11649,2410,313808,5451,67388,,666119,666119,0,,0.0,304334,29121,,290543,228678,591,308357.0,534545,1307433,,4696769,2014年09月30日,1647649,,8677418,8677418,0,1458204,729572,3616877,,1868,,0.0,566027,857810.0,,34389.0,,4696769,,7298,,1083109.0,14135,,9760527.0,1375136,39729,63874,,0,353537,6143650,,93730,0
2015-03-11,4,2014,1937007,290476,3756067,43520,2643224,,224336,122519,27258,48423,587050,8531,2410,308271,5980,3002,,870128,870128,0,,0.0,262880,5398,,150169,181085,188,302291.0,536741,1390351,,4696769,2014年12月31日,1731836,,9054021,9054021,0,1458204,681613,3220728,,1660,,0.0,566027,914090.0,,52050.0,,4696769,,5899,,1032269.0,14135,,10086290.0,868131,42385,63101,,0,350656,6865562,,115326,0
2015-05-11,1,2015,2407719,289698,3877378,38872,2529842,,120206,72228,490,19196,444917,11171,2410,305904,5968,2621,,724819,724819,0,,0.0,231450,13648,,183315,206586,266,,534062,1375380,,4696769,2015年03月31日,1853147,68163.0,9033180,9033180,0,1458204,522765,2702146,299936.0,1453,32799.0,,566027,,508108.0,,,4696769,9905783.0,5899,872603.0,,14116,9905783.0,,883264,43934,62862,,0,349838,7203637,,102021,0
2015-08-07,2,2015,3216257,288719,3681525,32816,2131019,,212319,145898,526,71591,17906,54178,2410,308882,9131,2210,,870238,870238,0,234838.0,0.0,365643,14869,499862.0,252733,146493,1284,,531137,1363695,,4696769,2015年06月30日,1607301,50905.0,8645154,8645154,0,1508197,1349573,2746766,299751.0,3949,18518.0,,566027,,607345.0,,,4931607,10346278.0,5899,1701124.0,,14116,10346278.0,,640418,42669,62526,,0,351551,7599512,,102394,0
2015-11-11,3,2015,3344134,291840,3785771,29013,2018969,,163937,70045,1313,26036,-68468,21250,110,308387,9284,2210,,833410,833410,0,,0.0,208067,13981,349924.0,288757,174459,673,,535548,1361604,,4931607,2015年09月30日,1711547,20886.0,8663026,8663026,0,1508197,853989,2250608,299103.0,3503,2756.0,,566027,,334548.0,,,4931607,9871439.0,5899,1208413.0,,14116,9871439.0,,468713,46037,63023,,0,354424,7620831,,90820,0
2016-03-11,4,2015,3637335,291740,3910532,36056,1919856,,162059,70001,384,53432,-160479,9465,110,310365,9281,2168,,787207,787207,0,,0.0,279912,9972,249955.0,215815,240734,730,,533901,1372035,1208.0,4931607,2015年12月31日,1836956,44505.0,8695706,8695706,0,1508197,1041768,2268409,299876.0,3057,,,565379,,330356.0,,210000.0,4931607,10092209.0,5899,1396503.0,,14046,10092209.0,,515410,44370,63708,,0,354735,7823800,,88175,0
2016-05-12,1,2016,3645936,290316,4006546,30567,1986493,,104189,59786,458,101313,-84025,14132,89,309476,8739,2228,,644733,644733,0,,0.0,318737,12226,0.0,368456,193757,0,,530514,1387517,2446.0,4931607,2016年03月31日,1932970,64682.0,8868174,8868174,0,1508197,789651,2500585,298291.0,2611,0.0,,565379,,411802.0,,210000.0,4931607,10410489.0,5899,1542315.0,,14046,10410489.0,,663691,43188,64289,400000.0,0,752664,7909904,,85719,0
2016-08-10,2,2016,3828120,290517,3811862,28004,1985459,,439549,162315,400,180291,-111548,12762,116,310910,8302,2228,,720427,720427,0,98633.0,0.0,347580,16224,699848.0,260967,217523,0,,529327,1363466,3794.0,4931607,2016年06月30日,1685131,55047.0,8744600,8744600,0,1561352,3239224,6172694,298814.0,2165,0.0,,565379,,2690453.0,,1500000.0,5030240,14237276.0,5899,5492676.0,,14046,14237276.0,,1983102,42542,63300,1900000.0,0,2253452,8064582,,91411,0
2016-11-09,3,2016,3846470,280986,3960740,24369,2178584,,169414,72771,1695,24920,57810,9213,110,312144,8213,97424,,784938,784938,0,,0.0,280522,18324,699754.0,307992,162616,761,,525263,1367507,5101.0,5030240,2016年09月30日,1834009,25166.0,9062836,9062836,0,1561352,2231063,5735300,298830.0,1719,0.0,,565379,,2396597.0,,950000.0,5030240,14096852.0,5899,5034016.0,,14046,14096852.0,,1847213,40809,63599,2450000.0,0,2802953,8361552,,184089,0
