date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他長期借款,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,副產品,半成品,原料,在製品,天然資源淨額,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款,應收帳款淨額,應收建造合約款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形探勘及評估資產成本,無形探勘及評估資產淨額,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,礦產資源淨額,股本合計,製成品,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,銀行長期借款,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,882477,135901,1018378,16788596,442942,,6896127,1138571,,1362387,91648,,-365027,1389004,556,44177,,,815671,1313364,150468,,,,,,13255,402126,11664328,11664328,876543.0,0.0,,,2358326.0,1927291,210854,206853,128846,13250.0,0.0,,3501867,752419,,262976,802416.0,1594974,1381219,9981468,2013年03月31日,4154107,,22862366,22737207,0,2590756,10568232,17888256,,,,,,151264,,876543.0,314675.0,4945976,,9981468,,,,,17868863.0,6224639,,40731229.0,82346,34750.0,404702,178181,183307,,,,3913703,0.0,125159,7300631,22842973,0.0,289596,760770,356820,0
2013-08-12,2,2013,885301,119801,1005102,16493865,442875,,6099686,1018451,0.0,2809539,122883,,-384310,1355571,533,40982,,,813650,1344689,138897,,,,,,12870,287532,10152822,10152822,,0.0,,,2366054.0,1490227,125439,546783,113518,7650.0,0.0,,2974642,739955,,340525,800780.0,1682277,1306640,9982021,2013年06月30日,3184831,,22044217,21923083,0,2765546,9022505,15850555,,90000.0,90000.0,,,149309,,790046.0,194081.0,2351392,,9982021,,,,,16280231.0,6225686,,38324448.0,35955,40750.0,422934,184062,185096,,,,3853210,0.0,121134,7257726,22473893,0.0,265766,828260,342286,0
2013-11-12,3,2013,880430,114201,994631,16433402,439167,,6607354,1077905,0.0,1465122,62093,,-346605,1439760,50641,42348,,,812467,1304027,129513,,,,,87709.0,12183,285659,10678853,10678853,,0.0,,,2373781.0,1623236,125259,286897,87444,1932.0,0.0,,2993339,757565,,298121,800284.0,1612800,1302239,9982021,2013年09月30日,3692499,,22585411,22468456,0,2765546,9210066,16255540,,,,,,149309,,632786.0,89491.0,4009028,,9982021,,,,,16112742.0,6225686,,38698153.0,83829,40500.0,466264,189416,185364,,,,3486512,0.0,116955,6902676,22442613,0.0,324171,888855,392556,0
2014-03-24,4,2013,884672,109201,993873,16257059,421995,,7215861,1064358,,1622418,46354,,-285139,1380868,1723,46183,,49882.0,785279,1279788,135414,,,,,87303.0,14182,282854,9968365,9968365,,,,,2381509.0,1846273,41208,436828,106191,0.0,0.0,,3653746,860357,,451023,771097.0,1638935,1456000,9982021,2013年12月31日,4301006,,23254346,23138429,0,2765546,9844751,17555853,,,,,,149309,,1777544.0,161763.0,4206822,,9982021,,,,,16670287.0,6225686,,39924633.0,42380,40250.0,482143,170006,163342,,,3398610.0,3448492,0.0,115917,6825536,22368780,0.0,270138,861520,385272,0
2014-05-05,1,2014,888915,110632,999547,16128939,422488,,7647414,974088,0.0,1479020,58695,,-377437,1389250,8855,37606,,0.0,786200,1363971,123596,,,,,88093.0,15579,282321,9190702,9190702,,0.0,,0.0,2389237.0,1599501,4005,391622,81378,0.0,,,3334826,1063085,,286972,770621.0,1637840,1485354,9982021,2014年03月31日,4732559,,23590972,23477684,0,2765546,8713999,16809012,,,,,,149309,2121695.0,,223791.0,3531305,,9982021,,,,,15486736.0,6225686,,39077708.0,14127,42250.0,417778,174480,167923,,,3380570.0,3380570,,113288,6772737,22268696,,297653,958054,380848,0
2014-08-12,2,2014,893157,112063,1005220,16195618,355281,,6473024,939502,0.0,3058686,70835,,-440424,1427797,3591,22540,,0.0,784145,1514786,113770,,,,,85224.0,13746,283023,8201220,8201220,,0.0,,0.0,2396964.0,1620991,132084,726256,90445,0.0,,,3634432,999738,,425750,770399.0,1636745,1481815,9982021,2014年06月30日,3210631,,22349797,22240307,0,2977253,10899668,17607561,,,0.0,,,285140,3609819.0,,142043.0,3673448,,9982021,,,,,17645218.0,6225686,,39995015.0,27918,44250.0,302496,179044,178483,,566.0,3341147.0,3341147,,109490,6745550,22387454,,340165,1117993,418986,0
2014-11-10,3,2014,0,113494,113494,16038936,351624,,6761467,918925,0.0,1432048,101912,,-431064,467180,3724,12230,,0.0,758005,1563156,106012,,,,,85666.0,16013,292751,8896077,8896077,,0.0,,0.0,2404692.0,1988758,269337,539656,91535,0.0,,,3460355,885883,,353623,741992.0,1635650,1554488,9982215,2014年09月30日,3499074,,22645948,22538611,0,2977253,8389480,15420830,,,,,,285140,1177951.0,,24475.0,3570829,,9982215,,,,,15102572.0,6225993,,37748520.0,0,45250.0,215465,182037,179245,5662.0,,3323108.0,3323108,,107337,6713092,22327690,,317334,1164393,349962,0
2015-03-25,4,2014,2412420,114925,2527345,15916706,343099,,6642349,872398,0.0,1485350,65376,,160468,2860314,1258,54666,,0.0,794199,1547319,100228,,,,,87944.0,11949,283417,8558912,8558912,,0.0,20640.0,0.0,0.0,1725494,149699,464714,120088,0.0,,,3566722,1019094,,393013,782250.0,1651800,1560248,9982215,2014年12月31日,3379956,,23119996,23011025,0,2977253,10956845,16166959,,,,,,285140,1910409.0,,78301.0,4027187,,9982215,,,,,15229075.0,6225993,,38349071.0,40000,0.0,335490,194346,202598,5698.0,,3283685.0,3283685,,108971,4272230,22182112,,242637,1163674,331711,0
2015-05-11,1,2015,2420147,114925,2535072,15889636,342885,,7092143,983483,0.0,1470609,91028,,239698,2797274,65646,36367,,,749194,1420339,94559,,,,,,13942,282472,8009367,8009367,,0.0,0.0,0.0,0.0,1495701,349963,639330,106882,,,,3749783,1100920,,345860,,1650197,1566979,9982215,2015年03月31日,3829750,131681.0,23644949,23540049,0,2977253,10375714,15575486,735252.0,,,,,285140,,1644233.0,,3316556,85797.0,9982215,,37726548.0,,14081599.0,,6225993,37726548.0,,47748,0.0,260060,191046,211746,19970.0,,2765645.0,2765645,,104900,3705885,22151062,,337868,1043308,196556,0
2015-08-12,2,2015,2427875,114925,2542800,15737614,328622,,6156527,963967,0.0,2700010,101898,101898.0,199065,2958798,440,61351,,,748793,1502852,89717,0.0,1705416.0,3487051.0,0.0,,12679,284072,7964990,7964990,2678540.0,0.0,0.0,0.0,0.0,1622865,289848,854194,166547,,,3489486.0,3489486,1332874,474483.0,474483,,1648623,1579589,9982215,2015年06月30日,2923806,142254.0,22662187,22563800,0,3083412,12502701,16617450,736114.0,,,,1035935.0,149309,,2678540.0,,3705167,83434.0,9982215,1736588.0,38677960.0,,16015773.0,,6225993,38677960.0,,63018,0.0,227712,188057,215809,0.0,0.0,,2576222,,98387,3513072,22060510,,286116,1129063,415558,0
