date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付短期票券,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,95535,7078,102613,747757,703447,-19565.0,,,25449,201847,,19202,85124,110166,7553,2382,41902,65583,,17918,104689.0,,426534,426534.0,0.0,,,,0.0,278660,,,2373,,661995,422,16444,41902.0,,,748851,2013年03月31日,502027.0,,2066525,2051410,0,192121.0,638764,2052947,,101,9299.0,,839335.0,41661.0,0,748851,,,801705.0,513988,,2868230.0,4057.0,0.0,30158,12185,1842,108854,5550,15115,162941,815283,31026,42115,0
2013-08-12,2,2013,0,7111,7111,768767,551082,-18137.0,,,26876,430846,215846.0,17280,114023,14247,7136,17983,42861,65437,,17650,132160.0,,426408,426408.0,,,,,94996.0,337113,,,3153,215000.0,744207,490,16571,42861.0,,3427.0,749216,2013年06月30日,317359.0,,1944907,1929133,0,224424.0,903310,2264657,,76,9299.0,,975988.0,27951.0,90000,749216,,,1160416.0,514812,,3105323.0,0.0,0.0,32329,12185,2959,107064,5610,15774,257106,840666,6525,42177,0
2013-11-11,3,2013,0,7115,7115,762975,628631,-17049.0,,27965.0,27965,186133,186133.0,25067,95607,33189,26074,6031,43800,98314,,17584,112656.0,,372831,372831.0,,,,,95114.0,306924,,,2417,,823530,916,21491,43800.0,,3245.0,749380,2013年09月30日,394908.0,,2005082,1988745,0,224424.0,841627,2237201,,67,9299.0,,926454.0,24253.0,288711,749380,,,1098023.0,515127,,3103105.0,0.0,0.0,17440,12185,1303,105297,5513,16337,256396,865904,15476,75217,0
2014-03-28,4,2013,0,7149,7149,789874,708152,,,,30869,219294,,18211,128832,30086,22937,25136,45508,85152,,15593,128832.0,,378182,,,,,,93777.0,377739,,,2147,,840606,440,15154,45508.0,,3018.0,750038,2013年12月31日,474429.0,,2120379,2103415,0,224424.0,914096,2397370,,3699,9299.0,,1058583.0,35414.0,249416,750038,,,1170112.0,516393,,3290491.0,0.0,0.0,15822,13235,11378,103496,5576,16964,256016,893121,14367,63983,0
2014-05-13,1,2014,0,7184,7184,804357,787965,,,,39990,217747,,13857,130434,31157,23973,8898,45184,170436,,7561,,,411327,411327.0,,,0.0,,88820.0,350531,,,3100,,809080,959,14436,45184.0,2822.0,2822.0,751913,2014年03月31日,,,2207356,2190356,0,,866573,2330272,,3590,,991890.0,,42777.0,221261,751913,,,1115499.0,520044,,3322855.0,0.0,,15757,13235,11378,101687,11935,17000,248926,992583,24078,150940,0
2014-08-12,2,2014,78611,7218,85829,795337,737344,,,,45173,381444,246100.0,7068,102620,97898,12069,7975,45630,186979,14048.0,14048,,,404875,404875.0,,,0.0,,0.0,397345,,,2888,135344.0,911290,837,14344,45630.0,,2580.0,755531,2014年06月30日,476150.0,,2139626,2122649,0,251895.0,1098484,2397080,,3491,9299.0,963414.0,,49968.0,168941,755531,,,1257219.0,527154,,3396845.0,,,15724,13235,11378,99870,5386,16977,158735,999765,26380,167545,0
2014-11-11,3,2014,68762,7208,75970,810419,865567,,,,35841,191560,,12372,140903,132552,56582,16939,13235,193090,,18076,140903.0,,434347,434347.0,,,0.0,0.0,0.0,430027,,,3711,,1111734,989,9718,13235.0,,2350.0,759081,2014年09月30日,604373.0,,2317557,2299452,0,251895.0,1179380,2633656,,3388,9299.0,975893.0,,50270.0,371260,759081,,,1336724.0,533901,,3654281.0,,,11773,46017,11378,98092,5488,18105,157344,1020625,24050,169526,0
2015-03-19,4,2014,58391,7289,65680,860978,963836,,,,37043,238427,,8528,205557,84508,18828,17404,47419,156162,,20660,205557.0,,435370,435370.0,,,0.0,,0.0,422941,,,3146,,1142794,1140,8279,47419.0,,2168.0,762789,2014年12月31日,,,2491694,2473125,0,,1240209,2854079,,3295,,1140417.0,,56237.0,434950,762789,,,1396617.0,540943,,3888311.0,,,18799,12766,11629,96223,5628,18569,156408,1034232,44305,129874,0
2015-05-07,1,2015,1874,7324,9198,841925,1037086,,,,39588,221904,,6989,188409,34895,25697,76879,46746,160385,,23903,188409.0,,442955,442955.0,0.0,,,,0.0,389246,,,2691,,1066768,807,8421,,,2035.0,782210,2015年03月31日,,47661.0,2604268,2585967,0,,1160377,2899361,46746.0,3201,,,1182010.0,,463980,782210,3918536.0,1314268.0,,578262,3918536.0,,,,16215,12766,11629,94379,5539,18301,153891,1019175,58729,130943,0
2015-08-06,2,2015,0,7359,7359,822929,859732,,,,30606,476867,247153.0,8885,149771,22919,15560,79797,48157,156871,,23014,,,421817,,0.0,,,,,356275,,,2771,229714.0,1003462,1976,8081,,,1941.0,782687,2015年06月30日,,49537.0,2389015,2371370,0,,1270325,2816326,48157.0,3094,,,1187874.0,,361956,782687,3812790.0,1423775.0,,579180,3812790.0,,,,20088,12767,11629,92526,5426,17645,153450,996464,53740,128431,0
