date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,5801894,6765931,346702,2209506,173857,8744,723700,25126,128043,5276.0,9672.0,9672.0,122767.0,60844,342006,117000,307,7287.0,256004,86646.0,,,250513,125586,199833,139107,22216,534003,121260,409379,28761.0,334719.0,390701,5614492,6038919,2013年03月31日,1946096,,,13731718,13550313,0,1499835,1127396,2231669,,9672,3320000,,298781.0,7158.0,1862.0,184000,6038919,0.0,,,2655801.0,21763,,16387519.0,1186399,12585,181405,1528405,14155850,11484,55849,0
2013-08-14,2,2013,5822270,6648450,510440,2210447,670350,289758,706162,24426,145057,22290.0,9448.0,9448.0,122767.0,50923,351740,72140,307,18143.0,307185,0.0,,,264674,128130,59933,194543,29538,528017,116768,431960,18629.0,333597.0,390339,5687254,6038919,2013年06月30日,1887455,,,13566005,13415294,0,1571033,1787638,2672600,,9448,3189962,,304381.0,22044.0,1879.0,394000,6038919,0.0,,,3310831.0,21763,,16876836.0,1171453,12338,150711,1523193,14204236,18526,20910,0
2013-11-12,3,2013,5838809,6886689,429275,2291373,184996,23714,648474,21280,72027,18960.0,9373.0,9373.0,53067.0,50840,342438,109579,308,7511.0,348180,0.0,,,281213,142408,49941,202445,25725,582705,98591,349519,40032.0,334927.0,389978,5819974,6038919,2013年09月30日,2125694,,,13746849,13595845,0,1571033,1519812,2322509,,9373,3189962,,356502.0,23804.0,2336.0,588000,6038919,0.0,,,3049429.0,21763,,16796278.0,1187179,14683,151004,1529617,14473769,19628,58431,0
2014-03-19,4,2013,5846863,7271548,492613,2415438,206504,14626,1029059,23107,67955,,,,,50014,317153,126578,424,,340696,0.0,,,322524,193002,249816,229380,38895,692760,107885,428880,44173.0,,389617,6317363,6038919,2013年12月31日,2510553,,,14539149,14366079,0,1571033,1700449,2631135,,9328,3189962,,429215.0,25221.0,334.0,412000,6038919,0.0,,,3207834.0,26553,,17746983.0,1190232,10661,173070,1507385,15115848,11998,76140,0
2014-05-06,1,2014,5853755,7511209,563320,2493303,189167,15079,1159736,31116,85500,,,,,48106,313512,134587,331,7847.0,305938,0.0,,0.0,259195,160034,49937,178713,26832,657929,86699,371774,36546.0,305665.0,389256,6635961,6038919,2014年03月31日,2750214,,,14910655,14736417,0,1571033,1648612,2536190,,9183,3189962,401545.0,,36618.0,353.0,717000,6038919,,,,3152206.0,26553,,18062861.0,1190082,10626,174238,1503594,15526671,11507,86150,0
2014-08-13,2,2014,5827167,7294906,506107,2615835,755964,317446,1109700,36315,126427,8960.0,9104.0,9104.0,117467.0,55717,315703,154412,333,8897.0,357157,,120778.0,0.0,303517,179847,49941,190127,42059,740635,23043,482221,0.0,306806.0,388895,6623755,6038919,2014年06月30日,2422599,,,14753150,14590856,0,1682345,2266967,2895786,,9104,3189962,325334.0,,59197.0,360.0,650000,6159697,,,,3772540.0,26553,,18525690.0,1189870,10736,162294,1505573,15629904,17056,98362,0
2014-11-13,3,2014,5759633,7652999,476880,2620991,198872,19887,1171403,37936,109641,,,,,68610,317600,174972,333,9624.0,313738,,,0.0,282767,157411,609627,178920,37819,642661,30993,520075,0.0,307976.0,437248,7051457,6159697,2014年09月30日,2780692,,,15172677,15010652,0,1682345,1885848,2502333,,8957,3189962,373266.0,,68496.0,375.0,314000,6159697,,,,3393483.0,26553,,18566160.0,1190035,10569,162025,1507635,16063827,14817,106029,0
2015-03-24,4,2014,5736238,7993017,513323,2626208,222799,2543,1460564,25889,115112,11145.0,8811.0,8811.0,103967.0,67073,332334,260232,329,9654.0,326165,,,0.0,301031,191727,349761,202219,43929,660834,60791,565176,0.0,322680.0,474170,7616978,6159697,2014年12月31日,3120710,,,15797970,15642277,0,1682345,2068617,2652681,,8811,3189962,396132.0,,81262.0,385.0,650000,6159697,,,,3584786.0,28999,,19382756.0,1183835,7438,155693,1516169,16730075,12220,192830,0
2015-05-13,1,2015,5690994,8248134,537062,2737320,185864,7431,1514718,33251,131056,14089.0,,,116967.0,67509,333153,290180,403,9654.0,330309,,,,274607,156812,749429,167793,29375,613073,38434,435843,1997.0,,800496,7778430,6159697,2015年03月31日,3375827,89239.0,362.0,16105747,15951548,0,1682345,2089370,2398494,323499.0,8664,3189962,,295188.0,,,403000,6159697,,19711954.0,3606207.0,,28999,19711954.0,,1183684,7376,154199,1516837,17313460,7739,222268,0
2015-08-12,2,2015,5684691,7861653,1323877,1977691,797786,416583,1444872,30956,120501,7534.0,,,112967.0,66689,323727,379012,389,9624.0,317244,,123194.0,0.0,263762,143866,249752,127470,48697,559628,47454,437380,,,800014,7615818,6159697,2015年06月30日,2850088,101477.0,650.0,15760747,15618415,0,1821603,2710766,3505849,314103.0,8609,3189962,,269261.0,,,947000,6282891,,19978924.0,4218177.0,,28999,19978924.0,,1183684,7240,142332,1507411,16473075,13271,311934,0
