date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,150000.0,7149311,480000.0,358423,984741,14457,20150,4460,470342,215429,65429.0,62318,53828.0,8490.0,,2175,174537,,,1134490,0,,4016208,136745,49943.0,459019,3747641,29254,430045,4563539,2013年03月31日,,,10965352,10886820,0,5462261,8025862,717788.0,,2513430.0,0.0,2096.0,44738.0,4563539,,,,,6072338.0,5494516,,17037690.0,,11259,107902,60147,500000,,78532.0,610077,9011828,41745.0,0
2013-08-06,2,2013,0.0,7009233,480000.0,192274,1184091,8128,21690,4775,602489,13949,13949.0,51058,50737.0,321.0,,2244,171301,,,1021439,0,,4213565,167234,21993.0,694381,3744839,37485,439218,4563539,2013年06月30日,,,10930373,10855101,0,5610078,8403594,698687.0,,2772752.0,1118.0,,0.0,4563539,,,,,6348395.0,5496799,,17278768.0,0.0,6510,136073,76735,600000,,75272.0,738317,8875174,48665.0,0
2013-11-05,3,2013,0.0,6774429,480000.0,25274,1145962,17815,18885,1048,543197,239362,239362.0,319542,319256.0,286.0,,2152,169904,,,1167344,0,,4259041,123233,87015.0,675725,3959101,25571,431741,4563539,2013年09月30日,,,10704714,10631037,0,5872428,8698732,683058.0,,2457842.0,0.0,,0.0,4563539,,,,,6599161.0,5499027,,17303875.0,,10087,124581,66011,600000,,73677.0,726733,8605143,63587.0,0
2014-03-03,4,2013,0.0,6284084,480000.0,-449548,832263,108878,46266,3038,646833,146994,146994.0,193315,192108.0,1207.0,,2147,164432,,,863695,0,,3770566,103460,12936.0,573707,3773967,35765,414759,4563539,2013年12月31日,,,10338309,10263482,0,4975097,7964662,662562.0,,2389830.0,0.0,,0.0,4563539,,,,,5725361.0,5502658,,16063670.0,,15183,148117,93171,600000,,74827.0,750264,8099008,69896.0,0
2014-04-29,1,2014,0.0,6111809,480000.0,-568294,782829,90139,25909,1099,737720,132680,132680.0,197876,197311.0,565.0,,1927,164618,,,935733,0,0.0,3626549,53706,67716.0,620773,3387804,45102,413165,4563539,2014年03月31日,,,10312286,10236762,0,4780645,7925711,642000.0,2638634.0,,,0.0,0.0,4563539,,,,,5548655.0,5503797,,15860941.0,27026.0,0,166083,123638,600000,,75524.0,768010,7935230,72781.0,0
2014-08-06,2,2014,,5843414,480000.0,-258799,821850,67755,24247,6134,565259,141194,,177863,177319.0,544.0,,3203,162415,,,848666,0,0.0,3407032,86884,61552.0,577260,3129991,83958,405751,4563539,2014年06月30日,,,9934931,9934931,0,4587176,7627923,621312.0,2734238.0,,0.0,50.0,,4563539,,,,,5324080.0,5064932,,15259011.0,909.0,0,133701,118196,600000,,0.0,736904,7631088,45516.0,0
2014-11-04,3,2014,0.0,5729743,480000.0,-634911,915990,52353,31290,11560,738052,185574,185574.0,169331,168574.0,757.0,,3182,156347,,,866501,0,0.0,3264088,106439,113733.0,524080,3087253,126856,399916,4563539,2014年09月30日,,,9732568,9732568,0,4643482,7642646,619021.0,2763252.0,,5305.0,,0.0,4563539,,,,,5415810.0,5065888,,15148378.0,,8364,169146,120705,600000,,0.0,772328,7505732,54159.0,0
2015-02-10,4,2014,237037.0,10043165,,2205194,3420779,4252080,646666,2165025,862948,696143,459106.0,391545,,,12116.0,144668,494622,69813.0,69813.0,2508079,353242,0.0,7963434,2899249,,2562064,10881597,136413,884760,7812451,2014年12月31日,,,15146231,15146231,26517000,19517153,26324427,,7014431.0,,245841.0,,0.0,7812451,,39627.0,267382.0,,22762504.0,4618880,,37908735.0,,18607,2003441,161761,829860,412693.0,,3245351,11584308,,0
2015-04-28,1,2015,235508.0,9626912,,2354996,2544216,1639573,495392,1659383,718204,1106363,870855.0,344007,344007.0,,12618.0,142596,488473,,67582.0,2785609,0,0.0,7230694,3302339,,1968145,8227091,140738,848717,7499671,2015年03月31日,259909.0,0.0,15082178,15082178,0,16083149,23096243,0.0,,7462076.0,,,0.0,7499671,34178445.0,55.0,110265.0,19096267.0,,4509307,34178445.0,,0.0,13802,1940774,118100,819483,408273.0,0.0,3013118,11082202,0.0,0
2015-08-06,2,2015,233523.0,9270348,,1610199,2748635,1623508,663720,1453891,583264,988712,755189.0,323759,323759.0,,12830.0,140660,486026,,69238.0,2623255,0,,5835643,2123698,,1595064,6469093,176837,798221,7499671,2015年06月30日,260450.0,,14202441,14202441,0,13585741,20222228,,,6884809.0,,,0.0,7499671,30893774.0,5095.0,93688.0,16691333.0,,4509307,30893774.0,,0.0,31800,1843813,116951,1027431,403958.0,0.0,3105592,10671546,0.0,0
