date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款合計,應付股利,應付董監事酬勞,應收帳款淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,607552,80000,1680292,371983,12578.0,,305789,102589,36650,131,131.0,5638,,5848,24881.0,24881.0,27135,4324,4324,402879.0,3283,489440,47131,,187784,435568,,15416.0,908218,23852.0,57053,861721,2013年03月31日,1200421,,4175698,4161064,443433,460262,1434835,4383984,,427760,19609,,2401909.0,99036.0,581685,861721,,6279,,1461970.0,1666051,,5637668.0,840.0,169936.0,64417,,14634,27135,1253684,0
2013-08-07,2,2013,602737,80000,1382959,369177,8415.0,,965148,728210,22487,-4141,-4141.0,4602,,2966,13057.0,13057.0,27134,4316,4316,402879.0,3282,419413,47131,,236938,511970,,,992064,23852.0,57548,861721,2013年06月30日,849867,,3698184,3687115,443433,531289,2157771,4661006,,415936,1803,,2710110.0,38647.0,629580,861721,,7745,,2184905.0,1493707,,5883089.0,79.0,144789.0,53131,,11069,27134,1222083,0
2013-11-06,3,2013,596110,125100,1538037,330501,107016.0,,391323,134617,23459,-5448,-5448.0,6599,,6201,747.0,747.0,32454,4320,4320,402879.0,8602,488091,47131,,256706,597302,,,967231,23852.0,30559,861721,2013年09月30日,1004945,,3851840,3844034,443433,531289,1650177,4210728,,403626,1803,,2385375.0,69213.0,577590,861721,,8122,,1682631.0,1496855,,5534471.0,28.0,9870.0,57012,,7806,32454,1323743,0
2014-03-20,4,2013,588144,125100,1656348,0,121964.0,,293783,146866,15856,7636,7636.0,18650,,9860,,,33550,4316,4316,,10078,463844,47131,,146917,470069,,,843498,23472.0,31169,861721,2013年12月31日,1123256,,3980085,3975429,443433,531289,1314071,4010538,,403360,1803,,2677480.0,88624.0,432825,861721,,10120,,1347621.0,1496855,,5327706.0,0.0,0.0,43115,,4656,33550,1317168,0
2014-05-13,1,2014,557262,125100,1816891,19607,0.0,,287243,101126,15935,-253,,4212,,7225,,,36630,4689,4689,,13158,493754,47131,0.0,186117,494531,,,830697,23472.0,30577,861721,2014年03月31日,1283799,,4138803,4128947,443433,531289,1325239,4338242,,405653,1803,2971024.0,,103128.0,426482,861721,,9643,,1361869.0,1497719,,5500672.0,0.0,0.0,39149,,9856,36630,1162430,0
2014-08-07,2,2014,560379,125100,1599651,0,0.0,,814418,112629,15767,-889,-889.0,8718,,5324,,,36630,4479,4479,,13158,562390,47131,0.0,214917,527224,486872.0,,826301,23472.0,30058,861721,2014年06月30日,1011638,,3767255,3760270,443433,585545,1895021,4530116,,405187,2468,3120334.0,,59935.0,477760,861721,,6966,,1931651.0,1346918,,5698906.0,0.0,0.0,43587,,6985,36630,1168790,0
2014-11-11,3,2014,550736,125100,1784887,0,0.0,,371365,120701,28111,279,279.0,7528,,13735,,,41856,4484,4484,402879.0,18384,618522,47131,0.0,242243,587746,,8421.0,942122,23472.0,30909,861721,2014年09月30日,1196874,,3953252,3949179,443433,585545,1573645,4396395,,416266,2468,2793905.0,,50898.0,547380,861721,,8728,,1615501.0,1349423,,5568753.0,0.0,0.0,44863,13387.0,4073,41856,1172358,0
2015-03-18,4,2014,542385,112267,1926509,126804,0.0,0.0,293842,145385,17066,9400,9400.0,9734,,5666,,,43357,4582,4582,381806.0,19332,565145,47131,0.0,148457,468457,,,928081,24025.0,31980,861721,2014年12月31日,1338496,,4100184,4099922,443433,585545,1283349,4310975,,391363,2468,2668213.0,,60046.0,442680,861721,,8590,,1326706.0,1349423,,5426890.0,,,33338,9557.0,262,43357,1115915,0
2015-05-13,1,2015,537511,130000,2037616,276599,,0.0,276281,102524,23372,36806,36806.0,8520,,13904,,,43372,4593,4593,381806.0,19347,583953,47131,0.0,173757,481533,,,837481,,31682,861721,2015年03月31日,1449603,87429.0,4240639,4237571,443433,585545,1330193,4465901,24025.0,404151,2468,,2730592.0,,469500,861721,5614204.0,6930,1373565.0,,1348559,5614204.0,,,,40366,22345.0,3068,43372,1148303,0
2015-08-12,2,2015,530093,121000,1680503,200497,,,804157,108084,14280,-64574,,5488,,9106,,,44299,4463,4463,381806.0,20274,580301,47131,,179041,410449,517032.0,,826360,,31299,861721,2015年06月30日,1025640,63141.0,3686213,3684289,443433,646311,1783745,4387788,24025.0,398285,8552,,2757244.0,,493600,861721,5514257.0,6910,1828044.0,,1253770,5514257.0,,,,41329,16479.0,1924,44299,1126469,0
