date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-19,1,2013,110382.0,462343,64978,405873,9405,5630.0,,81393,240534,-4970,128847,18465,25951,342,5385,,342,189550,,43626.0,,,143811,5030,167449,0.0,144.0,67640,12372,463404,2013年03月31日,275247,,,1164751,1158448,885000,128803,377620,913028,5801,1823,,279977.0,18539.0,18.0,463404,,,378578.0,337767,,1543329.0,0.0,616,6152,6303,958,630301,0
2013-08-14,2,2013,111052.0,461094,64978,322305,8642,5630.0,,218281,260754,-5897,129248,18196,22083,342,5512,,342,196640,,43626.0,22728.0,,144394,4088,161246,6.0,145.0,67430,12121,463404,2013年06月30日,176486,,,1096681,1096681,885000,143971,512079,981140,5438,1848,,321607.0,16068.0,16.0,486132,,,512998.0,337767,,1609679.0,10001.0,577,6336,0,919,628539,0
2013-11-11,3,2013,0.0,461076,60551,381669,8616,3083.0,,102073,234269,-7630,19457,19457,21949,330,5840,,330,196051,,43626.0,,,118093,3402,200326,7.0,98.0,67219,11914,509091,2013年09月30日,235850,,,1266893,1266893,885000,143971,255831,903979,2920,1848,,232584.0,12806.0,76.0,509091,,,256401.0,427389,,1523294.0,10003.0,240,6712,0,570,619315,0
2014-03-11,4,2013,0.0,459109,60551,437465,10299,5299.0,,121606,277922,-3897,18466,18466,18288,330,5170,5170.0,330,179540,,43626.0,,,101180,3378,171167,2753.0,98.0,67008,11893,510500,2013年12月31日,291647,,,1333570,1333570,885000,143970,260465,979107,2708,1848,,309011.0,15835.0,27.0,510500,,,261390.0,433128,,1594960.0,10002.0,595,4115,0,925,615853,0
2014-05-13,1,2014,0.0,455127,60551,482851,15819,5332.0,,93222,319686,1297,23536,23536,23342,330,5288,5288.0,330,207794,,43626.0,,0.0,110630,3837,170729,1680.0,173.0,66797,11843,510500,2014年03月31日,337033,,,1384150,1384150,885000,143970,254458,1026099,3396,1848,276858.0,,23233.0,16.0,510500,,,255352.0,433128,,1639502.0,10002.0,564,5069,0,894,613403,0
2014-08-12,2,2014,0.0,456167,60551,337649,13190,4033.0,0.0,265756,330093,-1140,20779,20779,20494,330,6091,6091.0,330,225932,225932.0,43626.0,50165.0,0.0,116324,3598,182922,0.0,98.0,66586,11992,510500,2014年06月30日,167566,,,1281659,1281659,885000,166186,423887,1092112,2848,3897,309371.0,,17430.0,11.0,560665,,,424440.0,428111,,1706099.0,10001.0,223,5719,0,553,613987,0
2014-11-10,3,2014,,453452,60551,412022,10943,2840.0,,97923,380004,-4526,17956,17956,20258,330,9582,9582.0,330,229550,,43626.0,,0.0,104420,3571,219898,0.0,116.0,66375,11675,610665,2014年09月30日,241939,,,1604448,1604448,885000,166186,238574,1232270,1882,3897,361488.0,,14704.0,11.0,610665,,,239787.0,629913,,1844235.0,10002.0,883,5608,0,1213,611965,0
2015-03-10,4,2014,,452787,56801,474537,10967,2295.0,,130053,465081,-2560,22792,22792,18296,630,7770,7770.0,630,207267,,0.0,,0.0,100367,3325,208936,49.0,35.0,66164,11434,601815,2014年12月31日,304454,,,1668929,1668929,0,166186,281676,1344342,3749,3897,433036.0,,25139.0,675.0,601815,,,283494.0,595137,,1952423.0,0.0,1188,7081,0,1818,608081,0
2015-05-12,1,2015,,451623,59097,526186,13244,0.0,,105999,436110,-1721,22272,22272,25086,630,7226,7226.0,630,198228,,0.0,,0.0,99414,3832,179795,0.0,403.0,65953,11193,601815,2015年03月31日,356103,35776.0,11.0,1721417,1721417,0,166186,267293,1381203,5025,3897,,514323.0,,,601815,1989548.0,268131.0,,595137,1989548.0,,14003.0,208,8228,0,838,608345,0
2015-08-12,2,2015,,496290,51722,331332,13660,0.0,0.0,355810,467780,62,13044,13044,16485,434,6868,6868.0,434,202263,202263.0,0.0,0.0,0.0,100902,4024,183685,0.0,152.0,19344,10650,601815,2015年06月30日,139272,21681.0,584.0,1528346,1528346,0,189500,495461,1424801,6664,2560,,530191.0,,,601815,2024583.0,496237.0,,595137,2024583.0,,10001.0,342,8244,0,776,599782,0
2015-11-10,3,2015,,493012,47722,386349,20748,0.0,0.0,90996,410662,583,25554,25554,24827,134,12697,12697.0,134,206589,206589.0,0.0,,0.0,106125,445,165609,,,19282,2967,601815,2015年09月30日,194289,17257.0,0.0,1583884,1583884,0,189500,240377,1233501,6999,2560,,405066.0,,,601815,1825272.0,241388.0,,595137,1825272.0,,0.0,877,9092,0,1011,591771,0
2016-03-09,4,2015,,495891,53622,444492,22596,0.0,,104354,549823,2336,14867,14867,18176,434,4386,4386.0,434,181024,,0.0,,0.0,114707,0,133109,,,19220,0,601815,2015年12月31日,252432,29112.0,2443.0,1643780,1643780,0,189500,263040,1317596,6509,2560,,410425.0,,,601815,1907556.0,263776.0,,595137,1907556.0,,,302,10332,0,736,589960,0
2016-05-12,1,2016,,493344,53622,493236,24614,,,79831,416520,4833,16551,16551,20425,434,4990,4990.0,434,184542,,,,0.0,96116,0,124773,,,19158,0,601815,2016年03月31日,301176,39079.0,0.0,1695021,1695021,0,189500,231577,1337677,6597,2560,,560802.0,,,601815,1927175.0,232154.0,,595137,1927175.0,,6001.0,143,11787,0,577,589498,0
2016-08-12,2,2016,,488961,53622,338017,30039,,,302915,508478,9949,16195,16195,16953,434,4387,4387.0,434,188090,,,,0.0,106919,0,163539,,,19096,0,601815,2016年06月30日,127329,32246.0,0.0,1544918,1544918,0,210688,458275,1416623,9751,0,,499523.0,,,601815,2004432.0,459514.0,,595137,2004432.0,,10001.0,805,11992,0,1239,587809,0
2016-11-11,3,2016,,489643,53622,376425,33177,,,105668,332582,11609,18754,18754,23245,434,4337,4337.0,434,223299,,,,0.0,106558,0,136514,,,19034,0,601815,2016年09月30日,165737,16300.0,0.0,1584986,1584986,0,210688,247280,1244952,8683,0,,476134.0,,,601815,1833517.0,248531.0,,595137,1833517.0,,20001.0,817,13246,0,1251,588565,0
