date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,798189,1062233,,366557,362.0,53302,3841.0,-757,201116,4576,32825,88866,-757,407426,,,,642294,54375,370,412540,3518,18937,1201260,2013年03月31日,724686,,,2319485,2319485,0,271974,1356071,2826707,6113,65573,,1881617.0,90554.0,,0,1201260,,,1437605.0,56749,14622,42127,,3757090.0,443.0,0.0,48709,37215,,81534,930383,40950,0
2013-08-12,2,2013,785459,854410,,683091,2088.0,55342,4951.0,25180,205822,5147,32908,213940,25180,385581,,0.0,,672397,38590,246,567894,4253,18182,1201260,2013年06月30日,468743,,,2137599,2137599,0,320094,1707974,2888390,7902,65573,,1803368.0,54740.0,4631.0,51000,1201260,,,1796049.0,56749,14622,42127,,3933648.0,0.0,3.0,55167,37957,,88075,1045258,39038,0
2013-11-11,3,2013,1018847,935427,,360477,209.0,57972,5160.0,7939,215158,3878,32971,199750,7939,429738,6575.0,,,685663,14227,123,566204,2492,3105,1201260,2013年09月30日,549760,,,2194800,2194800,210000,320094,1425337,2592819,9530,65573,,1471661.0,39851.0,8369.0,109629,1201260,,,1667052.0,56749,14622,42127,,3861852.0,0.0,0.0,53398,40906,155346.0,241715,1269033,44240,0
2014-03-24,4,2013,1107108,1022678,,358222,574.0,79234,1696.0,39227,21451,2940,35403,218612,39227,377276,12540.0,,,648842,15654,0,556685,1989,0,1201260,2013年12月31日,637011,,,2307374,2307374,400000,320094,1293940,2479302,8687,65573,,1412215.0,49470.0,8717.0,199727,1201260,,,1550280.0,56749,14622,42127,,3857654.0,0.0,0.0,63830,43945,157107.0,256340,1378352,38550,0
2014-05-07,1,2014,1101142,1159048,,362297,244.0,82780,1618.0,35497,26548,8533,35494,217981,35497,531570,12540.0,,0.0,749641,17795,369,590126,2118,451,1201260,2014年03月31日,773381,,,2440014,2440014,400000,320094,1418751,2728362,9911,65573,1463026.0,,85131.0,6640.0,176726,1201260,,,1677994.0,56749,14622,42127,,4118008.0,0.0,0.0,64655,60612,159094.0,259243,1389646,41500,0
2014-08-11,2,2014,1201045,1054315,,721189,171.0,96302,1521.0,4092,30748,6970,35593,103022,4092,683887,12540.0,,0.0,880204,8662,246,684849,1148,0,1201260,2014年06月30日,634465,,,2303876,2303876,400000,354277,1987689,3154177,13052,65573,1653017.0,,80626.0,2016.0,265843,1201260,,,2237562.0,56749,14622,42127,,4541438.0,,0.0,59777,70142,154503.0,249873,1387261,24467,0
2014-11-10,3,2014,1215073,1149785,,372973,154.0,87105,320.0,39591,41285,8576,35713,115591,39591,552078,12540.0,,0.0,666489,16549,123,637527,2489,0,1201260,2014年09月30日,729935,,,2434845,2434845,400000,354277,1669081,2959761,13573,65573,1605672.0,,65384.0,2154.0,506124,1201260,,,1932470.0,56749,14622,42127,,4367315.0,,,71809,63317,155867.0,263389,1407554,63840,0
2015-03-17,4,2014,1243760,1264701,63625.0,451790,341.0,62278,3.0,88782,21043,1281,35240,103853,88782,599103,12540.0,,0.0,877210,20320,492,744903,3252,455,1201260,2014年12月31日,844851,,,2598952,2598952,400000,354277,1715556,3126564,12719,65573,1597947.0,,122810.0,1456.0,221550,1201260,,,1978357.0,56749,14622,42127,,4577309.0,,,66948,90413,160613.0,262801,1450745,52261,0
2015-04-29,1,2015,1210410,1352281,0.0,442099,268.0,37423,647.0,65528,16747,5292,35358,103310,65528,585331,12540.0,,0.0,710039,12985,369,668872,2432,9,1201260,2015年03月31日,932431,129309.0,1646.0,2663278,2663278,400000,354277,1561332,3069814,13137,65573,,1701949.0,,,249516,1201260,4481507.0,1818229.0,,56749,14622,42127,4481507.0,,,,64292,84836,157247.0,256897,1411693,66213,0
2015-07-28,2,2015,1204783,1106468,0.0,823166,509.0,36956,3.0,44784,54198,7221,35474,89200,44784,452439,12540.0,,0.0,604411,7213,266,722070,1363,0,1201260,2015年06月30日,632491,43671.0,3106.0,2396721,2396721,400000,408404,1687846,2958605,12287,65573,,1681154.0,,,154412,1201260,4334745.0,1938024.0,,56749,14622,42127,4334745.0,,,,60703,69870,154001.0,250178,1376140,54293,0
