date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,3142083,1071270,8525401,-27267,739809,2644640,28888,108759,0.0,-244800,25524,803854,176421,32756,-217533,3258506,0.0,,,3466168,306521,5491,2535762,721114,82501,389239,318241,4987795,2013年03月31日,5689378,,18714974,18704999,0,2662950,8614243,21153115,1122463,,679663.0,173073,,12742989.0,153311.0,1983700,4987795,,713765,,9504429.0,5436603,,5436603,,28219403.0,166936,,167926,9975,890186,7066288,135532,0
2013-08-12,2,2013,3064046,1069940,8655580,52227,820336,4860303,29701,129973,32323.0,-55833,25866,1436368,166409,35934,-108060,3327545,,127599.0,,3307186,297421,6684,2892419,771958,83033,397111,327091,4987795,2013年06月30日,5234221,,18068071,18058096,0,2888304,14226108,26170380,1090002,,590058.0,533055,,16665961.0,165603.0,5533344,5115394,,749738,,15142255.0,4342955,3667.0,4339288,,33210326.0,217758,,152453,9975,916147,7039946,106017,0
2013-11-12,3,2013,2974291,1019807,9482787,2979,737193,5264613,29962,187486,9318.0,-292464,39029,2296924,158014,40247,-295443,3262612,,,,2988714,350479,5060,3019568,734727,80879,391653,336714,5049513,2013年09月30日,6061428,,18658678,18648704,0,2888304,14170213,27127404,977078,,1347866.0,533055,,15863835.0,93294.0,5399062,5049513,,768206,,15096433.0,4408868,0.0,4408868,,33755111.0,239695,,69845,9974,926220,6627707,165373,0
2014-03-25,4,2013,3035281,978442,10181827,13020,747116,3903730,36306,164938,0.0,-124338,29927,2147472,148416,53154,-137358,2790862,,,,2903789,345399,4282,3124085,932354,82146,399796,322834,5049513,2013年12月31日,6760468,,19523759,19513857,0,2888304,13594680,27221719,1257062,,1281373.0,533055,,16515621.0,82742.0,6288505,5049513,,856557,,14605423.0,4406855,1686.0,4405169,,34129182.0,144773,5770.0,31632,9902,1010743,6907463,120241,0
2014-05-05,1,2014,3608768,995228,11001849,69848,804212,3608928,33522,200494,0.0,193184,70736,1137757,138580,80008,123336,2945223,,,0.0,3377904,344343,4962,2570216,914304,80326,318496,288176,5049513,2014年03月31日,7580490,,20661294,20651401,0,2888304,14649609,28969462,1180423,,992483.0,533055,19364665.0,,160024.0,7049190,5049513,,903117,,15700177.0,4406855,0.0,4406855,,36361471.0,645571,8871.0,36372,9893,1050568,7392009,198749,0
2014-08-08,2,2014,3495667,977393,9490741,151897,883703,6889685,43373,237592,0.0,-68949,44509,3248043,129001,78612,-220846,2868857,,0.0,0.0,3452187,379108,6982,3126295,1112102,78362,312939,328555,5049513,2014年06月30日,6174557,,18923060,18913261,0,3191846,18013699,30614224,1138184,,1712218.0,124338,17644299.0,,194775.0,7003080,5049513,,915420,,19065485.0,4441956,0.0,4441956,,37988545.0,569266,7365.0,80906,9799,1051786,7374321,95552,0
2014-11-11,3,2014,3426008,855967,10994725,92222,1314953,7457521,43118,322586,11647.0,240902,73857,2364547,127856,79823,148680,2979351,,,0.0,3967448,355054,6379,3511671,1066594,79477,346919,168370,5049513,2014年09月30日,7678541,,20700084,20690308,0,3191846,20511523,34584022,1310835,,1444427.0,124338,21951551.0,,390361.0,8217785,5049513,,949625,,21607250.0,4405168,0.0,4405168,,42307334.0,844688,18246.0,140960,9776,1095727,7723312,86960,0
2015-03-16,4,2014,3368689,853943,11549571,66813,1097794,4983596,41657,269816,,1092152,44217,2443411,118595,86686,1025339,3882455,,,0.0,4568045,320415,4654,2682182,984894,80828,409205,159803,5049513,2014年12月31日,8233387,,22106156,22096405,0,3191846,17801035,33397151,1470394,,739166.0,124338,21608816.0,,380926.0,7457525,5049513,,1021342,,18968422.0,4405169,0.0,4405169,,41074578.0,708358,27450.0,150085,9751,1167387,7677427,78053,0
2015-04-27,1,2015,3264965,845868,12290766,82253,1112012,4380239,31954,385042,,849583,69797,2945568,99870,96831,767330,4280571,,,0.0,3717194,256820,5256,2282022,787492,78953,405450,152835,5049513,2015年03月31日,8974582,425566.0,22604697,22595031,0,3191846,21705043,37800369,1578832,706973.0,,124338,,25544721.0,,12818217,5049513,45455727.0,1042535,22851030.0,,4405169,0.0,4405169,45455727.0,,774022,3582.0,119612,9666,1145987,7655358,93958,0
2015-07-31,2,2015,3350926,837437,9625954,107150,646196,8243465,26567,247235,,627041,73456,4341575,88886,81440,519891,5106509,,,0.0,4168401,233746,7258,2322596,814038,76990,691359,346733,5049513,2015年06月30日,6044858,234695.0,19717318,19707677,0,3581096,25277081,37366065,2631999,398734.0,,0,,22806346.0,,12289493,5049513,46155514.0,1062616,26438196.0,,4405169,0.0,4405169,46155514.0,,1218190,9613.0,126369,9641,1161115,8789449,110842,0
