date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,土地淨額,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計減損－其他設備,累計減損－機器設備,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-11-14,3,2013,118280,455734,966,570232,118441,,4973,-64815,118894,480,79462,,78145,36203,,8007,0,88861,20410,-64815,7567,436002,436002,,,,224058,6782,,529152,63084,8007,280314,175259,601000,2013年09月30日,334235,5315,,,685419,231390,1308986,1308986,0,20272,788805,1653504,,4688,215725,,523326,39715,98,280915,41942,105055,454029,,,601000,,,915092,202569,,2224078,0,0,0,20325,118280,68451,0,126287,570574,17407,134,,0
2014-03-18,4,2013,134123,455903,986,603705,157677,,9246,-40414,134468,280,162020,,77990,34893,,8111,0,93247,25057,-40414,7567,436549,436549,,,,242935,5674,,559249,66497,8111,286470,175690,676140,2013年12月31日,367708,6768,,,702184,230985,1538693,1538693,0,20272,723186,1754550,,4478,215725,,506095,18504,98,163928,43097,110780,471199,,,676140,,,790907,299262,,2329600,0,79,0,20436,59610,68190,0,67721,575050,14717,65,,0
2014-05-12,1,2014,45705,455612,981,651165,130375,,6092,-40848,46970,323,274084,,78511,35719,,8141,0,107302,37757,-40848,7567,483692,483692,,0,,261767,4691,,583100,41995,8141,285189,171343,676140,2014年03月31日,415168,8338,,,710127,232645,1585719,1585719,0,20272,618060,1799364,,4172,215725,386638,,21658,98,152350,42546,113846,465818,246,11664,676140,,,809021,299262,,2394740,249,0,0,27309,182820,69545,0,190961,595376,23665,942,,0
2014-08-12,2,2014,14933,453780,963,650416,162957,,3359,-73309,15403,309,266783,268,78424,34516,266515,8177,,113317,44027,-73309,7567,482343,482343,33807,0,,303834,78,,605151,78622,8177,283810,168116,676140,2014年06月30日,403642,4130,,,715561,239451,1586316,1586316,0,31049,699686,1905383,,3822,215725,448789,,23292,0,194122,43665,115694,464864,243,11246,709947,,,916918,299262,,2503234,,0,,25969,209055,69290,0,217232,597851,20336,161,,0
2014-11-11,3,2014,0,488873,990,708590,146269,,8152,-31503,1197,319,302230,159,103483,55500,302071,8208,,114892,44617,-31503,7567,530959,530959,0,0,,252682,0,,564910,83387,8208,290419,168329,709947,2014年09月30日,461816,4528,,,750685,252949,1686296,1686296,0,31049,646723,1948620,,5770,215725,436380,,18425,0,228150,47734,122090,486359,249,11377,709947,,,898291,299262,,2584587,,0,,25442,243360,70275,0,251568,635967,22602,878,,0
2015-03-23,4,2014,0,556092,1020,769075,174987,,7144,14646,1753,286,330908,197,112080,59151,330711,5517,0,106474,34691,14646,7567,551606,551606,,0,,245801,0,,620051,76145,5517,300850,171900,709947,2014年12月31日,522301,33763,,,800316,283711,1792930,1792930,0,31049,756429,2111454,,5851,215725,500206,,19960,1,313928,52929,128950,516605,,,709947,,,1015146,299262,,2808076,,0,,27185,253200,71783,0,258717,696622,25393,1467,,0
2015-05-11,1,2015,219100,582552,1010,827371,164835,,7551,-10150,220824,545,434515,188,113140,57732,434327,5520,0,116803,47402,-10150,7567,504290,504290,,0,,222227,0,,564892,90671,,296610,165759,709947,2015年03月31日,580597,51660,18708,1,819632,299834,1988288,1988288,0,31049,908294,2200964,5520,5548,215725,,572251,,,281700,55199,130851,508399,209,11399,867447,2933402,945114,,303620,2933402,,0,,,26525,31300,69401,0,36820,732438,26793,1179,157500,3500000
2015-08-03,2,2015,30860,583179,995,758459,307360,151172,4831,-46065,33632,303,348674,311,112492,57087,348363,5522,,114383,46722,-46065,7567,482045,482045,0,0,381943,206099,0,156188,576911,103855,,292423,160200,744947,2015年06月30日,479602,44884,20444,1,834457,313441,1900065,1900065,0,55829,582965,2172144,5522,5249,223028,,602690,,,15430,55199,132223,509781,206,11235,744947,2901355,1001290,,442724,2901355,,,25063,,25405,30860,67661,0,418325,729211,28074,2469,,0
2015-11-06,3,2015,65740,605337,1034,824776,155387,155387,7552,22908,67360,764,326836,270,119009,58412,326566,5524,,111986,43657,22908,7567,458052,458052,,0,383539,170027,,,543643,113922,,301578,162124,744947,2015年09月30日,545919,35741,18247,357,876220,341493,2035355,2035355,0,55829,526211,2246647,5524,8425,223028,,681100,,,115045,60383,139454,523094,214,11633,744947,2999934,964579,,442724,2999934,,145,93463,,26505,49305,68329,0,438368,753287,21722,856,,0
2016-03-14,4,2015,13130,612512,1011,880898,155240,,7494,-8299,13924,241,83781,376,118440,55431,83405,6199,0,122297,54001,-8299,7567,436627,436627,,0,385141,172315,,,515978,97577,,298532,158296,744947,2015年12月31日,602041,46266,21598,1,864492,344952,2060270,2060270,0,55829,445140,2158021,6199,7941,223028,,991397,,,82063,62800,140236,502965,209,16575,744947,2929575,869305,,442724,2929575,,,40,,27793,32825,68296,0,424165,771554,25126,553,,0
