date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,3783387,16791832,205498,4386557,0.0,127213,2717494,4544.0,,799268.0,192.0,,-295633,3867346,83959,3054081,704863,59194.0,,2349218,,195715,165180,1927791,923555.0,871106.0,,5143391,38072,,,0.0,7165507,25528,,270033,12627641,227163,21482,30535.0,292314,,10000,230617,4579362,2013年03月31日,2617781,,17268234,10760915,2500000,744234,24804485,33880902,930300,1024542,,11951358.0,251974.0,10478440,4579362,,,37248344.0,2128701,,54516578.0,23619.0,0.0,56326,132370,120111,12115774.0,12115774,0.0,1004236.0,6507319,12443859,20635676,0
2013-08-13,2,2013,3595905,16619721,205498,4070665,0.0,136106,2742285,5028.0,2742285.0,1203696.0,4213.0,,-50257,3690883,94978,5386928,630822,60355.0,,4756106,,218299,187111,1752691,743161.0,872732.0,,4948283,106585,,,0.0,7756676,23795,,270052,12804961,181829,19911,31188.0,290211,,10000,245169,4579362,2013年06月30日,2247888,,17143715,10621886,7500000,798235,25748044,35736480,933087,1024542,,11131788.0,111342.0,11119291,4579362,,,38842768.0,2128701,,55986483.0,28692.0,0.0,54871,131870,57520,,12744555,,1009530.0,6521829,13094724,20250003,0
2013-11-12,3,2013,2314944,16299723,205498,3992976,0.0,144091,3387765,,,1066300.0,40.0,,-211715,2449346,134402,5513773,583715,55571.0,,4930058,,226741,194654,1392110,339632.0,868735.0,61961.0,4868619,106585,,,0.0,8360660,48702,,281733,14136086,186370,18761,32087.0,288116,,10000,244444,4579362,2013年09月30日,2170199,,16823846,10382739,7500000,798235,25650905,36828465,924306,1024542,,10981982.0,108261.0,11014438,4579362,,,39552290.0,2128701,,56376136.0,0.0,0.0,56534,131870,39383,,13542774,,990517.0,6441107,13901385,19547671,0
2014-03-13,4,2013,1929652,16128428,205498,4001641,0.0,145179,3088881,,3088881.0,900558.0,,,68796,2114599,184947,3997503,570907,69478.0,,3426596,,262275,262275,1237401,,833795.0,,4739185,106585,,,0.0,8761057,52028,,214073,13730976,198551,14085,,286066,,10000,268366,4579362,2013年12月31日,2178864,,16976270,10671915,7500000,798235,25856391,37811987,903273,1024542,,14156871.0,109773.0,11515980,4579362,,,40048721.0,2128701,,57024991.0,0.0,0.0,74258,160270,28793,,13769785,,,6304355,14192330,19213004,0
2014-05-08,1,2014,3417800,15695898,205498,4024203,,190126,2648930,,,737490.0,,,9144,3618147,200347,9205053,495230,67815.0,,8709823,,256747,256747,1277251,,839148.0,,4379295,106585,,,,7343442,27787,,129398,12567707,148667,28397,,284660,,10000,296291,4579362,2014年03月31日,2201426,,17057835,10634825,7500000,798235,25836805,36814989,906963,1024542,9679516.0,,93192.0,11975909,4579362,,,38656434.0,2128701,,55714269.0,0.0,,68864,160270,32593,,12402612,,,6423010,12819629,18899280,0
2014-08-11,2,2014,3501248,15160366,205498,4183980,,412006,2625287,,2625287.0,732642.0,,,-152753,3715402,214154,8965082,568024,897689.0,240726.0,8397058,240726.0,262280,262280,1637063,1396337.0,,,4609730,106585,,0.0,,7776960,36508,,100624,13597019,155138,34143,,283291,,10000,300178,4579362,2014年06月30日,2361203,,16950476,10633302,7500000,798235,26009999,37439887,897689,1024542,8836737.0,,88705.0,11666513,4579362,,,39429295.0,2129298,,56379771.0,0.0,,509396,160470,33793,,12996546,,,6317174,13419296,18939884,0
2014-11-11,3,2014,2963660,14954203,205498,4480806,,399838,2869374,,2869374.0,620286.0,,,271194,3285055,321395,7173040,639494,904152.0,247744.0,6533546,247744.0,247969,247969,2831066,2583322.0,,,4816042,106585,,0.0,,8386353,52779,,314128,14653839,121134,17831,,281962,,10000,308578,4579362,2014年09月30日,2658029,,18339347,11354075,7500000,798235,29545123,40472555,904152,1024542,10425828.0,,83703.0,14553731,4579362,,,42067498.0,2129298,,60406845.0,,,2644555,160370,38993,,12114036,,,6985272,12522375,19934290,0
2015-02-16,4,2014,2010924,14606534,205498,4716350,,422436,3168127,,3168127.0,,749307.0,,744048,2594066,583142,8650425,631643,,,8018782,,238165,238165,2733980,,,,4269062,71060,751673.0,0.0,,7284799,49861,,218831,14463661,99897,12206,,280625,,10000,424255,4554362,2014年12月31日,2893573,,19848418,12064804,5000000,798235,26865881,39650303,912985,1024542,8071906.0,,65008.0,13485189,4554362,,,39427716.0,2121104,,59276134.0,,,2582166,165270,29518,,12158400,,,7783614,12561835,19625831,0
2015-04-28,1,2015,2761591,14202569,204667,4684759,,566700,2828076,,2828076.0,726821.0,,,656254,3296123,534532,3390405,596922,909315.0,,2793483,252415.0,202507,202507,2703837,2451422.0,,,4706437,71060,744117.0,,,6778145,26756,,118390,12255186,97844,24494,,279288,,10000,435731,4554362,2015年03月31日,2861982,86964.0,19503417,11945419,5000000,798235,25012386,37840348,909315,1024542,,11889441.0,,11877932,4554362,57188873.0,37685456.0,,2121104,57188873.0,,,,4005603,162270,36418,,12308293,,,7557998,12673070,19348525,0
2015-07-28,2,2015,2931573,13717162,204667,4487478,,549294,2737122,,2737122.0,739178.0,,,355014,3206245,274672,3607404,652894,902949.0,0.0,2954510,0.0,185220,185220,3103669,3103669.0,,,4442044,71060,0.0,,,6081913,28079,448528.0,207865,10941651,98406,35841,,277951,,10000,429887,4554362,2015年06月30日,2594145,159782.0,18937978,11447190,5000000,868791,23252709,34706937,902949,1024542,,10706552.0,,10383175,4554362,53939334.0,35001356.0,,2121396,53939334.0,,,,4135861,136070,36818,,11427357,,,7490788,11748647,19232397,0
