date,season,year,一年或一營業週期內到期長期負債合計,不動產及設備淨額,代收款項合計,以成本衡量之金融資產－非流動合計,保留盈餘（或累積虧損）合計,借券保證金－存入,借券保證金－存出,借券擔保價款,備供出售金融資產未實現損益,備供出售金融資產－流動合計,備供出售金融資產－非流動合計,共同控制下前手權益,其他應付款合計,其他應收款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融負債－流動合計,其他金融負債－非流動合計,其他金融資產－流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產淨額,國外營運機構財務報表換算之兌換差額,存入保證金,客戶保證金專戶合計,專戶分戶帳客戶權益,庫藏股票,待註銷股本股數（單位：股）,應付商業本票,應付帳款合計,應付票據合計,應付融券擔保價款,應收帳款合計,應收期貨交易保證金,應收票據合計,應收證券借貸款項合計,應收證券融資款,應收轉融通擔保價款,應計退休金負債－非流動,投資性不動產淨額,持有至到期日金融資產－非流動合計,採用權益法之投資,普通股股本,會計項目,期貨交易人權益合計,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產,短期借款合計,股本合計,融券保證金,負債及權益合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－股票溢價,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,轉融通保證金,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債,遞延所得稅資產,長期借款合計,附買回債券負債合計,附賣回債券投資,非控制權益（合併報表用）,非流動負債合計,非流動資產淨額,預付款項合計,預收款項合計,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-10,1,2013,299987.0,6334478,126469,677167,2820778,1371940,1816916,189628,-2627,118751.0,55870,,613209,48537,-22138,7432,609891,216814,1134370,98.0,821502,341996.0,2164834,-19511,16116.0,8847111,,0,,0.0,4375542,471,2078574,7145092,0.0,3548,,16463621,1631,463390.0,864123,0.0,99327,23690730,2013年03月31日,8825001,1039153,,,,29958814.0,29194843,0,500532,36008849,53782022,3603304,1281093,,3819948.0,815675.0,62480.0,1602000,23690730,1644088,68739027.0,,47539,47691.0,,38780213.0,2705473,658234,,107031,1940208,,,68739027.0,692,3778011,13356351,207590,367801,950312,400000.0,10198741,1258507.0,763971,2771364,14957005,39220,7356,0
2013-08-28,2,2013,299789.0,6296600,130261,670167,2732329,562526,457249,243916,11880,14390.0,69503,0.0,1075734,243785,1460,15306,580575,184986,1083303,,820945,341997.0,2173231,-10420,15891.0,8599077,,0,,3099531.0,5685616,342,1717455,6046863,0.0,4095,540.0,17624251,10943,463057.0,862568,0.0,64280,23690730,2013年06月30日,8537422,498053,,,,29896670.0,29129992,0,605958,37280741,54666544,3597324,1628318,,3949010.0,556969.0,38435.0,1210000,23690730,1498402,69543100.0,,47539,47691.0,,39646430.0,2705473,658234,,107031,1940208,,,69543100.0,0,1151147,15984278,208156,413750,934727,0.0,11498751,830223.0,766678,2365689,14876556,38914,8965,0
2013-11-08,3,2013,0.0,6304661,1810532,667167,3166435,2567375,2105045,288106,10214,11951.0,66640,,711202,57092,-20915,9011,2273741,211036,1168141,108.0,821050,341997.0,2113461,-31129,16008.0,8678934,,0,,1399660.0,4554489,1227,2399697,8483924,0.0,2644,0.0,20255443,39083,463045.0,859149,0.0,77398,23690730,2013年09月30日,8632246,932159,,,,30333734.0,29541723,0,605958,47467065,65478650,3592790,1628318,,3995127.0,505732.0,38435.0,5096519,23690730,1995844,80246569.0,,47539,47691.0,,49912835.0,2705473,658234,,107031,1940208,,,80246569.0,29202,3572033,18637314,208257,408888,878396,0.0,13940183,531731.0,792011,2445770,14767919,50770,12740,0
2014-03-26,4,2013,0.0,6266465,562918,667167,3658236,1779917,1288233,369830,12603,0.0,71334,,855360,49193,-6922,5323,1146631,289377,1399141,,813451,340939.0,2304683,-19525,17425.0,8649790,,0,,2299582.0,7681332,858,3008916,7857896,0.0,8556,0.0,17887398,158152,455087.0,857598,0.0,89488,23690730,2013年12月31日,8604857,1423960,,,,30867193.0,30047517,0,605958,44403427,63088970,3600204,1628318,,4554344.0,257890.0,22208.0,2019000,23690730,2366747,77937051.0,,46900,,,47069858.0,2705473,658234,,107031,1940208,,,77937051.0,190114,1358286,20303606,208135,453839,783007,0.0,13115259,558394.0,819676,2666431,14848081,44625,150905,0
2014-05-07,1,2014,0.0,5693276,137737,643772,4137032,759602,251158,123049,11092,0.0,68798,,651430,40621,24064,79442,686174,234440,1269749,0.0,816351,340939.0,2129472,12972,20417.0,8249950,,0,0.0,5198779.0,8919813,471,1713788,7620671,,7683,,19375614,81763,454995.0,1407747,,104351,23690730,2014年03月31日,8189564,1902756,,,,31393679.0,30557299,0,605958,47659217,66999505,3599193,1628318,,3339566.0,281454.0,22089.0,1619000,23690730,1451147,81582290.0,,46900,,,50188611.0,2705473,658234,,107031,1940208,,,81582290.0,93891,2820674,24994063,209018,443294,727158,0.0,15536727,2082470.0,836380,2529394,14582785,30743,18249,0
2014-08-28,2,2014,0.0,5677033,128408,634072,3680352,512323,123121,134341,8630,0.0,64636,,1911903,283206,-9358,13671,665061,1022496,786268,,816150,340938.0,2182054,-17988,20578.0,9273397,,0,0.0,7047995.0,8563825,90,1657887,8201660,,7860,0.0,21194017,6858,454634.0,1405172,,72400,23690730,2014年06月30日,9126630,1170933,,,,31092266.0,30073627,0,753136,49474967,68077586,3590932,1756283,,3727018.0,263654.0,22089.0,3940366,23690730,1404599,82637137.0,,46900,,,51544871.0,2711903,658234,143.0,107031,1940208,6287.0,,82637137.0,8219,1772925,24054671,208389,467486,724863,,12044068,340684.0,1018639,2069904,14559551,35384,17227,0
2014-11-13,3,2014,,5428172,1859883,419981,4141993,1134389,370694,397940,14180,0.0,74198,,1043748,35858,24164,17758,2418854,1355049,543250,0.0,815256,337611.0,2205006,9984,23000.0,11041122,,0,0.0,4499026.0,6423404,1044,2623430,6114153,,5439,370.0,21456357,7728,454645.0,1648044,,88600,23690730,2014年09月30日,10903130,1632574,,,,31644742.0,30568790,0,753136,52676586,71916725,3585739,1756283,,3692345.0,175688.0,22089.0,3488794,23690730,2246353,86246029.0,,46900,,,54601287.0,2711903,658234,143.0,107031,1940208,6287.0,,86246029.0,7299,3306284,25810306,207783,566195,671781,,13537852,489820.0,1075952,1924701,14329304,46351,13854,0
2015-03-27,4,2014,500000.0,5390207,125703,419981,4598641,2254764,593827,649413,20791,,85587,,827935,83019,97349,15777,610381,2140965,112565,0.0,833408,,2118153,76558,,11844443,,0,0.0,1749717.0,5870521,1146,2593973,6759882,,4024,,19569465,24434,,1663945,,103266,23690730,2014年12月31日,11743420,2089222,,,,32202120.0,31098480,0,753136,49996260,69531529,3605104,1756283,,4227583.0,198131.0,35560.0,2657000,23690730,2231990,83688343.0,,46793,,,51486223.0,2711760,658234,,107031,1940208,6287.0,,83688343.0,15527,2408410,25075152,189262,543990,581309,,14610182,0.0,1103640,1489963,14156814,38819,19833,0
2015-05-13,1,2015,0.0,5309411,1629231,419981,5166048,635476,290881,319041,23600,,90427,,692165,90305,80940,37459,2170455,3311024,145592,,834280,,1935855,57340,,11650636,,0,0.0,5148641.0,8905329,468,991508,7213855,,1930,,24601055,433,,1734224,,118098,23690730,2015年03月31日,11472000,2656629,201109.0,40338.0,32778731.0,,31649478,0,753136,59324510,80971278,3624719,1756283,4416833.0,,,,6924104,23690730,815256,,94987094.0,46793,,62208363.0,,2711760,658234,,107031,1940208,6287.0,94987094.0,,520,1605249,30090708,188695,603981,594406,1300000.0,16894187,0.0,1129253,2883853,14015816,84288,14511,0
2015-08-27,2,2015,0.0,5356608,115146,411231,4102572,161127,632344,699787,21418,1471555.0,87602,,2230476,98372,53722,37560,712448,3161528,161298,,834183,,1889986,32304,,12810103,,0,0.0,5298724.0,7092639,90,1627203,8041916,,7128,,19527047,54403,,1730781,,81253,23690730,2015年06月30日,12627163,992483,153141.0,42177.0,31677175.0,,30560245,0,955667,61043185,80435909,3621787,2154422,4506023.0,,,,3018720,23690730,1353719,,94325446.0,46793,,62648271.0,,2713221,658234,1461.0,107031,1940208,6287.0,94325446.0,,29161,2353132,31428953,188388,609605,521901,,21745640,304689.0,1116930,1605086,13889537,69803,20384,0
