date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,7400,995182,83073,638865,651,57,95146,122305,,-682,64044,1363,463,463.0,210830,5870,37500,9786,2620,25483,902339,902339,147152,0.0,,907902,47599,10259,30341,1526675,6002,77159,111355,,202293.0,376934,263093,2010670,2013年03月31日,129913,,,2666409,2602761,8359112,18669,1726195,3005446,,,10477,490283,,235072.0,20040.0,,521889,2010670,,28975,,2121095.0,101060,,4787504.0,0.0,1072,174220,174220,15742,9850.0,,,63648,394900,1782058,22353,886.0,1345.0,55281,0
2013-08-13,2,2013,7400,1001648,83733,560788,672,51,225762,118309,,1400,60933,1752,424,424.0,207769,6137,40292,9786,2620,29156,838808,838808,147152,0.0,,795263,83356,7180,39996,1758996,15150,89949,86824,0.0,199012.0,376421,256754,2010670,2013年06月30日,40970,,,2589459,2526766,8359112,29791,1917376,3118736,,,9397,490027,,199739.0,788.0,,676257,2010670,,27761,,2307365.0,101060,,4896824.0,80.0,0,174220,174220,9792,8000.0,,,62693,389989,1778088,9865,0.0,1350.0,51781,0
2013-11-12,3,2013,7400,995401,83263,562021,721,55,127014,108899,,492,137124,1824,272,272.0,204347,5869,54370,9786,2620,42328,730063,730063,147152,0.0,,578546,83381,81443,31967,1587048,16283,55755,111858,0.0,195858.0,375908,262908,2010670,2013年09月30日,42459,,,2586447,2531271,8359112,29792,1760265,2943995,,,9137,489770,,322789.0,1589.0,,690137,2010670,,28260,,2144982.0,105240,,4731429.0,804.0,0,174220,174220,6392,6150.0,,,55176,384717,1787434,10307,900.0,1356.0,127900,0
2014-03-27,4,2013,7400,992631,84073,599809,766,54,113879,81169,,1967,84250,967,465,465.0,175609,5869,68992,9748,2620,31012,666375,666375,147152,0.0,,536937,65545,39563,23676,1327305,7654,67729,126510,,167120.0,375394,254607,2010670,2013年12月31日,80071,,,2626094,2570534,8359112,29792,1539310,2715879,,,9124,489946,,406274.0,2536.0,,645321,2010670,,27603,,1893439.0,105240,,4519533.0,0.0,417,174220,174220,18779,4300.0,,26501.0,55560,354129,1803654,31215,0.0,1731.0,75883,0
2014-05-13,1,2014,7400,990639,84023,617918,2609,47,93507,81225,26501.0,2076,91618,1472,323,,172343,5870,43280,9748,2493,31408,865683,865683,41616,,0.0,661060,67958,6318,19560,1179610,6743,102919,80209,,163980.0,374881,264030,2010670,2014年03月31日,123381,,,2702783,2647441,2362712,29792,1530198,2793340,,,8543,464745,413511.0,,3962.0,,558929,2010670,,27286,,1879211.0,58393,,4581994.0,,2644,174220,174220,23211,2450.0,,,55342,349013,1788654,31363,384.0,1740.0,82746,0
2014-08-12,2,2014,7400,1000137,82983,550589,2728,44,160346,72147,34705.0,259,78112,1593,453,453.0,169215,5870,38858,9748,2493,26604,717038,717038,41616,,0.0,625312,95397,33610,28434,1211973,20972,103550,87705,,160852.0,364408,246074,2010670,2014年06月30日,49288,,,2632573,2578295,2362712,36757,1559823,2772540,,,7928,464544,493307.0,,121.0,,511225,2010670,,27167,,1903858.0,58393,,4536431.0,99.0,0,174220,174220,23459,600.0,,,54278,344035,1763891,27962,758.0,1748.0,69119,0
2014-11-12,3,2014,6150,1000678,84293,585726,3884,43,102525,72163,26772.0,2104,71098,1815,481,481.0,157761,5870,37860,9748,2780,25598,841286,841286,41616,,0.0,710610,45966,7554,56740,1397213,33484,79293,45254,,149111.0,363918,248094,2010670,2014年09月30日,84625,,,2672579,2615986,2362712,36757,1630490,2870125,,,7689,464344,333277.0,,0.0,2100.0,608036,2010670,,27961,,1962471.0,59102,,4635050.0,0.0,865,174220,174220,22350,0.0,,,56593,331981,1764925,34053,757.0,1757.0,63133,0
2015-03-25,4,2014,4300,1002060,85933,639465,5630,39,129010,150867,28724.0,5045,77053,913,281,281.0,159286,5869,39448,9748,2937,27388,657599,657599,41616,,0.0,839668,22732,18534,33440,1549047,69388,112690,51146,,150480.0,363428,223622,2010670,2014年12月31日,138565,,,2731626,2672666,2362712,36757,1656373,2982303,,,9403,464143,307474.0,,0.0,2137.0,510944,2010670,,24992,,1989879.0,59102,,4721505.0,,1538,174220,174220,15269,0.0,,,58960,333506,1739202,45782,,2312.0,71840,0
2015-05-12,1,2015,2450,999715,85343,660655,6138,47,93145,61826,28372.0,3808,65175,1379,408,,156137,5869,38555,9748,3018,26483,659083,659083,41616,,0.0,720814,64644,9382,28214,1668501,69608,24561,70236,,,362938,237482,2010670,2015年03月31日,159956,990.0,2234.0,2749985,2692619,2362712,36757,1699250,3031503,147250.0,2324.0,9916,463942,,394443.0,,,690485,2010670,4779592.0,26401,2029607.0,,59102,4779592.0,,,573,174220,174220,14093,0.0,,,57366,330357,1748089,45520,0.0,,61346,0
2015-08-12,2,2015,600,999024,84743,593049,5344,46,190416,61004,39834.0,2899,76900,1292,697,697.0,152918,5869,38755,9748,3091,25730,640434,640434,41616,,0.0,746758,166458,39317,23321,1713290,32752,112960,67934,,,362448,234234,2010670,2015年06月30日,88821,7332.0,1448.0,2680380,2624104,2362712,47620,1866148,3129637,143958.0,2335.0,10613,456608,,405454.0,,,588414,2010670,4873666.0,27062,2193286.0,,59102,4873666.0,,170.0,0,174220,174220,14166,0.0,,,56276,327138,1744029,48486,942.0,,75008,0
