date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－買賣業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付股利,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行存款,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,360190,80362,416975,0.0,0.0,206912,,123,312144,920,159327,,13897.0,70422,123.0,1960664,1960664,,,1019396,,1329980,101457,59516,794116,2013年03月31日,287814,1833888,1776439,0,119471,2435381,3574875,11738,9690.0,,106495.0,896929,794116,,,2449278.0,565225,,4283166.0,0.0,18409,,24606,,57449,13897,708291,,311224,0
2013-08-09,2,2013,366379,110862,313574,0.0,0.0,409094,210565.0,0,422817,857,171365,,14384.0,71177,0.0,2162056,2162056,39706.0,,1059438,198529.0,1600396,101275,1854,794116,2013年06月30日,173367,1692149,1633209,0,139932,3077947,4097078,11048,275.0,,154188.0,1186598,833822,,,3092331.0,485813,,4784480.0,0.0,9073,,24807,,58940,14384,687402,,421960,0
2013-11-11,3,2013,367149,103359,365228,0.0,0.0,196984,,0,415747,869,133124,,,73329,0.0,1927963,1927963,,,772399,,1484458,101093,1848,833822,2013年09月30日,225021,1743375,1684863,0,139932,2617123,3693155,10357,275.0,,146452.0,1227165,833822,,,2631722.0,485813,,4375097.0,4828.0,1158,14599.0,24807,,58512,14599,681942,,414878,0
2014-03-31,4,2013,365088,112293,414354,0.0,0.0,222367,,0,517963,855,13045,,10471.0,73290,0.0,2106338,2106338,,,1064297,,1447213,100911,1909,833822,2013年12月31日,274147,1793690,1733989,0,139932,2857209,3972027,9667,275.0,,140340.0,1052582,833822,,,2867680.0,485813,,4661370.0,0.0,15357,,26185,,59701,10471,689343,249734.0,517108,0
2014-05-12,1,2014,368527,112293,468638,,,205645,,0,394761,871,27780,,10668.0,80038,0.0,2329307,2329307,,,821541,,1103846,100728,1977,833822,2014年03月31日,328431,1848607,1788273,0,139932,2673347,3833898,8976,275.0,200443.0,,1251400,833822,,,2684015.0,485813,,4532622.0,,27058,,26185,,60334,10668,698724,145464.0,393890,0
2014-08-12,2,2014,372521,112795,323261,0.0,,388163,218683.0,0,503575,981,53964,,10879.0,73281,0.0,2715990,2715990,83382.0,0.0,1310702,169480.0,1469161,100546,2186,833822,2014年06月30日,162310,1743833,1684587,0,160951,3433678,4492590,8286,0.0,166469.0,,1226898,917204,,,3444557.0,444122,,5188390.0,4340.0,1234,,26185,,59246,10879,695800,85772.0,502594,0
2014-11-05,3,2014,381114,112795,379937,,,220914,,0,1167637,929,56398,56398.0,11117.0,76041,,2478043,2478043,,0.0,520669,,1528563,100364,2191,917204,2014年09月30日,218986,1801748,1741263,0,160951,3233560,4340140,7595,0.0,207690.0,,1324340,917204,,,3244677.0,444122,,5046425.0,0.0,7094,,26185,,60485,11117,706285,62352.0,1166708,0
2015-03-30,4,2014,381689,105795,435562,,,233544,,0,1093588,885,42007,,12289.0,84980,,2582114,2582114,,0.0,915774,,1379321,100182,2377,917204,2014年12月31日,274611,1857974,1796888,0,160951,3306988,4467763,6905,0.0,356616.0,,1064082,917204,,,3319277.0,444122,,5177251.0,,15207,,27560,,61086,12289,709488,92498.0,1092703,0
2015-05-12,1,2015,378389,105795,490714,,,207173,,0,927654,895,46685,,12494.0,83633,,2640490,2640490,,,795257,,1109856,100000,2370,917204,2015年03月31日,329763,1914532,1852040,0,160951,3014581,4237773,6214,0.0,,336089.0,1081909,917204,4941607.0,3027075.0,,444122,4941607.0,,2588.0,66254,,27433,336089.0,62492,12494,703834,38399.0,926759,0
2015-08-11,2,2015,375750,105795,371164,,,400372,212858.0,0,687927,945,35531,,12630.0,94938,,2489453,2489453,0.0,,794634,187514.0,1467853,99817,2446,917204,2015年06月30日,187246,1792974,1732490,0,183918,3137889,4231790,5524,,,193885.0,1254242,917204,4943493.0,3150519.0,,444122,4943493.0,,714.0,25062,,27433,,60484,12630,711703,20006.0,686982,0
2015-11-10,3,2015,377691,96118,428308,,,216384,,0,782422,974,31187,31187.0,12855.0,96614,,2423973,2423973,,,791648,,1517466,99634,2410,917204,2015年09月30日,244390,1896265,1789634,0,183918,3091036,4295423,4833,,,245782.0,1300582,917204,5000156.0,3103891.0,,444122,5000156.0,,,10983,,27433,,106631,12855,704733,66032.0,781448,0
2016-03-25,4,2015,375200,96118,477121,,,242838,,0,907698,954,22863,,7952.0,97489,,2317076,2317076,,0.0,815989,,1295401,99453,2413,917204,2015年12月31日,293203,1948745,1839952,0,183918,2903707,4158925,4143,,,404291.0,937182,917204,4860404.0,2911659.0,,445627,4860404.0,,,44792,,26663,,108793,7952,701479,74502.0,906744,0
2016-05-03,1,2016,370915,102618,533428,,,219965,,0,1054458,949,49205,,7607.0,89658,,3137522,3137522,,,1213043,,1148543,99271,2481,917204,2016年03月31日,349510,1998328,1896139,0,183918,3808175,5119052,3452,,,514818.0,1307352,917204,5814110.0,3815782.0,,445507,5814110.0,,13357.0,80098,,26663,514818.0,102189,7607,695058,188866.0,1053509,0
2016-08-12,2,2016,366022,102117,411530,,,375396,229419.0,0,848539,1393,46387,,7747.0,91766,,3038780,3038780,45860.0,,685779,145977.0,1335639,99088,2464,917204,2016年06月30日,205112,1917490,1820101,0,206418,3648716,4883071,2762,,,305163.0,1738000,963064,5573953.0,3656463.0,,445507,5573953.0,,1002.0,57169,,26663,,97389,7747,690882,99933.0,847146,0
2016-11-10,3,2016,363346,102117,471502,,,252136,,0,771571,1277,49833,49833.0,7887.0,87588,,3029689,3029689,,,779477,,1434290,98906,2334,963064,2016年09月30日,265084,1979574,1879712,0,206418,3652560,4956995,2072,,,308913.0,1846000,963064,5640021.0,3660447.0,,445146,5640021.0,,3376.0,0,,26663,,99862,7887,683026,134270.0,770294,0
