date,season,year,不動產及設備－淨額,中期擔保放款,中期放款,中華郵政轉存款,交通及運輸設備,什項設備,以成本衡量之金融資產,保付支票,保留盈餘合計,保證責任準備,備供出售金融資產,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產評價調整,備供出售金融資產－淨額,備抵呆帳－其他應收款,備抵呆帳－應收信用卡款項,備抵呆帳－應收利息,備抵呆帳－應收帳款,備抵呆帳－應收承兌票款,備抵呆帳－應收承購帳款－無追索權,備抵呆帳－應收收益,備抵呆帳－買入匯款,備抵呆帳－貼現及放款,備抵呆帳－非放款轉列之催收款項,兌換（借方）,公庫存款－定期,公庫存款－活期,其他什項金融資產,其他應付款,其他應收款,其他權益合計,其他負債合計,其他資產－淨額,其他遞延資產,其他金融負債合計,其他金融資產－淨額,其他雜項資產,其他預付款,其他預收款,出口押匯,匯出匯款,原始認列時指定透過損益按公允價值衡量之金融負債,原始認列時指定透過損益按公允價值衡量之金融負債評價調整,原始認列時指定透過損益按公允價值衡量之金融資產,原始認列時指定透過損益按公允價值衡量之金融資產評價調整,可轉讓定期存單,同業融資,員工福利負債準備,國外營運機構財務報表換算之兌換差額,土地,增資準備,外匯定期存款,外匯活期存款,外幣支票存款,央行及同業融資合計,央行及銀行同業存款合計,央行存款,央行拆放,存入保證金,存出保證金,存出信託資金賠償準備,存放央行,存放央行及拆借銀行同業合計,存放銀行同業,存本取息儲蓄存款,存款及匯款合計,定期存款（不含NCD）,庫存外幣,庫存現金,庫藏股票,庫藏股票合計,待交換票據,待註銷股本股數,意外損失準備,應付交割帳款,應付代收款,應付其他稅款,應付利息,應付即期外匯款,應付帳款,應付所得稅款,應付承購帳款,應付款項合計,應付租賃款,應付股（官）息紅利,應付融券擔保價款,應付費用,應付金融債券,應付金融債券合計,應收交割帳款,應收信用卡款項,應收利息,應收即期外匯款,應收帳款,應收帳款融資,應收所得稅退稅款,應收承兌票款,應收承購帳款－無追索權,應收收益,應收款項－淨額,應收股利,應收證券融資款,應解匯款,房屋及建築,承兌匯票,承受擔保品,投資性不動產,投資性不動產投資－淨額,抵繳存出信託資金賠償準備,拆放銀行同業,持有供交易之金融負債,持有供交易之金融負債評價調整,持有供交易之金融資產,持有供交易之金融資產評價調整,持有至到期日金融資產,持有至到期日金融資產－淨額,撥入備放款,擔保透支,支票存款,放款轉列之催收款項,整存整付儲蓄存款,整存零付儲蓄存款,普通股股本,暫付及待結轉帳項,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程,本期所得稅負債合計,本期所得稅資產合計,本期損益,本行支票,機械及電腦設備,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,活期儲蓄存款,活期存款,無形資產－淨額,無活絡市場之債務商品投資,無活絡市場之債務工具投資,營業保證金及交割結算基金,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,當期所得稅資產合計,短期擔保放款,短期放款,租賃權益改良,租賃資產,累積盈餘,累計公允價值變動數－投資性不動產,累計折舊－交通及運輸設備,累計折舊－什項設備,累計折舊－房屋及建築,累計折舊－投資性不動產,累計折舊－機械及電腦設備,累計折舊－租賃權益改良,累計折舊－租賃資產,累計減損-無活絡市場之債務工具投資,累計減損－備供出售之金融資產,累計減損－承受擔保品,累計減損－無活絡市場之債務商品投資,結構型商品所收本金,股本合計,融券存入保證價款,行員活期儲蓄存款,負債及權益總計,負債準備合計,負債總計,負債總額,買入匯款,貼現,貼現及放款－淨額,資產總計,資產總額,轉存央行存款,透支,透支銀行同業,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,進口押匯,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,遞延所得稅資產合計,遞延收入,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,重估增值－土地,重估增值－房屋及建築,重估增值－投資性不動產,銀行同業存款,銀行同業拆放,長期擔保放款,長期放款,附買回票券及債券負債合計,零存整付儲蓄存款,電腦軟體,非控制權益,非控制權益合計,非放款轉列之催收款項,預付利息,預付所得稅稅款,預付設備款,預付費用,預收利息,預收收入,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-14,1,2013,24109822,132355901,237110112,5992274,561737,1439019,4698434,11120,34772737,259311,52765120,-103309.0,,-213390,52551730,22020,9971,13498,1482,47752,42502,195374,107,13685652,43899,1.0,1021602,1400650,5301630,615276,68627,-31249,1728113,2027670,1294,1804066,13256082,0.0,1515763,23275,1617309,86094,,,1459038,-251,7827800,,3354571,72060,4449947,,88444372,108308451,1754645,,101513903,24921,24949038,1089458,79733,150000,55780439,102997033,8365062,210342919,1312604835,162796836,1173722,9828116,,,19125995,,208.0,128602,255787,145931,2208552,0.0,21834459,276951,472793,31768473,105592,137357,911,1046749,38441365,38441365,140908,919150,2227302,706,1360741,505203,516876,4678440,4848254,199302,14258585,,269960,509835,8621149,4760706,37105,561127,10823891,-150000,41494577,634517,1914129,33504876,2733195,186764462,186764462,175090,1357628,33039764,3321634,89992735,19282,72421114,50.0,2013年03月31日,10916126,98.0,,,2349219,1128635,5166826,,107162602.0,107162602,0,11836090,409342790,175221669,84918,3315018.0,,11497,12020521,,38492895.0,276951.0,526761.0,108836288,150223980,858462,168274,8566907,3266277,466107,1267630,3541914,240760,4424670,674566,36423,,0.0,37105,138595.0,1523384,72421114,825,15184424,,3614090,,1506745243.0,10125,4050954,1126033491,,1613907845.0,5722017,35313,1086759,2548646,37696858,8353,6216070,6156692,59378,4189333,4189333,46957,,,94314,94314,13155247,81845,7237247,10251498,59209413,484679504,15347004,6228731,6171212,84918,0.0,0.0,113476,6232,9885,18528,413100,33431,534992,0
2013-08-28,2,2013,24055053,128711587,211770920,5457009,563322,1445533,4698434,1200,31354282,235929,40861909,-376460.0,,-494405,40367504,21376,10311,13833,1656,53480,79531,195374,127,13844570,43510,2.0,1110002,1454655,14746342,627405,67855,-254339,1886054,2360756,1118,1099408,23332752,0.0,2048243,21577,1652004,63174,,,1766257,662,7365300,,3321595,122121,4449947,5069478.0,91588200,113440911,1649395,,122014083,24347,25028763,1240849,84382,150000,48965128,106501686,11378587,219246059,1334200414,164787974,1135765,9295013,0.0,0.0,19561473,,,171100,252676,244920,1855124,0.0,23017282,231869,712862,35115911,97717,866048,363,1525808,43308743,43308743,123936,1243798,2359177,3881,2298114,610763,515963,5353360,8935855,200656,20401005,2550.0,293424,505826,8629560,5702395,37105,565075,10822260,-150000,51801989,653830,2357144,46939324,2464318,186465381,186465381,146006,1296336,31678189,4115134,83624135,16889,72421114,110.0,2013年06月30日,4956446,,,,4724453,1499386,5207151,,108590535.0,108590535,0,14377315,410950376,184160972,78119,3944976.0,,16497,12020521,,41370838.0,231869.0,657175.0,112872261,207664274,861581,168719,231993,3266277,470427,1275410,3579340,248126,4484541,690075,41109,,0.0,37105,138504.0,855685,77490592,328,15094547,,3557524,,1556585859.0,12883,3896616,1153777877,,1665176394.0,5734569,65537,836137,3010974,51170561,35660,6205424,6156692,48732,3732798,3732798,49670,,,82629,82629,13155247,80058,7239034,8667976,81999851,480740616,13897315,5955455,5963224,78119,,,112258,1509,141212,34837,208895,52536,521422,0
2013-11-12,3,2013,24012354,125301060,217690878,4921754,563525,1452207,4181203,2156,33679631,229956,41131964,-727171.0,,-845503,40286461,14508,11348,13241,1826,48357,83250,194361,133,14128960,43913,0.0,1096102,1608214,20698080,643881,64089,-659804,1969105,1944976,1094,1108648,28760115,,1531790,23211,1682650,46105,,,3180230,31043,6728800,,3325126,67367,4449947,,97484493,113759036,1639082,,108015993,24450,24986584,1310017,86862,150000,48314896,128226759,12728588,228878232,1349797857,162136358,1181408,9858198,0.0,0.0,5899498,,282.0,177028,4340006,230669,2090906,2115.0,14868235,269874,1287877,30338648,89469,139353,629,1440770,43249966,43249966,135131,1065903,2198075,0,1388791,714378,515964,4808257,9918854,197811,19617919,1010.0,277517,871922,8645343,4954371,26835,565075,10820530,-150000,74186326,631983,1997792,54736508,1671158,186430969,186430969,155979,1348456,27901030,4744209,78783942,21536,77490592,,2013年09月30日,7281795,9651.0,,,7049802,1550981,5272484,,110510419.0,110510419,0,14377315,420522891,185691762,73985,3936414.0,,16496,12020521,,29667692.0,269874.0,724864.0,118779494,175089376,869451,168859,231993,3266277,471950,1284070,3621110,249856,4549802,703712,45799,,0.0,26835,136611.0,863200,77490592,622,15302872,,3555364,,1552413738.0,12527,4165397,1129305225,,1662924157.0,5725537,63243,866719,2629775,59618939,104323,6245561,6156692,88869,3362675,3362675,53416,,,70694,70694,13155247,80059,7239034,7063428,70153058,479424948,14048256,5232947,5772343,73985,,,112548,246,208900,22024,308488,61277,521184,0
2014-03-06,4,2013,23935458,126887512,217906397,4580053,559611,1455343,4181203,4732,35279846,229614,38517907,-515213.0,,-633796,37884111,13786,11556,13728,1033,55292,85236,194379,216,13510469,44169,0.0,1110512,1487456,31189363,638088,82179,-367108,2224107,2327815,767,672028,39272679,,2028978,19570,2379106,189574,,,3696964,-19970,6204600,,3443587,148105,4449060,,118142235,108911383,2082579,,126829032,24598,27544486,1531182,83113,150000,52678848,84798723,28147001,232316647,1372890099,152038041,1376093,9926224,0.0,0.0,7352696,,,271450,360356,152683,1752343,0.0,13168250,125334,874749,25233888,81017,139985,1503,2018552,43322818,43322818,220138,1186565,2469828,6507,899295,644228,771479,5529732,9691226,202082,20208734,,301498,653561,8699005,5612071,26835,580410,10937868,-150000,26397850,388835,1326529,54501425,1823054,226989182,226989182,205511,1493859,30810645,3661795,76440444,17153,77490592,,2013年12月31日,8882010,,,,8818249,3063011,5286279,,112403330.0,112403330,0,14377315,428183674,190374963,80006,3949101.0,,16497,12020521,,46802014.0,125334.0,780220.0,122101330,174605959,912423,168860,63761,3266277,462089,1279711,3650368,265311,4592058,717943,50489,,0.0,26835,137578.0,385500,77490592,1388,15161036,,3673201,,1587652211.0,22056,6310231,1142867165,,1700055541.0,5722025,42484,3355035,1715364,60001473,54097,6461749,6156692,305057,3107599,3107599,39627,,,62494,62494,13039238,78574,7356492,9256450,82068410,485034751,14954387,4504591,5697853,80006,,,112919,248,8741,39723,198212,59308,574420,0
2014-05-09,1,2014,23983046,126238995,232859266,4109453,560861,1460286,4181203,2170,38380193,369501,42112187,-426230.0,,-545506,41566681,5282,11258,17647,2352,51579,30234,194394,263,13329885,41067,0.0,1107394,1668319,75017325,648686,69503,-196323,2402718,2075486,593,2978594,82853988,,1545361,26609,1575012,74219,,,3630381,-11803,6208900,,3339206,229907,4449060,,154198879,104279219,3330854,,141424330,25018,25758067,1615621,81720,150000,53087176,94106875,23941019,235108846,1400619906,143582455,1226549,10057693,0.0,0.0,6358084,0.0,287.0,300205,280483,159597,2477064,8728.0,12670530,356397,781695,24700595,72500,140709,563,1164875,43306757,43306757,233232,1139295,2775577,0,1447735,557303,606087,5748295,7403638,196674,19031022,,300963,619193,8709088,5805817,26835,580410,10936253,-150000,35300458,475299,1597118,43860319,3455549,180965153,180965153,153063,1407337,28261044,2631618,75142557,17931,77490592,40.0,2014年03月31日,11982357,0.0,,,3100347,1498198,5380436,,115674462.0,115674462,0,14377315,433571488,190442685,528621,3695792.0,,17582,12020521,,41583345.0,356397.0,681902.0,121989895,215435972,917415,168860,8882010,3266277,463448,1289217,3694140,266926,4619044,720327,55180,,,26835,140793.0,2753031,77490592,523,15835385,,3708994,,1633059722.0,30015,5829122,1196346724,,1748734184.0,5719241,39393,1370343,2072417,50934446,127884,6727704,6156692,571012,3089246,3089246,42915,,,51396,51396,13039238,78575,7356492,9212631,100948818,486240126,14443723,4761310,5670170,528621,,,111776,430,75815,60583,429760,83837,633736,0
2014-08-14,2,2014,23926695,125104400,237619023,4012679,550759,1465168,4171778,1451,35048822,376040,45078195,-282719.0,,-401811,44676384,5300,14484,17476,1631,42394,28662,194288,90,13526373,43211,0.0,1183769,1659565,83552906,666006,45050,-325274,2579178,1889860,442,1592064,91151168,,1564360,27091,1673057,72024,,,3500640,-5050,7198800,447675.0,3423921,-42555,4448689,1549812.0,150104019,113420649,1476851,447675.0,142784426,41129,25218386,1731058,87131,150000,53544924,102420988,22873977,237664921,1396540089,139891949,1220237,9681478,0.0,0.0,7526890,0.0,,318143,248177,266603,1932899,1260.0,13876582,245493,763155,30499390,63920,4790757,676,1700337,53179189,53179189,283749,2242248,3192225,0,1300873,665748,606086,5518335,10024490,199876,22870866,2047.0,323133,733724,8713483,5610112,23462,580880,10940114,-150000,42196046,446321,1108715,24993456,2162155,183495709,183495709,251227,1490878,29217444,2463339,73868839,22752,77490592,108.0,2014年06月30日,6005511,14392.0,,,5968223,2202169,5432498,,113763952.0,113763952,0,17022790,430700815,185927000,523138,3481830.0,,12583,12020521,,41302582.0,245493.0,618403.0,130048291,202691371,924857,168860,37288,3266277,455430,1296809,3736688,268583,4657411,732815,59870,,,23462,137879.0,1276917,79040404,620,15508924,,3799961,,1644062669.0,11192,5741411,1200815138,,1757826621.0,6680018,40818,1399473,1555036,30651201,90539,6585233,6156692,428541,2503990,2503990,46219,2292.0,2292.0,40385,40385,13034191,78549,7361540,12017064,100095695,495104751,11284752,4252643,5684424,523138,,,114642,1876,12317,34272,223360,94859,679951,0
2014-11-12,3,2014,23767817,124866368,257250758,3597573,553237,1468140,4171778,2967,38194147,447392,47104231,-628748.0,,-747893,46356338,6444,11257,16189,8721,37592,31044,194288,115,13764589,44079,,1135969,1847569,73187520,651343,49836,-331970,2725776,1995907,355,694086,80811109,,1568916,27980,1106536,77321,,,2637458,-4655,7523000,456750.0,3407508,296778,4447895,,159150537,109679836,1537167,456750.0,148573373,24509,25728515,1759380,97149,150000,46711221,101437921,27372615,240414829,1414184210,137534022,1270519,9837325,0.0,0.0,4762684,0.0,378.0,416936,5036117,335703,2485647,0.0,11402858,343745,856353,28744361,55275,138717,21,1641160,48262373,48262373,350267,1437261,3516236,5496,1469426,915326,605875,5280414,10738369,198132,23185787,1338.0,331405,534739,8719364,5408998,23462,583454,11013991,-150000,45922478,462819,2185318,27586608,3091985,184329877,184329877,263246,1581952,28599389,2403802,72017713,26161,79040404,147.0,2014年09月30日,9150836,21122.0,,,9113548,1745060,5458629,,116902581.0,116902581,0,17022790,436599420,194558152,493870,3507738.0,,17583,12020521,,43243143.0,343745.0,617786.0,137251641,196193644,926329,168860,37288,3266277,461044,1304270,3778272,271735,4713961,747577,64561,,,23462,140676.0,375565,79040404,19,15579473,,3855278,,1661859064.0,14457,4836197,1225692725,,1778761645.0,8804222,64988,890133,2648137,33311396,24736,6595397,6156692,438705,2475329,2475329,49931,37977.0,37977.0,28649,28649,12959735,78550,7435995,11044732,107287911,501502564,11127397,4737601,5620886,493870,,,114486,253,11911,35641,311504,101290,787195,0
2015-03-27,4,2014,23822844,126917910,264461963,3484434,552854,1476265,4167009,2636,39766371,461706,46582720,-316630.0,,-437112,46145608,5047,12182,16749,850,38256,28495,194288,490,14671234,41286,,1188319,1665977,71044309,683092,36882,434326,2956636,397708,594,624416,78722662,,36020,23489,1938048,225110,15835000.0,101642.0,2375250,-6493,7892100,950100.0,3572973,750956,4447895,,156960710,118394741,1642202,950100.0,124155182,23665,26765270,1998196,146716,170000,60899310,109277694,16633022,242977371,1452969285,137304901,1491555,10692815,0.0,0.0,10768805,0.0,,316933,721866,343815,2126358,,16880798,849381,626866,29505168,46566,139833,588,2370021,48463938,48463938,534508,1533242,3972433,11263,1421896,904463,569316,4692955,9352208,198582,21809314,,309223,809878,8775896,4736264,23462,583309,11012440,-170000,42642036,502928,4418793,29942649,5514331,183637059,183637059,257920,1563174,32366166,2661817,71028560,23553,79040404,213.0,2014年12月31日,10723060,,,,10897180,3589940,5471249,,119241101.0,119241101,0,17022790,451511476,204283049,473336,3546656.0,,17583,12020521,,39586197.0,849381.0,581958.0,141584228,211889232,909546,168860,-174120,3266277,459539,1304751,3821181,273108,4688809,730121,69251,,,23462,146314.0,319930,79040404,532,15491574,,4034679,,1696631866.0,46967,4520120,1259366749,,1815872967.0,5736348,29585,1033239,20858363,37825737,290051,6738024,6156692,581332,3186032,3186032,39714,,,27629,27629,12959735,78532,7435962,18244623,74603951,506182053,10786116,4526694,5611022,473336,,,105811,263,12642,55664,196319,85141,810096,0
2015-04-30,1,2015,23768046,121758517,268235576,3265209,558863,1484800,4167009,4326,42648428,471760,57968024,,-186389.0,-307567,57660457,6317,11851,16722,25234,34529,20680,194288,400,14576396,35658,,1145901,1733376,38482185,666736,52156,330282,3293800,840211,521,516617,46137873,,174292,28144,1298791,62288,15645000.0,704428.0,6320583,2291,10027500,938700.0,3535275,516671,4447895,,157595029,126254231,1545687,938700.0,133143208,25294,26441211,2364716,172855,170000,43672397,95028137,17619650,246640791,1457412374,140036835,1342024,10931979,0.0,0.0,5102903,0.0,145.0,360987,257006,242563,2561003,1646.0,13291498,1029712,581171,24530071,37791,140692,374,1481306,48418988,48418988,472628,1434801,3182010,0,2665713,859448,569316,4375965,6365215,196950,18831522,,337637,1074077,8809799,4448745,23462,583309,11010889,-170000,49838139,787365,3976468,28107765,4196128,188565148,188565148,248035,1393455,29775415,2813230,70989962,19437,79040404,253.0,2015年03月31日,13605117,,1029712.0,594600.0,2882057,1512184,5468469,122019114.0,,122019114,0,17022790,453802703,193716370,451682,,3523279.0,23434,12020521,34996556.0,,,,141219990,260329075,927793,168860,10723060,3266277,464131,1314022,3864228,274659,4734150,742868,73942,144557.0,,23462,,230791,79040404,338,15841866,1828825456.0,4007180,1706806342.0,,44964,4340718,1309312593,1828825456.0,,1517601,181656,964178,21113261,38626767,363041,6728489,6156692,571797,2959909,2959909,43155,,,41066,41066,12959735,78531,7435962,21366449,81080867,509657936,11099919,5673942,5634396,451682,,,101051,1812,25284,56642,467044,84530,773255,0
2015-08-21,2,2015,23018788,130374211,273951736,3194660,562825,1490325,4167009,7281,38589533,432291,67848112,,51041.0,54685,67902797,6951,18021,16010,2106,37392,21836,194288,338,14767890,50133,,1221701,1705383,38483002,659005,38370,420855,2851032,512765,445,1043434,46128658,,170762,32133,1353144,63514,15457500.0,325261.0,5935676,57794,7518300,1020195.0,3525338,369814,4444695,5532828.0,170238803,136858380,1822101,1020195.0,116953775,24787,29524608,1923426,84310,170000,53015852,102702321,21457523,247615184,1485055689,140282121,1376137,10077787,0.0,0.0,5949892,0.0,,166779,325066,424023,1735190,0.0,13339253,432541,820150,26279802,28949,1722880,0,1901518,43347070,43347070,265911,2976338,2925577,8913,2491772,1108076,259652,4768985,6569419,198077,20162581,12195.0,299272,854947,8800156,4898648,23462,603131,11674723,-170000,46305951,832138,2628297,31101875,3185315,194204103,194204103,244568,1415980,32346820,2642363,70456292,20709,79040404,313.0,2015年06月30日,6277068,0.0,432541.0,259652.0,5936798,1098125,5482403,123583620.0,,123583620,0,20291944,446385759,205051588,459250,,3499191.0,23434,12020521,38861339.0,,,,147888575,208713427,930011,168860,340270,3266277,470487,1322938,3889019,293685,4785579,756063,78632,142819.0,,23462,,769917,84573232,0,15881322,1836134168.0,3957629,1712550548.0,,38911,4076014,1287286985,1836134168.0,,3380518,59888,989176,19243196,40280660,46301,6690649,6156692,533957,2653229,2653229,46960,0.0,0.0,26317,26317,12298429,76778,8099000,19271663,63948881,518134139,11991749,5675536,5627359,459250,,,133835,5139,0,67024,228362,80585,767928,0
