date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1000,1000,837812,31673.0,264373,,128651,371592.0,78449,-2113,38485,37485,174288,,,24507,59194,481,14604,713936,33791,,443625,112891,193551,1155525,29873,,153035,24026.0,2251,1023880,2013年03月31日,111654,,1503984,1354157,3000000,152719,2158952,2784619,,7567,81942.0,,,397571.0,37672.0,832485,1023880,,,,2226181.0,101808,,3730165.0,33972,7049,8750,8750,29118,,149827,67229,945546,7007.0,,8465,,0
2013-08-12,2,2013,1000,1000,819846,32213.0,228685,,181450,296401.0,69906,534,17105,16105,116549,,,25338,60755,484,4359,748997,33791,,443855,109985,170962,1263611,21590,,113138,24854.0,2213,1023880,2013年06月30日,46328,,1472030,1321116,3000000,161659,2113859,2724394,,7758,69558.0,20698.0,,321045.0,29547.0,864554,1023880,,,,2183143.0,101808,,3655173.0,35446,7994,8500,8500,26037,7758.0,150914,69284,930779,7127.0,,23232,,0
2013-11-11,3,2013,7000,7000,812941,31851.0,243736,,167536,2673.0,70581,-3272,16191,9191,102362,,,26160,54635,477,4585,713773,33791,,426940,109908,210664,1348820,12384,,130511,25683.0,2176,1023880,2013年09月30日,61379,,1487251,1332361,3000000,161659,1914463,2689592,,7647,78491.0,20698.0,,232670.0,29019.0,951532,1023880,,,,2120755.0,101808,,3608006.0,33382,9164,146750,146750,24857,7647.0,154890,206292,918414,7046.0,,18147,,0
2014-03-24,4,2013,24000,24000,808038,32418.0,261434,,177649,2566.0,80890,-138,62018,38018,111127,,,15540,53600,480,1745,679648,33791,,421794,109927,224471,1403372,9060,,93550,15060.0,2139,1023880,2013年12月31日,79077,,1505172,1353193,3000000,161659,2049565,2807961,,7785,83508.0,20698.0,,346806.0,30797.0,1015313,1023880,,5030.0,,2215253.0,101808,,3720425.0,35648,8484,114500,114500,24889,7785.0,151979,165688,912464,7172.0,,19794,,0
2014-05-12,1,2014,24000,24000,796782,32292.0,254259,8005.0,130325,2601.0,81965,6979,65467,41467,295311,114062.0,181249.0,15654,68707,492,3857,702501,33791,0.0,359874,119911,198209,1207215,11436,,143717,15162.0,2101,1023880,2014年03月31日,71902,,1425773,1353135,3000000,161659,1979965,2651006,,5791,,20698.0,200856.0,,33463.0,1068812,1023880,,1303.0,,2138656.0,101808,,3564429.0,34537,7750,108500,108500,25049,5791.0,72638,158691,913423,7144.0,,32657,,0
2014-08-11,2,2014,24000,24000,797921,31706.0,210214,5012.0,183402,2532.0,70306,-978,73718,49718,255856,101174.0,154682.0,15746,57590,482,3777,702059,33791,0.0,422746,119846,212458,1243936,17570,,155564,15264.0,2064,1023880,2014年06月30日,41722,,1370384,1301133,3000000,168354,2109836,2728708,,5236,,138.0,278405.0,,27404.0,1065840,1023880,,1890.0,,2258349.0,101808,,3628733.0,30267,5508,102500,102500,24355,5236.0,69251,148513,900025,7014.0,,22444,,0
2014-11-13,3,2014,24000,24000,798570,32516.0,231099,,139693,3210.0,73381,8012,81400,57400,277274,140165.0,137109.0,15857,61113,491,3871,753647,33791,0.0,394371,119941,159523,1141823,30265,,135105,15366.0,2027,1023880,2014年09月30日,62607,,1397274,1331008,3000000,168354,1978715,2618189,,4707,,138.0,206694.0,,23147.0,1055915,1023880,,1515.0,,2125555.0,101808,,3522829.0,34483,5707,96500,96500,24625,4707.0,66266,146840,904640,7194.0,,25423,,0
2015-03-23,4,2014,26042,26042,794244,33558.0,279756,,166596,1917.0,82179,24868,66144,40102,46197,,,8072,66498,511,3921,749823,33791,0.0,330523,119869,132205,1139888,16661,,170538,7561.0,1989,1023880,2014年12月31日,111264,,1460016,1396521,3000000,168354,1933580,2628718,,4673,125439.0,138.0,241564.0,,22413.0,1091847,1023880,,2066.0,,2073479.0,101808,,3533495.0,43369,3815,88458,88458,25874,4673.0,63495,139899,904777,7424.0,56429.0,29279,56429.0,0
2015-05-11,1,2015,28083,28083,833785,33241.0,303339,0.0,129866,1861.0,74297,19731,72101,44018,136845,64833.0,72012.0,8122,70434,504,3777,703098,0,,283243,109966,74775,960815,16501,,195473,,1952,993880,2015年03月31日,134847,26901.0,1472800,1414967,0,168354,1733871,2388781,7618.0,4099,,138.0,,254160.0,,1032480,993880,3336610.0,2678.0,1863810.0,,98017,3336610.0,,41400,4318,80417,80417,25349,4099.0,57833,129939,947829,7354.0,47592.0,33954,,0
2015-08-10,2,2015,30125,30125,805799,0.0,279945,0.0,169554,159.0,43807,12097,35314,5189,135528,42875.0,92653.0,8170,65043,496,3633,640670,0,,229699,114872,122104,826822,12952,,161440,,1915,993880,2015年06月30日,104162,24718.0,1383939,1383939,0,175783,1492687,2113567,7674.0,5219,,0.0,,279676.0,,795104,993880,2996957.0,1163.0,1613018.0,,98017,2996957.0,,39786,5414,72375,72375,20608,5219.0,0,120331,883390,0.0,12672.0,40802,,0
2015-11-09,3,2015,32167,32167,809421,0.0,308883,,114665,215.0,13481,38029,44771,12604,151344,54205.0,97139.0,8259,66529,528,3740,579824,0,,148087,114974,95954,701488,20518,,212638,,1878,993880,2015年09月30日,133100,26217.0,1438809,1438809,0,175783,1313632,1988002,7731.0,4578,,0.0,,303393.0,,767074,993880,2874968.0,1675.0,1436159.0,,98017,2874968.0,,49935,4560,64333,64333,21748,4578.0,0,122527,886966,0.0,5316.0,41041,,0
2016-03-21,4,2015,32166,32166,826566,0.0,344402,,130268,,36268,33864,41318,9152,57552,56034.0,1518.0,527,39530,527,3888,531069,0,,167973,109875,90862,636779,16530,229518.0,229518,,1840,993880,2015年12月31日,168619,27686.0,1470163,1470163,0,175783,1156856,1860269,0.0,3196,,0.0,,347009.0,,586804,993880,2736205.0,2070.0,1266042.0,,98017,2736205.0,,52367,4804,56292,56292,21516,3196.0,0,109186,875936,0.0,5544.0,14126,,0
2016-05-09,1,2016,32166,32166,807907,0.0,360255,,107428,,8862,25824,40032,7866,62721,61203.0,1518.0,517,46119,517,3872,519835,0,,168218,109973,76132,560081,13622,276712.0,276712,,1803,993880,2016年03月31日,184472,26774.0,1477976,1477976,0,175783,1169231,1883285,0.0,2616,,0.0,,436658.0,,638286,993880,2747389.0,2388.0,1269413.0,,98017,2747389.0,,51415,5659,48250,48250,20898,2616.0,0,100182,864104,0.0,4794.0,21349,,0
2016-08-08,2,2016,32166,32166,808124,,287774,,216796,,7841,25088,42622,10456,64486,62968.0,1518.0,518,46857,518,3621,499346,0,,161649,109881,95849,629604,8707,259038.0,259038,,1765,993880,2016年06月30日,99563,18204.0,1404759,1404759,0,188211,1325614,1952770,0.0,2099,,0.0,,479311.0,,677780,993880,2818321.0,2833.0,1413562.0,,98017,2818321.0,,47222,6706,40208,40208,20757,2099.0,0,87948,865551,,4437.0,22479,,0
2016-11-07,3,2016,32166,32166,793625,,304317,,111308,,10406,11230,41168,9002,56942,55424.0,1518.0,504,46352,504,3550,481164,0,,179562,149952,90071,654556,17738,,195189,,1728,993880,2016年09月30日,116106,9206.0,1407444,1407444,0,188211,1311663,1949349,0.0,1605,,,,521939.0,,729248,993880,2800574.0,1148.0,1393130.0,,98017,2800574.0,,48796,7915,32167,32167,19976,1605.0,0,81467,851225,,11415.0,22826,,0
