date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,933452,23454,392467,,,192075,84812,-3310,90892,17399,18895,77335,-3310,866376,54462.0,,340678,3787,159892,74636,8521,563590,3232,123039,51,212966,6878.0,1378744,2013年03月31日,62901,,1714545,1714545,5147402,146814,1450655,2033284,37627,182752,,325724.0,2604.0,577570,1378744,,,1659812.0,1106,,,,1106,,3374357.0,,9057,77762,49361,112500,0.0,209157,1341073,40004,0
2013-08-09,2,2013,938137,23454,385713,,,220749,85889,4975,85464,15871,18349,69523,4975,884091,69195.0,,401063,3706,159898,69766,6495,472582,5363,132322,0,213561,3444.0,1378744,2013年06月30日,56147,,1701343,1701343,7181402,146814,1442988,1999877,36820,182752,,367350.0,5633.0,490214,1378744,,,1637551.0,1106,,,,1106,,3338894.0,,8955,77464,54078,98750,,194563,1339017,27454,0
2013-11-12,3,2013,925741,22129,400337,,,207102,99497,2240,103385,17691,18316,74072,2240,942903,41816.0,,314865,4069,189733,75452,3220,504255,457,119984,125,209639,2123.0,1337880,2013年09月30日,70771,,1707434,1707434,3891000,146814,1522952,2089605,35024,182752,,338368.0,88.0,625038,1337880,,,1701112.0,8793,0.0,0.0,,8793,,3408546.0,,6000,74844,50213,85000,,178160,1318941,60325,0
2014-03-21,4,2013,1097864,22129,441622,,,237320,23243,6084,88768,13866,19592,57186,6084,908924,41816.0,,294508,3166,149851,69593,1802,488061,427,115510,493,212392,0.0,1337880,2013年12月31日,112056,,1752563,1752563,3891000,146814,1544463,1993495,34397,182752,,403340.0,7310.0,692017,1337880,,,1715333.0,8793,0.0,0.0,,8793,,3467896.0,128.0,3438,80028,50433,71250,,170870,1474401,36193,0
2014-05-09,1,2014,1077635,22129,447067,,,186584,42756,4644,89412,14856,19015,57242,4644,960500,41816.0,0.0,299472,216,169753,108663,3668,487077,1381,94530,235,209483,0.0,1337880,2014年03月31日,117501,,1756568,1756568,3891000,146814,1534631,1994552,33641,182752,354575.0,,11758.0,665105,1337880,,,1690241.0,8793,0.0,,0.0,8793,,3446809.0,0.0,0,79095,52127,57500,,155610,1452257,38642,0
2014-08-08,2,2014,1052765,22129,415185,,,245185,33925,-2179,102010,14916,18448,59659,-2179,898284,41816.0,0.0,204194,3107,169916,77802,4122,402804,724,87247,783,204746,0.0,1337880,2014年06月30日,78489,,1717863,1717863,3891000,153944,1416287,1870160,32497,182752,400644.0,,6394.0,603557,1337880,,,1576183.0,8793,0.0,,0.0,8793,,3294046.0,0.0,1444,77698,52090,63750,,159896,1423886,29389,0
2014-11-07,3,2014,1055065,22129,426492,,,211044,51154,8743,97175,11140,17431,60014,8743,881666,0.0,0.0,298786,2105,169784,90005,3113,472136,1284,105768,1236,206835,0.0,1298970,2014年09月30日,89796,,1740092,1740092,0,153944,1483544,1951848,32876,182752,397845.0,,881.0,610651,1298970,,,1638410.0,5887,0.0,,0.0,5887,,3378502.0,0.0,2448,79935,49735,57500,,154866,1426654,27171,0
2015-03-19,4,2014,1080013,22740,461172,,,222734,6880,20368,102340,12379,15408,58294,20368,850204,0.0,0.0,339446,7505,169914,107297,3895,533287,7355,163530,993,208958,0.0,1298970,2014年12月31日,124478,,1786397,1786397,0,153942,1524627,2000941,33160,182752,370830.0,,7490.0,564006,1298970,,,1665264.0,5887,0.0,,0.0,5887,,3451661.0,0.0,2486,83979,47555,41250,,140637,1450720,52997,0
2015-05-12,1,2015,1059045,22740,480507,-2.0,6081.0,209384,38714,16125,81302,13452,15479,79394,16127,889868,0.0,0.0,339675,4641,169798,103786,16659,522859,16136,128714,5016,205172,0.0,1298970,2015年03月31日,143813,13554.0,1801489,1801489,0,153942,1621664,2157590,32222,182752,,443170.0,,682865,1298970,3605079.0,1803590.0,,5887,0.0,,0.0,5887,3605079.0,,0.0,1477,81447,48916,85000,,181926,1447489,92103,0
2015-08-11,2,2015,1037703,22740,467902,182.0,6265.0,278680,32028,10808,126610,15209,14356,72730,10626,917895,0.0,0.0,327838,7133,169918,94544,4444,578974,2825,109443,1574,200907,0.0,1298970,2015年06月30日,125515,12470.0,1783567,1783567,0,159635,1738189,2231290,22700,182752,,505043.0,,716552,1298970,3635186.0,1851619.0,,5887,0.0,,0.0,5887,3635186.0,,0.0,10630,80324,47116,18750,,113430,1403896,51404,0
2015-11-09,3,2015,1049884,22740,503834,331.0,6414.0,248774,42302,25944,125595,14394,15213,74329,25613,937590,0.0,0.0,280600,4721,169823,119881,2538,536043,1137,107566,5024,204153,,1298970,2015年09月30日,161447,13268.0,1834635,1834635,0,159635,1565780,2091148,22994,182752,,366894.0,,600580,1298970,3511720.0,1677085.0,,5887,0.0,,0.0,5887,3511720.0,,0.0,32633,83592,46472,12500,,111305,1420572,41151,0
2016-03-23,4,2015,1025643,49125,511637,416.0,6498.0,306854,38290,16587,139060,15393,14851,73598,16171,865395,0.0,0.0,293457,5261,149790,105532,4347,526320,9740,118308,1737,203682,,1298970,2015年12月31日,169250,21773.0,1833081,1833081,0,159635,1563299,2073039,21978,182752,,409214.0,,537225,1298970,3499002.0,1665921.0,,5887,0.0,,0.0,5887,3499002.0,,,32827,81521,51937,6250,,102622,1425963,49317,0
2016-05-11,1,2016,1000078,49125,543503,475.0,6558.0,229218,27212,10311,137798,11487,14191,80672,9836,831313,0.0,0.0,262427,1588,169765,101201,5037,513636,1736,125139,5298,200080,,1298970,2016年03月31日,201116,26191.0,1858671,1858671,0,159635,1462168,2013118,21125,182752,,418619.0,,528943,1298970,3415189.0,1556518.0,,5887,0.0,,0.0,5887,3415189.0,,,5905,80159,50991,0,,94350,1402071,66215,0
2016-08-10,2,2016,989433,49125,511008,0.0,0.0,310892,21986,253,71873,9040,13511,80147,253,816813,,0.0,221287,5832,149842,87330,5767,442389,12108,96355,991,193543,,1298970,2016年06月30日,159527,13945.0,1816118,1816118,0,168729,1343190,1948136,20168,182752,,512908.0,,476422,1298970,3331055.0,1514937.0,,5887,0.0,,0.0,5887,3331055.0,,,2764,78236,50503,80000,,171747,1382919,32782,0
