date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,453126,3411829,-1749739,0,0.0,,,156504,872522,21538,0,-4467,497358,648,40102,213609,1403466,201890,,-4467,48,755896,288946,0,,701426,0.0,,66629,539113,0.0,,2229,,2060450,2013年03月31日,-1819803,,,2595033,2595033,0,70064,3816204,2134110,,2269,,263360.0,7879.0,,0.0,,684994.0,,706.0,1508510,2060450,,,,4410736.0,2288789,,7005769.0,13255,76,182,46216,380741,213561,173105,0,594532,4871659,293046,,272575,,43584,0
2013-08-06,2,2013,344329,3337827,101677,0,0.0,,0.0,214344,856534,56853,4,-18,365527,428,72780,214066,1377624,201411,,-18,49,741991,351622,0,,819373,0.0,,161851,595442,0.0,,4711,,2060450,2013年06月30日,101677,,,2749011,2749011,0,0,3810366,2391449,,2061,,338519.0,7879.0,,0.0,,635476.0,,424.0,1381464,2060450,,,,4413892.0,586902,,7162903.0,11273,275,185,46063,389275,214017,175082,0,603526,4771454,335343,,259140,,20770,0
2013-11-08,3,2013,337584,3289563,162222,0,,,0.0,205447,871548,44220,0,-3001,348825,405,71960,210448,1322529,199916,,-3001,48,702354,447027,0,,676728,0.0,,222628,533533,0.0,,1431,,2060450,2013年09月30日,162222,,,2806573,2806573,0,0,3459838,2129005,,1574,,261201.0,7879.0,,0.0,,468103.0,,665.0,1131191,2060450,,,,3997897.0,586902,,6804470.0,3471,4668,183,53920,327428,210400,172147,0,538059,4675465,296197,,248112,,10836,0
2014-02-24,4,2013,389115,3417629,241375,0,,,0.0,260056,566678,47365,0,1759,398322,388,0,218240,1106297,200280,,1759,3626,649281,507084,0,,531262,0.0,,268314,399137,0.0,36739.0,263,3671.0,2310450,2013年12月31日,241375,,,3365486,3365486,0,0,2991973,2233035,,1138,,201518.0,7975.0,,0.0,,582751.0,,770.0,965189,2310450,,,,3450980.0,811902,,6816466.0,2152,164220,2212,50392,238555,210943,174228,0,459007,4583431,293188,,82508,,8819,0
2014-05-08,1,2014,456717,3356641,356262,0,,,0.0,246055,493986,44177,0,676,500392,539,0,215749,1097299,198639,,676,3612,636439,811565,0,0.0,695236,0.0,,355721,492979,0.0,0.0,1086,3747.0,2310450,2014年03月31日,356262,,,3479290,3479290,0,0,3149139,2610240,,1342,,123512.0,7975.0,,0.0,419772.0,,3340.0,714.0,854048,2310450,,,,3649260.0,811902,,7128550.0,361,296119,2441,55053,281931,208390,172576,0,500121,4518310,420316,3915.0,89645,416401.0,43136,0
2014-08-08,2,2014,339807,3231667,285241,274,247356.0,,0.0,423068,414824,35511,0,-4143,355708,452,0,207662,1012780,187628,280427.0,-4417,48,562623,540048,0,0.0,492487,,,328418,741984,,0.0,6735,3804.0,2765450,2014年06月30日,263388,,,4458140,4458140,0,21853,2335348,2909763,,1431,,123710.0,7975.0,,,637805.0,,5692.0,393.0,315056,2765450,,,,2762435.0,1411592,,7220575.0,95,291950,0,56959,219425,203810,168481,0,427087,4310812,284271,3844.0,94048,,15449,0
2014-11-07,3,2014,354393,3261962,273694,436,216436.0,,0.0,250892,111274,45903,184,4601,443451,1364,56882,209320,983757,172451,484416.0,4165,49,538296,632090,0,0.0,874613,,,233241,773251,,215.0,70313,3888.0,2765450,2014年09月30日,251841,,,4455337,4455337,0,21853,2602758,3204204,,1235,,87710.0,7975.0,,,663378.0,,5628.0,394.0,683115,2765450,,,,3062786.0,1411592,,7518123.0,544,169090,962,58990,249746,205383,171802,0,460028,4313919,488358,3942.0,101208,,87694,0
2015-03-17,4,2014,275909,3239233,277814,96,31096.0,,0.0,293944,115047,29691,784,19169,376629,534,14635,212059,951086,166624,,19073,51,508882,580278,0,0.0,543873,0.0,559.0,133129,371842,0.0,1888.0,98361,4086.0,2765450,2014年12月31日,255961,,,4474025,4474025,0,21853,2268533,2906487,,1040,,101933.0,8036.0,,0.0,1264428.0,,5647.0,386.0,798213,2765450,,,,2701042.0,1411592,,7175067.0,1492,103402,11339,69185,209111,207922,176287,0,432509,4268580,307763,,99293,,100186,0
2015-04-27,1,2015,328890,3097995,304556,15,90024.0,,0.0,242381,189212,116301,1379,3657,339452,1735,6635,208759,996544,141210,,3642,51,509203,764504,0,0.0,632509,0.0,1581.0,48282,335893,0.0,835.0,17066,,2765450,2015年03月31日,282703,5450.0,386.0,4485255,4485255,0,21853,2338535,3135231,4183.0,1073,54884.0,,,8036.0,0.0,,1403379.0,,,879487,2765450,7312714.0,,2827459.0,,1411592,7312714.0,,181,38345,1529,73835,278636,204525,173618,0,488924,4177483,305600,,172513,,8827,0
2015-08-05,2,2015,247768,3015450,133451,113,200134.0,,0.0,378535,292192,51003,234,-14131,330018,2664,3814,204759,1100771,139877,,-14244,51,484287,715355,0,0.0,691204,0.0,1924.0,137654,455097,,22520.0,7146,,3165450,2015年06月30日,94080,1368.0,390.0,4993802,4993802,0,39371,2254059,3482910,4217.0,1182,224962.0,,,8036.0,0.0,,1309360.0,,,420961,3165450,7687745.0,,2693943.0,,1709032,7687745.0,,203,137117,0,79396,235125,200491,170181,0,439884,4204835,355778,,306426,,79586,0
