date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,,,1470518,1176,499399,91213,,36918,-2262,36965,,113,117955,0.0,15584,295.0,,-2262,340.0,991,283787,,,,110309,,,32718,,,238974,12224,14167,111979.0,16746,146223,910887,2013年03月31日,216359,,1648102,1648102,0,253880,481024,715555,,12992,29160.0,,101134.0,39819.0,170000,910887,,,775576.0,240078,1555.0,238523.0,238523.0,,2423678.0,1057,3873,4597,41011,,172000,294552,1708123,27181,14298,0
2013-08-09,2,2013,,,1528566,1176,398028,248932,94081.0,43524,252,24124,,65,117876,5553.0,11695,262.0,252.0,252,340.0,970,275325,,0.0,,115774,,29950.0,18563,,154851.0,265745,21282,25400,111983.0,16668,145625,910887,2013年06月30日,76627,,1549385,1549385,0,273247,902579,1031869,,12576,48154.0,,373256.0,35236.0,430000,910887,,,1246548.0,240218,,,,,2795933.0,1044,3873,4853,43885,,221240,343969,1764064,26228,10463,0
2013-11-11,3,2013,,,1542341,1176,448781,103283,,15714,-5025,31165,,199,112335,,15358,228.0,-5025.0,-5025,340.0,1261,274094,,,,118171,,29945.0,12202,,,265125,8275,19030,111995.0,16589,138469,910887,2013年09月30日,127380,,1595001,1595001,0,273247,794614,1035480,,13739,48154.0,,421287.0,29848.0,470000,910887,,,1222352.0,240358,,,,,2817353.0,1144,3873,4163,50328,,311240,427738,1781873,30612,13869,0
2014-03-25,4,2013,,,1578198,280,505217,119822,,17200,-2501,54585,,351,106580,,11079,200.0,,-2501,340.0,1028,285194,,0.0,,123546,577.0,29947.0,17364,177.0,,277418,12627,15326,106240.0,16511,138394,910887,2013年12月31日,183816,,1653960,1653960,0,273247,585303,844458,,16597,48154.0,,210163.0,49285.0,190000,910887,,,1008106.0,240357,,,,,2662066.0,1233,3873,3983,52676,190000.0,312240,422803,1817608,24946,9851,0
2014-05-06,1,2014,,,1573930,280,582116,85826,,15226,9077,50361,,144,106611,,265729,171.0,,9077,340.0,878,328927,,,0.0,130598,0.0,29949.0,16431,70.0,,288368,20275,21229,106271.0,16433,139863,910887,2014年03月31日,260715,,1742437,1742437,0,273247,789766,886218,,15742,48154.0,185213.0,,66531.0,410000,910887,,,1214653.0,240357,,,,,2957090.0,1274,3873,6036,55022,,312240,424887,2070872,25562,264680,0
2014-08-08,2,2014,,,1757050,280,440789,304341,99392.0,13992,-2361,33013,,155,106679,,3124,137.0,,-2361,340.0,873,358700,358700.0,0.0,0.0,124428,495.0,29950.0,15163,285.0,204949.0,276694,18190,25253,106339.0,704704,133950,910887,2014年06月30日,146659,,1589672,1589672,0,291629,1558420,891150,,14960,2501.0,157617.0,,40745.0,1010000,910887,,,1980884.0,240357,,,,,3570556.0,1290,3873,3545,61465,,312240,422464,2679406,39259,2114,0
2014-11-07,3,2014,,,1749852,280,499639,99458,,10778,8162,34055,,77,106832,,4251,108.0,,8162,340.0,857,358480,,0.0,0.0,100507,,29918.0,9436,,,261979,15840,14634,106492.0,704626,132910,910887,2014年09月30日,205509,,1659045,1659045,0,291629,1425334,837925,,14459,2501.0,143239.0,,21960.0,1130000,910887,,,1850213.0,240357,,,,,3509258.0,1297,3873,5807,61082,,312240,424879,2671333,31601,3286,0
2015-03-20,4,2014,,,1769447,280,584125,113239,,11751,30176,51746,,48,102705,,2106,78.0,,30176,340.0,880,337142,,0.0,0.0,106322,166.0,29920.0,12576,110.0,,326332,4275,14721,102365.0,704548,138705,910887,2014年12月31日,289995,,1765545,1765545,0,291629,1495359,994853,,14798,2501.0,263682.0,,41280.0,1140000,910887,,,1918100.0,240357,,,,,3683645.0,1318,3932,7796,54976,,312240,422741,2688792,35584,1148,0
2015-05-08,1,2015,19452.0,19452.0,1747546,280,641558,71493,,11672,23566,79370,59918.0,58,102474,0.0,2264,44.0,,23566,,881,357385,,,0.0,126975,327.0,29920.0,5991,28.0,,279756,9835,23346,,704469,136604,910887,2015年03月31日,347428,58115.0,1816368,1816368,0,291629,1432219,983526,102474.0,14793,2501.0,,263884.0,,1060000,910887,3648549.0,1832181.0,,240357,,,,3648549.0,,1371,3932,4700,55135,,292788,399962,2665023,36219,1339,0
2015-08-07,2,2015,29179.0,29179.0,1723317,280,460104,335447,80398.0,11689,15313,63671,34492.0,91,102604,,3609,11.0,,15313,0.0,880,320173,320173.0,0.0,0.0,109540,,29944.0,9263,,255049.0,309858,22390,32116,,704391,129512,910887,2015年06月30日,140447,37806.0,1626661,1626661,0,319657,1585671,964136,102604.0,13564,0.0,,230801.0,,1000000,910887,3600962.0,1974301.0,,240357,,,,3600962.0,,1411,3932,2965,58221,,283061,388630,2636826,35607,2718,0
