date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,土地淨額,存入保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,0.0,0.0,913475,306887.0,306887,1437955,1331564.0,2096913.0,2096913,52762,52762.0,8043,1331466,20692,20692,727,3407.0,26379,243418,243418.0,,-98.0,205648.0,26379,8552564,8552564.0,455812,,677612,,2400594,20696,11433.0,11433,12750,,783,704420.0,1179184,18856,2703060,2013年03月31日,591222,,5733231,5255292,8547695,446610,4464780,9023767,400123,,151015.0,35424.0,1257000,2703060,,,8049275.0,238623,0.0,89624,148999.0,148999,,13782506.0,17500,,6,3558116,477939,3584495,4758739,268952,0
2013-08-08,2,2013,0.0,0.0,908867,,306887,1198826,1387197.0,,2152546,239664,239664.0,7746,1387654,17673,17673,820,3110.0,26353,234611,234611.0,,457.0,205648.0,26353,9398072,9398072.0,455812,,680082,,2555869,20606,8304.0,8304,10650,,536,700109.0,1171414,19162,2703060,2013年06月30日,327143,,5548994,5072351,8547695,471560,4784586,9814265,400123,,60276.0,14692.0,1256000,2703060,,,9058879.0,238623,0.0,89624,148999.0,148999,,14607873.0,17528,,121,4247940,476643,4274293,4793608,310333,0
2013-11-05,3,2013,0.0,0.0,904309,,306887,1219253,,,2439266,49862,49862.0,6889,1674079,108988,108988,817,,26584,235688,235688.0,619488.0,,,26584,10499940,,455812,,1130609,1178.0,3345622,7165,9444.0,9444,6835,123166.0,564,,1164800,20274,2703060,2013年09月30日,347570,,5859461,5384759,8547695,471560,5934243,11587675,400123,,299975.0,39819.0,1251000,2703060,,,10799562.0,244179,,95180,,148999,,16659023.0,20557,,124,4838735,474702,4865319,5071348,619488,0
2014-03-25,4,2013,1880000.0,1880000.0,834409,,306887,1646703,,,2370796,63929,63929.0,6204,1605970,1894286,14286,1791,,25959,202579,202579.0,323848.0,,,25959,10222746,,455812,,752511,12350.0,2624161,25022,10924.0,10924,30764,170109.0,253,,1389351,21407,2703060,2013年12月31日,775020,,6216611,5744100,8547695,471560,6551030,10875334,400123,,88108.0,26771.0,1152000,2703060,,,9784159.0,244179,,95180,,148999,,16000770.0,20587,107.0,7,3207063,472511,3233129,5125436,323848,0
2014-05-08,1,2014,1880000.0,1880000.0,833778,306887.0,306887,1657510,2127535.0,2892884.0,2892884,78914,78914.0,6531,2128381,1896651,16651,1992,6093.0,25729,200410,200410.0,347904.0,846.0,205648.0,25729,10931374,10931374.0,455812,0.0,733294,15738.0,3220305,10044,7902.0,7902,29891,52817.0,348,622037.0,1380930,22008,2703060,2014年03月31日,785827,,6748417,6277318,8547695,471560,7135335,11480198,400123,80823.0,,32389.0,1148000,2703060,,,10368735.0,244179,0.0,95180,148999.0,148999,,17117152.0,20616,173.0,57,3207498,471099,3233400,5636954,347904,0
2014-08-12,2,2014,2000000.0,2000000.0,829050,,306887,1383882,2559756.0,,3325105,288266,288266.0,6242,2560104,2012605,12605,758,5660.0,25078,167780,167780.0,380373.0,348.0,205648.0,25078,11509959,,455812,0.0,844264,0.0,3442625,7901,,10715,11336,51942.0,421,617742.0,1372509,22627,2703060,2014年06月30日,522404,,6903796,6435413,8547695,504521,7895311,12143269,356957,150879.0,,33650.0,1266000,2703060,,,11263488.0,244179,0.0,95180,148999.0,148999,,18167284.0,20644,71.0,57,3343028,468383,3368177,6024015,380373,0
2014-11-11,3,2014,135000.0,135000.0,830330,,306887,2376356,,,3029826,94685,94685.0,5022,2265345,153525,18525,774,,26129,163456,163456.0,217670.0,,,26129,8725818,,455812,0.0,860511,0.0,1557819,7402,9339.0,9339,12003,56072.0,1515,,1364089,18892,2703060,2014年09月30日,1514878,,7607177,7139966,8547695,504521,4117931,9194200,356957,145315.0,,105989.0,1338000,2703060,,,7353061.0,251017,,102018,,148999,,14960238.0,20672,178.0,52558,3208823,467211,3235130,5766038,217670,0
2015-03-27,4,2014,135000.0,135000.0,826449,,306887,2315434,,,3260914,111033,,4701,2497968,140572,5572,712,,26410,162044,,,,,26410,9217814,,455812,0.0,798120,0.0,2205819,7917,,1173,12252,22496.0,381,,1350925,20546,2703060,2014年12月31日,1453956,,7769438,7311667,8547695,504521,4563319,9613195,356957,109328.0,,91858.0,1208000,2703060,,,7797277.0,251017,,102018,,148999,,15566715.0,20699,492.0,25755,3207056,457771,3233958,5953520,223639,0
2015-05-11,1,2015,365000.0,365000.0,821761,,306887,2365842,2850756.0,,3616105,98161,98161.0,3085,2852606,380224,15224,702,,26005,165888,,,1850.0,,26005,9984162,9984162.0,455812,0.0,883955,135142.0,2475244,10738,,6198,4094,22558.0,5320,,1342034,21257,2703060,2015年03月31日,1504364,103496.0,8172689,7716713,8547695,504521,5303960,10411672,356957,,104289.0,,1217000,2703060,16711238.0,8538549.0,,251017,0.0,102018,148999.0,148999,16711238.0,,20729,379.0,25634,3208205,455976,3234589,6299566,260535,0
2015-08-11,2,2015,0.0,0.0,817128,,306887,2327958,2812242.0,,3577591,544128,544128.0,2493,2813763,11720,11720,2964,9397.0,25461,126328,126328.0,134839.0,1521.0,205648.0,25461,8809071,,455812,0.0,986702,7290.0,1947309,13344,8054.0,8054,4068,22558.0,233,602083.0,1333143,18040,2703060,2015年06月30日,1401061,123264.0,8092944,7639986,8547695,593019,4760757,9880661,333878,,875618.0,,1127000,2703060,16085293.0,7992349.0,,251017,,102018,148999.0,148999,16085293.0,,20763,312.0,25515,3205819,452958,3231592,6204632,134839,0
