date,season,year,不動產及設備淨額,代收款項合計,以成本衡量之金融資產－非流動合計,保留盈餘（或累積虧損）合計,借券保證金－存入,借券保證金－存出,借券擔保價款,備供出售金融資產未實現損益,備供出售金融資產－流動合計,備供出售金融資產－非流動合計,其他應付款合計,其他應收款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融負債－流動合計,其他非流動負債合計,其他非流動資產淨額,取得或處分子公司股權價格與帳面價值差額,國外營運機構財務報表換算之兌換差額,客戶保證金專戶合計,庫藏股票,待分配股票股利,待註銷股本股數（單位：股）,應付商業本票,應付帳款合計,應付融券擔保價款,應收帳款合計,應收票據合計,應收證券融資款,應收轉融通擔保價款,投資性不動產淨額,採用權益法之投資,普通股股本,會計項目,期貨交易人權益合計,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產,短期借款合計,股本合計,融券保證金,負債及權益合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－已失效認股權,資本公積－庫藏股票交易,資本公積－股票溢價,資產總計,資產總額,轉融通保證金,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債,遞延所得稅資產,附買回債券負債合計,附賣回債券投資,非控制權益（合併報表用）,非流動負債合計,非流動資產淨額,預付款項合計,預付退休金－流動,預收款項合計,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-07,1,2013,2631431,230415,83244,8511399,135088,31266,33489,-505,104745,,1687258,1106834,-27952,4967,2477876,159496,3542,1283617,440.0,-27447,5484786,0.0,,,1749597,7010251,1071257,5825103,540,9892559,5200,286778,423120,13231191,2013年03月31日,5484786,1068234,,,,22010970.0,21970754,0,1960558,30523036,47730544,14380,5482607,,4891847.0,51265.0,2364.0,4061485,13231191,896283,52550597.0,,2147.0,,30539627.0,256116,,,230152,25524,,52550597.0,2693,1575877,16616040,50700,10902,46783,6404701,1202807,40216,16591,4820053,46294,6101.0,310,0
2013-08-06,2,2013,2617623,237007,71757,8010312,370800,33786,37401,0,0,,1347466,138161,-16057,7196,2620814,200685,5167,1355769,440.0,-16057,5475899,0.0,0.0,,4249012,5649797,725359,6334640,962,10275846,4544,286253,371963,13231191,2013年06月30日,5475899,145576,,,,21520970.0,21481562,0,2071935,25767574,42474300,15839,5792801,,5016369.0,67278.0,6672.0,3267439,13231191,587119,47301585.0,,0.0,,25780615.0,256116,,,230152,25524,,47301585.0,0,811032,12046512,50511,7874,57570,2770069,460285,39408,13041,4827285,22409,,1416,0
2013-11-05,3,2013,2598928,1145758,71759,8439856,522991,49541,54526,3637,119936,,2638120,2210575,-39368,7020,3927014,248391,3159,1257589,440.0,-43005,5252703,,,,5948308,9969898,1305908,12649292,1697,10274611,10366,285729,381764,13231191,2013年09月30日,5252704,575120,,,,21927981.0,21887795,0,2071935,37179010,54405036,19403,5792801,,5403630.0,33414.0,9024.0,4862656,13231191,1055239,59116544.0,,0.0,,37188563.0,256116,,,230152,25524,,59116544.0,771,1858540,13804861,50374,6394,45962,2327825,605313,40186,9553,4711508,31176,,2238,0
2014-03-26,4,2013,2583250,428091,71759,8877942,529309,49617,29993,27750,349870,,951286,173323,31,4600,3297457,93398,8402,1267158,440.0,-27719,4917434,,,,6947845,8598138,1599806,8379629,3360,11516164,59634,285204,401608,13231191,2013年12月31日,4917434,1013206,,,,22406203.0,22365280,0,2071935,36354161,54044709,25648,5792801,,5287484.0,64432.0,2676.0,3479260,13231191,1235843,58782976.0,,,,36376773.0,256116,,,230152,25524,,58782976.0,24695,1232154,19714198,50174,14210,53466,6272115,184897,40923,22612,4738267,54278,,450,0
2014-05-09,1,2014,2591770,284135,56364,9341234,161826,3953,4375,-1629,26680,45108.0,3348587,2758798,13581,9184,2660699,167589,7482,1272110,,15210,5171981,,,0.0,6598188,13542907,1040525,12829191,1062,12540320,3716,284678,416522,13231191,2014年03月31日,5163095,1476498,,,,22883865.0,22842122,0,2071935,45589618,63669639,65979,5792801,,5447753.0,113863.0,2667.0,4328789,13231191,879594,68506420.0,,,,45622555.0,256116,440.0,,230152,25524,,68506420.0,0,3185818,19239397,50396,25455,53854,6765096,2952987,41743,32937,4836781,26060,,422,0
2014-08-07,2,2014,2578160,473298,49408,8977689,163903,19561,12176,-3561,66500,42378.0,2270188,566100,-26910,12742,2559034,239494,9487,1304420,,-23349,5150353,,,0.0,5398759,10298914,863038,11586165,1188,12653037,4243,284153,389074,13231191,2014年06月30日,5134770,1095887,,,,22478199.0,22438086,0,2173255,43598165,61298923,67441,5708547,,4975096.0,163864.0,2857.0,7530713,13231191,750691,66102492.0,,,,43624293.0,256116,440.0,,230152,25524,,66102492.0,249,3216605,21261147,50331,16641,38204,7078707,2422056,40113,26128,4803569,19161,,2479,0
2014-11-05,3,2014,2571113,1394282,49408,9078576,165029,31510,24532,3124,0,48648.0,1307815,794590,52477,7453,3487553,137892,8552,1392879,,49353,5458112,,,0.0,4448787,11437332,1551848,12460481,1792,12418202,1986,283628,407526,13231191,2014年09月30日,5464818,1196774,,,,22659541.0,22618360,0,2173255,42008314,59781829,68744,5708547,,6659803.0,166939.0,480.0,5859662,13231191,1282184,64692380.0,,,,42032839.0,256116,440.0,,230152,25524,,64692380.0,2244,3061050,16072400,50255,15973,38350,5721299,2334894,41181,24525,4910551,33250,,1924,0
2015-03-24,4,2014,2562705,269955,49408,9431778,935571,11042,12224,10345,0,56115.0,1159281,354054,113539,5132,3106558,294585,10984,1339736,,103194,5569228,,,0.0,3749032,6435497,1842391,6905877,994,13408762,1670,283104,426021,13231191,2014年12月31日,5553149,1549976,,,,23075476.0,23032624,0,2173255,41811986,59972212,160276,5708547,,6355219.0,134160.0,1590.0,8760977,13231191,1519052,64947546.0,,,,41872070.0,256116,440.0,,230152,25524,,64947546.0,219,2068250,22714617,50518,49100,47451,9084470,1502364,42852,60084,4975334,27794,,484,0
2015-05-08,1,2015,2542264,1277597,49408,9989232,285514,0,0,13413,0,59288.0,3861697,3181597,89084,33942,3555326,234591,11638,1151368,,75671,6005236,,,0.0,10346291,12469028,634660,15556841,1163,14219808,7702,282578,454141,13231191,2015年03月31日,5978152,2107430,197847.0,1590.0,23609867.0,,23565623,0,2173255,63018277,81910404,155478,5708547,5481229.0,,,,11652668,13231191,572327,,86703076.0,,63093209.0,,256116,440.0,,230152,25524,86703076.0,,0,2297201,32330892,50659,63294,47488,13176254,1519484,44244,74932,4792672,49536,,508,0
2015-08-06,2,2015,2537114,331222,41581,9308355,46686,24154,26732,11623,0,57436.0,2714964,935696,55348,33896,2216357,219190,11853,1207314,,43725,6307552,,,,4499729,9911030,1070705,13296960,1525,12766155,38994,282053,415092,13231191,2015年06月30日,6280790,961560,154734.0,783.0,22893788.0,,22851010,0,2328253,56421014,74571063,148849,6018542,8178280.0,,,,10094450,13231191,866187,,79359561.0,,56465773.0,,256116,440.0,,230152,25524,79359561.0,,10539,3984889,27894468,50645,32906,48414,16211889,2852130,42778,44759,4788498,20738,,653,0
