date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,911333,10432382,1650,-819161,430.0,100273,16886,,-817,,946680,324438,324438,6000.0,271233,6943,943,1404414,0,,,32703.0,,248627,74053,121576,,48,271233.0,125715,649299,6306516,2013年03月31日,-863684,,5486543,5486543,0,41191.0,3482165,2473239,,,,3332.0,,516203.0,0.0,235.0,2066681,6306516,,,13148,,8374373.0,5,,13860916.0,13251,6203,171258,4614772,0,4892208,11387677,76188,35347,0
2013-08-06,2,2013,978257,10312590,1650,-1079859,396.0,105052,19184,,-866,,1013734,316191,316191,4000.0,272358,4943,943,1303969,0,45595.0,,0.0,,249748,79922,94436,9696.0,0,272358.0,125715,670930,6306516,2013年06月30日,-1124382,,5226464,5226464,0,41191.0,3728942,2308501,,,,3332.0,,481288.0,0.0,302.0,2266040,6306516,6582.0,,7864,,8363624.0,673,,13590088.0,16089,662,165363,4361662,0,4634682,11281587,21751,35477,0
2013-11-06,3,2013,1058159,10262832,1650,-1298983,393.0,116965,101554,29257.0,-1729,-1729.0,1122286,322505,322505,0.0,273505,943,943,1053535,0,,,0.0,,249422,64972,117428,6546.0,61,273505.0,125715,670739,6306516,2013年09月30日,-1343506,,5006477,5006477,0,41191.0,4056255,2147473,,,,3332.0,,456400.0,0.0,345.0,2494653,6306516,,,7957,,8356204.0,673,,13362681.0,14799,661,152936,4025783,0,4299949,11215208,45043,64127,0
2014-03-24,4,2013,1164059,10149729,1650,-1481572,404.0,112306,15627,26673.0,-1113,,1183227,336895,336895,0.0,261773,443,443,1053738,0,,,131.0,,249085,57600,115903,,32,261773.0,133942,668045,6306516,2013年12月31日,-1526095,,4824504,4824504,0,41191.0,4418329,2056253,,,,3332.0,,398207.0,0.0,418.0,2807333,6306516,,,8647,,8367352.0,673,,13191856.0,6985,427,181390,3686823,0,3949023,11135603,101775,19168,0
2014-05-07,1,2014,1269959,10099524,1650,-1649652,397.0,94647,15977,27492.0,102,,1312626,397750,397750,0.0,263000,443,443,1074700,0,,0.0,0.0,,248673,71037,116957,,82,263000.0,133942,664344,6306516,2014年03月31日,-1694175,,4657639,4657639,0,41191.0,4963672,2153162,,,,3332.0,407036.0,,,3627.0,3228569,6306516,,,8120,,8574664.0,673,,13232303.0,6637,131,178841,3347861,0,3610992,11079141,102904,42667,0
2014-08-06,2,2014,1380859,10048928,1650,-1781218,384.0,136071,27761,26673.0,-1241,,1439276,379411,379411,0.0,264233,443,443,1148460,0,0.0,0.0,,22190.0,249796,67769,187047,,0,264233.0,133942,659283,6306516,2014年06月30日,-1781218,,4524730,4524730,0,0.0,5521326,2271002,,,,0.0,464310.0,,,3590.0,3596662,6306516,0.0,,9562,,8769787.0,673,,13294517.0,9717,328,178885,2983900,0,3248461,11023515,24033,58417,0
2014-11-10,3,2014,757645,10005450,1650,-1949205,12422.0,130704,26790,31260.0,-293,-293.0,797065,97040,97040,,265474,443,443,1176579,0,,0.0,509.0,,219544,88713,152079,,0,265474.0,133942,653267,6306516,2014年09月30日,-1949205,,4357691,4357691,0,0.0,1996318,2621939,,,,0.0,1039877.0,,,9005.0,742963,6306516,,,16820,,9249824.0,673,,13607515.0,6382,272,178402,6987760,0,7253506,10985576,82927,39420,0
2015-03-24,4,2014,757645,9979181,1650,-2111544,19857.0,120181,20968,40787.0,1961,,821439,445977,445977,38010.0,275732,38454,444,1246995,0,,0.0,0.0,,219212,91391,58745,11910.0,0,275732.0,134224,939734,6306516,2014年12月31日,-2111544,,4203529,4203529,0,0.0,2552148,2492844,,,,0.0,577368.0,,,9072.0,1274321,6306516,,,25604,,9589851.0,6596,,13793380.0,10950,1185,187436,6760786,0,7037703,11300536,70072,63794,0
2015-05-05,1,2015,757645,9996302,1650,-2224272,0.0,152239,16740,43359.0,1538,,802393,293828,293828,38000.0,276997,38444,444,1335335,0,,0.0,12698.0,33872.0,0,79936,138483,7409.0,3136,,134224,958663,6306516,2015年03月31日,-2224272,9016.0,4090380,4090380,0,0.0,3000926,2624975,276997.0,,,0.0,,683261.0,,,1909035,6306516,,13941088.0,10753,9850708.0,,6598,13941088.0,,8892,431,186830,6572354,0,6849782,11316113,85516,44748,0
2015-08-06,2,2015,795595,10189734,1650,-2358939,0.0,203861,1992,41185.0,265,,859306,275779,275779,38700.0,278269,39144,444,1290420,0,,0.0,8179.0,12925.0,219544,70197,76047,6125.0,0,,134224,945969,6306516,2015年06月30日,-2358939,8928.0,3954444,3954444,0,0.0,3199006,2541374,278269.0,,,0.0,,742323.0,,,1809554,6306516,,14038977.0,15440,10084533.0,,6602,14038977.0,,25042,296,186882,6606962,0,6885527,11497603,73533,63711,0
