date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-08-14,2,2013,578395,0,-1234887,298022,378446,126277,148097,242783,21464,414997,37388,,7596,42615,116975,446640,131554,,605709,,195372,111397,103848,5371,1080000,2013年06月30日,-1234887,,,378110,378110,0,,2422478,1733916,,547689,0,882539,1080000,622468,,,2471467,118000,,,118000,,2849577,41393,6986,48989,1115661,37017,,0
2014-03-31,4,2013,578015,0,-278856,395871,489638,261210,149571,247740,15716,516826,29365,,6585,47144,120955,491738,60019,,753092,,449320,189403,73940,4941,600000,2013年12月31日,-278856,,,1109570,1109570,0,,2001724,1971995,,460585,0,209095,600000,599391,,,2063143,271600,,,271600,,3172713,54834,7040,61419,1200718,57474,,0
2015-03-09,4,2014,608999,,315694,331502,415822,400667,7051,249866,,465192,123200,,7396,54300,133690,671593,0,0,1130730,,433219,374994,77511,4107,600000,2014年12月31日,315694,,,1380886,1380886,0,,2125292,2395003,563734,,2370,461274,600000,0,,,2182150,0,,,0,,3563036,49462,7294,56858,1168033,101597,,0
2015-05-13,1,2015,597965,,394160,369310,458786,329243,8593,233405,,497423,112320,3534,7225,55222,128113,664620,0,0,793449,,387870,137418,76730,3868,600000,2015年03月31日,394160,2360,,1491583,1491583,0,,1705479,2055037,,567772,,459514,600000,0,3254825,1763242,,0,,,0,3254825,,50538,7217,57763,1199788,60418,,0
2015-08-12,2,2015,600554,,436828,213354,281563,369876,6855,217577,,333021,95884,5475,7133,52036,119667,744215,0,0,969614,,461220,220682,72948,3749,600000,2015年06月30日,405259,16912,0,1369849,1369849,0,31569,1804758,2197126,,471293,,345617,600000,0,3215092,1845243,,0,,,0,3215092,,33352,7116,40485,1017966,76664,,0
2015-11-12,3,2015,632309,,601992,116472,171469,387417,7292,144402,,261840,89647,6230,6889,44213,145368,915789,,0,1229897,,489415,489999,72199,4068,680000,2015年09月30日,570423,23969,,1963825,1963825,0,31569,2100962,3159236,,1030438,,362740,680000,0,4090886,2127061,,419993,7271,,412722,4090886,,19210,7392,26099,931650,82963,,0
2016-02-25,4,2015,665277,,770796,136050,193718,400837,,211988,,265392,84670,2553,6319,98944,129342,723866,,0,1428188,,422218,380185,71449,0,680000,2015年12月31日,739227,37831,,2136181,2136181,0,31569,2216187,3341667,,1492451,,264661,680000,,4378283,2242102,,419993,7271,,412722,4378283,,19596,7228,25915,1036616,108406,,0
2016-05-12,1,2016,644859,,847048,147190,206377,307470,,73404,33938,260873,77370,2513,6167,130094,113683,833984,,0,1224895,19978,524061,584938,70700,0,680000,2016年03月31日,815479,48083,,2207914,2207914,0,31569,1856796,3034580,,890624,,179000,680000,,4093724,1885810,,419993,7271,,412722,4093724,,22847,7114,29014,1059144,91118,,0
2016-08-10,2,2016,744181,,714347,120185,175689,613243,,64080,178964,207432,52316,108247,5978,36697,87247,946526,,0,1417971,,687596,505695,69950,0,680000,2016年06月30日,631275,52615,,2041215,2041215,0,83072,2533811,3569186,,937902,,397666,689148,,4602648,2561433,,430288,7271,10295,412722,4602648,,21644,6945,27622,1033462,140176,9148,152463
