date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,15600.0,15600.0,1437179,-210552,,1817,75586,48476,12862,-11682,22564,6964,2245,107852,,38857,,,109.0,411266,123585,,293692,0.0,749,14763,34935,1540.0,3900,4000.0,107743.0,14695,1319276,2013年03月31日,-212112,976802,976688,10933000,764340,557887,,790,1560,,71127.0,100.0,383879,1319276,,217.0,275.0,,1165730.0,3231,,2142532.0,281763,17538,11500.0,114,401390,1584645,14095,0
2013-08-09,2,2013,15600.0,15600.0,1424346,-250799,,1764,60956,56366,11149,-26363,20037,4437,2706,104396,,50477,,,109.0,417185,123585,,189701,0.0,901,14069,17834,823.0,1719,5000.0,104287.0,14078,1319276,2013年06月30日,-252359,921868,921760,10933000,771545,520809,,718,1560,,53890.0,98.0,490212,1319276,,259.0,281.0,,1165596.0,3231,,2087464.0,281774,16080,7600.0,108,394051,1566655,8641,0
2013-11-07,3,2013,,15600.0,1425618,-279764,,1862,60956,53004,11803,-26270,19780,4180,3119,101006,,33353,33353.0,,109.0,422595,123585,,214789,0.0,494,24641,58701,0.0,6597,0.0,100897.0,18319,1319276,2013年09月30日,-281324,897765,897662,10933000,834034,564433,,646,1560,,40690.0,98.0,521035,1319276,,291.0,288.0,,1220975.0,8005,,2118740.0,281947,15415,3700.0,103,386941,1554307,18968,0
2014-03-20,4,2013,,15400.0,1406408,-307935,-6608.0,1918,80562,62116,10755,-6606,19947,4547,1080,98167,725.0,44654,44654.0,2.0,,337369,123585,,234415,0.0,1521,24097,23645,0.0,10220,0.0,97442.0,17492,1319276,2013年12月31日,-309495,889253,889155,10933000,750074,455045,,575,1560,,60518.0,,407978,1319276,,,,,1130007.0,8005,,2019260.0,281766,14524,0.0,98,379933,1564215,9540,0
2014-05-06,1,2014,,11500.0,1395199,-349829,-4015.0,1902,83171,54002,6556,-4006,16294,4794,28990,94812,738.0,45844,45844.0,9.0,,337931,123585,0.0,92703,,5810,19104,28003,0.0,7686,0.0,94074.0,17012,1319276,2014年03月31日,-351389,849954,849861,10933000,816736,487360,,503,1560,60589.0,,,628823,1319276,,,,,1193314.0,8005,,2043268.0,281766,14179,0.0,93,376578,1555908,15703,0
2014-08-07,2,2014,,7600.0,1380654,-360463,-35091.0,2062,51935,51545,21802,-35089,12280,4680,1971,91032,676.0,44450,44450.0,2.0,,506231,123585,0.0,101265,,2387,20125,49052,,9629,0.0,90356.0,16407,1319276,2014年06月30日,-362023,808231,808144,10933000,981325,656293,,431,1560,56842.0,,,793723,1319276,,,,,1354382.0,8005,,2162613.0,282025,12443,0.0,87,373057,1506320,8704,0
2014-11-06,3,2014,,3700.0,1369023,-404197,-38122.0,2016,48950,48881,13807,-38114,8828,5128,1964,87633,689.0,36898,36898.0,8.0,,455152,123585,0.0,137479,,165,19864,35111,,6340,,86944.0,16051,1319276,2014年09月30日,-405757,761467,761385,10933000,922817,570615,,359,1560,41786.0,,,707600,1319276,,,,,1292173.0,8005,,2053640.0,281723,11744,0.0,82,369356,1483025,14439,0
2015-03-19,4,2014,,0.0,1357993,-461739,-36470.0,2016,50602,50852,9610,-36470,5289,5289,36621,76618,799.0,31824,31824.0,0.0,,400423,123585,0.0,139715,0.0,136,22150,55612,0.0,6506,0.0,75819.0,14190,1319276,2014年12月31日,-463299,705564,705487,10933000,970576,569327,,288,1560,50641.0,,,752434,1319276,,,,,1330216.0,8005,,2035780.0,283022,11556,0.0,77,359640,1466453,7898,0
2015-05-05,1,2015,,0.0,1342350,-525083,-39455.0,2033,47600,54030,8205,-39455,4854,4854,43946,72910,687.0,34953,34953.0,0.0,,476584,120194,0.0,76623,,198,13350,32696,,4305,,,13752,1319276,2015年03月31日,-526643,642828,642549,10633000,1068408,617762,72223.0,215,1560,,35300.0,,919353,1319276,2066998.0,,,1424170.0,,8005,2066998.0,,282852,10366,,279,355762,1449236,14693,0
2015-08-06,2,2015,,0.0,1337376,-560815,-59730.0,2016,27342,52853,8072,-59730,4854,4854,28658,69432,702.0,26707,26707.0,0.0,,320461,98717,0.0,96958,,51,19609,31339,,1341,,,13029,1319276,2015年06月30日,-562375,609625,608019,8733000,904032,451812,68730.0,144,1560,,55133.0,,729707,1319276,1866120.0,,,1256495.0,,8005,1866120.0,,283031,9710,,1606,352463,1414308,4792,0
