date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,專利權淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2014-07-24,2,2014,0,1376862,21,1379245,8975,,887530,1498,12424,91530,4588,603676,603676,155480,,199278,106166,6826,4143012,75111,88791,105037,758,11829,0,0,339726,1902,1055,110707,9684,41980,108766,703914,1115000,2014年06月30日,969793,,5136969,5107249,258788,409452,1969656,2432242,,4144190,0,,,1896425,,104269,30000,1115000,,,3668934,2620245,,8805903,,42508,1500000,15401,420,29720,1699278,6373661,10549,0
2015-03-20,4,2014,0,1618634,21,1818310,0,,351507,6045,3694,2723,2025,590468,590468,37233,,209563,158787,5092,4139629,74741,143311,27734,712,11829,,0,261138,2351,88126,98863,22610,43945,122769,549882,1115000,2014年12月31日,1408858,,5587279,5543751,258788,409452,1441293,2731647,,4140994,0,,,2494845,,111658,30000,1115000,,,3662856,2620245,,9250135,,50170,2012000,12053,653,43528,2221563,6518488,10384,0
2015-05-26,1,2015,214200,1551838,21,2074034,76475,,198342,4957,259,875,2214,839216,625016,47931,,208353,158902,5092,4139629,74854,143426,23272,690,11829,,,177740,1899,602,106930,12117,55822,,550757,1115000,2015年03月31日,1664582,155469,5843656,5799664,258788,409452,1418225,2816870,123029,4140906,,,,,2493189,,40000,1115000,9268034,3424378,,2620245,9268034,,,48740,1797800,10470,587,43992,2006153,6451164,10384,0
2015-08-12,2,2015,478400,1548497,21,1522166,116265,,997044,3834,161,8829,2407,1093210,614810,62550,,207087,165103,4610,4139629,74970,144286,19540,668,0,,,198387,1881,53380,91373,9147,39055,,545259,1115000,2015年06月30日,1018647,99181,5326349,5283204,0,503519,2446917,3065289,123229,4140820,,,,,2718369,,0,1115000,9513953,4187604,,2643631,9513953,,,48964,1533600,8888,523,43145,1740687,6448664,16207,0
2015-11-12,3,2015,509880,1564994,64021,1747609,273980,,250438,3108,181,693,3568,1118883,609003,70447,,205392,165478,3800,4139629,74666,146592,19758,645,0,,,186602,2000,92251,125444,16981,41320,,548335,1115000,2015年09月30日,1244090,46046,5553283,5509808,0,503519,2349328,2636702,123421,4140752,,0,,,2087898,,650000,1115000,9169123,3615840,,2643631,9169123,,,48841,1061120,7305,478,43475,1266512,6532421,15086,0
2016-03-25,4,2015,,1627435,64021,1878230,23300,352209,370552,3972,10617,667,-484,610608,610608,56258,1429,227587,158222,2989,4139629,74754,145703,14083,623,0,,,30227,1879,140132,145794,9786,52172,,547057,1243670,2015年12月31日,1374711,84839,7349357,7306087,0,503519,1242209,3288069,142444,4142116,,,,,2975392,,0,1243670,10240153,2890796,,4184671,10240153,,,61024,1421000,10389,435,43270,1648587,6952084,9530,0
2016-05-06,1,2016,118760,1608877,64021,2080649,22100,387524,248749,4560,8073,,-31665,729724,610964,57793,1369,235034,163452,2177,4139629,83912,147355,22550,600,372001,,,65998,,100027,171577,9149,43099,,546383,1243670,2016年03月31日,1577130,126594,7144675,7105324,2897000,503519,1275652,2985424,142570,4142171,,0,,,2651083,,0,1243670,9957603,2812928,,4184671,9957603,,2,59751,1302240,8552,573,39351,1537276,6972179,13920,0
2016-07-26,2,2016,224800,1639876,64021,1495243,21400,343142,1073130,3782,9521,,-101823,831577,606777,58421,2649,245171,161332,1367,4139629,96118,149532,20141,578,607731,,,28581,,141493,150090,14375,46425,,539693,1243670,2016年06月30日,905556,82877,6251699,6214030,4711000,589203,2161440,2903189,142337,4143379,,0,484,,2582816,,,1243670,9854510,3602811,,4184671,9854510,,,59878,1196200,6716,523,37669,1441371,6951321,10433,0
2016-11-04,3,2016,376200,1699491,64021,1678512,20800,320315,337053,2777,9231,,-125879,989611,613411,67486,2533,275711,159240,1006,4139629,128157,148366,19571,555,640130,,,31679,,143790,97919,9712,50427,,540665,1243670,2016年09月30日,1088825,31384,6376259,6340844,4967000,589203,1776294,2485045,142602,4143189,,,484,,2209899,,240000,1243670,9473066,3096807,,4184671,9473066,,2,61100,1044800,4952,472,35415,1320513,6988021,9868,0
