date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,3819674,167673,1708022,564145,114606,5477,3992,,0,,,65626,319396,,5477,,2225826,,,294241,1158,,598759,,468,,0,6499300,2013年03月31日,1581296,,9461423,9459776,0,103897,1510069,6524831,,22683,22829,,3411045.0,253714.0,391668,6499300,,,1575695.0,1246977,,,1233286,13691.0,,11037118.0,1151.0,0.0,,182861,,,1647.0,65626,4512287,174127,,,0
2013-08-06,2,2013,,3897211,167673,1074212,1239069,122507,28823,77830,,0,,,65768,363421,,28823,,2287864,259972.0,,279096,332,,870450,,5,,105013,6499300,2013年06月30日,830439,,9109472,9109472,0,220944,2527232,6925278,,25507,22829,,3378997.0,174537.0,755037,6759272,,,2593000.0,1247165,,188.0,1233286,13691.0,,11702472.0,1331.0,0.0,0.0,218369,,,0.0,65768,4777194,265455,,,0
2013-11-11,3,2013,,4019624,167673,1326716,477739,154874,14987,75533,121.0,15552,15552.0,24667.0,65911,427842,17655.0,14987,0.0,2358797,,,298529,766,,686633,,2646,65911.0,95972,6759272,2013年09月30日,1082943,,9347952,9347952,0,220944,1706267,6114919,,23612,22829,,2734079.0,110868.0,742832,6759272,,,1772178.0,1246977,,,1233286,13691.0,,11120130.0,,1584.0,,270488,,91860.0,0.0,65911,5005211,160754,293660.0,75412.0,0
2014-03-21,4,2013,,4213982,167673,1591831,594800,161496,44355,75812,0.0,15552,15552.0,24667.0,65548,534892,17925.0,44355,0.0,2512318,,,264437,1080,0.0,969523,1118.0,230,65548.0,90455,6759272,2013年12月31日,1348058,,9643254,9643254,0,220944,1774787,6143428,,28709,22829,,2289428.0,147735.0,689785,6759272,,,1840974.0,1247796,14459.0,51.0,1233286,,,11484228.0,1138.0,0.0,639.0,305089,,92994.0,0.0,66187,5340800,193763,399306.0,75812.0,0
2014-05-08,1,2014,,4433590,167673,1757176,565529,175443,40756,100788,,15552,15552.0,24734.0,65579,573509,16885.0,40756,,2636997,,,225020,773,,628052,,1608,65579.0,92193,6759272,2014年03月31日,1513403,,9807542,9807542,0,220944,2155555,6406509,,26430,22829,2792770.0,,192183.0,1070158,6759272,,,2221702.0,1250338,16844.0,208.0,1233286,,,12029244.0,1104.0,0.0,568.0,329340,,92135.0,0.0,66147,5622735,156087,439755.0,100788.0,0
2014-08-06,2,2014,,4658019,167673,868248,1213146,182461,8809,26948,,0,0.0,24734.0,65633,495642,15164.0,8809,,2675569,270371.0,0.0,220409,246,,780931,,11736,65633.0,86886,6759272,2014年06月30日,497134,,9159609,9159609,0,348285,2569191,5997057,,24032,22829,2184375.0,,102004.0,1006438,7029643,,,2635129.0,1252909,19255.0,368.0,1233286,,,11794738.0,0.0,1796.0,305.0,365429,,89972.0,0.0,65938,5797681,160189,365772.0,26948.0,0
2014-11-07,3,2014,,4884454,167673,989645,493970,275180,50449,29828,109.0,0,0.0,24734.0,65704,412652,17802.0,50449,,2668505,,0.0,195013,1476,,865939,,0,65704.0,83265,7029643,2014年09月30日,618531,,9325244,9325244,0,348285,1849036,5271881,,22419,22829,1303052.0,,112.0,1123188,7029643,,,1916105.0,1255507,21692.0,529.0,1233286,,,11241349.0,5449.0,0.0,1365.0,399005,,91769.0,0.0,67069,5969468,159205,278347.0,29719.0,0
2015-03-25,4,2014,,5065025,167673,992677,516228,199174,100674,37956,,0,0.0,24734.0,70360,421709,17619.0,100674,1656.0,2449296,,0.0,53813,1153,,522990,,27,68704.0,79923,7029643,2014年12月31日,621563,,9380271,9380271,0,348285,1918033,5249555,,23554,22829,1927603.0,,27738.0,1277476,7029643,,,1991549.0,1257277,23352.0,639.0,1233286,,,11371820.0,3669.0,,3156.0,364381,,94189.0,0.0,73516,6122265,150465,285167.0,37956.0,0
2015-05-07,1,2015,,5109213,243526,1105468,362100,196226,81792,26254,,0,0.0,24734.0,90598,381429,18066.0,81792,21656.0,2402446,,0.0,163104,33107,,653049,,0,,0,7029643,2015年03月31日,734354,55873.0,9476532,9476532,0,348285,2003613,5443736,68942.0,20684,22829,,2007522.0,,1363175,7029643,11571094.0,2094562.0,,1259629,25495.0,848.0,1233286,,11571094.0,,0.0,1846.0,351.0,372506,,92787.0,,90949,6127358,182647,245842.0,26254.0,0
2015-08-04,2,2015,,5142475,338907,815886,559919,203092,61511,7213,,0,0.0,24734.0,90841,371845,16530.0,61511,21656.0,2315406,281186.0,0.0,191471,121,,559553,,8971,,0,7029643,2015年06月30日,396358,83732.0,9450234,9450234,0,396699,2332723,5685028,69185.0,17590,22829,,2409774.0,,1489744,7310829,11874422.0,2424188.0,,1262008,28722.0,0.0,1233286,0.0,11874422.0,,523.0,0.0,624.0,318577,,90974.0,,91465,6189394,188232,239607.0,7213.0,0
2015-11-06,3,2015,,5142912,338907,1010639,310606,215316,114633,13536,57.0,531575,531575.0,24734.0,91972,402531,17175.0,114633,22540.0,2288617,,0.0,125235,8043,,648279,,0,,0,7310829,2015年09月30日,591111,60945.0,9700514,9700514,0,396699,2198743,5715866,69432.0,20255,22829,,1846093.0,,1679231,7310829,11994572.0,2294058.0,,1264413,31127.0,0.0,1233286,0.0,11994572.0,,1147.0,,3343.0,374101,,94161.0,,95315,6278706,185986,266461.0,13479.0,0
